"Time EST","Dew Point (°C)","Relative Humidity (%)"
"2018-01-01 02:57","-34.6","100"
"2018-01-01 04:36","-38.6","100"
"2018-01-01 05:06","-39.3","100"
"2018-01-01 05:17","-39.7","100"
"2018-01-01 05:36","-40.1","100"
"2018-01-01 06:36","-38.6","100"
"2018-01-01 07:06","-39.5","100"
"2018-01-01 07:16","-40.0","100"
"2018-01-01 08:06","-39.0","100"
"2018-01-01 09:46","-28.8","100"
"2018-01-01 09:57","-28.6","100"
"2018-01-01 10:06","-27.7","100"
"2018-01-01 10:16","-27.0","100"
"2018-01-01 10:26","-25.4","97"
"2018-01-01 10:36","-26.2","97"
"2018-01-01 10:46","-26.4","89"
"2018-01-01 10:57","-26.8","96"
"2018-01-01 11:06","-26.4","93"
"2018-01-01 11:16","-26.1","86"
"2018-01-01 11:26","-26.3","84"
"2018-01-01 11:36","-25.1","84"
"2018-01-01 11:46","-25.5","82"
"2018-01-01 11:57","-25.4","86"
"2018-01-01 12:06","-25.5","82"
"2018-01-01 12:16","-25.1","77"
"2018-01-01 12:26","-24.8","83"
"2018-01-01 12:36","-24.5","79"
"2018-01-01 12:46","-24.6","78"
"2018-01-01 12:57","-23.9","78"
"2018-01-01 13:06","-23.6","76"
"2018-01-01 13:16","-24.3","75"
"2018-01-01 13:26","-23.9","76"
"2018-01-01 13:36","-24.1","77"
"2018-01-01 13:46","-24.6","80"
"2018-01-01 13:57","-24.0","79"
"2018-01-01 14:06","-23.9","79"
"2018-01-01 14:16","-24.2","80"
"2018-01-01 14:26","-24.1","82"
"2018-01-01 14:36","-23.6","89"
"2018-01-01 14:46","-23.5","90"
"2018-01-01 14:57","-23.1","90"
"2018-01-01 15:06","-22.8","92"
"2018-01-01 15:16","-22.6","94"
"2018-01-01 15:26","-22.8","96"
"2018-01-01 15:36","-22.7","99"
"2018-01-01 15:46","-22.6","99"
"2018-01-01 15:57","-22.6","100"
"2018-01-01 16:06","-22.9","100"
"2018-01-01 16:16","-23.2","100"
"2018-01-01 16:26","-23.6","100"
"2018-01-01 16:36","-23.7","100"
"2018-01-01 16:46","-23.8","100"
"2018-01-02 04:16","-36.9","100"
