"Time EST","Dew Point (°C)","Relative Humidity (%)"
"2017-11-01 13:36","10.0","100"
"2017-11-01 13:48","9.7","100"
"2017-11-01 13:56","9.6","100"
"2017-11-01 14:08","9.6","100"
"2017-11-01 14:16","9.9","100"
"2017-11-01 14:28","10.1","100"
"2017-11-01 14:36","10.3","100"
"2017-11-01 14:48","10.0","98"
"2017-11-01 14:56","9.8","97"
"2017-11-01 15:08","10.0","97"
"2017-11-01 15:16","9.8","96"
"2017-11-01 15:27","10.3","100"
"2017-11-03 11:16","14.9","98"
"2017-11-03 11:26","15.4","99"
"2017-11-03 11:36","13.5","89"
"2017-11-03 11:46","13.6","93"
"2017-11-03 11:56","13.1","89"
"2017-11-03 12:06","12.9","88"
"2017-11-03 12:16","11.8","84"
"2017-11-03 12:26","12.3","85"
"2017-11-03 12:36","11.5","80"
"2017-11-03 12:46","11.3","78"
"2017-11-03 12:56","12.0","81"
"2017-11-03 13:06","12.8","83"
"2017-11-03 13:16","12.4","80"
"2017-11-03 13:26","11.6","77"
"2017-11-03 13:36","12.0","81"
"2017-11-03 13:46","12.4","82"
"2017-11-03 13:56","11.2","76"
"2017-11-03 14:06","12.2","81"
"2017-11-03 14:16","11.6","76"
"2017-11-03 14:26","11.8","76"
"2017-11-03 14:36","11.8","76"
"2017-11-03 14:46","10.8","72"
"2017-11-03 14:56","11.4","76"
"2017-11-03 15:06","10.9","71"
"2017-11-03 15:16","10.8","72"
"2017-11-03 15:26","10.3","76"
"2017-11-03 15:36","11.2","74"
"2017-11-03 15:46","12.2","76"
"2017-11-03 15:56","11.6","72"
"2017-11-03 16:07","11.1","72"
"2017-11-03 16:16","9.7","69"
"2017-11-03 16:26","9.1","68"
"2017-11-03 16:46","9.4","76"
"2017-11-03 17:07","8.9","75"
"2017-11-03 17:26","9.1","76"
"2017-11-03 17:46","8.9","78"
"2017-11-03 18:07","8.6","79"
"2017-11-03 18:26","8.6","81"
"2017-11-03 18:46","8.3","85"
"2017-11-03 19:07","7.9","87"
"2017-11-03 19:26","7.5","87"
"2017-11-03 19:46","7.5","88"
"2017-11-03 20:07","7.7","91"
"2017-11-03 20:26","7.1","91"
"2017-11-03 20:27","7.2","92"
"2017-11-03 20:46","7.4","95"
"2017-11-03 21:07","7.1","93"
"2017-11-03 21:26","7.0","95"
"2017-11-03 21:46","7.1","98"
"2017-11-03 22:07","7.4","100"
"2017-11-03 22:26","7.0","100"
"2017-11-03 22:46","6.4","100"
"2017-11-03 23:07","6.4","100"
"2017-11-03 23:26","6.0","100"
"2017-11-03 23:46","5.9","100"
"2017-11-04 00:07","5.6","100"
"2017-11-04 00:26","5.0","100"
"2017-11-04 11:07","4.9","100"
"2017-11-04 11:26","5.6","100"
"2017-11-04 11:46","5.7","100"
"2017-11-04 12:07","5.5","100"
"2017-11-04 12:26","5.6","100"
"2017-11-04 12:46","5.8","100"
"2017-11-04 13:07","6.0","100"
"2017-11-04 13:26","6.2","100"
"2017-11-04 13:46","6.3","100"
"2017-11-04 14:07","6.7","100"
"2017-11-04 14:26","6.3","100"
"2017-11-04 14:46","6.2","100"
"2017-11-04 15:07","6.0","100"
"2017-11-04 15:26","5.8","100"
"2017-11-04 15:46","6.0","100"
"2017-11-04 16:07","6.0","100"
"2017-11-04 16:26","5.6","98"
"2017-11-04 16:46","5.8","100"
"2017-11-04 17:00","5.6","100"
"2017-11-04 17:07","5.6","100"
"2017-11-04 17:26","5.3","100"
"2017-11-04 17:46","4.9","100"
"2017-11-04 18:07","4.7","100"
"2017-11-04 18:26","4.6","100"
"2017-11-04 19:07","4.2","100"
"2017-11-04 19:26","4.1","100"
"2017-11-04 19:46","4.0","100"
"2017-11-04 20:07","4.1","100"
"2017-11-04 20:26","3.8","100"
"2017-11-04 20:46","3.7","100"
"2017-11-04 21:07","3.3","100"
"2017-11-04 21:26","3.3","100"
"2017-11-06 11:07","11.8","100"
"2017-11-06 11:26","12.3","99"
"2017-11-06 11:46","11.8","100"
"2017-11-06 12:07","11.1","100"
"2017-11-06 12:26","10.9","100"
"2017-11-06 12:46","10.7","98"
"2017-11-06 13:07","11.2","99"
"2017-11-06 13:26","9.9","100"
"2017-11-06 13:46","9.8","100"
"2017-11-06 13:58","10.7","96"
"2017-11-06 14:07","10.0","94"
"2017-11-06 14:26","9.9","99"
"2017-11-06 14:46","9.7","96"
"2017-11-06 15:07","9.1","99"
"2017-11-06 15:26","8.7","95"
"2017-11-06 15:46","8.0","96"
"2017-11-06 16:07","8.1","96"
"2017-11-06 16:26","7.8","100"
"2017-11-06 16:46","6.8","100"
"2017-11-06 17:07","6.4","100"
"2017-11-06 17:46","6.0","100"
"2017-11-06 17:47","5.7","99"
"2017-11-06 18:07","5.5","98"
"2017-11-06 18:26","4.8","94"
"2017-11-06 18:46","4.3","94"
"2017-11-06 19:07","4.4","94"
"2017-11-06 19:26","4.5","94"
"2017-11-06 19:46","4.6","94"
"2017-11-06 20:07","4.5","93"
"2017-11-06 20:26","4.7","95"
"2017-11-06 20:46","5.3","100"
"2017-11-06 21:07","4.5","97"
"2017-11-06 21:26","3.9","95"
"2017-11-06 21:46","3.0","90"
"2017-11-06 22:07","2.7","90"
"2017-11-06 22:26","3.0","92"
"2017-11-06 22:46","2.3","88"
"2017-11-06 23:07","2.7","91"
"2017-11-06 23:26","2.7","92"
"2017-11-06 23:46","2.7","92"
"2017-11-06 23:55","2.2","90"
"2017-11-07 00:07","2.1","90"
"2017-11-07 00:26","2.3","91"
"2017-11-07 00:46","2.3","92"
"2017-11-07 01:07","1.7","90"
"2017-11-07 01:26","1.7","91"
"2017-11-07 01:46","2.2","96"
"2017-11-07 02:07","1.6","94"
"2017-11-07 02:26","1.2","92"
"2017-11-07 02:46","0.9","91"
"2017-11-07 03:07","0.5","89"
"2017-11-07 03:26","0.8","92"
"2017-11-07 03:46","0.5","93"
"2017-11-07 04:07","0.7","97"
"2017-11-07 04:26","0.1","100"
"2017-11-07 04:46","-0.2","100"
"2017-11-07 05:07","-0.4","100"
"2017-11-07 08:46","2.3","93"
"2017-11-07 09:07","1.4","86"
"2017-11-07 09:26","1.9","85"
"2017-11-07 09:46","2.4","87"
"2017-11-07 10:07","2.5","80"
"2017-11-07 10:26","1.8","80"
"2017-11-07 10:46","2.1","76"
"2017-11-07 11:07","2.4","77"
"2017-11-07 11:26","2.0","73"
"2017-11-07 11:46","3.0","73"
"2017-11-07 12:07","3.1","76"
"2017-11-07 12:26","2.4","74"
"2017-11-07 12:46","1.8","70"
"2017-11-07 13:07","1.4","63"
"2017-11-07 13:26","1.4","62"
"2017-11-07 13:46","1.4","59"
"2017-11-07 14:07","0.9","58"
"2017-11-07 14:08","2.0","62"
"2017-11-07 14:26","1.6","58"
"2017-11-07 14:46","2.7","63"
"2017-11-07 15:07","1.5","57"
"2017-11-07 15:26","1.5","61"
"2017-11-07 15:46","1.1","64"
"2017-11-07 16:08","1.3","69"
"2017-11-07 16:26","1.9","74"
"2017-11-07 16:46","2.5","88"
"2017-11-07 17:07","2.3","93"
"2017-11-07 17:26","1.9","96"
"2017-11-07 17:46","0.5","100"
"2017-11-07 21:46","2.2","100"
"2017-11-07 22:26","2.3","100"
"2017-11-08 00:07","2.4","100"
"2017-11-08 00:26","2.4","100"
"2017-11-08 00:46","2.4","100"
"2017-11-08 01:46","2.4","100"
"2017-11-08 02:07","2.4","100"
"2017-11-08 02:46","2.6","100"
"2017-11-08 03:07","2.4","100"
"2017-11-08 03:26","2.5","99"
"2017-11-08 03:46","2.4","100"
"2017-11-08 04:02","2.7","100"
"2017-11-08 04:07","2.7","100"
"2017-11-08 04:26","3.0","100"
"2017-11-08 04:46","3.2","100"
"2017-11-08 05:07","3.1","100"
"2017-11-08 05:26","3.1","99"
"2017-11-08 05:46","2.5","93"
"2017-11-08 06:07","2.5","94"
"2017-11-08 06:26","2.7","95"
"2017-11-08 06:46","3.5","100"
"2017-11-08 07:07","3.2","100"
"2017-11-08 07:26","3.3","100"
"2017-11-08 08:47","4.4","100"
"2017-11-08 09:08","5.3","100"
"2017-11-08 10:46","8.5","100"
"2017-11-08 11:07","8.1","100"
"2017-11-08 11:26","9.3","100"
"2017-11-08 11:46","8.5","100"
"2017-11-08 12:08","8.0","96"
"2017-11-08 12:29","6.4","75"
"2017-11-08 12:46","8.9","100"
"2017-11-08 13:07","8.7","100"
"2017-11-08 13:26","8.0","100"
"2017-11-08 13:46","8.7","100"
"2017-11-08 14:07","9.4","95"
"2017-11-08 14:26","8.5","96"
"2017-11-08 14:46","8.6","91"
"2017-11-08 15:07","7.5","90"
"2017-11-08 15:26","7.3","88"
"2017-11-08 15:46","7.3","94"
"2017-11-08 16:07","7.7","96"
"2017-11-08 16:26","7.3","99"
"2017-11-08 16:46","6.5","100"
"2017-11-08 17:07","5.8","100"
"2017-11-08 17:26","5.1","100"
"2017-11-08 17:46","5.3","96"
"2017-11-08 18:07","5.5","89"
"2017-11-08 18:26","5.6","90"
"2017-11-08 18:46","5.5","92"
"2017-11-08 19:07","5.9","95"
"2017-11-08 19:26","6.0","96"
"2017-11-08 19:46","5.4","95"
"2017-11-08 19:47","5.4","96"
"2017-11-08 20:07","4.8","100"
"2017-11-08 20:26","4.5","100"
"2017-11-08 20:46","3.5","100"
"2017-11-09 09:46","7.3","100"
"2017-11-09 09:56","8.5","100"
"2017-11-09 10:06","9.1","100"
"2017-11-09 10:16","8.8","100"
"2017-11-09 10:26","9.4","100"
"2017-11-09 10:36","10.0","99"
"2017-11-09 10:46","9.2","99"
"2017-11-09 10:56","9.2","97"
"2017-11-09 11:06","9.0","97"
"2017-11-09 11:16","8.8","96"
"2017-11-09 11:26","9.3","97"
"2017-11-09 11:36","9.2","95"
"2017-11-09 11:46","9.5","95"
"2017-11-09 11:56","9.1","94"
"2017-11-09 12:06","8.9","94"
"2017-11-09 12:16","8.9","93"
"2017-11-09 12:26","9.1","95"
"2017-11-09 12:36","9.3","93"
"2017-11-09 12:46","9.0","94"
"2017-11-09 12:56","8.8","92"
"2017-11-09 13:06","8.8","90"
"2017-11-09 13:16","9.1","90"
"2017-11-09 13:26","9.1","91"
"2017-11-09 13:36","8.8","90"
"2017-11-09 13:46","8.9","91"
"2017-11-09 13:56","9.3","93"
"2017-11-09 14:06","9.4","92"
"2017-11-09 14:16","9.5","92"
"2017-11-09 14:26","9.7","93"
"2017-11-09 14:36","9.5","92"
"2017-11-09 14:46","9.7","93"
"2017-11-09 14:56","9.6","93"
"2017-11-09 15:06","9.7","94"
"2017-11-09 15:16","9.2","93"
"2017-11-09 15:26","9.2","93"
"2017-11-09 15:36","9.0","93"
"2017-11-09 15:46","9.1","93"
"2017-11-09 15:56","9.0","93"
"2017-11-09 16:06","9.0","93"
"2017-11-09 16:16","9.1","94"
"2017-11-09 16:26","9.1","94"
"2017-11-09 16:36","9.1","96"
"2017-11-09 16:46","9.1","95"
"2017-11-09 16:56","9.3","97"
"2017-11-09 17:06","9.2","97"
"2017-11-09 17:16","9.2","97"
"2017-11-09 17:26","9.2","97"
"2017-11-09 17:36","9.1","94"
"2017-11-09 17:46","8.9","93"
"2017-11-09 17:56","9.5","99"
"2017-11-09 18:06","9.4","100"
"2017-11-09 18:16","9.3","100"
"2017-11-09 23:06","1.3","100"
"2017-11-09 23:16","1.0","100"
"2017-11-09 23:26","0.9","100"
"2017-11-09 23:36","0.3","100"
"2017-11-09 23:46","-0.6","100"
"2017-11-09 23:56","-1.4","100"
"2017-11-10 00:06","-1.7","100"
"2017-11-10 00:26","-1.8","100"
"2017-11-10 00:36","-1.8","100"
"2017-11-10 00:46","-2.0","100"
"2017-11-10 00:56","-2.1","100"
"2017-11-10 01:06","-2.3","100"
"2017-11-10 01:16","-2.6","100"
"2017-11-10 01:26","-3.2","96"
"2017-11-10 01:36","-5.1","87"
"2017-11-10 01:46","-4.8","91"
"2017-11-10 01:56","-3.6","100"
"2017-11-10 02:06","-5.4","88"
"2017-11-10 02:16","-4.3","97"
"2017-11-10 02:26","-4.2","100"
"2017-11-10 02:36","-5.6","100"
"2017-11-10 02:56","-7.3","93"
"2017-11-10 03:06","-7.8","93"
"2017-11-10 03:16","-7.8","96"
"2017-11-10 03:26","-8.8","90"
"2017-11-10 03:36","-9.8","86"
"2017-11-10 03:46","-9.8","88"
"2017-11-10 03:56","-9.8","91"
"2017-11-10 04:06","-9.9","92"
"2017-11-10 04:16","-9.5","97"
"2017-11-10 04:26","-9.9","95"
"2017-11-10 04:36","-10.7","92"
"2017-11-10 04:46","-10.6","94"
"2017-11-10 04:56","-11.0","92"
"2017-11-10 05:06","-10.0","100"
"2017-11-10 05:16","-10.9","94"
"2017-11-10 05:26","-10.0","100"
"2017-11-10 05:36","-10.5","99"
"2017-11-10 05:46","-11.2","95"
"2017-11-10 05:56","-11.4","94"
"2017-11-10 06:06","-11.3","94"
"2017-11-10 06:16","-10.7","99"
"2017-11-10 06:26","-11.8","94"
"2017-11-10 06:36","-12.0","97"
"2017-11-10 06:46","-12.4","96"
"2017-11-10 06:56","-13.4","92"
"2017-11-10 07:06","-12.3","99"
"2017-11-10 07:16","-12.5","100"
