"Time EST","Air Temp (°C)"
"2017-12-01 00:06","2.5"
"2017-12-01 00:16","2.4"
"2017-12-01 00:26","2.5"
"2017-12-01 00:36","2.4"
"2017-12-01 00:46","2.5"
"2017-12-01 00:57","2.7"
"2017-12-01 01:06","2.8"
"2017-12-01 01:16","2.7"
"2017-12-01 01:26","2.6"
"2017-12-01 01:36","2.7"
"2017-12-01 01:46","2.7"
"2017-12-01 01:56","2.6"
"2017-12-01 02:06","2.6"
"2017-12-01 02:16","2.6"
"2017-12-01 02:26","2.6"
"2017-12-01 02:36","2.6"
"2017-12-01 02:46","2.6"
"2017-12-01 02:57","2.5"
"2017-12-01 03:07","2.5"
"2017-12-01 03:16","2.6"
"2017-12-01 03:36","2.5"
"2017-12-01 03:56","2.5"
"2017-12-01 04:16","2.4"
"2017-12-01 04:36","2.4"
"2017-12-01 04:57","2.3"
"2017-12-01 05:16","2.3"
"2017-12-01 05:36","2.2"
"2017-12-01 05:57","2.2"
"2017-12-01 06:16","2.1"
"2017-12-01 06:36","2.1"
"2017-12-01 06:57","2.0"
"2017-12-01 07:16","2.1"
"2017-12-01 07:36","2.0"
"2017-12-01 07:57","1.9"
"2017-12-01 08:16","2.0"
"2017-12-01 08:36","2.1"
"2017-12-01 08:57","2.3"
"2017-12-01 09:16","2.5"
"2017-12-01 09:36","2.6"
"2017-12-01 09:57","2.9"
"2017-12-01 10:16","3.1"
"2017-12-01 10:36","3.2"
"2017-12-01 10:57","3.4"
"2017-12-01 11:16","3.5"
"2017-12-01 11:36","3.8"
"2017-12-01 11:57","3.8"
"2017-12-01 12:16","3.7"
"2017-12-01 12:36","3.8"
"2017-12-01 12:57","3.8"
"2017-12-01 13:16","3.7"
"2017-12-01 13:36","3.7"
"2017-12-01 13:46","3.6"
"2017-12-01 13:57","3.7"
"2017-12-01 14:06","3.8"
"2017-12-01 14:16","3.8"
"2017-12-01 14:26","3.8"
"2017-12-01 14:36","3.8"
"2017-12-01 14:46","3.7"
"2017-12-01 14:57","3.8"
"2017-12-01 15:06","3.7"
"2017-12-01 15:16","3.7"
"2017-12-01 15:26","3.8"
"2017-12-01 15:36","3.7"
"2017-12-01 15:46","3.7"
"2017-12-01 15:57","3.6"
"2017-12-01 16:06","3.6"
"2017-12-01 16:16","3.4"
"2017-12-01 16:26","3.5"
"2017-12-01 16:36","3.5"
"2017-12-01 16:46","3.6"
"2017-12-01 16:57","3.5"
"2017-12-01 17:06","3.5"
"2017-12-01 17:16","3.0"
"2017-12-01 17:26","3.1"
"2017-12-01 17:36","3.1"
"2017-12-01 17:46","3.1"
"2017-12-01 17:57","3.0"
"2017-12-01 18:06","3.0"
"2017-12-01 18:16","3.0"
"2017-12-01 18:26","2.9"
"2017-12-01 18:36","2.9"
"2017-12-01 18:46","2.9"
"2017-12-01 18:57","3.0"
"2017-12-01 19:06","3.0"
"2017-12-01 19:16","3.0"
"2017-12-01 19:26","3.0"
"2017-12-01 19:36","2.3"
"2017-12-01 19:46","2.3"
"2017-12-01 19:57","2.4"
"2017-12-01 20:06","2.4"
"2017-12-01 20:16","2.2"
"2017-12-01 20:26","2.2"
"2017-12-01 20:36","2.1"
"2017-12-01 20:46","2.1"
"2017-12-01 20:57","2.1"
"2017-12-01 21:06","2.2"
"2017-12-01 21:16","2.1"
"2017-12-01 21:26","2.0"
"2017-12-01 21:36","1.8"
"2017-12-01 21:46","1.8"
"2017-12-01 21:56","1.8"
"2017-12-01 22:06","1.9"
"2017-12-01 22:16","1.5"
"2017-12-01 22:26","1.0"
"2017-12-01 22:36","1.1"
"2017-12-01 22:46","0.9"
"2017-12-01 22:57","0.5"
"2017-12-01 23:06","0.7"
"2017-12-01 23:16","1.1"
"2017-12-01 23:26","1.1"
"2017-12-01 23:36","1.1"
"2017-12-01 23:46","1.2"
"2017-12-01 23:57","1.3"
"2017-12-02 00:06","1.3"
"2017-12-02 00:16","1.1"
"2017-12-02 00:26","1.1"
"2017-12-02 00:36","0.9"
"2017-12-02 00:46","0.7"
"2017-12-02 00:56","0.7"
"2017-12-02 01:06","0.8"
"2017-12-02 01:16","1.0"
"2017-12-02 01:26","1.0"
"2017-12-02 01:36","1.2"
"2017-12-02 01:46","1.2"
"2017-12-02 01:57","1.1"
"2017-12-02 02:06","1.1"
"2017-12-02 02:16","1.1"
"2017-12-02 02:26","1.1"
"2017-12-02 02:36","1.3"
"2017-12-02 02:46","1.4"
"2017-12-02 02:56","1.5"
"2017-12-02 03:06","1.5"
"2017-12-02 03:16","1.4"
"2017-12-02 03:26","1.2"
"2017-12-02 03:36","0.5"
"2017-12-02 03:46","0.6"
"2017-12-02 03:56","0.8"
"2017-12-02 04:06","0.8"
"2017-12-02 04:16","0.9"
"2017-12-02 04:26","1.1"
"2017-12-02 04:36","1.0"
"2017-12-02 04:46","1.3"
"2017-12-02 04:57","0.8"
"2017-12-02 05:06","0.6"
"2017-12-02 05:16","0.1"
"2017-12-02 05:26","-0.2"
"2017-12-02 05:36","-0.1"
"2017-12-02 05:46","-0.1"
"2017-12-02 05:57","-0.4"
"2017-12-02 06:06","-0.5"
"2017-12-02 06:16","0.2"
"2017-12-02 06:26","0.1"
"2017-12-02 06:36","-0.4"
"2017-12-02 06:46","-0.4"
"2017-12-02 06:57","0.4"
"2017-12-02 07:06","0.4"
"2017-12-02 07:16","0.1"
"2017-12-02 07:26","0.0"
