"Time EST","Pressure (kPa)"
"2017-12-01 00:06","98.67"
"2017-12-01 00:16","98.66"
"2017-12-01 00:26","98.66"
"2017-12-01 00:36","98.70"
"2017-12-01 00:46","98.70"
"2017-12-01 00:57","98.71"
"2017-12-01 01:06","98.71"
"2017-12-01 01:16","98.74"
"2017-12-01 01:26","98.74"
"2017-12-01 01:36","98.77"
"2017-12-01 01:46","98.78"
"2017-12-01 01:56","98.82"
"2017-12-01 02:06","98.81"
"2017-12-01 02:16","98.87"
"2017-12-01 02:26","98.87"
"2017-12-01 02:36","98.90"
"2017-12-01 02:46","98.90"
"2017-12-01 02:57","98.92"
"2017-12-01 03:07","98.93"
"2017-12-01 03:16","98.94"
"2017-12-01 03:36","98.97"
"2017-12-01 03:56","99.00"
"2017-12-01 04:16","99.03"
"2017-12-01 04:36","99.05"
"2017-12-01 04:57","99.08"
"2017-12-01 05:16","99.11"
"2017-12-01 05:36","99.12"
"2017-12-01 05:57","99.15"
"2017-12-01 06:16","99.19"
"2017-12-01 06:36","99.23"
"2017-12-01 06:57","99.27"
"2017-12-01 07:16","99.30"
"2017-12-01 07:36","99.32"
"2017-12-01 07:57","99.35"
"2017-12-01 08:16","99.36"
"2017-12-01 08:36","99.39"
"2017-12-01 08:57","99.41"
"2017-12-01 09:16","99.42"
"2017-12-01 09:36","99.45"
"2017-12-01 09:57","99.47"
"2017-12-01 10:16","99.49"
"2017-12-01 10:36","99.50"
"2017-12-01 10:57","99.49"
"2017-12-01 11:16","99.47"
"2017-12-01 11:36","99.46"
"2017-12-01 11:57","99.47"
"2017-12-01 12:16","99.50"
"2017-12-01 12:36","99.47"
"2017-12-01 12:57","99.46"
"2017-12-01 13:16","99.48"
"2017-12-01 13:36","99.48"
"2017-12-01 13:46","99.49"
"2017-12-01 13:57","99.50"
"2017-12-01 14:06","99.51"
"2017-12-01 14:16","99.49"
"2017-12-01 14:26","99.50"
"2017-12-01 14:36","99.51"
"2017-12-01 14:46","99.52"
"2017-12-01 14:57","99.52"
"2017-12-01 15:06","99.52"
"2017-12-01 15:16","99.52"
"2017-12-01 15:26","99.51"
"2017-12-01 15:36","99.51"
"2017-12-01 15:46","99.52"
"2017-12-01 15:57","99.52"
"2017-12-01 16:06","99.53"
"2017-12-01 16:16","99.52"
"2017-12-01 16:26","99.52"
"2017-12-01 16:36","99.52"
"2017-12-01 16:46","99.52"
"2017-12-01 16:57","99.52"
"2017-12-01 17:06","99.52"
"2017-12-01 17:16","99.53"
"2017-12-01 17:26","99.55"
"2017-12-01 17:36","99.56"
"2017-12-01 17:46","99.57"
"2017-12-01 17:57","99.59"
"2017-12-01 18:06","99.58"
"2017-12-01 18:16","99.60"
"2017-12-01 18:26","99.61"
"2017-12-01 18:36","99.61"
"2017-12-01 18:46","99.63"
"2017-12-01 18:57","99.62"
"2017-12-01 19:06","99.61"
"2017-12-01 19:16","99.62"
"2017-12-01 19:26","99.62"
"2017-12-01 19:36","99.63"
"2017-12-01 19:46","99.62"
"2017-12-01 19:57","99.62"
"2017-12-01 20:06","99.61"
"2017-12-01 20:16","99.60"
"2017-12-01 20:26","99.59"
"2017-12-01 20:36","99.59"
"2017-12-01 20:46","99.58"
"2017-12-01 20:57","99.58"
"2017-12-01 21:06","99.57"
"2017-12-01 21:16","99.59"
"2017-12-01 21:26","99.59"
"2017-12-01 21:36","99.58"
"2017-12-01 21:46","99.58"
"2017-12-01 21:56","99.55"
"2017-12-01 22:06","99.55"
"2017-12-01 22:16","99.57"
"2017-12-01 22:26","99.56"
"2017-12-01 22:36","99.55"
"2017-12-01 22:46","99.56"
"2017-12-01 22:57","99.56"
"2017-12-01 23:06","99.56"
"2017-12-01 23:16","99.58"
"2017-12-01 23:26","99.57"
"2017-12-01 23:36","99.52"
"2017-12-01 23:46","99.52"
"2017-12-01 23:57","99.56"
"2017-12-02 00:06","99.56"
"2017-12-02 00:16","99.58"
"2017-12-02 00:26","99.58"
"2017-12-02 00:36","99.56"
"2017-12-02 00:46","99.56"
"2017-12-02 00:56","99.55"
"2017-12-02 01:06","99.55"
"2017-12-02 01:16","99.53"
"2017-12-02 01:26","99.53"
"2017-12-02 01:36","99.53"
"2017-12-02 01:46","99.53"
"2017-12-02 01:57","99.54"
"2017-12-02 02:06","99.54"
"2017-12-02 02:16","99.54"
"2017-12-02 02:26","99.55"
"2017-12-02 02:36","99.55"
"2017-12-02 02:46","99.54"
"2017-12-02 02:56","99.53"
"2017-12-02 03:06","99.54"
"2017-12-02 03:16","99.54"
"2017-12-02 03:26","99.53"
"2017-12-02 03:36","99.54"
"2017-12-02 03:46","99.55"
"2017-12-02 03:56","99.52"
"2017-12-02 04:06","99.52"
"2017-12-02 04:16","99.52"
"2017-12-02 04:26","99.51"
"2017-12-02 04:36","99.49"
"2017-12-02 04:46","99.51"
"2017-12-02 04:57","99.51"
"2017-12-02 05:06","99.51"
"2017-12-02 05:16","99.50"
"2017-12-02 05:26","99.48"
"2017-12-02 05:36","99.47"
"2017-12-02 05:46","99.49"
"2017-12-02 05:57","99.48"
"2017-12-02 06:06","99.49"
"2017-12-02 06:16","99.50"
"2017-12-02 06:26","99.51"
"2017-12-02 06:36","99.49"
"2017-12-02 06:46","99.50"
"2017-12-02 06:57","99.48"
"2017-12-02 07:06","99.50"
"2017-12-02 07:16","99.50"
"2017-12-02 07:26","99.48"
"2017-12-02 07:36","99.50"
"2017-12-02 07:46","99.50"
"2017-12-02 07:57","99.48"
"2017-12-02 08:06","99.48"
"2017-12-02 08:16","99.49"
"2017-12-02 08:26","99.50"
"2017-12-02 08:36","99.48"
"2017-12-02 08:46","99.48"
"2017-12-02 08:56","99.47"
"2017-12-02 09:06","99.48"
"2017-12-02 09:16","99.49"
"2017-12-02 09:26","99.49"
"2017-12-02 09:36","99.50"
"2017-12-02 09:46","99.50"
"2017-12-02 09:57","99.50"
"2017-12-02 10:06","99.50"
"2017-12-02 10:16","99.51"
"2017-12-02 10:26","99.51"
"2017-12-02 10:36","99.49"
"2017-12-02 10:46","99.48"
"2017-12-02 10:57","99.49"
"2017-12-02 11:06","99.49"
"2017-12-02 11:16","99.48"
"2017-12-02 11:26","99.47"
"2017-12-02 11:36","99.46"
"2017-12-02 11:46","99.44"
"2017-12-02 11:57","99.45"
"2017-12-02 12:06","99.44"
"2017-12-02 12:16","99.42"
"2017-12-02 12:26","99.42"
"2017-12-02 12:36","99.39"
"2017-12-02 12:46","99.37"
"2017-12-02 12:57","99.34"
"2017-12-02 13:06","99.33"
"2017-12-02 13:16","99.29"
"2017-12-02 13:26","99.29"
"2017-12-02 13:36","99.30"
"2017-12-02 13:46","99.30"
"2017-12-02 13:57","99.27"
"2017-12-02 14:06","99.28"
"2017-12-02 14:16","99.25"
"2017-12-02 14:26","99.24"
"2017-12-02 14:36","99.24"
"2017-12-02 14:46","99.23"
