"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2017-12-01 00:06","19","WNW","26"
"2017-12-01 00:16","14","WSW","19"
"2017-12-01 00:26","12","WSW","14"
"2017-12-01 00:36","8","WSW","12"
"2017-12-01 00:46","9","WSW","12"
"2017-12-01 00:57","15","W","21"
"2017-12-01 01:06","14","WSW","19"
"2017-12-01 01:16","9","WSW","12"
"2017-12-01 01:26","9","SW","12"
"2017-12-01 01:36","12","WSW","15"
"2017-12-01 01:46","9","WSW","13"
"2017-12-01 01:56","9","WSW","11"
"2017-12-01 02:06","9","WSW","13"
"2017-12-01 02:16","9","WSW","12"
"2017-12-01 02:26","10","WSW","13"
"2017-12-01 02:36","11","WSW","17"
"2017-12-01 02:46","10","WSW","13"
"2017-12-01 02:57","10","WSW","13"
"2017-12-01 03:07","11","WSW","14"
"2017-12-01 03:16","11","WSW","15"
"2017-12-01 03:36","11","WSW","14"
"2017-12-01 03:56","11","W","15"
"2017-12-01 04:16","13","WSW","17"
"2017-12-01 04:36","10","W","15"
"2017-12-01 04:57","9","W","11"
"2017-12-01 05:16","8","W","10"
"2017-12-01 05:36","8","WSW","12"
"2017-12-01 05:57","7","WSW","9"
"2017-12-01 06:16","6","WSW","8"
"2017-12-01 06:36","6","WSW","8"
"2017-12-01 06:57","7","WSW","9"
"2017-12-01 07:16","6","WSW","8"
"2017-12-01 07:36","5","WSW","7"
"2017-12-01 07:57","4","SSW","6"
"2017-12-01 08:16","6","SSW","8"
"2017-12-01 08:36","5","WSW","8"
"2017-12-01 08:57","5","WSW","8"
"2017-12-01 09:16","4","SW","5"
"2017-12-01 09:36","5","WSW","7"
"2017-12-01 09:57","6","W","8"
"2017-12-01 10:16","10","W","13"
"2017-12-01 10:36","9","W","11"
"2017-12-01 10:57","8","W","10"
"2017-12-01 11:16","9","W","11"
"2017-12-01 11:36","8","WNW","13"
"2017-12-01 11:57","15","W","20"
"2017-12-01 12:16","11","WNW","16"
"2017-12-01 12:36","6","WNW","12"
"2017-12-01 12:57","7","WNW","10"
"2017-12-01 13:16","6","WNW","8"
"2017-12-01 13:36","8","WNW","11"
"2017-12-01 13:46","11","WNW","14"
"2017-12-01 13:57","10","WNW","13"
"2017-12-01 14:06","8","W","14"
"2017-12-01 14:16","6","NW","9"
