"Time EST","Dew Point (°C)","Relative Humidity (%)"
"2018-02-01 03:06","0.0","98"
"2018-02-01 03:16","0.4","100"
"2018-02-01 03:36","0.5","100"
"2018-02-01 03:46","-1.4","87"
"2018-02-01 03:56","-1.5","86"
"2018-02-01 04:06","-1.7","85"
"2018-02-01 04:16","-1.8","85"
"2018-02-01 04:26","-2.4","81"
"2018-02-01 04:36","-4.2","71"
"2018-02-01 04:46","-7.3","57"
"2018-02-01 04:56","-10.9","43"
"2018-02-01 05:06","-17.2","25"
"2018-02-01 10:36","-12.0","34"
"2018-02-01 23:26","-8.9","93"
"2018-02-01 23:56","-8.1","100"
"2018-02-02 00:06","-8.3","100"
"2018-02-02 00:16","-8.3","100"
"2018-02-02 00:26","-8.5","99"
"2018-02-02 00:36","-8.6","99"
"2018-02-02 00:46","-8.9","98"
"2018-02-02 00:56","-9.0","97"
"2018-02-02 01:06","-8.9","97"
"2018-02-02 01:16","-9.2","96"
"2018-02-02 01:26","-9.5","95"
"2018-02-02 01:36","-9.6","95"
"2018-02-02 01:46","-9.8","94"
"2018-02-02 01:56","-10.0","93"
"2018-02-02 02:06","-9.8","94"
"2018-02-02 02:16","-10.2","92"
"2018-02-02 02:26","-10.3","92"
"2018-02-02 02:36","-10.2","92"
"2018-02-02 02:46","-10.3","92"
"2018-02-02 02:56","-10.3","91"
"2018-02-02 03:06","-10.2","91"
"2018-02-02 03:16","-10.2","91"
"2018-02-02 03:26","-10.4","91"
"2018-02-02 03:36","-10.7","89"
"2018-02-02 03:46","-11.0","88"
"2018-02-02 03:56","-11.1","87"
"2018-02-02 04:06","-11.3","86"
"2018-02-02 04:16","-11.1","88"
"2018-02-02 04:26","-11.7","85"
"2018-02-02 04:36","-11.8","85"
"2018-02-02 04:46","-12.3","83"
"2018-02-02 04:56","-12.4","84"
"2018-02-02 05:06","-12.7","82"
"2018-02-02 05:16","-13.3","79"
"2018-02-02 05:26","-13.6","78"
"2018-02-02 05:36","-14.2","75"
"2018-02-02 05:46","-14.5","74"
"2018-02-02 05:56","-15.3","70"
"2018-02-02 06:06","-14.1","78"
"2018-02-02 06:16","-16.1","67"
"2018-02-02 06:26","-15.0","73"
"2018-02-02 06:36","-15.3","73"
"2018-02-02 06:46","-16.8","64"
"2018-02-02 06:56","-18.7","56"
"2018-02-02 07:06","-18.5","56"
"2018-02-02 07:16","-18.6","56"
"2018-02-02 07:26","-17.3","63"
"2018-02-02 07:36","-20.1","50"
"2018-02-02 07:46","-40.6","7"
"2018-02-02 07:56","-30.0","21"
"2018-02-02 08:06","-22.4","41"
"2018-02-02 08:26","-21.5","44"
"2018-02-02 08:36","-22.0","43"
"2018-02-02 09:06","-22.6","40"
"2018-02-02 10:06","-34.1","14"
"2018-02-04 19:26","-28.1","10"
"2018-02-04 19:36","-18.8","22"
"2018-02-04 19:46","-13.2","35"
"2018-02-04 19:56","-9.2","48"
"2018-02-04 20:06","-6.0","61"
"2018-02-04 20:16","-3.5","75"
"2018-02-04 20:26","-1.9","86"
