"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2018-01-01 00:06","6","WNW","10"
"2018-01-01 00:16","5","WNW","8"
"2018-01-01 00:26","5","NW","7"
"2018-01-01 00:36","8","NW","9"
"2018-01-01 00:46","8","NW","9"
"2018-01-01 00:57","8","NW","11"
"2018-01-01 01:06","6","WNW","8"
"2018-01-01 01:16","7","WNW","8"
"2018-01-01 01:26","6","WNW","8"
"2018-01-01 01:36","6","WNW","8"
"2018-01-01 01:46","6","WNW","8"
"2018-01-01 01:57","5","NW","7"
"2018-01-01 02:06","5","NW","6"
"2018-01-01 02:16","5","NW","6"
"2018-01-01 02:26","4","WNW","5"
"2018-01-01 02:36","0","WNW","0"
"2018-01-01 02:46","3","WNW","3"
"2018-01-01 02:57","0","WNW","0"
"2018-01-01 03:06","1","WNW","2"
"2018-01-01 03:16","2","WNW","3"
"2018-01-01 03:26","6","SW","6"
"2018-01-01 03:36","4","SW","5"
"2018-01-01 03:46","5","SW","6"
"2018-01-01 03:57","7","SW","8"
"2018-01-01 04:06","12","SW","14"
"2018-01-01 04:16","9","SW","10"
"2018-01-01 04:26","8","WSW","9"
"2018-01-01 04:36","4","WSW","4"
"2018-01-01 04:46","2","SW","3"
"2018-01-01 04:57","2","SW","3"
"2018-01-01 05:06","0","SW","2"
"2018-01-01 05:16","6","SSW","8"
"2018-01-01 05:26","5","SSW","6"
"2018-01-01 05:36","3","SSW","4"
"2018-01-01 05:46","3","SSW","4"
"2018-01-01 05:57","2","SSW","3"
"2018-01-01 06:06","1","SSW","3"
"2018-01-01 06:16","7","WSW","8"
"2018-01-01 06:26","8","SW","9"
"2018-01-01 06:36","8","SW","9"
"2018-01-01 06:46","5","SW","6"
"2018-01-01 06:57","1","WSW","3"
"2018-01-01 07:06","4","NW","5"
"2018-01-01 07:16","0","NW","2"
"2018-01-01 07:26","0","NW","1"
"2018-01-01 07:36","4","NW","5"
"2018-01-01 07:46","3","E","4"
"2018-01-01 07:57","6","E","6"
"2018-01-01 08:06","5","E","6"
"2018-01-01 08:16","3","ESE","4"
"2018-01-01 08:26","5","ESE","7"
"2018-01-01 08:36","2","ESE","3"
"2018-01-01 08:46","4","ENE","5"
"2018-01-01 08:57","6","ENE","7"
"2018-01-01 09:06","10","ENE","12"
"2018-01-01 09:16","12","ENE","14"
"2018-01-01 09:26","10","ENE","12"
"2018-01-01 09:36","6","E","8"
"2018-01-01 09:46","4","E","6"
"2018-01-01 09:57","9","E","11"
"2018-01-01 10:06","5","E","8"
"2018-01-01 10:16","10","ESE","11"
"2018-01-01 10:26","9","ESE","11"
"2018-01-01 10:36","6","ESE","7"
"2018-01-01 10:46","5","SE","6"
"2018-01-01 10:57","4","SE","7"
"2018-01-01 11:06","5","SE","8"
"2018-01-01 11:16","5","ESE","6"
"2018-01-01 11:26","6","ESE","9"
"2018-01-01 11:36","8","ESE","10"
"2018-01-01 11:46","9","ESE","12"
"2018-01-01 11:57","9","ESE","13"
"2018-01-01 12:06","9","ESE","11"
"2018-01-01 12:16","6","E","8"
"2018-01-01 12:26","6","E","8"
"2018-01-01 12:36","8","E","10"
"2018-01-01 12:46","7","ESE","8"
"2018-01-01 12:57","5","E","7"
"2018-01-01 13:06","5","ESE","7"
"2018-01-01 13:16","6","E","8"
"2018-01-01 13:26","6","E","9"
"2018-01-01 13:36","5","E","6"
"2018-01-01 13:46","5","E","7"
"2018-01-01 13:57","7","E","9"
"2018-01-01 14:06","6","ESE","8"
"2018-01-01 14:16","5","ENE","7"
"2018-01-01 14:26","3","E","5"
"2018-01-01 14:36","6","ESE","6"
"2018-01-01 14:46","5","E","6"
"2018-01-01 14:57","5","ESE","7"
"2018-01-01 15:06","6","ESE","6"
"2018-01-01 15:16","5","ESE","6"
"2018-01-01 15:26","3","ENE","5"
"2018-01-01 15:36","9","W","14"
"2018-01-01 15:46","15","WNW","18"
"2018-01-01 15:57","24","WNW","29"
"2018-01-01 16:06","27","WNW","35"
"2018-01-01 16:16","25","WNW","32"
"2018-01-01 16:26","21","WNW","28"
"2018-01-01 16:36","23","WNW","33"
"2018-01-01 16:46","20","WNW","29"
"2018-01-01 16:57","27","WNW","37"
"2018-01-01 17:06","28","WNW","37"
"2018-01-01 17:16","25","WNW","29"
"2018-01-01 17:26","25","WNW","35"
"2018-01-01 17:36","24","WNW","31"
"2018-01-01 17:46","24","WNW","31"
"2018-01-01 17:57","22","WNW","27"
"2018-01-01 18:06","17","WNW","23"
"2018-01-01 18:16","19","WNW","24"
"2018-01-01 18:26","18","WNW","26"
"2018-01-01 18:36","19","WNW","26"
"2018-01-01 18:46","16","WNW","24"
"2018-01-01 18:57","18","WNW","27"
"2018-01-01 19:06","22","WNW","29"
"2018-01-01 19:16","16","WNW","22"
"2018-01-01 19:26","14","WNW","20"
"2018-01-01 19:36","14","WNW","21"
