"Time EST","Air Temp (°C)"
"2018-03-01 00:06","2.4"
"2018-03-01 00:16","2.4"
"2018-03-01 00:26","2.1"
"2018-03-01 00:36","2.0"
"2018-03-01 00:46","1.9"
"2018-03-01 00:56","1.6"
"2018-03-01 01:06","1.4"
"2018-03-01 01:16","1.3"
"2018-03-01 01:26","1.1"
"2018-03-01 01:36","1.0"
"2018-03-01 01:46","1.0"
"2018-03-01 01:56","0.8"
"2018-03-01 02:06","0.6"
"2018-03-01 02:16","0.4"
"2018-03-01 02:26","0.4"
"2018-03-01 02:36","0.3"
"2018-03-01 02:46","0.3"
"2018-03-01 02:56","0.2"
"2018-03-01 03:06","0.2"
"2018-03-01 03:16","0.2"
"2018-03-01 03:26","0.1"
"2018-03-01 03:36","0.3"
"2018-03-01 03:46","0.4"
"2018-03-01 03:56","0.6"
"2018-03-01 04:06","0.6"
"2018-03-01 04:16","0.5"
"2018-03-01 04:26","0.4"
"2018-03-01 04:36","0.3"
"2018-03-01 04:46","-0.1"
"2018-03-01 04:56","-0.4"
"2018-03-01 05:06","-0.4"
"2018-03-01 05:16","-0.1"
"2018-03-01 05:26","-0.1"
"2018-03-01 05:36","-0.3"
"2018-03-01 05:46","-0.4"
"2018-03-01 05:56","-0.5"
"2018-03-01 06:06","-0.4"
"2018-03-01 06:16","-0.4"
"2018-03-01 06:26","-0.4"
"2018-03-01 06:36","-0.4"
"2018-03-01 06:46","-0.3"
"2018-03-01 06:56","-0.3"
"2018-03-01 07:06","-0.3"
"2018-03-01 07:16","-0.2"
"2018-03-01 07:26","0.3"
"2018-03-01 08:26","1.0"
"2018-03-01 08:36","1.1"
"2018-03-01 08:46","1.1"
"2018-03-01 08:56","1.3"
"2018-03-01 09:06","1.5"
"2018-03-01 09:16","1.5"
"2018-03-01 09:26","1.7"
"2018-03-01 09:36","1.8"
"2018-03-01 09:46","2.2"
"2018-03-01 09:56","2.3"
"2018-03-01 10:06","2.4"
"2018-03-01 10:16","2.5"
"2018-03-01 10:26","2.5"
"2018-03-01 10:36","2.6"
"2018-03-01 10:46","2.7"
"2018-03-01 10:56","2.9"
"2018-03-01 11:06","3.2"
"2018-03-01 11:16","3.0"
"2018-03-01 11:26","3.4"
"2018-03-01 11:36","3.6"
"2018-03-01 11:46","3.7"
"2018-03-01 11:56","3.4"
"2018-03-01 12:06","3.5"
"2018-03-01 12:16","3.7"
"2018-03-01 12:26","3.8"
"2018-03-01 12:36","3.7"
"2018-03-01 12:46","3.8"
"2018-03-01 12:56","4.0"
"2018-03-01 13:06","4.2"
"2018-03-01 13:16","4.2"
"2018-03-01 13:26","4.2"
"2018-03-01 13:36","4.2"
"2018-03-01 13:46","4.4"
"2018-03-01 13:56","4.6"
"2018-03-01 14:06","4.4"
"2018-03-01 14:16","4.4"
"2018-03-01 14:26","4.5"
"2018-03-01 14:36","4.5"
"2018-03-01 14:46","4.6"
"2018-03-01 14:56","4.6"
"2018-03-01 15:06","4.7"
"2018-03-01 15:16","4.6"
"2018-03-01 15:26","4.7"
"2018-03-01 15:36","4.7"
"2018-03-01 15:46","4.6"
"2018-03-01 15:56","4.5"
"2018-03-01 16:06","4.5"
"2018-03-01 16:16","4.4"
"2018-03-01 16:26","4.3"
"2018-03-01 16:36","4.3"
"2018-03-01 16:46","4.2"
"2018-03-01 16:56","4.3"
"2018-03-01 17:06","4.2"
"2018-03-01 17:16","4.2"
"2018-03-01 17:26","4.1"
"2018-03-01 17:36","4.1"
"2018-03-01 17:46","4.0"
"2018-03-01 17:56","3.9"
"2018-03-01 18:06","3.8"
"2018-03-01 18:16","3.7"
"2018-03-01 18:26","3.6"
"2018-03-01 18:36","3.5"
"2018-03-01 18:46","3.5"
"2018-03-01 18:56","3.5"
"2018-03-01 19:06","3.3"
"2018-03-01 19:16","3.1"
"2018-03-01 19:26","3.1"
"2018-03-01 19:36","3.0"
"2018-03-01 19:46","2.8"
"2018-03-01 19:56","2.9"
"2018-03-01 20:06","2.8"
"2018-03-01 20:16","2.6"
"2018-03-01 20:26","2.5"
"2018-03-01 20:36","2.5"
"2018-03-01 20:46","2.4"
"2018-03-01 20:56","2.4"
"2018-03-01 21:06","2.3"
"2018-03-01 21:16","2.3"
"2018-03-01 21:26","2.1"
"2018-03-01 21:36","2.0"
"2018-03-01 21:46","1.9"
"2018-03-01 21:56","1.5"
"2018-03-01 22:06","1.3"
"2018-03-01 22:16","1.2"
"2018-03-01 22:26","1.1"
"2018-03-01 22:36","0.9"
"2018-03-01 22:46","0.8"
"2018-03-01 22:56","0.8"
"2018-03-01 23:06","0.7"
"2018-03-01 23:16","0.7"
"2018-03-01 23:26","0.6"
"2018-03-01 23:36","0.5"
"2018-03-01 23:46","0.5"
"2018-03-01 23:56","0.5"
"2018-03-02 00:06","0.5"
"2018-03-02 00:16","0.5"
"2018-03-02 00:26","0.5"
"2018-03-02 00:36","0.5"
"2018-03-02 00:46","0.5"
"2018-03-02 00:56","0.5"
"2018-03-02 01:06","0.4"
"2018-03-02 01:16","0.4"
"2018-03-02 01:26","0.4"
