"Time EST","Dew Point (°C)","Relative Humidity (%)"
"2018-03-10 12:46","-31.9","7"
"2018-03-10 18:06","-31.7","7"
"2018-03-10 18:16","-21.6","18"
"2018-03-10 18:26","-15.3","31"
"2018-03-10 18:36","-11.0","44"
"2018-03-10 18:46","-7.6","58"
"2018-03-10 18:56","-4.9","71"
"2018-03-10 19:06","-2.6","85"
"2018-03-10 19:16","-0.6","98"
"2018-03-10 20:16","-3.7","80"
"2018-03-10 20:26","-7.5","60"
"2018-03-11 07:36","-28.5","12"
"2018-03-11 10:06","-6.7","73"
"2018-03-11 15:16","-1.2","90"
"2018-03-11 22:16","-27.5","12"
"2018-03-11 22:26","-20.1","23"
"2018-03-11 22:36","-15.5","35"
"2018-03-11 22:46","-12.0","47"
"2018-03-11 22:56","-9.4","59"
"2018-03-11 23:06","-7.1","70"
"2018-03-11 23:16","-5.4","80"
"2018-03-11 23:26","-3.6","93"
"2018-03-11 23:36","-2.7","100"
"2018-03-12 07:26","-5.7","100"
"2018-03-12 07:36","-6.0","100"
"2018-03-12 07:46","-5.4","100"
"2018-03-12 07:56","-5.4","100"
"2018-03-12 08:06","-5.3","100"
"2018-03-12 08:16","-4.8","100"
"2018-03-12 08:26","-4.9","100"
"2018-03-12 08:36","-4.9","100"
"2018-03-12 08:46","-4.7","100"
"2018-03-12 08:56","-4.3","100"
"2018-03-12 09:06","-4.1","100"
"2018-03-12 09:16","-3.6","100"
"2018-03-12 09:26","-2.8","100"
"2018-03-12 09:36","-2.3","100"
"2018-03-12 09:46","-2.0","100"
"2018-03-12 09:56","-1.3","100"
"2018-03-12 10:06","-1.1","100"
"2018-03-12 12:36","-26.6","11"
"2018-03-12 12:46","-18.2","24"
"2018-03-12 12:56","-13.1","36"
"2018-03-12 13:06","-9.3","49"
"2018-03-12 13:16","-6.4","62"
"2018-03-12 13:26","-4.0","74"
"2018-03-12 13:36","-1.9","87"
"2018-03-12 13:46","0.2","99"
"2018-03-12 13:56","0.3","100"
"2018-03-12 14:06","0.6","100"
"2018-03-12 14:16","0.6","100"
"2018-03-12 14:26","0.8","100"
"2018-03-12 14:36","0.8","100"
"2018-03-12 14:46","0.5","100"
"2018-03-12 17:16","-6.1","63"
"2018-03-13 14:56","-5.3","64"
"2018-03-13 15:06","-5.5","62"
"2018-03-13 15:16","-6.3","59"
"2018-03-13 15:26","-6.8","56"
"2018-03-13 15:36","-7.6","53"
"2018-03-13 15:46","-10.0","44"
"2018-03-13 15:56","-16.9","25"
"2018-03-13 16:06","-25.1","13"
"2018-03-13 16:16","-32.4","6"
"2018-03-13 18:06","-31.6","7"
"2018-03-13 18:16","-21.2","18"
"2018-03-13 18:26","-14.6","31"
"2018-03-13 18:36","-10.1","45"
"2018-03-13 18:46","-6.7","59"
"2018-03-13 18:56","-3.9","72"
"2018-03-13 19:06","-1.7","86"
"2018-03-13 19:16","0.3","100"
"2018-03-13 20:26","-4.2","72"
"2018-03-14 01:06","-35.7","5"
"2018-03-14 01:16","-26.1","13"
"2018-03-14 01:26","-18.5","25"
"2018-03-14 01:36","-13.8","37"
"2018-03-14 01:46","-10.1","50"
"2018-03-14 02:16","-26.2","13"
"2018-03-14 02:26","-18.4","25"
"2018-03-14 02:36","-13.4","38"
"2018-03-14 02:46","-9.8","51"
"2018-03-14 02:56","-6.9","64"
"2018-03-14 03:06","-4.3","78"
"2018-03-14 03:16","-2.4","90"
"2018-03-14 03:26","-0.9","100"
"2018-03-14 18:36","-25.8","13"
"2018-03-15 16:16","-27.0","9"
"2018-03-15 16:26","-16.5","22"
"2018-03-15 16:36","-10.2","37"
"2018-03-15 16:46","-6.3","52"
"2018-03-15 16:56","-2.6","69"
"2018-03-15 17:06","0.0","84"
"2018-03-15 17:16","2.3","99"
"2018-03-15 17:36","-0.4","84"
"2018-03-15 17:56","-32.7","6"
"2018-03-15 18:06","-21.4","16"
"2018-03-15 18:16","-14.1","30"
"2018-03-15 18:26","-9.4","44"
"2018-03-15 18:36","-5.9","58"
"2018-03-15 18:46","-3.0","72"
"2018-03-15 18:56","-0.7","86"
"2018-03-15 19:06","1.3","100"
"2018-03-15 21:46","-33.0","7"
"2018-03-15 21:56","-22.9","17"
"2018-03-15 22:06","-16.6","29"
"2018-03-15 22:16","-12.3","42"
"2018-03-15 22:26","-9.1","54"
"2018-03-15 22:36","-6.4","67"
"2018-03-15 22:46","-4.3","79"
"2018-03-15 22:56","-2.4","92"
"2018-03-15 23:06","-1.3","100"
"2018-03-15 23:16","-4.2","81"
"2018-03-15 23:26","-2.3","94"
"2018-03-15 23:36","-1.5","100"
"2018-03-16 00:36","-14.0","38"
"2018-03-16 00:46","-10.6","50"
"2018-03-16 00:56","-8.0","63"
"2018-03-16 01:06","-5.7","75"
"2018-03-16 01:16","-3.8","87"
"2018-03-16 01:26","-2.2","98"
"2018-03-16 01:36","-2.0","100"
"2018-03-16 02:16","-2.3","100"
"2018-03-16 03:16","-27.8","13"
"2018-03-16 03:26","-32.7","8"
"2018-03-16 03:36","-28.7","12"
"2018-03-16 03:46","-24.6","17"
"2018-03-16 03:56","-29.7","11"
"2018-03-16 04:16","-32.6","8"
"2018-03-16 04:26","-36.8","6"
"2018-03-16 04:36","-26.0","16"
"2018-03-16 04:46","-29.5","12"
"2018-03-16 05:16","-20.8","27"
"2018-03-16 05:26","-30.8","11"
"2018-03-16 05:36","-19.0","32"
"2018-03-16 05:46","-26.9","16"
"2018-03-16 05:56","-29.1","13"
"2018-03-16 06:06","-30.8","11"
"2018-03-16 06:16","-25.4","19"
"2018-03-16 06:26","-29.6","13"
"2018-03-16 06:36","-22.9","24"
"2018-03-16 06:46","-22.3","25"
"2018-03-16 06:56","-27.5","16"
"2018-03-16 07:06","-27.2","16"
"2018-03-16 07:26","-24.8","21"
"2018-03-16 07:36","-16.9","42"
"2018-03-16 07:46","-26.1","19"
"2018-03-16 07:56","-26.8","18"
"2018-03-16 08:06","-27.9","16"
"2018-03-16 08:26","-18.0","38"
"2018-03-16 08:56","-27.5","17"
"2018-03-16 09:06","-27.8","17"
"2018-03-16 09:16","-31.0","12"
"2018-03-16 09:26","-31.3","12"
"2018-03-16 09:36","-32.2","11"
"2018-03-16 09:46","-34.6","8"
"2018-03-16 09:56","-36.0","7"
"2018-03-16 10:26","-32.7","10"
"2018-03-16 23:16","-3.6","100"
"2018-03-17 17:16","-28.0","9"
"2018-03-17 17:26","-18.1","22"
"2018-03-17 17:36","-12.5","36"
"2018-03-17 17:46","-8.5","50"
"2018-03-18 14:36","-10.3","40"
"2018-03-18 14:46","-30.8","7"
"2018-03-18 15:06","-27.9","9"
"2018-03-18 17:26","-34.3","5"
"2018-03-18 17:36","-23.5","14"
"2018-03-18 17:46","-15.6","28"
"2018-03-18 17:56","-10.5","42"
"2018-03-18 18:06","-6.9","56"
"2018-03-18 18:16","-4.0","70"
"2018-03-18 18:26","-1.5","84"
"2018-03-18 18:36","0.2","98"
"2018-03-19 11:06","-31.1","10"
"2018-03-19 16:56","-29.5","8"
"2018-03-19 17:06","-19.3","20"
"2018-03-19 17:16","-12.8","34"
"2018-03-19 17:26","-8.5","48"
"2018-03-19 17:36","-4.4","64"
"2018-03-19 17:46","-1.8","79"
"2018-03-19 17:56","0.3","94"
"2018-03-19 18:06","1.7","100"
"2018-03-19 18:46","1.3","100"
"2018-03-19 20:06","-30.3","9"
"2018-03-19 20:16","-29.9","9"
"2018-03-19 20:26","-28.5","10"
"2018-03-19 20:36","-30.1","9"
"2018-03-19 20:46","-29.1","10"
"2018-03-19 20:56","-32.6","7"
"2018-03-19 21:06","-30.9","9"
"2018-03-19 21:16","-33.3","7"
"2018-03-19 21:26","-30.6","9"
"2018-03-19 21:46","-19.6","26"
"2018-03-19 21:56","-26.5","14"
"2018-03-19 22:06","-26.0","15"
"2018-03-19 22:16","-30.5","10"
"2018-03-19 22:26","-19.3","28"
"2018-03-19 22:36","-27.0","14"
"2018-03-19 22:46","-10.9","56"
"2018-03-20 00:16","-20.8","27"
"2018-03-20 01:56","-26.4","16"
"2018-03-20 02:47","-14.4","48"
"2018-03-20 03:06","-11.2","62"
"2018-03-20 04:26","-14.8","49"
"2018-03-20 04:56","-10.4","70"
"2018-03-20 05:06","-15.9","46"
"2018-03-20 05:46","-14.2","54"
"2018-03-20 06:06","-14.8","52"
"2018-03-20 06:16","-14.9","53"
"2018-03-20 06:26","-13.2","61"
"2018-03-20 06:36","-35.5","8"
"2018-03-20 07:06","-9.7","82"
"2018-03-20 07:16","-7.7","96"
"2018-03-20 07:46","-12.9","62"
"2018-03-20 08:26","-6.1","100"
"2018-03-20 08:46","-15.7","45"
"2018-03-20 10:26","-9.0","65"
"2018-03-20 10:56","-6.7","73"
"2018-03-20 12:06","-11.6","44"
"2018-03-20 12:36","-13.9","34"
"2018-03-20 13:16","-10.1","44"
"2018-03-20 13:46","-16.6","25"
"2018-03-20 15:56","-15.8","23"
"2018-03-20 16:06","-18.1","20"
"2018-03-20 16:46","-16.2","23"
"2018-03-20 17:06","3.0","100"
"2018-03-20 18:06","-6.9","50"
"2018-03-20 18:26","-25.4","11"
"2018-03-20 18:56","-14.3","29"
"2018-03-20 19:16","0.3","92"
"2018-03-20 20:26","-15.4","30"
"2018-03-20 21:36","-11.0","47"
"2018-03-20 21:46","-25.7","14"
"2018-03-20 22:46","-6.1","74"
"2018-03-20 22:56","-1.8","100"
"2018-03-20 23:06","-1.9","100"
"2018-03-21 00:06","-18.9","27"
"2018-03-21 00:26","-29.4","11"
"2018-03-21 01:36","-8.5","68"
"2018-03-21 02:06","-18.8","30"
"2018-03-21 05:46","-4.7","100"
"2018-03-21 05:56","-25.9","17"
"2018-03-21 06:36","-33.0","9"
"2018-03-21 06:46","-13.5","51"
"2018-03-21 06:56","-13.4","51"
"2018-03-21 07:06","-13.5","50"
"2018-03-21 07:16","-13.9","48"
"2018-03-21 07:26","-14.2","47"
"2018-03-21 07:36","-12.5","54"
"2018-03-21 07:46","-14.0","47"
"2018-03-21 08:26","-11.6","56"
"2018-03-21 08:36","-17.2","35"
"2018-03-21 08:56","-7.3","75"
"2018-03-21 10:06","-30.4","9"
"2018-03-21 10:36","-7.2","67"
"2018-03-21 10:46","-20.2","23"
"2018-03-21 11:06","-30.6","9"
"2018-03-21 11:26","-9.2","54"
"2018-03-21 11:36","-1.2","96"
"2018-03-21 11:46","-2.2","87"
"2018-03-21 13:56","-6.7","53"
"2018-03-21 14:46","-5.4","55"
"2018-03-21 14:56","2.7","100"
"2018-03-21 15:16","-24.0","12"
"2018-03-21 15:36","3.4","100"
"2018-03-21 15:47","3.4","100"
"2018-03-21 16:26","3.5","100"
"2018-03-21 16:46","3.4","98"
"2018-03-21 16:56","0.0","76"
"2018-03-21 17:06","-18.0","18"
"2018-03-21 18:36","-8.3","43"
"2018-03-21 18:46","-4.1","59"
"2018-03-21 18:56","-2.5","68"
"2018-03-21 19:56","1.5","100"
"2018-03-21 20:06","-2.1","77"
"2018-03-21 20:16","0.0","91"
"2018-03-21 20:36","-17.6","23"
"2018-03-21 20:47","-12.1","37"
"2018-03-21 20:56","-8.2","51"
"2018-03-21 22:16","-6.1","63"
"2018-03-21 22:26","-2.2","85"
"2018-03-21 22:46","-25.7","13"
"2018-03-21 23:26","-0.5","100"
"2018-03-21 23:46","-9.9","50"
"2018-03-21 23:56","-7.2","62"
"2018-03-22 00:06","-16.7","29"
"2018-03-22 02:26","-18.4","27"
"2018-03-22 04:16","-16.4","33"
"2018-03-22 05:46","-8.7","64"
"2018-03-22 05:56","-26.1","15"
"2018-03-22 06:06","-8.6","65"
"2018-03-22 06:16","-3.3","99"
"2018-03-22 06:36","-3.2","100"
"2018-03-22 06:46","-3.2","100"
"2018-03-22 08:06","-11.8","50"
"2018-03-22 08:16","-8.2","66"
"2018-03-22 08:26","-6.8","72"
"2018-03-22 08:36","-13.8","41"
"2018-03-22 08:46","-10.3","54"
"2018-03-22 08:56","-7.3","67"
"2018-03-22 09:06","-6.6","71"
"2018-03-22 09:16","-1.5","100"
"2018-03-22 09:36","-12.6","41"
"2018-03-22 17:06","-5.0","50"
"2018-03-22 17:16","-1.1","67"
"2018-03-22 17:26","1.8","84"
"2018-03-22 17:36","4.0","100"
"2018-03-22 17:56","-6.2","47"
"2018-03-23 02:06","-33.5","7"
"2018-03-23 02:16","-23.1","18"
"2018-03-23 02:26","-17.5","29"
"2018-03-23 02:46","-9.5","56"
"2018-03-23 03:26","-2.4","100"
"2018-03-23 03:36","-4.3","86"
"2018-03-23 03:46","-4.9","83"
"2018-03-23 03:56","-6.0","77"
"2018-03-23 04:06","-7.0","71"
"2018-03-23 04:46","-12.2","48"
"2018-03-23 09:46","-32.1","7"
"2018-03-23 09:56","-21.8","19"
"2018-03-23 10:06","-15.3","31"
"2018-03-23 10:16","-10.7","44"
"2018-03-23 10:26","-7.0","59"
"2018-03-23 10:36","-9.6","47"
"2018-03-23 14:36","-17.0","20"
"2018-03-23 14:46","-9.9","35"
"2018-03-23 14:56","-4.5","51"
"2018-03-23 15:06","-1.1","67"
"2018-03-23 15:16","1.6","83"
"2018-03-23 15:26","4.3","98"
"2018-03-23 16:06","4.7","100"
"2018-03-23 19:36","-33.0","5"
"2018-03-23 19:46","-21.6","15"
"2018-03-23 19:56","-13.9","30"
"2018-03-23 20:06","-9.1","44"
"2018-03-23 20:16","-5.5","58"
"2018-03-23 20:26","-2.7","73"
"2018-03-23 20:36","-0.5","87"
"2018-03-23 20:46","1.3","100"
"2018-03-23 21:26","-25.0","12"
"2018-03-23 21:36","-16.3","27"
"2018-03-23 21:46","-11.7","39"
"2018-03-23 21:56","-7.6","55"
"2018-03-23 22:06","-4.7","68"
"2018-03-23 22:16","-2.4","82"
"2018-03-23 22:26","-0.3","96"
"2018-03-24 02:56","-13.3","42"
"2018-03-24 03:16","-12.7","44"
"2018-03-24 03:26","-30.2","10"
"2018-03-24 03:46","-12.9","45"
"2018-03-24 03:56","-13.2","44"
"2018-03-24 04:06","-13.3","44"
"2018-03-24 04:16","-13.5","44"
"2018-03-24 04:26","-13.8","43"
"2018-03-24 04:36","-14.1","42"
"2018-03-24 04:46","-14.0","43"
"2018-03-24 04:56","-14.1","43"
"2018-03-24 05:06","-14.1","43"
"2018-03-24 05:16","-13.9","44"
"2018-03-24 05:26","-14.0","44"
"2018-03-24 05:36","-14.4","43"
"2018-03-24 05:46","-13.8","45"
"2018-03-24 05:56","-13.8","46"
"2018-03-24 06:06","-14.0","45"
"2018-03-24 06:16","-13.9","46"
"2018-03-24 06:26","-14.0","45"
"2018-03-24 06:36","-14.1","46"
"2018-03-24 06:46","-14.1","46"
"2018-03-24 06:56","-13.7","48"
"2018-03-24 07:06","-13.8","48"
"2018-03-24 07:16","-13.9","47"
"2018-03-24 07:46","-13.6","48"
"2018-03-24 07:56","-13.6","47"
"2018-03-24 08:06","-13.4","48"
"2018-03-24 08:16","-13.9","46"
"2018-03-24 08:26","-13.7","46"
"2018-03-24 08:36","-13.7","45"
"2018-03-24 08:46","-14.2","44"
"2018-03-24 08:56","-14.2","44"
"2018-03-24 09:06","-13.7","46"
"2018-03-24 09:16","-14.3","43"
"2018-03-24 09:26","-14.0","44"
"2018-03-24 09:36","-14.0","43"
"2018-03-24 09:46","-14.2","42"
"2018-03-24 09:56","-14.3","42"
"2018-03-24 10:06","-14.2","42"
"2018-03-24 10:16","-14.2","42"
"2018-03-24 10:26","-14.3","41"
"2018-03-24 10:36","-14.6","39"
"2018-03-24 10:46","-14.8","39"
"2018-03-24 10:56","-14.3","40"
"2018-03-24 11:07","-14.3","40"
"2018-03-24 11:16","-14.3","38"
"2018-03-24 11:26","-14.0","39"
"2018-03-24 11:36","-14.6","35"
"2018-03-24 11:46","-14.3","37"
"2018-03-24 11:56","-14.6","35"
"2018-03-24 12:06","-14.8","35"
"2018-03-24 12:16","-14.6","35"
"2018-03-24 12:26","-14.8","35"
"2018-03-24 12:36","-15.2","33"
"2018-03-24 12:46","-15.3","33"
"2018-03-24 12:56","-14.8","35"
"2018-03-24 13:06","-14.8","34"
"2018-03-24 13:16","-15.0","32"
"2018-03-24 13:26","-15.9","30"
"2018-03-24 13:36","-15.6","30"
"2018-03-24 13:46","-15.3","31"
"2018-03-24 13:56","-14.7","32"
"2018-03-24 14:06","-15.2","31"
"2018-03-24 14:16","-15.6","29"
"2018-03-24 14:26","-15.6","30"
"2018-03-24 14:36","-17.0","26"
"2018-03-24 14:46","-17.0","25"
"2018-03-24 14:56","-17.8","23"
"2018-03-24 15:06","-17.9","23"
"2018-03-24 15:16","-17.6","24"
"2018-03-24 15:26","-18.4","22"
"2018-03-24 15:36","-16.5","25"
"2018-03-24 15:46","-17.1","25"
"2018-03-24 15:56","-18.1","21"
"2018-03-24 16:06","-18.8","21"
"2018-03-24 16:16","-19.3","20"
"2018-03-24 16:26","-18.3","22"
"2018-03-24 16:36","-18.6","21"
"2018-03-24 16:46","-19.2","20"
"2018-03-24 16:56","-18.5","21"
"2018-03-24 17:06","-19.2","20"
"2018-03-24 17:16","-18.5","21"
"2018-03-24 17:26","-18.7","21"
"2018-03-24 17:36","-19.4","20"
"2018-03-24 17:46","-19.0","21"
"2018-03-24 17:56","-18.7","22"
"2018-03-24 18:06","-19.3","21"
"2018-03-24 18:16","-19.5","21"
"2018-03-24 18:26","-19.4","21"
"2018-03-24 18:36","-19.7","21"
"2018-03-24 18:46","-18.7","23"
"2018-03-24 18:56","-19.2","22"
"2018-03-24 19:06","-19.1","23"
"2018-03-24 19:16","-19.0","23"
"2018-03-24 19:26","-18.5","25"
