"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2018-03-01 00:06","9","N","12"
"2018-03-01 00:16","9","N","14"
"2018-03-01 00:26","12","NNW","18"
"2018-03-01 00:36","11","N","15"
"2018-03-01 00:46","5","NNE","10"
"2018-03-01 00:56","4","N","8"
"2018-03-01 01:06","5","N","8"
"2018-03-01 01:16","6","NNW","8"
"2018-03-01 01:26","4","NNW","6"
"2018-03-01 01:36","6","NNW","8"
"2018-03-01 01:46","8","NNW","9"
"2018-03-01 01:56","8","NNW","9"
"2018-03-01 02:06","5","N","8"
"2018-03-01 02:16","4","N","7"
"2018-03-01 02:26","4","NNE","8"
"2018-03-01 02:36","4","N","8"
"2018-03-01 02:46","7","NNE","13"
"2018-03-01 02:56","5","N","8"
"2018-03-01 03:06","5","N","10"
"2018-03-01 03:16","4","N","8"
"2018-03-01 03:26","2","NNE","5"
"2018-03-01 03:36","6","N","10"
"2018-03-01 03:46","7","NNE","13"
"2018-03-01 03:56","14","NNE","17"
"2018-03-01 04:06","10","NNE","15"
"2018-03-01 04:16","14","NNE","19"
"2018-03-01 04:26","15","NNE","19"
"2018-03-01 04:36","12","NNE","14"
"2018-03-01 04:46","10","NE","11"
"2018-03-01 04:56","9","NE","11"
"2018-03-01 05:06","6","ENE","8"
"2018-03-01 05:16","4","E","5"
"2018-03-01 05:26","4","ESE","4"
"2018-03-01 05:36","2","E","3"
"2018-03-01 05:46","2","ESE","3"
"2018-03-01 05:56","2","SE","3"
"2018-03-01 06:06","3","NE","4"
"2018-03-01 06:16","3","ENE","4"
"2018-03-01 06:26","2","E","3"
"2018-03-01 06:36","1","E","3"
"2018-03-01 06:46","4","E","5"
"2018-03-01 06:56","4","ENE","5"
"2018-03-01 07:06","5","ENE","5"
"2018-03-01 07:16","4","E","5"
"2018-03-01 07:26","1","E","2"
"2018-03-01 08:26","7","NE","10"
"2018-03-01 08:36","13","NE","19"
"2018-03-01 08:46","15","ENE","19"
"2018-03-01 08:56","13","ENE","17"
"2018-03-01 09:06","17","ENE","24"
"2018-03-01 09:16","18","ENE","22"
"2018-03-01 09:26","21","NE","25"
"2018-03-01 09:36","18","ENE","21"
"2018-03-01 09:46","16","NE","22"
"2018-03-01 09:56","16","ENE","22"
"2018-03-01 10:06","17","ENE","20"
"2018-03-01 10:16","12","E","16"
"2018-03-01 10:26","12","E","17"
"2018-03-01 10:36","15","ENE","22"
"2018-03-01 10:46","14","ENE","23"
"2018-03-01 10:56","18","ENE","22"
"2018-03-01 11:06","13","ENE","20"
"2018-03-01 11:16","19","ENE","25"
"2018-03-01 11:26","11","ENE","15"
"2018-03-01 11:36","14","ESE","18"
"2018-03-01 11:46","15","E","21"
"2018-03-01 11:56","19","ENE","24"
"2018-03-01 12:06","13","E","18"
"2018-03-01 12:16","10","E","20"
"2018-03-01 12:26","17","NE","22"
"2018-03-01 12:36","19","ENE","25"
"2018-03-01 12:46","16","ENE","21"
"2018-03-01 12:56","11","E","15"
"2018-03-01 13:06","12","E","15"
"2018-03-01 13:16","12","E","15"
"2018-03-01 13:26","20","E","25"
"2018-03-01 13:36","17","NE","20"
"2018-03-01 13:46","17","ENE","21"
"2018-03-01 13:56","21","ENE","27"
"2018-03-01 14:06","22","ENE","27"
"2018-03-01 14:16","21","E","28"
"2018-03-01 14:26","25","ENE","33"
"2018-03-01 14:36","19","ENE","26"
"2018-03-01 14:46","24","ENE","31"
"2018-03-01 14:56","25","ENE","34"
"2018-03-01 15:06","21","ENE","28"
"2018-03-01 15:16","24","ENE","28"
"2018-03-01 15:26","21","ENE","26"
"2018-03-01 15:36","17","E","22"
"2018-03-01 15:46","16","E","20"
"2018-03-01 15:56","13","E","18"
"2018-03-01 16:06","19","E","25"
"2018-03-01 16:16","15","ENE","18"
"2018-03-01 16:26","15","E","22"
"2018-03-01 16:36","14","E","19"
"2018-03-01 16:46","18","E","23"
"2018-03-01 16:56","21","ENE","26"
"2018-03-01 17:06","16","ENE","20"
"2018-03-01 17:16","19","ENE","27"
"2018-03-01 17:26","16","ENE","24"
"2018-03-01 17:36","15","ENE","22"
"2018-03-01 17:46","14","ENE","18"
"2018-03-01 17:56","13","ENE","16"
"2018-03-01 18:06","17","ENE","22"
"2018-03-01 18:16","11","ENE","17"
"2018-03-01 18:26","13","ENE","17"
"2018-03-01 18:36","13","E","21"
"2018-03-01 18:46","14","ENE","17"
"2018-03-01 18:56","15","ENE","19"
"2018-03-01 19:06","16","ENE","20"
"2018-03-01 19:16","14","NE","17"
"2018-03-01 19:26","18","ENE","22"
"2018-03-01 19:36","18","NE","22"
"2018-03-01 19:46","22","NE","28"
"2018-03-01 19:56","21","NE","28"
"2018-03-01 20:06","24","NE","29"
"2018-03-01 20:16","23","NE","30"
"2018-03-01 20:26","19","NE","28"
"2018-03-01 20:36","26","NE","33"
"2018-03-01 20:46","22","NE","27"
"2018-03-01 20:56","26","NE","33"
"2018-03-01 21:06","27","NE","36"
"2018-03-01 21:16","22","NE","29"
"2018-03-01 21:26","21","NE","28"
"2018-03-01 21:36","18","NE","26"
"2018-03-01 21:46","25","NE","35"
"2018-03-01 21:56","36","NE","44"
"2018-03-01 22:06","30","NE","37"
"2018-03-01 22:16","28","NE","39"
"2018-03-01 22:26","19","NE","24"
"2018-03-01 22:36","24","NE","30"
"2018-03-01 22:46","27","NE","36"
"2018-03-01 22:56","28","NE","36"
"2018-03-01 23:06","22","NE","28"
"2018-03-01 23:16","25","NE","28"
"2018-03-01 23:26","24","NE","32"
"2018-03-01 23:36","24","NE","33"
"2018-03-01 23:46","21","NE","29"
"2018-03-01 23:56","20","NE","24"
"2018-03-02 00:06","25","NE","33"
"2018-03-02 00:16","21","NE","30"
"2018-03-02 00:26","23","NE","32"
"2018-03-02 00:36","27","NE","32"
"2018-03-02 00:46","18","NE","27"
"2018-03-02 00:56","24","NE","30"
"2018-03-02 01:06","19","NE","26"
"2018-03-02 01:16","29","NE","40"
"2018-03-02 01:26","28","NE","36"
"2018-03-02 01:36","25","NE","33"
"2018-03-02 01:46","21","NE","27"
"2018-03-02 01:56","27","NNE","35"
"2018-03-02 02:06","19","NNE","26"
"2018-03-02 02:16","27","NNE","31"
"2018-03-02 02:26","33","NNE","41"
"2018-03-02 02:36","26","NNE","33"
"2018-03-02 02:46","22","NNE","30"
"2018-03-02 02:56","30","NNE","36"
"2018-03-02 03:06","32","NNE","40"
"2018-03-02 03:16","32","NNE","46"
"2018-03-02 03:26","29","NNE","38"
"2018-03-02 03:36","23","NNE","32"
"2018-03-02 03:46","28","NNE","44"
"2018-03-02 03:56","16","NNE","23"
"2018-03-02 04:06","21","NNE","35"
"2018-03-02 04:16","14","NNE","25"
"2018-03-02 04:26","11","NNE","17"
"2018-03-02 04:36","15","NNE","22"
"2018-03-02 04:46","12","NNE","16"
"2018-03-02 04:56","14","N","20"
"2018-03-02 05:06","14","N","20"
"2018-03-02 05:16","14","N","19"
"2018-03-02 05:26","9","N","18"
"2018-03-02 05:36","13","N","20"
"2018-03-02 05:46","12","N","22"
"2018-03-02 05:56","13","N","19"
"2018-03-02 06:06","14","N","25"
"2018-03-02 06:16","14","NNE","26"
"2018-03-02 06:26","11","N","19"
"2018-03-02 06:36","12","N","19"
"2018-03-02 06:46","13","N","22"
"2018-03-02 06:56","14","NNE","26"
"2018-03-02 07:06","12","N","18"
"2018-03-02 07:16","16","N","26"
"2018-03-02 07:26","13","N","18"
"2018-03-02 07:36","18","N","30"
"2018-03-02 07:46","10","N","19"
"2018-03-02 07:56","15","N","24"
"2018-03-02 08:06","13","N","22"
"2018-03-02 08:16","14","N","18"
"2018-03-02 08:26","19","N","31"
"2018-03-02 08:36","14","N","22"
"2018-03-02 08:46","14","N","19"
"2018-03-02 08:56","14","N","24"
"2018-03-02 09:06","15","N","21"
"2018-03-02 09:16","18","N","28"
"2018-03-02 09:26","20","N","31"
"2018-03-02 09:36","19","N","29"
"2018-03-02 09:46","18","N","31"
"2018-03-02 09:56","17","NNW","24"
"2018-03-02 10:06","16","N","25"
"2018-03-02 10:16","23","N","33"
"2018-03-02 10:26","12","N","18"
"2018-03-02 10:36","14","N","21"
"2018-03-02 10:46","22","N","32"
"2018-03-02 10:56","9","N","15"
"2018-03-02 11:06","16","N","22"
"2018-03-02 11:16","13","N","19"
"2018-03-02 11:26","14","N","21"
"2018-03-02 11:36","15","N","22"
"2018-03-02 11:46","18","NNW","26"
"2018-03-02 11:56","20","N","32"
"2018-03-02 12:06","16","N","22"
"2018-03-02 12:16","23","NNW","36"
"2018-03-02 12:26","21","N","29"
"2018-03-02 12:36","15","N","23"
"2018-03-02 12:46","16","NNW","23"
"2018-03-02 12:56","21","N","30"
"2018-03-02 13:06","19","N","27"
"2018-03-02 13:16","17","N","27"
"2018-03-02 13:26","23","NNW","33"
"2018-03-02 13:36","15","NNW","22"
"2018-03-02 13:46","18","NNW","30"
"2018-03-02 13:56","20","NNW","27"
"2018-03-02 14:06","23","NNW","35"
"2018-03-02 14:16","16","N","25"
"2018-03-02 14:26","22","NNW","32"
"2018-03-02 14:36","19","NNW","26"
"2018-03-02 14:46","14","NNW","19"
"2018-03-02 14:56","22","NNW","31"
"2018-03-02 15:06","21","NNW","32"
"2018-03-02 15:16","20","NNW","26"
"2018-03-02 15:26","21","N","30"
"2018-03-02 15:36","21","NNW","31"
"2018-03-02 15:46","24","NW","35"
"2018-03-02 15:56","22","NNW","31"
"2018-03-02 16:06","21","NNW","33"
"2018-03-02 16:16","20","N","28"
"2018-03-02 16:26","21","NNW","28"
"2018-03-02 16:36","17","NNW","24"
"2018-03-02 16:46","23","NNW","33"
"2018-03-02 16:56","22","NNW","32"
"2018-03-02 17:06","20","NNW","28"
"2018-03-02 17:16","23","N","29"
"2018-03-02 17:26","15","NNW","21"
"2018-03-02 17:36","20","NNW","32"
"2018-03-02 17:46","16","NNW","24"
"2018-03-02 17:56","16","N","22"
"2018-03-02 18:06","13","N","19"
"2018-03-02 18:16","10","N","16"
"2018-03-02 18:26","15","N","22"
"2018-03-02 18:36","18","N","32"
"2018-03-02 18:46","13","N","22"
"2018-03-02 18:56","9","N","13"
"2018-03-02 19:06","19","N","27"
"2018-03-02 19:16","12","N","19"
"2018-03-02 19:26","17","N","36"
"2018-03-02 19:36","11","N","22"
"2018-03-02 19:46","16","N","27"
"2018-03-02 19:56","19","N","32"
"2018-03-02 20:06","15","N","28"
"2018-03-02 20:16","17","N","27"
"2018-03-02 20:26","17","N","29"
"2018-03-02 20:36","15","NNW","24"
"2018-03-02 20:46","14","N","17"
"2018-03-02 20:56","15","N","26"
"2018-03-02 21:06","15","NNW","23"
"2018-03-02 21:16","17","N","27"
"2018-03-02 21:26","11","N","16"
"2018-03-02 21:36","13","N","19"
"2018-03-02 21:46","15","N","22"
"2018-03-02 21:56","12","NNW","17"
"2018-03-02 22:06","15","NNW","20"
"2018-03-02 22:16","11","NNW","17"
"2018-03-02 22:26","13","N","23"
"2018-03-02 22:36","10","NNW","14"
"2018-03-02 22:46","8","N","13"
"2018-03-02 22:56","11","N","17"
"2018-03-02 23:06","10","NNW","17"
"2018-03-02 23:16","10","NNW","12"
"2018-03-02 23:26","9","NNW","14"
"2018-03-02 23:36","10","NNW","15"
"2018-03-02 23:46","11","NNW","16"
"2018-03-02 23:56","10","NNW","16"
"2018-03-03 00:06","10","NNW","17"
"2018-03-03 00:16","9","NNW","14"
"2018-03-03 00:26","12","NNW","15"
"2018-03-03 00:36","9","NNW","15"
"2018-03-03 00:46","9","NNW","15"
"2018-03-03 00:56","13","NNW","18"
"2018-03-03 01:06","10","NNW","14"
"2018-03-03 01:16","8","NW","10"
"2018-03-03 01:26","9","NW","12"
"2018-03-03 01:36","8","NW","11"
"2018-03-03 01:46","10","NW","13"
"2018-03-03 01:56","11","NNW","14"
"2018-03-03 02:06","12","NW","15"
"2018-03-03 02:16","14","NW","18"
"2018-03-03 02:26","12","NNW","15"
"2018-03-03 02:36","13","NW","19"
"2018-03-03 02:46","11","NW","15"
"2018-03-03 02:56","11","NNW","17"
"2018-03-03 03:06","10","NNW","14"
"2018-03-03 03:16","10","NNW","14"
"2018-03-03 03:26","10","NNW","13"
"2018-03-03 03:36","10","NNW","14"
"2018-03-03 03:46","9","NNW","12"
"2018-03-03 03:56","10","NW","13"
"2018-03-03 04:06","11","NW","14"
"2018-03-03 04:16","10","NW","14"
"2018-03-03 04:26","12","NW","17"
"2018-03-03 04:36","12","NNW","15"
"2018-03-03 04:46","11","NNW","13"
"2018-03-03 04:56","10","NNW","14"
"2018-03-03 05:06","10","NNW","14"
"2018-03-03 05:16","12","NNW","18"
"2018-03-03 05:26","12","NNW","16"
"2018-03-03 05:36","9","NNW","13"
"2018-03-03 05:46","10","NNW","15"
"2018-03-03 05:56","10","NNW","15"
"2018-03-03 06:06","10","NNW","13"
"2018-03-03 06:16","10","NNW","15"
"2018-03-03 06:26","9","NNW","13"
"2018-03-03 06:36","12","NNW","16"
"2018-03-03 06:46","11","NNW","17"
"2018-03-03 06:56","12","NW","15"
"2018-03-03 07:06","10","NNW","15"
"2018-03-03 07:16","11","NNW","18"
"2018-03-03 07:26","13","NW","17"
"2018-03-03 07:36","10","NNW","14"
"2018-03-03 07:46","11","NNW","14"
"2018-03-03 07:56","10","NW","14"
"2018-03-03 08:06","12","NNW","17"
"2018-03-03 08:16","13","NNW","17"
"2018-03-03 08:26","16","NNW","27"
"2018-03-03 08:36","13","N","18"
"2018-03-03 08:46","13","N","20"
"2018-03-03 08:56","17","N","24"
"2018-03-03 09:06","17","NNW","22"
"2018-03-03 09:16","15","N","22"
"2018-03-03 09:26","14","N","19"
