"Time EST","Air Temp (°C)"
"2017-11-01 00:06","1.8"
"2017-11-01 00:16","1.8"
"2017-11-01 00:26","1.9"
"2017-11-01 00:36","2.2"
"2017-11-01 00:46","2.2"
"2017-11-01 00:56","2.2"
"2017-11-01 01:07","2.1"
"2017-11-01 01:16","1.8"
"2017-11-01 01:26","2.2"
"2017-11-01 01:36","2.0"
"2017-11-01 01:46","2.0"
"2017-11-01 01:56","1.9"
"2017-11-01 02:06","1.9"
"2017-11-01 02:16","2.0"
"2017-11-01 02:26","2.0"
"2017-11-01 02:36","2.1"
"2017-11-01 02:46","2.2"
"2017-11-01 02:56","2.3"
"2017-11-01 03:06","2.4"
"2017-11-01 03:16","2.6"
"2017-11-01 03:26","2.7"
"2017-11-01 03:36","2.7"
"2017-11-01 03:46","2.7"
"2017-11-01 03:56","2.8"
"2017-11-01 04:06","2.8"
"2017-11-01 04:16","2.9"
"2017-11-01 04:26","2.8"
"2017-11-01 04:36","2.9"
"2017-11-01 04:46","2.9"
"2017-11-01 04:56","3.0"
"2017-11-01 05:06","3.0"
"2017-11-01 05:16","3.1"
"2017-11-01 05:26","3.1"
"2017-11-01 05:36","3.0"
"2017-11-01 05:46","3.0"
"2017-11-01 05:56","3.1"
"2017-11-01 06:06","3.0"
"2017-11-01 06:16","3.1"
"2017-11-01 06:26","3.0"
"2017-11-01 06:36","3.1"
"2017-11-01 06:46","3.1"
"2017-11-01 06:56","3.2"
"2017-11-01 07:06","3.2"
"2017-11-01 07:16","3.2"
"2017-11-01 07:26","3.2"
"2017-11-01 07:36","3.3"
"2017-11-01 07:46","3.3"
"2017-11-01 07:56","3.3"
"2017-11-01 08:06","3.2"
"2017-11-01 08:16","3.3"
"2017-11-01 08:26","3.0"
"2017-11-01 08:36","3.3"
"2017-11-01 08:46","3.5"
"2017-11-01 08:56","3.7"
"2017-11-01 09:06","3.7"
"2017-11-01 09:16","3.8"
"2017-11-01 09:26","3.8"
"2017-11-01 09:36","4.0"
"2017-11-01 09:46","4.0"
"2017-11-01 09:56","4.3"
"2017-11-01 10:06","4.4"
"2017-11-01 10:16","4.6"
"2017-11-01 10:26","4.7"
"2017-11-01 10:36","4.8"
"2017-11-01 10:46","4.8"
"2017-11-01 10:56","5.0"
"2017-11-01 11:06","5.1"
"2017-11-01 11:16","5.4"
"2017-11-01 11:26","5.3"
"2017-11-01 11:36","5.4"
"2017-11-01 11:46","5.4"
"2017-11-01 11:56","5.7"
"2017-11-01 12:06","5.6"
"2017-11-01 12:16","5.7"
"2017-11-01 12:26","5.9"
"2017-11-01 12:36","5.7"
"2017-11-01 12:46","5.8"
"2017-11-01 12:56","5.7"
"2017-11-01 13:06","5.8"
"2017-11-01 13:16","6.0"
"2017-11-01 13:26","5.8"
"2017-11-01 13:36","5.9"
"2017-11-01 13:46","6.2"
"2017-11-01 13:56","6.0"
"2017-11-01 14:06","5.9"
"2017-11-01 14:16","6.1"
"2017-11-01 14:26","5.9"
"2017-11-01 14:36","5.9"
"2017-11-01 14:46","5.8"
"2017-11-01 14:56","5.8"
"2017-11-01 15:06","5.9"
"2017-11-01 15:16","5.7"
"2017-11-01 15:26","5.8"
"2017-11-01 15:36","5.8"
"2017-11-01 15:46","5.8"
"2017-11-01 15:56","5.7"
"2017-11-01 16:06","5.6"
"2017-11-01 16:16","5.5"
"2017-11-01 16:26","5.5"
"2017-11-01 16:36","5.3"
"2017-11-01 16:46","5.3"
"2017-11-01 16:56","5.1"
"2017-11-01 17:06","4.9"
"2017-11-01 17:16","4.7"
"2017-11-01 17:26","4.6"
"2017-11-01 17:36","4.5"
"2017-11-01 17:46","4.4"
"2017-11-01 17:56","4.1"
"2017-11-01 18:06","4.0"
"2017-11-01 18:16","3.8"
"2017-11-01 18:27","3.8"
"2017-11-01 18:36","3.7"
"2017-11-01 18:46","3.6"
"2017-11-01 18:56","3.6"
"2017-11-01 19:06","3.6"
"2017-11-01 19:16","3.6"
"2017-11-01 19:26","3.6"
"2017-11-01 19:36","3.6"
"2017-11-01 19:47","3.6"
"2017-11-01 19:56","3.6"
"2017-11-01 20:06","3.5"
"2017-11-01 20:16","3.6"
"2017-11-01 20:26","3.6"
"2017-11-01 20:36","3.6"
"2017-11-01 20:46","3.6"
"2017-11-01 20:56","3.5"
"2017-11-01 21:06","3.5"
"2017-11-01 21:16","3.5"
"2017-11-01 21:26","3.6"
"2017-11-01 21:36","3.6"
"2017-11-01 21:46","3.6"
"2017-11-01 21:56","3.6"
"2017-11-01 22:06","3.7"
"2017-11-01 22:16","3.8"
"2017-11-01 22:26","3.8"
"2017-11-01 22:36","3.8"
"2017-11-01 22:46","3.8"
"2017-11-01 22:56","3.9"
"2017-11-01 23:06","3.8"
"2017-11-01 23:16","3.9"
"2017-11-01 23:26","3.9"
"2017-11-01 23:36","3.9"
"2017-11-01 23:46","3.9"
"2017-11-01 23:56","3.9"
"2017-11-02 00:06","3.9"
"2017-11-02 00:16","4.1"
"2017-11-02 00:26","4.1"
"2017-11-02 00:36","4.1"
"2017-11-02 00:46","4.1"
"2017-11-02 00:56","4.2"
"2017-11-02 01:06","4.2"
"2017-11-02 01:16","4.3"
"2017-11-02 01:26","4.3"
"2017-11-02 01:36","4.4"
"2017-11-02 01:46","4.4"
"2017-11-02 01:56","4.3"
"2017-11-02 02:06","4.4"
"2017-11-02 02:16","4.4"
"2017-11-02 02:26","4.4"
"2017-11-02 02:36","4.4"
"2017-11-02 02:46","4.4"
"2017-11-02 02:56","4.4"
"2017-11-02 03:06","4.4"
"2017-11-02 03:16","4.4"
"2017-11-02 03:26","4.5"
"2017-11-02 03:36","4.5"
"2017-11-02 03:46","4.5"
"2017-11-02 03:56","4.5"
"2017-11-02 04:06","4.5"
"2017-11-02 04:16","4.6"
"2017-11-02 04:26","4.6"
"2017-11-02 04:36","4.7"
"2017-11-02 04:46","4.7"
"2017-11-02 04:56","4.7"
"2017-11-02 05:06","4.8"
"2017-11-02 05:16","4.8"
"2017-11-02 05:26","4.8"
"2017-11-02 05:36","4.9"
"2017-11-02 05:46","4.9"
"2017-11-02 05:56","4.9"
"2017-11-02 06:06","5.0"
"2017-11-02 06:16","4.9"
"2017-11-02 06:26","4.9"
"2017-11-02 06:36","4.9"
"2017-11-02 06:46","4.9"
"2017-11-02 06:56","4.9"
"2017-11-02 07:06","4.9"
"2017-11-02 07:16","5.0"
"2017-11-02 07:26","5.2"
"2017-11-02 07:36","5.3"
"2017-11-02 07:46","5.3"
"2017-11-02 07:56","5.5"
"2017-11-02 08:06","5.5"
"2017-11-02 08:16","5.5"
"2017-11-02 08:26","5.5"
