"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2017-11-01 00:06","5","SSW","7"
"2017-11-01 00:16","5","SSW","7"
"2017-11-01 00:26","5","SW","6"
"2017-11-01 00:36","4","WSW","5"
"2017-11-01 00:46","6","W","8"
"2017-11-01 00:56","4","WSW","5"
"2017-11-01 01:07","4","SW","5"
"2017-11-01 01:16","5","WSW","6"
"2017-11-01 01:26","6","W","8"
"2017-11-01 01:36","3","SW","4"
"2017-11-01 01:46","3","SW","4"
"2017-11-01 01:56","6","S","8"
"2017-11-01 02:06","5","SSW","7"
"2017-11-01 02:16","4","SW","6"
"2017-11-01 02:26","3","S","4"
"2017-11-01 02:36","5","SSW","8"
"2017-11-01 02:46","6","S","8"
"2017-11-01 02:56","3","SSW","5"
"2017-11-01 03:06","4","S","5"
"2017-11-01 03:16","4","S","6"
"2017-11-01 03:26","3","S","6"
"2017-11-01 03:36","7","SSW","9"
"2017-11-01 03:46","6","S","8"
"2017-11-01 03:56","7","SSW","10"
"2017-11-01 04:06","7","S","12"
"2017-11-01 04:16","7","SSW","9"
"2017-11-01 04:26","7","SSW","9"
"2017-11-01 04:36","8","S","10"
"2017-11-01 04:46","9","S","13"
"2017-11-01 04:56","6","S","9"
"2017-11-01 05:06","7","S","9"
"2017-11-01 05:16","6","SSW","9"
"2017-11-01 05:26","5","SSW","7"
"2017-11-01 05:36","5","SSW","7"
"2017-11-01 05:46","8","SW","9"
"2017-11-01 05:56","5","SSW","6"
"2017-11-01 06:06","6","SSW","8"
"2017-11-01 06:16","5","SW","6"
"2017-11-01 06:26","4","SSW","5"
"2017-11-01 06:36","5","SSW","6"
"2017-11-01 06:46","7","SSW","10"
"2017-11-01 06:56","6","SSW","8"
"2017-11-01 07:06","6","S","8"
"2017-11-01 07:16","4","S","5"
"2017-11-01 07:26","4","S","6"
"2017-11-01 07:36","0","SW","3"
"2017-11-01 07:46","5","WNW","6"
"2017-11-01 07:56","0","SSW","0"
"2017-11-01 08:06","0","SSW","0"
"2017-11-01 08:16","4","SSE","6"
"2017-11-01 08:26","8","SE","8"
"2017-11-01 08:36","8","SSE","10"
"2017-11-01 08:46","9","SSE","12"
"2017-11-01 08:56","9","SSE","13"
"2017-11-01 09:06","10","SSE","13"
"2017-11-01 09:16","10","SSE","14"
"2017-11-01 09:26","9","SSE","11"
"2017-11-01 09:36","9","SSE","12"
"2017-11-01 09:46","8","S","11"
"2017-11-01 09:56","9","S","12"
"2017-11-01 10:06","9","S","11"
"2017-11-01 10:16","10","S","13"
"2017-11-01 10:26","8","SSE","12"
"2017-11-01 10:36","9","S","12"
"2017-11-01 10:46","7","S","10"
"2017-11-01 10:56","12","S","16"
"2017-11-01 11:06","11","S","15"
"2017-11-01 11:16","9","SSW","11"
"2017-11-01 11:26","13","SSW","17"
"2017-11-01 11:36","11","SSW","13"
"2017-11-01 11:46","12","S","14"
"2017-11-01 11:56","11","SSW","16"
"2017-11-01 12:06","14","S","18"
"2017-11-01 12:16","12","S","16"
"2017-11-01 12:26","13","SSW","18"
"2017-11-01 12:36","11","S","17"
"2017-11-01 12:46","11","SSW","16"
"2017-11-01 12:56","12","S","14"
"2017-11-01 13:06","10","SSW","15"
"2017-11-01 13:16","6","SSE","9"
"2017-11-01 13:26","9","SSE","12"
"2017-11-01 13:36","9","SSE","11"
"2017-11-01 13:46","9","S","13"
"2017-11-01 13:56","12","S","17"
"2017-11-01 14:06","12","S","15"
"2017-11-01 14:16","12","SSW","15"
"2017-11-01 14:26","14","S","18"
"2017-11-01 14:36","9","SSE","13"
"2017-11-01 14:46","12","SSE","18"
"2017-11-01 14:56","8","SSE","10"
"2017-11-01 15:06","8","S","11"
"2017-11-01 15:16","9","SE","10"
"2017-11-01 15:26","8","SSE","11"
"2017-11-01 15:36","7","SSE","10"
"2017-11-01 15:46","11","S","17"
"2017-11-01 15:56","6","SE","9"
"2017-11-01 16:06","8","SSE","12"
"2017-11-01 16:16","10","SSE","12"
"2017-11-01 16:26","11","SSE","13"
"2017-11-01 16:36","5","SSE","9"
"2017-11-01 16:46","2","S","4"
"2017-11-01 16:56","9","SSE","12"
"2017-11-01 17:06","12","SSE","16"
"2017-11-01 17:16","8","SSE","12"
"2017-11-01 17:26","8","SSE","10"
"2017-11-01 17:36","9","SE","12"
"2017-11-01 17:46","8","SE","11"
"2017-11-01 17:56","8","ESE","11"
"2017-11-01 18:06","7","E","12"
"2017-11-01 18:16","6","E","8"
"2017-11-01 18:27","7","E","10"
"2017-11-01 18:36","8","E","10"
"2017-11-01 18:46","7","E","9"
"2017-11-01 18:56","7","ENE","10"
"2017-11-01 19:06","6","ENE","8"
"2017-11-01 19:16","8","ENE","11"
"2017-11-01 19:26","10","ENE","13"
"2017-11-01 19:36","10","ENE","14"
"2017-11-01 19:47","9","ENE","12"
"2017-11-01 19:56","9","ENE","12"
"2017-11-01 20:06","11","ENE","15"
"2017-11-01 20:16","10","ENE","12"
"2017-11-01 20:26","9","ENE","12"
"2017-11-01 20:36","10","ENE","14"
"2017-11-01 20:46","9","ENE","12"
"2017-11-01 20:56","12","ENE","14"
"2017-11-01 21:06","11","ENE","14"
"2017-11-01 21:16","11","ENE","14"
"2017-11-01 21:26","11","ENE","14"
"2017-11-01 21:36","9","ENE","12"
"2017-11-01 21:46","10","ENE","13"
"2017-11-01 21:56","8","E","12"
"2017-11-01 22:06","8","ENE","10"
