"Time EST","Pressure (kPa)"
"2017-12-01 00:06","103.79"
"2017-12-01 00:16","103.79"
"2017-12-01 00:26","103.80"
"2017-12-01 00:36","103.80"
"2017-12-01 00:46","103.89"
"2017-12-01 00:57","103.82"
"2017-12-01 01:06","103.82"
"2017-12-01 01:16","103.83"
"2017-12-01 01:26","103.84"
"2017-12-01 01:36","103.85"
"2017-12-01 01:46","103.86"
"2017-12-01 01:56","103.92"
"2017-12-01 02:06","103.96"
"2017-12-01 02:16","103.89"
"2017-12-01 02:26","103.89"
"2017-12-01 02:36","103.90"
"2017-12-01 02:46","103.91"
"2017-12-01 02:57","103.91"
"2017-12-01 03:16","103.93"
"2017-12-01 03:36","103.94"
"2017-12-01 03:57","103.97"
"2017-12-01 04:16","104.00"
"2017-12-01 04:36","104.01"
"2017-12-01 04:57","104.02"
"2017-12-01 05:16","104.03"
"2017-12-01 05:36","104.04"
"2017-12-01 05:57","104.06"
"2017-12-01 06:16","104.08"
"2017-12-01 06:36","104.09"
"2017-12-01 06:57","104.11"
"2017-12-01 07:16","104.13"
"2017-12-01 07:36","104.15"
"2017-12-01 07:57","104.16"
"2017-12-01 08:16","104.17"
"2017-12-01 08:36","104.19"
"2017-12-01 08:57","104.20"
"2017-12-01 09:16","104.20"
"2017-12-01 09:36","104.22"
"2017-12-01 09:57","104.23"
"2017-12-01 10:16","104.25"
"2017-12-01 10:36","104.27"
"2017-12-01 10:57","104.25"
"2017-12-01 11:16","104.24"
"2017-12-01 11:36","104.24"
"2017-12-01 11:57","104.26"
"2017-12-01 12:16","104.24"
"2017-12-01 12:36","104.25"
"2017-12-01 12:57","104.25"
"2017-12-01 13:16","104.24"
"2017-12-01 13:36","104.24"
"2017-12-01 13:46","104.25"
"2017-12-01 13:57","104.27"
"2017-12-01 14:06","104.28"
"2017-12-01 14:16","104.27"
"2017-12-01 14:26","104.28"
"2017-12-01 14:36","104.28"
"2017-12-01 14:46","104.28"
"2017-12-01 14:57","104.34"
"2017-12-01 15:06","104.26"
"2017-12-01 15:16","104.26"
"2017-12-01 15:26","104.26"
"2017-12-01 15:36","104.36"
"2017-12-01 15:46","104.35"
"2017-12-01 15:57","104.29"
"2017-12-01 16:06","104.29"
"2017-12-01 16:16","104.29"
"2017-12-01 16:26","104.32"
"2017-12-01 16:36","104.29"
"2017-12-01 16:46","104.28"
"2017-12-01 16:57","104.30"
"2017-12-01 17:06","104.37"
"2017-12-01 17:16","104.31"
"2017-12-01 17:26","104.39"
"2017-12-01 17:36","104.31"
"2017-12-01 17:46","104.31"
"2017-12-01 17:57","104.32"
"2017-12-01 18:06","104.32"
"2017-12-01 18:16","104.40"
"2017-12-01 18:26","104.32"
"2017-12-01 18:36","104.40"
"2017-12-01 18:46","104.41"
"2017-12-01 18:57","104.35"
"2017-12-01 19:06","104.35"
"2017-12-01 19:16","104.40"
"2017-12-01 19:26","104.34"
"2017-12-01 19:36","104.35"
"2017-12-01 19:46","104.35"
"2017-12-01 19:57","104.35"
"2017-12-01 20:06","104.36"
"2017-12-01 20:16","104.39"
"2017-12-01 20:26","104.38"
"2017-12-01 20:36","104.34"
"2017-12-01 20:46","104.33"
"2017-12-01 20:57","104.40"
"2017-12-01 21:06","104.34"
"2017-12-01 21:16","104.38"
"2017-12-01 21:26","104.38"
"2017-12-01 21:36","104.32"
"2017-12-01 21:46","104.31"
"2017-12-01 21:57","104.39"
"2017-12-01 22:06","104.39"
"2017-12-01 22:16","104.30"
"2017-12-01 22:26","104.30"
"2017-12-01 22:36","104.30"
"2017-12-01 22:46","104.31"
"2017-12-01 22:57","104.31"
"2017-12-01 23:06","104.30"
"2017-12-01 23:16","104.29"
"2017-12-01 23:26","104.29"
"2017-12-01 23:36","104.29"
"2017-12-01 23:46","104.30"
"2017-12-01 23:57","104.29"
"2017-12-02 00:06","104.29"
"2017-12-02 00:16","104.29"
"2017-12-02 00:26","104.29"
"2017-12-02 00:36","104.29"
"2017-12-02 00:46","104.29"
"2017-12-02 00:56","104.30"
"2017-12-02 01:06","104.30"
"2017-12-02 01:16","104.30"
"2017-12-02 01:26","104.30"
"2017-12-02 01:36","104.30"
"2017-12-02 01:46","104.30"
"2017-12-02 01:57","104.29"
"2017-12-02 02:06","104.30"
"2017-12-02 02:16","104.30"
"2017-12-02 02:26","104.31"
"2017-12-02 02:36","104.31"
"2017-12-02 02:46","104.31"
"2017-12-02 02:57","104.30"
"2017-12-02 03:06","104.30"
"2017-12-02 03:16","104.30"
"2017-12-02 03:26","104.30"
"2017-12-02 03:36","104.30"
"2017-12-02 03:46","104.30"
"2017-12-02 03:56","104.29"
"2017-12-02 04:06","104.29"
"2017-12-02 04:16","104.29"
"2017-12-02 04:26","104.30"
"2017-12-02 04:36","104.30"
"2017-12-02 04:46","104.29"
"2017-12-02 04:57","104.29"
"2017-12-02 05:06","104.29"
"2017-12-02 05:16","104.29"
"2017-12-02 05:26","104.30"
"2017-12-02 05:36","104.28"
"2017-12-02 05:46","104.28"
"2017-12-02 05:57","104.28"
"2017-12-02 06:06","104.28"
"2017-12-02 06:16","104.28"
"2017-12-02 06:26","104.28"
"2017-12-02 06:36","104.28"
"2017-12-02 06:46","104.28"
"2017-12-02 06:57","104.29"
"2017-12-02 07:06","104.31"
"2017-12-02 07:16","104.29"
"2017-12-02 07:26","104.29"
"2017-12-02 07:36","104.29"
"2017-12-02 07:46","104.29"
"2017-12-02 07:57","104.28"
"2017-12-02 08:06","104.28"
"2017-12-02 08:16","104.28"
"2017-12-02 08:26","104.28"
"2017-12-02 08:36","104.28"
"2017-12-02 08:46","104.28"
"2017-12-02 08:57","104.28"
"2017-12-02 09:06","104.28"
"2017-12-02 09:16","104.29"
"2017-12-02 09:26","104.28"
"2017-12-02 09:36","104.28"
"2017-12-02 09:46","104.29"
"2017-12-02 09:57","104.28"
"2017-12-02 10:06","104.28"
"2017-12-02 10:16","104.29"
"2017-12-02 10:26","104.29"
"2017-12-02 10:36","104.29"
"2017-12-02 10:46","104.28"
"2017-12-02 10:57","104.27"
"2017-12-02 11:06","104.27"
"2017-12-02 11:16","104.26"
"2017-12-02 11:26","104.26"
"2017-12-02 11:36","104.26"
"2017-12-02 11:46","104.26"
"2017-12-02 11:57","104.25"
"2017-12-02 12:06","104.24"
"2017-12-02 12:16","104.24"
"2017-12-02 12:26","104.23"
"2017-12-02 12:36","104.22"
"2017-12-02 12:46","104.22"
"2017-12-02 12:57","104.21"
"2017-12-02 13:06","104.21"
"2017-12-02 13:16","104.20"
"2017-12-02 13:26","104.20"
"2017-12-02 13:36","104.18"
"2017-12-02 13:46","104.18"
"2017-12-02 13:57","104.19"
"2017-12-02 14:06","104.18"
"2017-12-02 14:16","104.18"
"2017-12-02 14:26","104.18"
"2017-12-02 14:36","104.18"
"2017-12-02 14:46","104.19"
"2017-12-02 14:57","104.17"
"2017-12-02 15:06","104.17"
"2017-12-02 15:16","104.17"
"2017-12-02 15:26","104.16"
"2017-12-02 15:36","104.17"
"2017-12-02 15:46","104.16"
"2017-12-02 15:57","104.16"
"2017-12-02 16:06","104.16"
"2017-12-02 16:16","104.15"
"2017-12-02 16:26","104.23"
"2017-12-02 16:36","104.16"
"2017-12-02 16:46","104.16"
"2017-12-02 16:57","104.24"
"2017-12-02 17:06","104.16"
"2017-12-02 17:16","104.25"
"2017-12-02 17:26","104.17"
"2017-12-02 17:36","104.17"
"2017-12-02 17:46","104.25"
"2017-12-02 17:57","104.18"
"2017-12-02 18:06","104.18"
"2017-12-02 18:16","104.19"
"2017-12-02 18:26","104.20"
"2017-12-02 18:36","104.22"
"2017-12-02 18:46","104.22"
"2017-12-02 18:57","104.18"
"2017-12-02 19:06","104.19"
"2017-12-02 19:16","104.19"
"2017-12-02 19:26","104.25"
"2017-12-02 19:36","104.26"
"2017-12-02 19:46","104.26"
