"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2017-12-01 00:06","4","SW","9"
"2017-12-01 00:16","3","SW","9"
"2017-12-01 00:26","5","WSW","9"
"2017-12-01 00:36","5","WSW","12"
"2017-12-01 00:46","5","W","12"
"2017-12-01 00:57","4","WSW","6"
"2017-12-01 01:06","3","WSW","7"
"2017-12-01 01:16","3","WSW","7"
"2017-12-01 01:26","3","SW","7"
"2017-12-01 01:36","5","WSW","9"
"2017-12-01 01:46","5","WSW","9"
"2017-12-01 01:56","5","WSW","12"
"2017-12-01 02:06","5","NW","13"
"2017-12-01 02:16","4","W","12"
"2017-12-01 02:26","3","NW","15"
"2017-12-01 02:36","5","W","9"
"2017-12-01 02:46","4","W","9"
"2017-12-01 02:57","3","W","9"
"2017-12-01 03:16","3","W","11"
"2017-12-01 03:36","4","NW","10"
"2017-12-01 03:57","5","WNW","10"
"2017-12-01 04:16","5","WNW","14"
"2017-12-01 04:36","3","NW","8"
"2017-12-01 04:57","0","NNW","4"
"2017-12-01 05:16","0","NW","5"
"2017-12-01 05:36","2","NNE","3"
"2017-12-01 05:57","2","NNE","4"
"2017-12-01 06:16","0","NNW","4"
"2017-12-01 06:36","1","NNW","2"
"2017-12-01 06:57","1","WNW","4"
"2017-12-01 07:16","1","NW","3"
"2017-12-01 07:36","2","W","6"
"2017-12-01 07:57","1","W","4"
"2017-12-01 08:16","2","W","5"
"2017-12-01 08:36","2","W","4"
"2017-12-01 08:57","4","WSW","8"
"2017-12-01 09:16","3","W","8"
"2017-12-01 09:36","7","W","12"
"2017-12-01 09:57","6","NW","12"
"2017-12-01 10:16","8","NW","10"
"2017-12-01 10:36","6","NW","13"
"2017-12-01 10:57","3","N","18"
"2017-12-01 11:16","5","NW","14"
"2017-12-01 11:36","7","N","15"
"2017-12-01 11:57","7","N","19"
"2017-12-01 12:16","6","WNW","17"
"2017-12-01 12:36","5","NW","14"
"2017-12-01 12:57","5","NW","14"
"2017-12-01 13:16","6","NW","11"
"2017-12-01 13:36","4","N","11"
"2017-12-01 13:46","8","NW","13"
"2017-12-01 13:57","4","NW","13"
"2017-12-01 14:06","9","NW","15"
"2017-12-01 14:16","4","W","11"
"2017-12-01 14:26","5","NW","12"
"2017-12-01 14:36","3","WNW","11"
"2017-12-01 14:46","10","NW","17"
"2017-12-01 14:57","4","WNW","10"
"2017-12-01 15:06","5","WNW","10"
"2017-12-01 15:16","4","W","8"
"2017-12-01 15:26","3","NNW","8"
"2017-12-01 15:36","3","NW","8"
"2017-12-01 15:46","4","WNW","9"
"2017-12-01 15:57","3","W","9"
"2017-12-01 16:06","1","NW","6"
"2017-12-01 16:16","4","WNW","6"
"2017-12-01 16:26","4","NW","8"
"2017-12-01 16:36","2","NW","5"
"2017-12-01 16:46","7","NW","9"
"2017-12-01 16:57","4","NW","8"
"2017-12-01 17:06","3","NW","9"
"2017-12-01 17:16","2","WNW","6"
"2017-12-01 17:26","3","N","5"
"2017-12-01 17:36","2","NNW","4"
"2017-12-01 17:46","1","N","4"
"2017-12-01 17:57","0","N","6"
"2017-12-01 18:06","0","N","3"
"2017-12-01 18:16","2","NNW","3"
"2017-12-01 18:26","1","N","3"
"2017-12-01 18:36","0","N","2"
"2017-12-01 18:46","1","E","3"
"2017-12-01 18:57","3","WSW","3"
"2017-12-01 19:06","0","SW","3"
"2017-12-01 19:16","0","SW","3"
"2017-12-01 19:26","0","E","3"
"2017-12-01 19:36","0","SE","0"
"2017-12-01 19:46","0","SE","0"
"2017-12-01 19:57","0","SE","0"
"2017-12-01 20:06","0","SE","0"
"2017-12-01 20:16","1","S","2"
"2017-12-01 20:26","0","SSE","2"
"2017-12-01 20:36","0","S","2"
"2017-12-01 20:46","0","S","1"
"2017-12-01 20:57","0","S","0"
"2017-12-01 21:06","0","S","0"
"2017-12-01 21:16","0","S","0"
"2017-12-01 21:26","0","SSE","0"
"2017-12-01 21:36","0","ENE","2"
"2017-12-01 21:46","0","ENE","2"
"2017-12-01 21:57","0","ENE","1"
"2017-12-01 22:06","0","ENE","1"
"2017-12-01 22:16","2","ENE","3"
"2017-12-01 22:26","2","ENE","3"
"2017-12-01 22:36","2","NE","3"
"2017-12-01 22:46","2","NE","3"
"2017-12-01 22:57","1","NE","3"
"2017-12-01 23:06","2","NE","3"
"2017-12-01 23:16","1","NE","2"
"2017-12-01 23:26","2","NE","3"
"2017-12-01 23:36","0","ENE","3"
"2017-12-01 23:46","0","ENE","0"
"2017-12-01 23:57","1","ENE","2"
"2017-12-02 00:06","0","ENE","1"
"2017-12-02 00:16","1","NE","2"
"2017-12-02 00:26","2","NE","3"
"2017-12-02 00:36","1","NE","2"
"2017-12-02 00:46","1","NE","2"
"2017-12-02 00:56","2","ENE","2"
"2017-12-02 01:06","0","ENE","2"
"2017-12-02 01:16","1","ENE","2"
"2017-12-02 01:26","0","ENE","2"
"2017-12-02 01:36","0","ENE","1"
"2017-12-02 01:46","1","ENE","1"
"2017-12-02 01:57","1","ENE","2"
"2017-12-02 02:06","0","ENE","2"
"2017-12-02 02:16","1","NE","2"
"2017-12-02 02:26","0","NE","2"
"2017-12-02 02:36","0","ENE","0"
"2017-12-02 02:46","0","ENE","0"
"2017-12-02 02:57","0","ENE","0"
"2017-12-02 03:06","0","NE","1"
"2017-12-02 03:16","0","NE","1"
"2017-12-02 03:26","1","NE","1"
"2017-12-02 03:36","0","NE","1"
"2017-12-02 03:46","1","NE","3"
"2017-12-02 03:56","2","ENE","3"
"2017-12-02 04:06","3","ENE","4"
"2017-12-02 04:16","1","ENE","2"
"2017-12-02 04:26","1","NE","3"
"2017-12-02 04:36","1","NE","1"
"2017-12-02 04:46","0","NE","2"
"2017-12-02 04:57","2","NE","3"
"2017-12-02 05:06","2","NE","3"
"2017-12-02 05:16","1","NE","2"
