"Time EST","Pressure (kPa)"
"2018-02-01 00:06","103.39"
"2018-02-01 00:16","103.39"
"2018-02-01 00:26","103.40"
"2018-02-01 00:36","103.39"
"2018-02-01 00:46","103.39"
"2018-02-01 00:56","103.39"
"2018-02-01 01:06","103.38"
"2018-02-01 01:16","103.38"
"2018-02-01 01:26","103.38"
"2018-02-01 01:36","103.37"
"2018-02-01 01:46","103.37"
"2018-02-01 01:56","103.37"
"2018-02-01 02:06","103.37"
"2018-02-01 02:16","103.36"
"2018-02-01 02:26","103.37"
"2018-02-01 02:36","103.37"
"2018-02-01 02:46","103.38"
"2018-02-01 02:56","103.37"
"2018-02-01 03:06","103.38"
"2018-02-01 03:16","103.37"
"2018-02-01 03:26","103.36"
"2018-02-01 03:36","103.36"
"2018-02-01 03:46","103.37"
"2018-02-01 03:56","103.37"
"2018-02-01 04:06","103.37"
"2018-02-01 04:16","103.37"
"2018-02-01 04:26","103.37"
"2018-02-01 04:36","103.37"
"2018-02-01 04:46","103.36"
"2018-02-01 04:56","103.35"
"2018-02-01 05:06","103.35"
"2018-02-01 05:16","103.36"
"2018-02-01 05:26","103.37"
"2018-02-01 05:36","103.36"
"2018-02-01 05:46","103.37"
"2018-02-01 05:56","103.37"
"2018-02-01 06:06","103.38"
"2018-02-01 06:16","103.37"
"2018-02-01 06:26","103.36"
"2018-02-01 06:36","103.36"
"2018-02-01 06:46","103.37"
"2018-02-01 06:56","103.35"
"2018-02-01 07:06","103.35"
"2018-02-01 07:16","103.36"
"2018-02-01 07:26","103.36"
"2018-02-01 07:36","103.35"
"2018-02-01 07:46","103.35"
"2018-02-01 07:56","103.34"
"2018-02-01 08:06","103.35"
"2018-02-01 08:16","103.35"
"2018-02-01 08:26","103.34"
"2018-02-01 08:36","103.35"
"2018-02-01 08:46","103.35"
"2018-02-01 08:56","103.35"
"2018-02-01 09:06","103.35"
"2018-02-01 09:16","103.35"
"2018-02-01 09:26","103.35"
"2018-02-01 09:36","103.35"
"2018-02-01 09:46","103.36"
"2018-02-01 09:56","103.35"
"2018-02-01 10:06","103.35"
"2018-02-01 10:16","103.35"
"2018-02-01 10:26","103.36"
"2018-02-01 10:36","103.36"
"2018-02-01 10:46","103.35"
"2018-02-01 10:56","103.35"
"2018-02-01 11:06","103.34"
"2018-02-01 11:16","103.34"
"2018-02-01 11:26","103.34"
"2018-02-01 11:36","103.32"
"2018-02-01 11:46","103.31"
"2018-02-01 11:56","103.31"
"2018-02-01 12:06","103.31"
"2018-02-01 12:16","103.29"
"2018-02-01 12:26","103.29"
"2018-02-01 12:36","103.29"
"2018-02-01 12:46","103.28"
"2018-02-01 12:56","103.26"
"2018-02-01 13:06","103.27"
"2018-02-01 13:16","103.26"
"2018-02-01 13:26","103.25"
"2018-02-01 13:36","103.25"
"2018-02-01 13:46","103.25"
"2018-02-01 13:56","103.28"
"2018-02-01 14:06","103.25"
"2018-02-01 14:16","103.24"
"2018-02-01 14:26","103.25"
"2018-02-01 14:36","103.26"
"2018-02-01 14:46","103.26"
"2018-02-01 14:56","103.27"
"2018-02-01 15:06","103.33"
"2018-02-01 15:16","103.31"
"2018-02-01 15:26","103.32"
"2018-02-01 15:36","103.33"
"2018-02-01 15:46","103.34"
"2018-02-01 15:56","103.37"
"2018-02-01 16:06","103.38"
"2018-02-01 16:16","103.38"
"2018-02-01 16:26","103.38"
"2018-02-01 16:36","103.40"
"2018-02-01 16:46","103.41"
"2018-02-01 16:56","103.41"
"2018-02-01 17:06","103.43"
"2018-02-01 17:16","103.45"
"2018-02-01 17:26","103.46"
"2018-02-01 17:36","103.47"
"2018-02-01 17:46","103.48"
"2018-02-01 17:56","103.50"
"2018-02-01 18:06","103.53"
"2018-02-01 18:16","103.53"
"2018-02-01 18:26","103.54"
"2018-02-01 18:36","103.56"
"2018-02-01 18:46","103.59"
"2018-02-01 18:56","103.60"
"2018-02-01 19:06","103.59"
"2018-02-01 19:16","103.58"
"2018-02-01 19:26","103.60"
"2018-02-01 19:36","103.64"
"2018-02-01 19:46","103.65"
"2018-02-01 19:56","103.66"
"2018-02-01 20:06","103.66"
"2018-02-01 20:16","103.69"
"2018-02-01 20:26","103.71"
"2018-02-01 20:36","103.70"
"2018-02-01 20:46","103.69"
"2018-02-01 20:56","103.71"
"2018-02-01 21:06","103.72"
"2018-02-01 21:16","103.75"
"2018-02-01 21:26","103.74"
"2018-02-01 21:36","103.74"
"2018-02-01 21:46","103.75"
"2018-02-01 21:56","103.76"
"2018-02-01 22:06","103.76"
"2018-02-01 22:16","103.77"
"2018-02-01 22:26","103.79"
"2018-02-01 22:36","103.79"
"2018-02-01 22:46","103.82"
"2018-02-01 22:56","103.81"
"2018-02-01 23:06","103.81"
"2018-02-01 23:16","103.83"
"2018-02-01 23:26","103.84"
"2018-02-01 23:36","103.83"
"2018-02-01 23:56","103.83"
"2018-02-02 00:06","103.83"
"2018-02-02 00:16","103.85"
"2018-02-02 00:26","103.85"
"2018-02-02 00:36","103.84"
"2018-02-02 00:46","103.85"
"2018-02-02 00:56","103.84"
"2018-02-02 01:06","103.85"
"2018-02-02 01:16","103.87"
"2018-02-02 01:26","103.88"
"2018-02-02 01:36","103.88"
"2018-02-02 01:46","103.88"
"2018-02-02 01:56","103.88"
"2018-02-02 02:06","103.90"
"2018-02-02 02:16","103.91"
"2018-02-02 02:26","103.92"
"2018-02-02 02:36","103.92"
"2018-02-02 02:46","103.95"
"2018-02-02 02:56","103.94"
"2018-02-02 03:06","103.95"
"2018-02-02 03:16","103.95"
"2018-02-02 03:26","103.96"
"2018-02-02 03:36","103.96"
"2018-02-02 03:46","103.97"
"2018-02-02 03:56","103.98"
"2018-02-02 04:06","103.99"
"2018-02-02 04:16","104.00"
"2018-02-02 04:26","103.99"
"2018-02-02 04:36","104.01"
"2018-02-02 04:46","104.02"
"2018-02-02 04:56","104.04"
"2018-02-02 05:06","104.04"
"2018-02-02 05:16","104.03"
"2018-02-02 05:26","104.05"
"2018-02-02 05:36","104.04"
"2018-02-02 05:46","104.03"
"2018-02-02 05:56","104.05"
"2018-02-02 06:06","104.07"
"2018-02-02 06:16","104.05"
"2018-02-02 06:26","104.08"
"2018-02-02 06:36","104.09"
"2018-02-02 06:46","104.09"
"2018-02-02 06:56","104.12"
"2018-02-02 07:06","104.12"
"2018-02-02 07:16","104.11"
"2018-02-02 07:26","104.14"
"2018-02-02 07:36","104.13"
"2018-02-02 07:46","104.16"
"2018-02-02 07:56","104.16"
"2018-02-02 08:06","104.17"
"2018-02-02 08:16","104.17"
"2018-02-02 08:26","104.18"
"2018-02-02 08:36","104.19"
"2018-02-02 08:46","104.19"
"2018-02-02 08:56","104.20"
"2018-02-02 09:06","104.20"
"2018-02-02 09:16","104.18"
"2018-02-02 09:26","104.21"
"2018-02-02 09:36","104.21"
"2018-02-02 09:46","104.21"
"2018-02-02 09:56","104.20"
"2018-02-02 10:06","104.23"
"2018-02-02 10:16","104.20"
"2018-02-02 10:26","104.23"
"2018-02-02 10:36","104.24"
"2018-02-02 10:46","104.22"
"2018-02-02 10:56","104.24"
"2018-02-02 11:06","104.26"
"2018-02-02 11:16","104.24"
"2018-02-02 11:26","104.25"
"2018-02-02 11:36","104.23"
"2018-02-02 11:46","104.22"
"2018-02-02 11:56","104.25"
"2018-02-02 12:06","104.24"
"2018-02-02 12:16","104.22"
"2018-02-02 12:26","104.21"
"2018-02-02 12:36","104.23"
"2018-02-02 12:46","104.19"
"2018-02-02 12:56","104.19"
"2018-02-02 13:06","104.22"
"2018-02-02 13:16","104.20"
"2018-02-02 13:26","104.22"
"2018-02-02 13:36","104.21"
"2018-02-02 13:46","104.22"
"2018-02-02 13:56","104.21"
"2018-02-02 14:06","104.21"
"2018-02-02 14:16","104.24"
"2018-02-02 14:26","104.20"
"2018-02-02 14:36","104.20"
"2018-02-02 14:56","104.21"
"2018-02-02 15:16","104.23"
"2018-02-02 15:36","104.21"
"2018-02-02 15:56","104.24"
"2018-02-02 16:16","104.25"
"2018-02-02 16:36","104.23"
"2018-02-02 16:56","104.26"
"2018-02-02 17:16","104.26"
"2018-02-02 17:36","104.28"
"2018-02-02 17:56","104.31"
"2018-02-02 18:16","104.30"
"2018-02-02 18:26","104.31"
"2018-02-02 18:36","104.34"
"2018-02-02 18:46","104.33"
"2018-02-02 18:56","104.32"
"2018-02-02 19:06","104.32"
"2018-02-02 19:16","104.33"
"2018-02-02 19:26","104.33"
"2018-02-02 19:36","104.33"
"2018-02-02 19:46","104.33"
"2018-02-02 19:56","104.32"
"2018-02-02 20:06","104.33"
"2018-02-02 20:16","104.32"
"2018-02-02 20:26","104.33"
"2018-02-02 20:36","104.33"
"2018-02-02 20:46","104.33"
