"Time EST","Pressure (kPa)"
"2018-01-01 00:06","104.59"
"2018-01-01 00:16","104.59"
"2018-01-01 00:26","104.60"
"2018-01-01 00:36","104.59"
"2018-01-01 00:46","104.60"
"2018-01-01 00:57","104.59"
"2018-01-01 01:06","104.59"
"2018-01-01 01:16","104.60"
"2018-01-01 01:26","104.60"
"2018-01-01 01:36","104.60"
"2018-01-01 01:46","104.59"
"2018-01-01 01:57","104.59"
"2018-01-01 02:06","104.59"
"2018-01-01 02:16","104.59"
"2018-01-01 02:26","104.60"
"2018-01-01 02:36","104.60"
"2018-01-01 02:46","104.61"
"2018-01-01 02:57","104.60"
"2018-01-01 03:06","104.61"
"2018-01-01 03:16","104.60"
"2018-01-01 03:26","104.60"
"2018-01-01 03:36","104.60"
"2018-01-01 03:46","104.59"
"2018-01-01 03:57","104.58"
"2018-01-01 04:06","104.56"
"2018-01-01 04:16","104.56"
"2018-01-01 04:26","104.54"
"2018-01-01 04:36","104.54"
"2018-01-01 04:46","104.54"
"2018-01-01 04:57","104.54"
"2018-01-01 05:06","104.55"
"2018-01-01 05:16","104.56"
"2018-01-01 05:26","104.57"
"2018-01-01 05:36","104.58"
"2018-01-01 05:46","104.59"
"2018-01-01 05:57","104.59"
"2018-01-01 06:06","104.58"
"2018-01-01 06:16","104.59"
"2018-01-01 06:26","104.59"
"2018-01-01 06:36","104.60"
"2018-01-01 06:46","104.59"
"2018-01-01 06:57","104.57"
"2018-01-01 07:06","104.57"
"2018-01-01 07:16","104.58"
"2018-01-01 07:26","104.58"
"2018-01-01 07:36","104.58"
"2018-01-01 07:46","104.59"
"2018-01-01 07:57","104.60"
"2018-01-01 08:06","104.60"
"2018-01-01 08:16","104.58"
"2018-01-01 08:26","104.57"
"2018-01-01 08:36","104.58"
"2018-01-01 08:46","104.55"
"2018-01-01 08:57","104.54"
"2018-01-01 09:06","104.53"
"2018-01-01 09:16","104.53"
"2018-01-01 09:26","104.53"
"2018-01-01 09:36","104.52"
"2018-01-01 09:46","104.53"
"2018-01-01 09:57","104.52"
"2018-01-01 10:06","104.50"
"2018-01-01 10:16","104.49"
"2018-01-01 10:26","104.49"
"2018-01-01 10:36","104.48"
"2018-01-01 10:46","104.47"
"2018-01-01 10:57","104.46"
"2018-01-01 11:06","104.44"
"2018-01-01 11:16","104.43"
"2018-01-01 11:26","104.41"
"2018-01-01 11:36","104.40"
"2018-01-01 11:46","104.39"
"2018-01-01 11:57","104.37"
"2018-01-01 12:06","104.37"
"2018-01-01 12:16","104.36"
"2018-01-01 12:26","104.37"
"2018-01-01 12:36","104.34"
"2018-01-01 12:46","104.33"
"2018-01-01 12:57","104.33"
"2018-01-01 13:06","104.33"
"2018-01-01 13:16","104.32"
"2018-01-01 13:26","104.32"
"2018-01-01 13:36","104.31"
"2018-01-01 13:46","104.31"
