"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2018-01-01 00:06","0","NE","1"
"2018-01-01 00:16","0","NE","2"
"2018-01-01 00:26","0","NE","1"
"2018-01-01 00:36","0","NE","0"
"2018-01-01 00:46","1","NE","3"
"2018-01-01 00:57","0","NE","3"
"2018-01-01 01:06","1","NE","3"
"2018-01-01 01:16","0","NW","3"
"2018-01-01 01:26","0","NNE","3"
"2018-01-01 01:36","0","NNE","2"
"2018-01-01 01:46","1","N","6"
"2018-01-01 01:57","2","N","6"
"2018-01-01 02:06","1","NNW","6"
"2018-01-01 02:16","1","NNW","1"
"2018-01-01 02:26","0","NNW","1"
"2018-01-01 02:36","1","W","3"
"2018-01-01 02:46","0","W","4"
"2018-01-01 02:57","0","W","2"
"2018-01-01 03:06","0","WNW","3"
"2018-01-01 03:16","0","NW","5"
"2018-01-01 03:26","1","NW","6"
"2018-01-01 03:36","0","W","1"
"2018-01-01 03:46","0","W","3"
"2018-01-01 03:57","0","W","2"
"2018-01-01 04:06","0","W","0"
"2018-01-01 04:16","0","W","1"
"2018-01-01 04:26","1","NNE","4"
"2018-01-01 04:36","0","NNE","3"
"2018-01-01 04:46","1","NNE","2"
"2018-01-01 04:57","0","NNE","1"
"2018-01-01 05:06","0","NNE","1"
"2018-01-01 05:16","0","NNE","0"
"2018-01-01 05:26","0","NNE","1"
"2018-01-01 05:36","0","NNW","1"
"2018-01-01 05:46","3","ENE","4"
"2018-01-01 05:57","3","E","4"
"2018-01-01 06:06","1","E","4"
"2018-01-01 06:16","1","E","2"
"2018-01-01 06:26","0","E","1"
"2018-01-01 06:36","0","E","1"
"2018-01-01 06:46","0","E","3"
"2018-01-01 06:57","0","NE","2"
"2018-01-01 07:06","1","NE","2"
"2018-01-01 07:16","0","WSW","5"
"2018-01-01 07:26","1","WSW","3"
"2018-01-01 07:36","3","WSW","3"
"2018-01-01 07:46","4","WSW","5"
"2018-01-01 07:57","2","SW","5"
"2018-01-01 08:06","4","WSW","10"
"2018-01-01 08:16","0","E","4"
"2018-01-01 08:26","0","E","2"
"2018-01-01 08:36","2","NE","3"
"2018-01-01 08:46","1","E","5"
"2018-01-01 08:57","3","ESE","8"
"2018-01-01 09:06","0","ESE","1"
"2018-01-01 09:16","1","ESE","2"
"2018-01-01 09:26","2","E","3"
"2018-01-01 09:36","0","E","4"
"2018-01-01 09:46","0","NW","3"
"2018-01-01 09:57","0","SW","3"
"2018-01-01 10:06","1","SE","4"
"2018-01-01 10:16","0","SE","1"
"2018-01-01 10:26","0","NE","3"
"2018-01-01 10:36","3","SE","4"
"2018-01-01 10:46","4","E","7"
"2018-01-01 10:57","4","SSE","9"
"2018-01-01 11:06","4","SE","7"
"2018-01-01 11:16","3","SSE","7"
"2018-01-01 11:26","4","SSE","9"
"2018-01-01 11:36","5","S","9"
"2018-01-01 11:46","4","ESE","6"
"2018-01-01 11:57","2","ESE","6"
"2018-01-01 12:06","3","S","6"
"2018-01-01 12:16","4","SW","6"
"2018-01-01 12:26","4","ESE","8"
"2018-01-01 12:36","1","S","6"
"2018-01-01 12:46","4","SE","9"
"2018-01-01 12:57","5","SSE","8"
"2018-01-01 13:06","5","SSW","9"
"2018-01-01 13:16","1","S","6"
"2018-01-01 13:26","8","S","12"
"2018-01-01 13:36","4","SSE","6"
"2018-01-01 13:46","7","SSE","11"
"2018-01-01 13:57","5","SSE","10"
"2018-01-01 14:06","7","S","10"
"2018-01-01 14:16","5","SE","12"
"2018-01-01 14:26","4","ESE","11"
"2018-01-01 14:36","5","SE","10"
"2018-01-01 14:46","3","SE","8"
"2018-01-01 14:57","4","SSE","8"
"2018-01-01 15:06","4","SE","9"
"2018-01-01 15:16","2","ESE","8"
"2018-01-01 15:26","3","E","6"
"2018-01-01 15:36","2","SSE","9"
"2018-01-01 15:46","3","SW","6"
"2018-01-01 15:57","5","SE","7"
"2018-01-01 16:06","3","SSE","8"
"2018-01-01 16:16","1","SSE","4"
"2018-01-01 16:26","1","ESE","3"
"2018-01-01 16:36","0","ESE","2"
"2018-01-01 16:46","0","ESE","1"
"2018-01-01 16:57","0","ESE","1"
"2018-01-01 17:06","0","ESE","0"
"2018-01-01 17:16","0","ESE","0"
"2018-01-01 17:26","0","ESE","1"
"2018-01-01 17:36","0","ESE","0"
"2018-01-01 17:46","0","ESE","0"
"2018-01-01 17:57","0","ESE","0"
"2018-01-01 18:06","0","ESE","0"
"2018-01-01 18:16","0","ESE","1"
"2018-01-01 18:26","0","ESE","0"
"2018-01-01 18:36","0","ESE","0"
"2018-01-01 18:46","0","ESE","0"
"2018-01-01 18:57","0","ESE","0"
"2018-01-01 19:06","0","ESE","0"
"2018-01-01 19:16","0","ESE","0"
"2018-01-01 19:26","0","ESE","1"
"2018-01-01 19:36","0","ESE","0"
"2018-01-01 19:46","0","ESE","1"
"2018-01-01 19:57","0","ESE","0"
"2018-01-01 20:06","1","WSW","3"
"2018-01-01 20:16","4","NW","5"
"2018-01-01 20:26","6","NNW","10"
"2018-01-01 20:36","3","N","9"
"2018-01-01 20:46","5","N","9"
"2018-01-01 20:57","5","N","9"
"2018-01-01 21:06","4","N","9"
"2018-01-01 21:16","5","NNW","10"
"2018-01-01 21:26","4","N","12"
"2018-01-01 21:36","5","N","13"
"2018-01-01 21:46","5","NNW","12"
"2018-01-01 21:57","7","N","15"
"2018-01-01 22:06","7","N","13"
"2018-01-01 22:16","8","NNE","14"
"2018-01-01 22:26","5","N","12"
"2018-01-01 22:36","4","N","11"
"2018-01-01 22:46","3","NW","8"
"2018-01-01 22:57","5","NW","8"
"2018-01-01 23:06","3","NNW","8"
"2018-01-01 23:16","3","NW","6"
"2018-01-01 23:26","3","NNW","5"
"2018-01-01 23:36","2","NNW","4"
"2018-01-01 23:46","4","NW","6"
"2018-01-01 23:57","3","NNW","5"
"2018-01-02 00:06","3","N","4"
"2018-01-02 00:16","1","N","5"
"2018-01-02 00:26","4","NNW","7"
"2018-01-02 00:36","3","NW","8"
"2018-01-02 00:46","4","WNW","8"
"2018-01-02 00:57","5","NW","8"
"2018-01-02 01:06","0","NNW","8"
"2018-01-02 01:16","0","NNW","1"
"2018-01-02 01:26","0","NNW","1"
"2018-01-02 01:36","0","NNW","0"
"2018-01-02 01:46","0","NW","1"
"2018-01-02 01:57","0","W","3"
"2018-01-02 02:06","0","W","1"
"2018-01-02 02:16","1","W","2"
"2018-01-02 02:26","0","W","1"
"2018-01-02 02:36","1","W","2"
"2018-01-02 02:46","0","WNW","3"
"2018-01-02 02:58","0","WNW","2"
"2018-01-02 03:06","0","W","2"
"2018-01-02 03:16","1","WNW","3"
"2018-01-02 03:26","0","NW","2"
"2018-01-02 03:36","0","NW","1"
"2018-01-02 03:46","0","NE","2"
"2018-01-02 03:57","3","W","4"
"2018-01-02 04:06","0","WSW","4"
"2018-01-02 04:16","4","NW","11"
"2018-01-02 04:26","4","WNW","10"
"2018-01-02 04:36","3","WSW","9"
"2018-01-02 04:46","2","WNW","7"
"2018-01-02 04:57","2","WSW","5"
"2018-01-02 05:06","2","WSW","5"
"2018-01-02 05:16","2","WSW","3"
"2018-01-02 05:26","0","SW","3"
"2018-01-02 05:36","0","SW","3"
"2018-01-02 05:46","2","SW","3"
"2018-01-02 05:57","0","SW","2"
"2018-01-02 06:06","0","SW","0"
"2018-01-02 06:16","0","SE","3"
"2018-01-02 06:26","0","SE","0"
"2018-01-02 06:36","0","SE","0"
"2018-01-02 06:46","0","SE","2"
"2018-01-02 06:57","0","SE","0"
"2018-01-02 07:06","0","SE","1"
"2018-01-02 07:16","0","SE","0"
"2018-01-02 07:26","0","SE","0"
"2018-01-02 07:36","0","SE","1"
"2018-01-02 07:46","0","SE","0"
"2018-01-02 07:58","1","SE","2"
"2018-01-02 08:06","3","SSW","4"
"2018-01-02 08:16","3","S","6"
"2018-01-02 08:26","0","SSW","4"
"2018-01-02 08:36","2","SW","5"
"2018-01-02 08:46","0","SW","3"
"2018-01-02 08:57","1","S","4"
"2018-01-02 09:06","1","S","3"
"2018-01-02 09:16","3","S","4"
"2018-01-02 09:26","1","SSW","4"
"2018-01-02 09:36","2","SW","5"
"2018-01-02 09:58","2","S","4"
"2018-01-02 10:06","0","WSW","4"
"2018-01-02 10:16","3","SW","5"
"2018-01-02 10:26","3","S","4"
"2018-01-02 12:06","6","SW",""
"2018-01-02 12:16","7","WSW","14"
"2018-01-02 12:26","4","WSW","14"
"2018-01-02 12:36","6","WSW","11"
"2018-01-02 12:46","6","WSW","11"
"2018-01-02 12:58","4","WSW","10"
"2018-01-02 13:06","6","SW","13"
"2018-01-02 13:16","8","WSW","18"
"2018-01-02 13:26","10","SW","21"
"2018-01-02 13:36","11","WSW","30"
"2018-01-02 13:46","8","SW","20"
"2018-01-02 13:57","13","SW","29"
"2018-01-02 14:06","10","W","27"
"2018-01-02 14:16","10","SW","32"
"2018-01-02 14:26","9","W","31"
"2018-01-02 14:36","13","WSW","27"
"2018-01-02 14:46","11","SW","31"
"2018-01-02 14:56","7","NW","31"
"2018-01-02 15:06","13","W","31"
"2018-01-02 15:16","8","SSW","25"
"2018-01-02 15:26","13","SW","26"
"2018-01-02 15:36","10","W","30"
"2018-01-02 15:46","11","W","29"
"2018-01-02 15:58","10","SW","31"
"2018-01-02 16:06","13","SW","28"
"2018-01-02 16:16","9","WSW","29"
"2018-01-02 16:26","10","WSW","23"
"2018-01-02 16:36","13","WSW","27"
"2018-01-02 16:46","12","WSW","29"
"2018-01-02 16:58","11","SW","30"
"2018-01-02 17:06","10","SW","28"
"2018-01-02 17:16","11","WSW","24"
"2018-01-02 17:26","13","SW","25"
"2018-01-02 17:36","13","WSW","30"
"2018-01-02 17:46","9","WSW","25"
"2018-01-02 17:58","9","WSW","24"
"2018-01-02 18:06","11","W","30"
"2018-01-02 18:16","13","WSW","27"
"2018-01-02 18:26","12","W","27"
"2018-01-02 18:36","10","W","32"
"2018-01-02 18:46","13","SW","25"
"2018-01-02 18:58","13","SW","23"
"2018-01-02 19:06","8","WSW","20"
"2018-01-02 19:16","7","WSW","22"
"2018-01-02 19:26","10","WSW","26"
"2018-01-02 19:36","13","WSW","23"
"2018-01-02 19:46","9","W","23"
"2018-01-02 19:58","11","WSW","22"
"2018-01-02 20:06","13","WSW","20"
"2018-01-02 20:16","8","WSW","21"
"2018-01-02 20:26","5","SW","24"
"2018-01-02 20:36","9","WSW","23"
"2018-01-02 20:46","11","WSW","23"
"2018-01-02 20:58","10","WSW","28"
"2018-01-02 21:06","5","WSW","28"
"2018-01-02 21:16","10","SW","21"
"2018-01-02 21:26","11","WSW","28"
