"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2018-03-01 00:06","7","N","16"
"2018-03-01 00:16","7","NNE","17"
"2018-03-01 00:26","7","NNE","20"
"2018-03-01 00:36","7","N","18"
"2018-03-01 00:46","6","N","13"
"2018-03-01 00:56","5","NNE","13"
"2018-03-01 01:06","4","N","19"
"2018-03-01 01:16","7","N","18"
"2018-03-01 01:26","6","NNE","12"
"2018-03-01 01:36","7","NNE","15"
"2018-03-01 01:46","3","NE","10"
"2018-03-01 01:56","3","NNE","8"
"2018-03-01 02:06","4","NNE","8"
"2018-03-01 02:16","5","N","13"
"2018-03-01 02:26","7","NNE","18"
"2018-03-01 02:36","8","NNE","22"
"2018-03-01 02:46","10","NNE","21"
"2018-03-01 02:56","7","N","18"
"2018-03-01 03:06","9","NNE","19"
"2018-03-01 03:16","4","NE","14"
"2018-03-01 03:26","6","NNE","17"
"2018-03-01 03:36","4","NNE","13"
"2018-03-01 03:46","1","NNE","12"
"2018-03-01 03:56","4","NNE","8"
"2018-03-01 04:06","3","NNE","9"
"2018-03-01 04:16","2","N","5"
"2018-03-01 04:26","0","N","3"
"2018-03-01 04:36","1","NNE","3"
"2018-03-01 04:46","0","NNE","1"
"2018-03-01 04:56","4","NNE","6"
"2018-03-01 05:06","4","NNE","8"
"2018-03-01 05:16","5","NNE","9"
"2018-03-01 05:26","4","NE","8"
"2018-03-01 05:36","5","NE","9"
"2018-03-01 05:46","2","NE","8"
"2018-03-01 05:56","5","NNE","9"
"2018-03-01 06:06","3","NE","9"
"2018-03-01 06:16","3","NE","9"
"2018-03-01 06:26","2","NE","7"
"2018-03-01 06:36","0","E","5"
"2018-03-01 06:46","0","ESE","0"
"2018-03-01 06:56","0","ESE","1"
"2018-03-01 07:06","0","ESE","0"
"2018-03-01 07:16","0","ESE","0"
"2018-03-01 07:26","0","NE","0"
"2018-03-01 08:26","7","NE","11"
"2018-03-01 08:36","6","E","12"
"2018-03-01 08:46","8","ENE","13"
"2018-03-01 08:56","8","ENE","16"
"2018-03-01 09:06","3","NE","14"
"2018-03-01 09:16","3","SE","10"
"2018-03-01 09:26","4","ENE","13"
"2018-03-01 09:36","11","ENE","21"
"2018-03-01 09:46","10","E","18"
"2018-03-01 09:56","11","ENE","20"
"2018-03-01 10:06","7","ENE","16"
"2018-03-01 10:16","7","NE","15"
"2018-03-01 10:26","5","NNE","17"
"2018-03-01 10:36","9","ENE","22"
"2018-03-01 10:46","15","E","21"
"2018-03-01 10:56","7","NE","19"
"2018-03-01 11:06","9","ENE","18"
"2018-03-01 11:16","9","E","17"
"2018-03-01 11:26","7","E","14"
"2018-03-01 11:36","9","ENE","19"
"2018-03-01 11:46","8","NNE","19"
"2018-03-01 11:56","9","E","22"
"2018-03-01 12:06","6","NE","16"
"2018-03-01 12:16","5","ENE","13"
"2018-03-01 12:26","11","E","18"
"2018-03-01 12:36","6","NE","14"
"2018-03-01 12:46","11","E","19"
"2018-03-01 12:56","6","NE","19"
"2018-03-01 13:06","10","ENE","19"
"2018-03-01 13:16","9","NE","17"
"2018-03-01 13:26","8","NNE","15"
"2018-03-01 13:36","10","ENE","19"
"2018-03-01 13:46","7","ENE","21"
"2018-03-01 13:56","7","ENE","27"
"2018-03-01 14:06","12","ENE","19"
"2018-03-01 14:16","12","NE","29"
"2018-03-01 14:26","15","E","28"
"2018-03-01 14:36","7","NE","24"
"2018-03-01 14:46","13","E","27"
"2018-03-01 14:56","12","NE","21"
"2018-03-01 15:06","11","NE","21"
"2018-03-01 15:16","10","NE","19"
"2018-03-01 15:26","10","ENE","21"
"2018-03-01 15:36","8","NE","24"
"2018-03-01 15:46","14","E","25"
"2018-03-01 15:56","12","E","22"
"2018-03-01 16:06","16","ENE","26"
"2018-03-01 16:16","12","E","26"
"2018-03-01 16:26","16","E","23"
"2018-03-01 16:36","14","ENE","27"
"2018-03-01 16:46","6","ENE","20"
"2018-03-01 16:56","9","ESE","19"
"2018-03-01 17:06","13","E","23"
"2018-03-01 17:16","12","ENE","19"
"2018-03-01 17:26","9","E","16"
"2018-03-01 17:36","5","ENE","12"
"2018-03-01 17:46","6","NE","22"
"2018-03-01 17:56","8","ENE","17"
"2018-03-01 18:06","10","ENE","13"
"2018-03-01 18:16","8","NE","14"
"2018-03-01 18:26","6","NE","15"
"2018-03-01 18:36","9","NE",""
"2018-03-01 18:46","9","NE","16"
"2018-03-01 18:56","8","ENE","15"
"2018-03-01 19:06","7","ENE","15"
"2018-03-01 19:16","9","NE","17"
"2018-03-01 19:26","7","NE","18"
"2018-03-01 19:36","14","NE","22"
"2018-03-01 19:46","14","NE","26"
"2018-03-01 19:56","14","NE","26"
"2018-03-01 20:06","11","E","45"
"2018-03-01 20:16","15","NNE","27"
"2018-03-01 20:26","14","NE","33"
"2018-03-01 20:36","16","ENE","28"
"2018-03-01 20:46","15","NE","30"
"2018-03-01 20:56","10","NE","32"
"2018-03-01 21:06","14","ENE","28"
"2018-03-01 21:16","11","NNE","29"
"2018-03-01 21:26","14","NE","32"
"2018-03-01 21:36","13","ENE","28"
"2018-03-01 21:46","14","ENE","36"
"2018-03-01 21:56","17","NE","37"
"2018-03-01 22:06","13","ENE","36"
"2018-03-01 22:16","15","NE","30"
"2018-03-01 22:26","14","NE","36"
"2018-03-01 22:36","15","ENE","28"
"2018-03-01 22:46","13","ENE","39"
"2018-03-01 22:56","18","ENE","34"
"2018-03-01 23:06","16","NE","31"
"2018-03-01 23:16","15","ENE","35"
"2018-03-01 23:26","11","NE","38"
"2018-03-01 23:36","10","NE","30"
"2018-03-01 23:46","16","E","33"
"2018-03-01 23:56","12","ENE","32"
"2018-03-02 00:06","12","NE","24"
"2018-03-02 00:16","13","NE","30"
"2018-03-02 00:26","13","NE","31"
"2018-03-02 00:36","14","NE","32"
"2018-03-02 00:46","15","NE","30"
"2018-03-02 00:56","18","NE","35"
"2018-03-02 01:06","8","NE","30"
"2018-03-02 01:16","17","NE","32"
"2018-03-02 01:26","17","NE","37"
"2018-03-02 01:36","15","NE","33"
"2018-03-02 01:46","13","NE","33"
"2018-03-02 01:56","11","NNE","30"
"2018-03-02 02:06","15","NNE","31"
"2018-03-02 02:16","14","NE","25"
"2018-03-02 02:26","16","NNE","32"
"2018-03-02 02:36","10","NNE","27"
"2018-03-02 02:46","8","NE","27"
"2018-03-02 02:56","8","NE","26"
"2018-03-02 03:06","10","NNE","26"
"2018-03-02 03:16","11","NE","32"
"2018-03-02 03:26","11","NNE","26"
"2018-03-02 03:36","10","NNE","24"
"2018-03-02 03:46","10","NE","23"
"2018-03-02 03:56","15","NNE","28"
"2018-03-02 04:06","12","NE","27"
"2018-03-02 04:16","10","NE","22"
"2018-03-02 04:26","12","NNE","22"
"2018-03-02 04:36","8","N","22"
"2018-03-02 04:46","12","NNE","27"
"2018-03-02 04:56","11","NNE","25"
"2018-03-02 05:06","9","NNE","19"
"2018-03-02 05:16","9","NE","23"
"2018-03-02 05:26","14","N","31"
"2018-03-02 05:36","9","NNE","20"
"2018-03-02 05:46","12","NE","23"
"2018-03-02 05:56","12","NNE","22"
"2018-03-02 06:06","10","N","26"
"2018-03-02 06:16","8","N","22"
"2018-03-02 06:26","9","NE","27"
"2018-03-02 06:36","14","NNE","26"
"2018-03-02 06:46","10","NE","26"
"2018-03-02 06:56","8","NNE","26"
"2018-03-02 07:06","10","NNE","25"
"2018-03-02 07:16","14","N","28"
"2018-03-02 07:26","9","N","25"
"2018-03-02 07:36","11","NNE","24"
"2018-03-02 07:46","11","N","28"
"2018-03-02 07:56","10","NE","29"
"2018-03-02 08:06","14","NNE","30"
"2018-03-02 08:16","10","N","21"
"2018-03-02 08:26","15","N","27"
"2018-03-02 08:36","14","NE","35"
"2018-03-02 08:46","9","N","30"
"2018-03-02 08:56","15","N","32"
"2018-03-02 09:06","12","N","21"
"2018-03-02 09:16","12","N","27"
"2018-03-02 09:26","14","NNE","27"
"2018-03-02 09:36","10","NE","32"
"2018-03-02 09:46","10","NNE","27"
"2018-03-02 09:56","11","NNE","24"
"2018-03-02 10:06","8","NNE","21"
"2018-03-02 10:16","13","N","31"
"2018-03-02 10:26","13","N","27"
"2018-03-02 10:36","10","N","32"
"2018-03-02 10:46","11","NNE","29"
"2018-03-02 10:56","9","NNE","17"
"2018-03-02 11:06","9","NNE","21"
"2018-03-02 11:16","13","NNE","26"
"2018-03-02 11:26","17","N","27"
"2018-03-02 11:36","11","NNE","26"
"2018-03-02 11:46","9","NE","24"
"2018-03-02 11:56","15","N","24"
"2018-03-02 12:06","13","NNE","25"
"2018-03-02 12:16","10","NNE","27"
"2018-03-02 12:26","11","N","26"
"2018-03-02 12:36","8","NNE","27"
"2018-03-02 12:46","13","N","28"
"2018-03-02 12:56","15","N","39"
"2018-03-02 13:06","15","N","36"
"2018-03-02 13:16","13","N","24"
"2018-03-02 13:26","13","NNE","28"
"2018-03-02 13:36","14","N","35"
"2018-03-02 13:46","11","N","26"
"2018-03-02 13:56","10","NNE","30"
"2018-03-02 14:06","13","N","24"
"2018-03-02 14:16","12","NNE","31"
"2018-03-02 14:26","14","NNE","34"
"2018-03-02 14:36","12","N","27"
"2018-03-02 14:46","8","NE","25"
"2018-03-02 14:56","7","N","24"
"2018-03-02 15:06","11","NNE","29"
"2018-03-02 15:16","13","NNW","30"
"2018-03-02 15:26","11","NE","28"
"2018-03-02 15:36","12","NE","28"
"2018-03-02 15:46","6","NNE","27"
"2018-03-02 15:56","9","N","20"
"2018-03-02 16:06","8","NNE","25"
"2018-03-02 16:16","10","N","29"
"2018-03-02 16:26","11","N","30"
"2018-03-02 16:36","9","NNE","21"
"2018-03-02 16:46","11","NNE","25"
"2018-03-02 16:56","11","NNE","20"
"2018-03-02 17:06","9","NNE","26"
"2018-03-02 17:16","6","NNE","24"
"2018-03-02 17:26","7","NNE","15"
"2018-03-02 17:36","9","N","17"
"2018-03-02 17:46","8","N","22"
"2018-03-02 17:56","15","N","30"
"2018-03-02 18:06","10","N","21"
"2018-03-02 18:16","10","N","26"
"2018-03-02 18:26","14","N","28"
"2018-03-02 18:36","10","N","24"
"2018-03-02 18:46","12","N","17"
"2018-03-02 18:56","9","N","23"
"2018-03-02 19:06","9","N","19"
"2018-03-02 19:16","5","NNE","17"
"2018-03-02 19:26","12","N","34"
"2018-03-02 19:36","9","N","20"
"2018-03-02 19:46","9","N","21"
"2018-03-02 19:56","4","N","14"
"2018-03-02 20:06","8","N","14"
"2018-03-02 20:16","10","N","17"
"2018-03-02 20:26","4","NNE","22"
"2018-03-02 20:36","6","N","17"
"2018-03-02 20:46","11","N","20"
"2018-03-02 20:56","10","N","21"
"2018-03-02 21:06","6","NNE","19"
"2018-03-02 21:16","7","N","17"
"2018-03-02 21:26","6","N","17"
"2018-03-02 21:36","6","NNE","17"
"2018-03-02 21:46","9","N","21"
"2018-03-02 21:56","9","NNE","20"
"2018-03-02 22:06","8","NW","19"
"2018-03-02 22:16","8","NNE","19"
"2018-03-02 22:26","10","NNE","19"
"2018-03-02 22:36","10","N","21"
"2018-03-02 22:46","7","NE","20"
"2018-03-02 22:56","7","N","20"
"2018-03-02 23:06","7","N","20"
"2018-03-02 23:16","9","N","16"
"2018-03-02 23:26","10","N","21"
"2018-03-02 23:36","8","N","23"
