"Time EST","Dew Point (°C)","Relative Humidity (%)"
"2017-11-01 00:07","0.2","98"
"2017-11-01 00:16","0.0","98"
"2017-11-01 00:27","0.1","98"
"2017-11-01 00:36","0.2","98"
"2017-11-01 00:47","-0.2","98"
"2017-11-01 00:56","-0.4","98"
"2017-11-01 01:08","-0.3","98"
"2017-11-01 01:16","-0.2","99"
"2017-11-01 01:27","0.0","99"
"2017-11-01 01:36","-0.2","99"
"2017-11-01 01:47","-0.1","99"
"2017-11-01 01:56","0.4",""
"2017-11-01 02:07","0.4",""
"2017-11-01 02:16","-0.1","99"
"2017-11-01 02:27","-0.4","98"
"2017-11-01 02:36","-0.4","99"
"2017-11-01 02:47","-0.2","99"
"2017-11-01 02:56","-0.2","99"
"2017-11-01 03:06","-0.3","99"
"2017-11-01 03:16","-0.7","98"
"2017-11-01 03:27","-0.8","98"
"2017-11-01 03:36","-0.4","99"
"2017-11-01 03:46","-0.1",""
"2017-11-01 03:56","0.0",""
"2017-11-01 04:07","0.0",""
"2017-11-01 04:16","0.1",""
"2017-11-01 04:26","0.2",""
"2017-11-01 04:36","0.3",""
"2017-11-01 04:46","0.2",""
"2017-11-01 04:56","0.4",""
"2017-11-01 05:07","0.5",""
"2017-11-01 05:16","0.5",""
"2017-11-01 05:26","0.6",""
"2017-11-01 05:36","0.9",""
"2017-11-01 05:46","0.8",""
"2017-11-01 05:56","0.8",""
"2017-11-01 06:07","0.8",""
"2017-11-01 06:16","0.9",""
"2017-11-01 06:26","1.0",""
"2017-11-01 06:36","0.8",""
"2017-11-01 06:47","0.8",""
"2017-11-01 06:56","0.9",""
"2017-11-01 07:06","1.2",""
"2017-11-01 07:16","1.1",""
"2017-11-01 07:26","1.2",""
"2017-11-01 07:36","1.3",""
"2017-11-01 07:46","1.2",""
"2017-11-01 07:56","1.4",""
"2017-11-01 08:07","1.4",""
"2017-11-01 08:16","1.4",""
"2017-11-01 08:27","1.6",""
"2017-11-01 08:36","1.8",""
"2017-11-01 08:47","1.8",""
"2017-11-01 08:56","1.9",""
"2017-11-01 09:07","2.0",""
"2017-11-01 09:16","2.2",""
"2017-11-01 09:27","2.3",""
