"Time EST","Pressure (kPa)"
"2017-11-01 00:07","104.14"
"2017-11-01 00:16","104.15"
"2017-11-01 00:27","104.16"
"2017-11-01 00:36","104.17"
"2017-11-01 00:47","104.17"
"2017-11-01 00:56","104.18"
"2017-11-01 01:08","104.18"
"2017-11-01 01:16","104.18"
"2017-11-01 01:27","104.18"
"2017-11-01 01:36","104.18"
"2017-11-01 01:47","104.17"
"2017-11-01 01:56","104.16"
"2017-11-01 02:07","104.16"
"2017-11-01 02:16","104.17"
"2017-11-01 02:27","104.18"
"2017-11-01 02:36","104.19"
"2017-11-01 02:47","104.19"
"2017-11-01 02:56","104.19"
"2017-11-01 03:06","104.20"
"2017-11-01 03:16","104.20"
"2017-11-01 03:27","104.19"
"2017-11-01 03:36","104.20"
"2017-11-01 03:46","104.21"
"2017-11-01 03:56","104.19"
"2017-11-01 04:07","104.19"
"2017-11-01 04:16","104.19"
"2017-11-01 04:26","104.19"
"2017-11-01 04:36","104.19"
"2017-11-01 04:46","104.19"
"2017-11-01 04:56","104.18"
"2017-11-01 05:07","104.18"
"2017-11-01 05:16","104.20"
"2017-11-01 05:26","104.21"
"2017-11-01 05:36","104.21"
"2017-11-01 05:46","104.21"
"2017-11-01 05:56","104.20"
"2017-11-01 06:07","104.20"
"2017-11-01 06:16","104.21"
"2017-11-01 06:26","104.21"
"2017-11-01 06:36","104.21"
"2017-11-01 06:47","104.21"
"2017-11-01 06:56","104.22"
"2017-11-01 07:06","104.22"
"2017-11-01 07:16","104.22"
"2017-11-01 07:26","104.23"
"2017-11-01 07:36","104.23"
"2017-11-01 07:46","104.24"
"2017-11-01 07:56","104.25"
"2017-11-01 08:07","104.25"
"2017-11-01 08:16","104.26"
"2017-11-01 08:27","104.27"
"2017-11-01 08:36","104.29"
"2017-11-01 08:47","104.31"
"2017-11-01 08:56","104.38"
"2017-11-01 09:07","104.34"
"2017-11-01 09:16","104.33"
"2017-11-01 09:27","104.37"
"2017-11-01 09:36","104.34"
"2017-11-01 09:47","104.33"
"2017-11-01 09:56","104.33"
"2017-11-01 10:07","104.33"
"2017-11-01 10:16","104.32"
"2017-11-01 10:26","104.32"
"2017-11-01 10:36","104.32"
"2017-11-01 10:47","104.31"
"2017-11-01 10:56","104.31"
"2017-11-01 11:07","104.31"
"2017-11-01 11:16","104.31"
"2017-11-01 11:26","104.31"
"2017-11-01 11:36","104.32"
"2017-11-01 11:47","104.31"
"2017-11-01 11:56","104.30"
"2017-11-01 12:07","104.30"
"2017-11-01 12:16","104.30"
"2017-11-01 12:27","104.30"
"2017-11-01 12:36","104.28"
"2017-11-01 12:47","104.27"
"2017-11-01 12:56","104.28"
"2017-11-01 13:07","104.26"
"2017-11-01 13:16","104.29"
"2017-11-01 13:27","104.24"
"2017-11-01 13:36","104.23"
"2017-11-01 13:47","104.24"
"2017-11-01 13:56","104.24"
"2017-11-01 14:07","104.23"
"2017-11-01 14:16","104.23"
"2017-11-01 14:28","104.24"
"2017-11-01 14:36","104.24"
"2017-11-01 14:47","104.24"
"2017-11-01 14:56","104.23"
"2017-11-01 15:07","104.24"
"2017-11-01 15:16","104.22"
"2017-11-01 15:27","104.22"
"2017-11-01 15:36","104.22"
"2017-11-01 15:47","104.22"
"2017-11-01 15:56","104.21"
"2017-11-01 16:07","104.22"
"2017-11-01 16:16","104.25"
"2017-11-01 16:27","104.28"
"2017-11-01 16:36","104.33"
"2017-11-01 16:47","104.26"
"2017-11-01 16:56","104.29"
"2017-11-01 17:07","104.27"
"2017-11-01 17:16","104.30"
"2017-11-01 17:27","104.28"
"2017-11-01 17:36","104.26"
"2017-11-01 17:47","104.25"
"2017-11-01 17:56","104.32"
"2017-11-01 18:07","104.28"
"2017-11-01 18:16","104.28"
"2017-11-01 18:28","104.28"
"2017-11-01 18:36","104.28"
"2017-11-01 18:47","104.26"
"2017-11-01 18:56","104.25"
"2017-11-01 19:07","104.25"
"2017-11-01 19:16","104.25"
"2017-11-01 19:27","104.23"
"2017-11-01 19:36","104.22"
"2017-11-01 19:48","104.24"
"2017-11-01 19:56","104.22"
"2017-11-01 20:07","104.21"
"2017-11-01 20:16","104.20"
"2017-11-01 20:26","104.21"
"2017-11-01 20:36","104.20"
"2017-11-01 20:47","104.21"
"2017-11-01 20:56","104.20"
"2017-11-01 21:06","104.20"
"2017-11-01 21:16","104.20"
"2017-11-01 21:26","104.19"
"2017-11-01 21:36","104.19"
"2017-11-01 21:46","104.19"
"2017-11-01 21:56","104.20"
"2017-11-01 22:06","104.20"
"2017-11-01 22:16","104.20"
"2017-11-01 22:26","104.20"
"2017-11-01 22:36","104.23"
"2017-11-01 22:46","104.23"
"2017-11-01 22:56","104.22"
"2017-11-01 23:06","104.22"
"2017-11-01 23:16","104.20"
"2017-11-01 23:26","104.19"
"2017-11-01 23:36","104.18"
"2017-11-01 23:46","104.18"
"2017-11-01 23:56","104.17"
"2017-11-02 00:06","104.16"
"2017-11-02 00:16","104.15"
"2017-11-02 00:26","104.15"
"2017-11-02 00:36","104.13"
"2017-11-02 00:46","104.14"
"2017-11-02 00:56","104.16"
"2017-11-02 01:06","104.16"
"2017-11-02 01:16","104.14"
"2017-11-02 01:26","104.14"
"2017-11-02 01:36","104.13"
"2017-11-02 01:46","104.22"
"2017-11-02 01:56","104.21"
"2017-11-02 02:06","104.21"
"2017-11-02 02:16","104.21"
"2017-11-02 02:26","104.20"
"2017-11-02 02:36","104.20"
"2017-11-02 02:46","104.19"
"2017-11-02 02:56","104.19"
"2017-11-02 03:06","104.18"
"2017-11-02 03:16","104.17"
"2017-11-02 03:26","104.17"
"2017-11-02 03:36","104.15"
"2017-11-02 03:46","104.14"
"2017-11-02 03:56","104.12"
"2017-11-02 04:06","104.12"
"2017-11-02 04:16","104.10"
"2017-11-02 04:26","104.10"
"2017-11-02 04:36","104.08"
"2017-11-02 04:46","104.07"
"2017-11-02 04:56","104.07"
"2017-11-02 05:06","104.07"
"2017-11-02 05:16","104.06"
"2017-11-02 05:26","104.05"
"2017-11-02 05:36","104.03"
"2017-11-02 05:46","104.04"
"2017-11-02 05:56","104.03"
"2017-11-02 06:06","104.02"
"2017-11-02 06:16","104.01"
"2017-11-02 06:26","104.01"
"2017-11-02 06:36","103.99"
"2017-11-02 06:46","104.00"
"2017-11-02 06:56","104.01"
"2017-11-02 07:06","104.00"
"2017-11-02 07:16","103.98"
"2017-11-02 07:26","104.00"
"2017-11-02 07:36","103.92"
"2017-11-02 07:46","103.91"
"2017-11-02 07:56","104.01"
"2017-11-02 08:06","103.91"
"2017-11-02 08:16","103.91"
"2017-11-02 08:26","103.92"
"2017-11-02 08:36","103.99"
"2017-11-02 08:46","104.00"
"2017-11-02 08:56","104.02"
"2017-11-02 09:06","104.02"
"2017-11-02 09:16","103.97"
"2017-11-02 09:26","103.97"
"2017-11-02 09:36","104.03"
"2017-11-02 09:46","103.96"
"2017-11-02 09:56","103.97"
"2017-11-02 10:06","103.94"
"2017-11-02 10:16","103.92"
"2017-11-02 10:26","103.92"
"2017-11-02 10:36","103.91"
"2017-11-02 10:46","103.91"
"2017-11-02 10:56","103.92"
"2017-11-02 11:06","103.93"
"2017-11-02 11:16","103.93"
"2017-11-02 11:26","103.93"
"2017-11-02 11:36","103.93"
"2017-11-02 11:46","103.91"
"2017-11-02 11:56","103.91"
"2017-11-02 12:06","103.92"
"2017-11-02 12:16","103.92"
"2017-11-02 12:26","103.92"
"2017-11-02 12:36","103.92"
"2017-11-02 12:46","103.92"
"2017-11-02 12:56","103.96"
"2017-11-02 13:06","103.96"
