"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2017-12-01 00:06","17","WNW","22"
"2017-12-01 00:16","19","WNW","27"
"2017-12-01 00:26","18","NW","27"
"2017-12-01 00:36","16","NW","22"
"2017-12-01 00:46","13","NW","22"
"2017-12-01 00:57","13","WNW","20"
"2017-12-01 01:06","13","WNW","20"
"2017-12-01 01:16","14","WNW","21"
"2017-12-01 01:26","14","WNW","18"
"2017-12-01 01:36","12","WNW","22"
"2017-12-01 01:46","13","WNW","19"
"2017-12-01 01:56","11","WNW","17"
"2017-12-01 02:06","13","WNW","19"
"2017-12-01 02:16","14","WNW","22"
"2017-12-01 02:26","10","NW","19"
"2017-12-01 02:36","12","NW","19"
"2017-12-01 02:46","12","NW","17"
"2017-12-01 02:57","13","NW","25"
"2017-12-01 03:16","15","WNW","21"
"2017-12-01 03:36","12","WNW","15"
"2017-12-01 03:56","13","NW","21"
"2017-12-01 04:16","10","NNW","18"
"2017-12-01 04:36","18","NW","21"
"2017-12-01 04:57","16","NNW","22"
"2017-12-01 05:16","13","N","22"
"2017-12-01 05:36","16","N","21"
"2017-12-01 05:57","13","NNW","18"
"2017-12-01 06:16","9","N","17"
"2017-12-01 06:36","9","N","17"
"2017-12-01 06:57","11","N","15"
"2017-12-01 07:16","10","N","18"
"2017-12-01 07:36","7","NNW","13"
"2017-12-01 07:57","7","NNW","11"
"2017-12-01 08:16","8","N","12"
"2017-12-01 08:36","9","N","12"
"2017-12-01 08:57","6","N","10"
"2017-12-01 09:16","9","N","15"
"2017-12-01 09:36","8","NNW","12"
"2017-12-01 09:57","9","N","12"
"2017-12-01 10:16","8","N","12"
"2017-12-01 10:36","8","NW","13"
"2017-12-01 10:57","5","N","17"
"2017-12-01 11:16","13","N","18"
"2017-12-01 11:36","8","N","14"
"2017-12-01 11:57","9","N","17"
"2017-12-01 12:16","12","NNE","17"
"2017-12-01 12:36","10","NNE","15"
"2017-12-01 12:57","6","NNE","13"
"2017-12-01 13:16","6","NE","12"
"2017-12-01 13:36","10","N","15"
"2017-12-01 13:46","9","NNE","15"
"2017-12-01 13:57","13","NNE","17"
"2017-12-01 14:06","7","NE","17"
"2017-12-01 14:16","6","ENE","12"
"2017-12-01 14:26","7","NE","10"
"2017-12-01 14:36","6","N","13"
"2017-12-01 14:46","4","NNE","13"
"2017-12-01 14:57","4","N","9"
"2017-12-01 15:06","2","N","7"
"2017-12-01 15:16","8","N","11"
"2017-12-01 15:26","8","N","12"
"2017-12-01 15:36","6","N","8"
"2017-12-01 15:46","3","NNE","8"
"2017-12-01 15:57","1","NE","6"
"2017-12-01 16:06","3","NNE","5"
