"Time EST","Dew Point (°C)","Relative Humidity (%)"
"2018-02-01 00:06","-10.6","85"
"2018-02-01 00:16","-10.5","84"
"2018-02-01 00:26","-10.4","84"
"2018-02-01 00:36","-10.2","84"
"2018-02-01 00:46","-9.8","84"
"2018-02-01 00:56","-9.8","84"
"2018-02-01 01:06","-9.6","85"
"2018-02-01 01:16","-8.2","84"
"2018-02-01 01:26","-7.9","81"
"2018-02-01 01:36","-7.5","77"
"2018-02-01 01:46","-7.7","75"
"2018-02-01 01:56","-7.4","77"
"2018-02-01 02:06","-6.4","77"
"2018-02-01 02:16","-6.3","76"
"2018-02-01 02:26","-6.5","74"
"2018-02-01 02:36","-6.6","71"
"2018-02-01 02:46","-6.7","70"
"2018-02-01 02:56","-6.6","71"
"2018-02-01 03:06","-6.7","70"
"2018-02-01 03:16","-6.7","70"
"2018-02-01 03:26","-6.8","69"
"2018-02-01 03:36","-6.8","69"
"2018-02-01 03:46","-6.6","70"
"2018-02-01 03:56","-6.5","71"
"2018-02-01 04:06","-6.7","69"
"2018-02-01 04:16","-6.7","69"
"2018-02-01 04:26","-6.8","68"
"2018-02-01 04:36","-6.7","69"
"2018-02-01 04:46","-6.3","73"
"2018-02-01 04:56","-6.2","73"
"2018-02-01 05:06","-6.1","74"
"2018-02-01 05:16","-6.2","72"
"2018-02-01 05:26","-6.2","72"
"2018-02-01 05:36","-6.2","71"
"2018-02-01 05:46","-6.4","68"
"2018-02-01 05:56","-6.5","67"
"2018-02-01 06:06","-6.4","68"
"2018-02-01 06:16","-6.4","68"
"2018-02-01 06:26","-6.2","70"
"2018-02-01 06:36","-6.2","70"
"2018-02-01 06:46","-6.3","69"
"2018-02-01 06:56","-6.3","69"
"2018-02-01 07:06","-6.1","70"
"2018-02-01 07:16","-6.2","69"
"2018-02-01 07:26","-6.4","68"
"2018-02-01 07:36","-6.5","67"
"2018-02-01 07:46","-6.6","65"
"2018-02-01 07:56","-6.6","65"
"2018-02-01 08:06","-6.6","65"
"2018-02-01 08:16","-6.6","64"
"2018-02-01 08:26","-6.5","64"
"2018-02-01 08:36","-6.5","63"
"2018-02-01 08:46","-6.4","63"
"2018-02-01 08:56","-6.5","62"
"2018-02-01 09:06","-6.4","62"
"2018-02-01 09:16","-6.0","63"
"2018-02-01 09:26","-6.0","62"
"2018-02-01 09:36","-5.7","63"
"2018-02-01 09:46","-5.9","62"
"2018-02-01 09:56","-5.9","61"
"2018-02-01 10:06","-5.7","61"
"2018-02-01 10:16","-5.4","61"
"2018-02-01 10:26","-5.1","62"
"2018-02-01 10:36","-4.5","63"
"2018-02-01 10:46","-4.3","62"
"2018-02-01 10:56","-3.8","63"
"2018-02-01 11:06","-3.1","64"
"2018-02-01 11:16","-2.9","63"
"2018-02-01 11:26","-2.7","64"
"2018-02-01 11:36","-2.7","62"
"2018-02-01 11:46","-2.8","63"
"2018-02-01 11:56","-2.7","63"
"2018-02-01 12:06","-2.7","64"
"2018-02-01 12:16","-2.7","61"
"2018-02-01 12:26","-2.8","61"
"2018-02-01 12:36","-2.6","61"
"2018-02-01 12:46","-2.5","63"
"2018-02-01 12:56","-2.3","63"
"2018-02-01 13:06","-2.4","62"
"2018-02-01 13:16","-2.3","62"
"2018-02-01 13:26","-2.2","62"
"2018-02-01 13:36","-2.2","62"
"2018-02-01 13:46","-2.1","62"
"2018-02-01 13:56","-2.0","63"
"2018-02-01 14:06","-2.0","63"
"2018-02-01 14:16","-2.1","62"
"2018-02-01 14:26","-2.1","63"
"2018-02-01 14:36","-1.9","63"
"2018-02-01 14:46","-1.9","63"
"2018-02-01 14:56","-1.9","62"
"2018-02-01 15:06","-2.0","61"
"2018-02-01 15:16","-2.1","62"
"2018-02-01 15:26","-2.0","63"
"2018-02-01 15:36","-2.0","63"
"2018-02-01 15:46","-2.0","64"
"2018-02-01 15:56","-1.8","64"
"2018-02-01 16:06","-1.8","64"
"2018-02-01 16:16","-1.9","64"
"2018-02-01 16:26","-2.0","63"
"2018-02-01 16:36","-2.1","63"
"2018-02-01 16:46","-2.3","62"
"2018-02-01 16:56","-1.9","64"
"2018-02-01 17:06","-0.8","80"
"2018-02-01 17:16","-0.6","83"
"2018-02-01 17:26","-2.4","83"
"2018-02-01 17:36","-2.1","88"
"2018-02-01 17:46","-2.2","87"
"2018-02-01 17:56","-2.3","85"
"2018-02-01 18:06","-2.7","83"
"2018-02-01 18:16","-3.0","81"
"2018-02-01 18:26","-3.2","81"
"2018-02-01 18:36","-3.4","80"
"2018-02-01 18:46","-3.5","79"
"2018-02-01 18:56","-3.5","81"
"2018-02-01 19:06","-3.8","80"
