"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2018-02-01 00:06","2","SSW","6"
"2018-02-01 00:16","4","S","6"
"2018-02-01 00:26","7","SSW","10"
"2018-02-01 00:36","5","SW","9"
"2018-02-01 00:46","5","SW","9"
"2018-02-01 00:56","8","SW","11"
"2018-02-01 01:06","6","SW","10"
"2018-02-01 01:16","8","WSW","12"
"2018-02-01 01:26","9","SW","13"
"2018-02-01 01:36","10","WSW","14"
"2018-02-01 01:46","9","WSW","13"
"2018-02-01 01:56","10","WSW","14"
"2018-02-01 02:06","13","W","19"
"2018-02-01 02:16","16","W","19"
"2018-02-01 02:26","12","W","22"
"2018-02-01 02:36","14","WSW","19"
"2018-02-01 02:46","13","WSW","21"
"2018-02-01 02:56","9","WSW","15"
"2018-02-01 03:06","10","WSW","18"
"2018-02-01 03:16","13","WSW","17"
"2018-02-01 03:26","12","WSW","18"
"2018-02-01 03:36","12","WSW","17"
"2018-02-01 03:46","11","WSW","15"
"2018-02-01 03:56","9","WSW","15"
"2018-02-01 04:06","12","WSW","16"
"2018-02-01 04:16","8","WSW","14"
"2018-02-01 04:26","10","WSW","14"
"2018-02-01 04:36","10","WSW","14"
"2018-02-01 04:46","9","WSW","13"
"2018-02-01 04:56","9","WSW","14"
"2018-02-01 05:06","9","WSW","12"
"2018-02-01 05:16","9","WSW","14"
"2018-02-01 05:26","9","WSW","13"
"2018-02-01 05:36","9","WSW","13"
"2018-02-01 05:46","10","SW","15"
"2018-02-01 05:56","11","SW","14"
"2018-02-01 06:06","12","WSW","17"
"2018-02-01 06:16","10","SW","13"
"2018-02-01 06:26","8","SW","15"
"2018-02-01 06:36","9","SW","17"
"2018-02-01 06:46","13","SW","19"
"2018-02-01 06:56","11","SW","19"
"2018-02-01 07:06","10","WSW","17"
"2018-02-01 07:16","11","SW","20"
"2018-02-01 07:26","10","WSW","20"
"2018-02-01 07:36","9","SW","17"
"2018-02-01 07:46","11","WSW","18"
"2018-02-01 07:56","10","SW","18"
"2018-02-01 08:06","12","SW","18"
"2018-02-01 08:16","11","SW","18"
"2018-02-01 08:26","10","SW","17"
"2018-02-01 08:36","10","WSW","16"
