"Time EST","Air Temp (°C)"
"2018-01-01 00:06","-27.2"
"2018-01-01 00:16","-26.3"
"2018-01-01 00:26","-26.8"
"2018-01-01 00:36","-26.0"
"2018-01-01 00:46","-26.2"
"2018-01-01 00:57","-24.9"
"2018-01-01 01:06","-24.5"
"2018-01-01 01:16","-24.7"
"2018-01-01 01:26","-24.5"
"2018-01-01 01:36","-25.2"
"2018-01-01 01:46","-24.6"
"2018-01-01 01:57","-25.1"
"2018-01-01 02:06","-25.6"
"2018-01-01 02:16","-26.4"
"2018-01-01 02:26","-25.9"
"2018-01-01 02:36","-26.0"
"2018-01-01 02:46","-25.8"
"2018-01-01 02:57","-25.9"
"2018-01-01 03:06","-26.1"
"2018-01-01 03:16","-25.8"
"2018-01-01 03:26","-25.9"
"2018-01-01 03:36","-25.9"
"2018-01-01 03:46","-25.9"
"2018-01-01 03:57","-25.7"
"2018-01-01 04:06","-25.8"
"2018-01-01 04:16","-25.8"
"2018-01-01 04:26","-26.5"
"2018-01-01 04:36","-26.8"
"2018-01-01 04:46","-29.2"
"2018-01-01 04:57","-28.7"
"2018-01-01 05:06","-28.8"
"2018-01-01 05:16","-29.2"
"2018-01-01 05:26","-29.8"
"2018-01-01 05:36","-30.7"
"2018-01-01 05:46","-29.7"
"2018-01-01 05:57","-29.3"
"2018-01-01 06:06","-29.9"
"2018-01-01 06:16","-31.3"
"2018-01-01 06:26","-31.7"
"2018-01-01 06:36","-31.6"
"2018-01-01 06:46","-31.9"
"2018-01-01 06:57","-32.1"
"2018-01-01 07:06","-32.5"
"2018-01-01 07:16","-32.3"
"2018-01-01 07:26","-31.4"
"2018-01-01 07:36","-32.4"
"2018-01-01 07:46","-33.3"
"2018-01-01 07:57","-32.8"
"2018-01-01 08:06","-31.9"
"2018-01-01 08:16","-31.1"
"2018-01-01 08:26","-30.4"
"2018-01-01 08:36","-29.3"
"2018-01-01 08:46","-28.4"
"2018-01-01 08:57","-27.5"
"2018-01-01 09:06","-26.9"
"2018-01-01 09:16","-25.8"
"2018-01-01 09:26","-25.4"
"2018-01-01 09:36","-24.4"
"2018-01-01 09:46","-23.6"
"2018-01-01 09:57","-23.8"
"2018-01-01 10:06","-23.0"
"2018-01-01 10:16","-21.7"
"2018-01-01 10:26","-21.4"
"2018-01-01 10:36","-21.1"
"2018-01-01 10:46","-20.6"
"2018-01-01 10:57","-19.2"
"2018-01-01 11:06","-19.2"
"2018-01-01 11:16","-20.1"
"2018-01-01 11:26","-19.0"
"2018-01-01 11:36","-19.7"
"2018-01-01 11:46","-18.9"
"2018-01-01 11:57","-19.2"
"2018-01-01 12:06","-19.2"
"2018-01-01 12:16","-19.4"
"2018-01-01 12:26","-19.3"
"2018-01-01 12:36","-19.2"
"2018-01-01 12:46","-18.7"
"2018-01-01 12:57","-18.4"
"2018-01-01 13:06","-18.1"
"2018-01-01 13:16","-18.4"
"2018-01-01 13:26","-18.0"
"2018-01-01 13:36","-17.7"
"2018-01-01 13:46","-17.4"
"2018-01-01 13:57","-17.3"
"2018-01-01 14:06","-16.9"
"2018-01-01 14:16","-17.5"
"2018-01-01 14:26","-17.8"
"2018-01-01 14:36","-17.8"
"2018-01-01 14:46","-18.0"
"2018-01-01 14:57","-17.9"
"2018-01-01 15:06","-17.7"
"2018-01-01 15:16","-17.9"
"2018-01-01 15:26","-17.9"
"2018-01-01 15:36","-18.2"
"2018-01-01 15:46","-18.3"
"2018-01-01 15:57","-18.3"
"2018-01-01 16:06","-18.5"
"2018-01-01 16:16","-18.7"
"2018-01-01 16:26","-19.0"
"2018-01-01 16:36","-19.2"
"2018-01-01 16:46","-19.7"
"2018-01-01 16:57","-19.7"
"2018-01-01 17:06","-19.8"
"2018-01-01 17:16","-20.0"
"2018-01-01 17:26","-20.0"
"2018-01-01 17:36","-19.9"
"2018-01-01 17:46","-19.9"
"2018-01-01 17:57","-20.0"
"2018-01-01 18:06","-20.1"
"2018-01-01 18:16","-20.2"
"2018-01-01 18:26","-20.3"
"2018-01-01 18:36","-20.2"
"2018-01-01 18:46","-20.3"
"2018-01-01 18:57","-20.4"
"2018-01-01 19:06","-20.4"
"2018-01-01 19:16","-20.5"
"2018-01-01 19:26","-20.7"
"2018-01-01 19:36","-20.8"
"2018-01-01 19:46","-21.2"
"2018-01-01 19:57","-21.1"
"2018-01-01 20:06","-21.1"
"2018-01-01 20:16","-21.6"
"2018-01-01 20:26","-21.8"
"2018-01-01 20:36","-22.2"
"2018-01-01 20:46","-21.6"
"2018-01-01 20:57","-21.8"
"2018-01-01 21:06","-22.2"
"2018-01-01 21:16","-22.1"
"2018-01-01 21:26","-21.8"
"2018-01-01 21:36","-22.2"
"2018-01-01 21:46","-22.2"
"2018-01-01 21:57","-22.4"
"2018-01-01 22:06","-22.9"
"2018-01-01 22:16","-23.5"
"2018-01-01 22:26","-23.9"
"2018-01-01 22:36","-23.9"
"2018-01-01 22:46","-23.8"
"2018-01-01 22:57","-23.9"
"2018-01-01 23:06","-24.0"
"2018-01-01 23:16","-23.8"
"2018-01-01 23:26","-23.8"
"2018-01-01 23:36","-24.7"
"2018-01-01 23:46","-25.1"
"2018-01-01 23:57","-25.2"
"2018-01-02 00:06","-25.2"
"2018-01-02 00:16","-25.1"
"2018-01-02 00:26","-25.2"
"2018-01-02 00:36","-25.8"
"2018-01-02 00:46","-25.6"
"2018-01-02 00:57","-26.8"
"2018-01-02 01:06","-25.3"
"2018-01-02 01:16","-25.0"
"2018-01-02 01:26","-25.0"
"2018-01-02 01:36","-24.6"
"2018-01-02 01:46","-24.2"
"2018-01-02 01:57","-24.3"
"2018-01-02 02:06","-24.4"
"2018-01-02 02:16","-24.4"
"2018-01-02 02:26","-24.7"
"2018-01-02 02:36","-24.8"
"2018-01-02 02:46","-25.4"
"2018-01-02 02:57","-25.6"
"2018-01-02 03:06","-26.0"
"2018-01-02 03:16","-27.5"
"2018-01-02 03:26","-28.0"
"2018-01-02 03:36","-26.5"
"2018-01-02 03:46","-26.3"
"2018-01-02 03:57","-26.6"
"2018-01-02 04:06","-26.4"
"2018-01-02 04:16","-26.7"
"2018-01-02 04:26","-26.8"
"2018-01-02 04:36","-26.9"
"2018-01-02 04:46","-26.5"
"2018-01-02 04:57","-26.8"
"2018-01-02 05:06","-27.3"
"2018-01-02 05:16","-27.7"
"2018-01-02 05:26","-26.9"
"2018-01-02 05:36","-27.3"
"2018-01-02 05:46","-26.7"
"2018-01-02 05:57","-26.7"
"2018-01-02 06:06","-27.1"
"2018-01-02 06:16","-27.2"
"2018-01-02 06:26","-27.2"
"2018-01-02 06:36","-26.4"
"2018-01-02 06:46","-26.0"
"2018-01-02 06:57","-25.8"
"2018-01-02 07:06","-25.9"
"2018-01-02 07:16","-25.7"
"2018-01-02 07:26","-25.3"
"2018-01-02 07:36","-25.1"
"2018-01-02 07:46","-24.7"
"2018-01-02 07:58","-24.4"
"2018-01-02 08:06","-24.0"
"2018-01-02 08:16","-23.7"
"2018-01-02 08:26","-23.4"
"2018-01-02 08:36","-23.1"
"2018-01-02 08:46","-22.8"
"2018-01-02 08:57","-22.2"
"2018-01-02 09:06","-22.1"
"2018-01-02 09:16","-21.6"
"2018-01-02 09:26","-21.5"
"2018-01-02 09:36","-21.4"
"2018-01-02 09:46","-21.1"
"2018-01-02 09:58","-20.8"
"2018-01-02 10:06","-20.5"
"2018-01-02 10:16","-20.1"
"2018-01-02 10:26","-19.8"
"2018-01-02 10:36","-19.4"
"2018-01-02 10:46","-19.2"
"2018-01-02 10:58","-18.9"
"2018-01-02 11:06","-18.6"
"2018-01-02 11:16","-18.2"
"2018-01-02 11:26","-17.9"
"2018-01-02 11:36","-17.7"
"2018-01-02 11:46","-17.3"
"2018-01-02 11:58","-16.6"
"2018-01-02 12:06","-16.1"
"2018-01-02 12:16","-15.6"
"2018-01-02 12:26","-15.2"
"2018-01-02 12:36","-14.7"
"2018-01-02 12:46","-14.4"
"2018-01-02 12:58","-13.6"
"2018-01-02 13:06","-13.2"
"2018-01-02 13:16","-12.6"
"2018-01-02 13:26","-12.3"
"2018-01-02 13:36","-12.0"
"2018-01-02 13:46","-11.7"
"2018-01-02 13:57","-11.4"
"2018-01-02 14:06","-11.2"
"2018-01-02 14:16","-11.0"
"2018-01-02 14:26","-10.8"
"2018-01-02 14:36","-10.5"
"2018-01-02 14:46","-10.3"
"2018-01-02 14:56","-10.0"
"2018-01-02 15:06","-9.8"
"2018-01-02 15:16","-9.6"
"2018-01-02 15:26","-9.5"
"2018-01-02 15:36","-9.3"
"2018-01-02 15:46","-9.3"
"2018-01-02 15:58","-8.9"
"2018-01-02 16:06","-8.6"
"2018-01-02 16:16","-8.2"
"2018-01-02 16:26","-7.7"
"2018-01-02 16:36","-7.6"
"2018-01-02 16:46","-7.5"
"2018-01-02 16:58","-7.3"
"2018-01-02 17:06","-7.4"
"2018-01-02 17:16","-7.3"
"2018-01-02 17:26","-7.1"
"2018-01-02 17:36","-7.0"
"2018-01-02 17:46","-6.9"
"2018-01-02 17:58","-6.8"
"2018-01-02 18:06","-6.8"
"2018-01-02 18:16","-6.8"
"2018-01-02 18:26","-6.7"
"2018-01-02 18:36","-6.8"
"2018-01-02 18:46","-6.7"
"2018-01-02 18:58","-6.8"
"2018-01-02 19:06","-6.8"
"2018-01-02 19:16","-6.7"
"2018-01-02 19:26","-6.6"
"2018-01-02 19:36","-6.7"
"2018-01-02 19:46","-6.6"
"2018-01-02 19:58","-6.6"
"2018-01-02 20:06","-6.5"
"2018-01-02 20:16","-6.6"
"2018-01-02 20:26","-6.6"
"2018-01-02 20:36","-6.5"
"2018-01-02 20:46","-6.5"
"2018-01-02 20:58","-6.6"
"2018-01-02 21:06","-6.7"
"2018-01-02 21:16","-6.8"
"2018-01-02 21:26","-6.8"
"2018-01-02 21:36","-6.9"
"2018-01-02 21:46","-6.9"
"2018-01-02 21:58","-7.0"
"2018-01-02 22:06","-7.0"
"2018-01-02 22:16","-7.0"
"2018-01-02 22:26","-7.1"
"2018-01-02 22:36","-7.1"
"2018-01-02 22:46","-7.1"
"2018-01-02 22:56","-7.1"
"2018-01-02 23:06","-7.1"
"2018-01-02 23:16","-7.1"
"2018-01-02 23:26","-7.1"
"2018-01-02 23:36","-7.1"
"2018-01-02 23:46","-7.1"
"2018-01-02 23:56","-7.1"
"2018-01-03 00:06","-7.1"
"2018-01-03 00:16","-7.1"
"2018-01-03 00:26","-7.1"
"2018-01-03 00:36","-7.2"
"2018-01-03 00:46","-7.1"
"2018-01-03 00:56","-7.2"
"2018-01-03 01:06","-7.2"
"2018-01-03 01:16","-7.2"
"2018-01-03 01:26","-7.2"
"2018-01-03 01:36","-7.3"
"2018-01-03 01:46","-7.3"
"2018-01-03 01:58","-7.3"
"2018-01-03 02:06","-7.3"
"2018-01-03 02:16","-7.3"
"2018-01-03 02:26","-7.3"
"2018-01-03 02:38","-7.3"
"2018-01-03 02:46","-7.5"
"2018-01-03 02:56","-7.5"
"2018-01-03 03:06","-7.6"
"2018-01-03 03:16","-7.5"
"2018-01-03 03:26","-7.5"
"2018-01-03 03:36","-7.6"
"2018-01-03 03:46","-7.6"
"2018-01-03 03:56","-7.8"
"2018-01-03 04:06","-7.6"
"2018-01-03 04:16","-7.7"
"2018-01-03 04:26","-8.0"
"2018-01-03 04:36","-8.7"
"2018-01-03 04:46","-8.9"
"2018-01-03 04:56","-8.3"
