"Time EST","Pressure (kPa)"
"2018-01-01 00:06","89.16"
"2018-01-01 00:16","89.20"
"2018-01-01 00:26","89.16"
"2018-01-01 00:36","89.15"
"2018-01-01 00:46","89.17"
"2018-01-01 00:57","89.16"
"2018-01-01 01:06","89.15"
"2018-01-01 01:16","89.15"
"2018-01-01 01:26","89.05"
"2018-01-01 01:36","89.19"
"2018-01-01 01:46","89.14"
"2018-01-01 01:57","89.14"
"2018-01-01 02:06","89.19"
"2018-01-01 02:16","89.16"
"2018-01-01 02:26","89.19"
"2018-01-01 02:36","89.18"
"2018-01-01 02:46","89.18"
"2018-01-01 02:57","89.04"
"2018-01-01 03:06","89.19"
"2018-01-01 03:16","89.19"
"2018-01-01 03:26","89.08"
"2018-01-01 03:36","89.20"
"2018-01-01 03:46","89.17"
"2018-01-01 03:57","89.07"
"2018-01-01 04:06","89.20"
"2018-01-01 04:16","89.19"
"2018-01-01 04:26","89.18"
"2018-01-01 04:36","89.08"
"2018-01-01 04:46","89.17"
"2018-01-01 04:57","89.18"
"2018-01-01 05:06","89.19"
"2018-01-01 05:16","89.18"
"2018-01-01 05:26","89.16"
"2018-01-01 05:36","89.18"
"2018-01-01 05:46","89.18"
"2018-01-01 05:57","89.16"
"2018-01-01 06:06","89.21"
"2018-01-01 06:16","89.18"
"2018-01-01 06:26","89.18"
"2018-01-01 06:36","89.19"
"2018-01-01 06:46","89.18"
"2018-01-01 06:57","89.16"
"2018-01-01 07:06","89.19"
"2018-01-01 07:16","89.21"
"2018-01-01 07:26","89.18"
"2018-01-01 07:36","89.18"
"2018-01-01 07:46","89.17"
"2018-01-01 07:57","89.21"
"2018-01-01 08:06","89.17"
"2018-01-01 08:16","89.17"
"2018-01-01 08:26","89.19"
"2018-01-01 08:36","89.15"
"2018-01-01 08:46","89.22"
"2018-01-01 08:57","89.17"
"2018-01-01 09:06","89.13"
"2018-01-01 09:16","89.16"
"2018-01-01 09:26","89.10"
"2018-01-01 09:36","89.15"
"2018-01-01 09:46","89.15"
"2018-01-01 09:57","89.21"
"2018-01-01 10:06","89.20"
"2018-01-01 10:16","89.14"
"2018-01-01 10:26","89.20"
"2018-01-01 10:36","89.18"
"2018-01-01 10:46","89.19"
"2018-01-01 10:57","89.72"
"2018-01-01 11:06","89.19"
"2018-01-01 11:16","89.12"
"2018-01-01 11:26","88.97"
