"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2018-01-01 00:06","4","NW","5"
"2018-01-01 00:16","5","NW","6"
"2018-01-01 00:26","5","NW","7"
"2018-01-01 00:36","5","NNW","7"
"2018-01-01 00:46","6","NNW","8"
"2018-01-01 00:57","7","NNW","9"
"2018-01-01 01:06","8","NNW","10"
"2018-01-01 01:16","7","NNW","10"
"2018-01-01 01:26","6","N","9"
"2018-01-01 01:36","6","NNW","9"
"2018-01-01 01:46","6","NNW","8"
"2018-01-01 01:57","4","NNW","7"
"2018-01-01 02:06","6","N","9"
"2018-01-01 02:16","8","NNW","10"
"2018-01-01 02:26","8","NNW","10"
"2018-01-01 02:36","6","NW","10"
"2018-01-01 02:46","6","NW","9"
"2018-01-01 02:57","9","NNW","10"
"2018-01-01 03:06","9","NNW","11"
"2018-01-01 03:16","8","NNW","10"
"2018-01-01 03:26","9","NNW","11"
"2018-01-01 03:36","10","NNW","13"
"2018-01-01 03:46","8","NNW","13"
"2018-01-01 03:57","6","NNW","10"
"2018-01-01 04:06","4","NW","8"
"2018-01-01 04:16","4","NW","6"
"2018-01-01 04:26","4","NW","8"
"2018-01-01 04:36","4","WNW","5"
"2018-01-01 04:46","4","W","6"
"2018-01-01 04:57","4","W","5"
"2018-01-01 05:06","3","WNW","5"
"2018-01-01 05:16","4","WNW","5"
"2018-01-01 05:26","4","W","5"
"2018-01-01 05:36","6","W","8"
"2018-01-01 05:46","4","WSW","6"
"2018-01-01 05:57","7","WSW","9"
"2018-01-01 06:06","6","WSW","8"
"2018-01-01 06:16","6","W","7"
"2018-01-01 06:26","5","W","8"
"2018-01-01 06:36","5","W","6"
"2018-01-01 06:46","4","W","5"
"2018-01-01 06:57","4","W","5"
"2018-01-01 07:06","6","W","6"
"2018-01-01 07:16","5","WNW","8"
"2018-01-01 07:26","4","W","6"
"2018-01-01 07:36","5","WNW","6"
"2018-01-01 07:46","6","WNW","7"
"2018-01-01 07:57","5","WNW","8"
"2018-01-01 08:06","5","W","6"
"2018-01-01 08:16","5","WSW","6"
"2018-01-01 08:26","5","WSW","7"
"2018-01-01 08:36","6","WSW","9"
"2018-01-01 08:46","5","WSW","8"
"2018-01-01 08:57","5","W","6"
"2018-01-01 09:06","4","W","6"
"2018-01-01 09:16","3","W","6"
"2018-01-01 09:26","7","WSW","9"
"2018-01-01 09:36","3","WSW","7"
"2018-01-01 09:46","1","SW","5"
"2018-01-01 09:57","12","WSW","16"
"2018-01-01 10:06","5","WSW","14"
"2018-01-01 10:16","7","WSW","10"
"2018-01-01 10:26","6","WSW","11"
"2018-01-01 10:36","5","WSW","10"
"2018-01-01 10:46","4","WSW","8"
"2018-01-01 10:57","3","SW","6"
"2018-01-01 11:06","0","WSW","3"
"2018-01-01 11:16","0","SW","1"
"2018-01-01 11:26","0","W","0"
"2018-01-01 11:36","0","N","3"
"2018-01-01 11:46","0","SW","3"
"2018-01-01 11:57","1","SE","6"
"2018-01-01 12:06","3","SE","6"
"2018-01-01 12:16","3","SE","6"
"2018-01-01 12:26","5","SE","6"
"2018-01-01 12:36","3","E","9"
"2018-01-01 12:46","2","ESE","6"
"2018-01-01 12:57","0","S","6"
"2018-01-01 13:06","0","S","3"
"2018-01-01 13:16","2","ESE","6"
"2018-01-01 13:26","5","SE","9"
"2018-01-01 13:36","2","SSW","8"
"2018-01-01 13:46","2","SE","7"
"2018-01-01 13:57","3","SSE","11"
"2018-01-01 14:06","7","SSE","10"
"2018-01-01 14:16","9","SE","12"
"2018-01-01 14:26","10","SE","13"
"2018-01-01 14:36","8","SE","10"
"2018-01-01 14:46","8","SSE","10"
"2018-01-01 14:57","6","SE","10"
"2018-01-01 15:06","7","SE","10"
"2018-01-01 15:16","6","SE","10"
"2018-01-01 15:26","6","SE","9"
"2018-01-01 15:36","5","ESE","10"
"2018-01-01 15:46","6","SE","9"
"2018-01-01 15:57","5","SE","8"
"2018-01-01 16:06","6","SSE","7"
"2018-01-01 16:16","5","SSE","8"
"2018-01-01 16:26","6","SE","8"
"2018-01-01 16:36","6","SSE","8"
"2018-01-01 16:46","7","SE","9"
"2018-01-01 16:57","5","SSE","9"
"2018-01-01 17:06","5","SSE","7"
"2018-01-01 17:16","2","SSE","5"
"2018-01-01 17:26","4","SSE","6"
"2018-01-01 17:36","1","SSE","4"
"2018-01-01 17:46","0","SE","0"
"2018-01-01 17:57","0","SE","0"
"2018-01-01 18:06","0","SE","0"
"2018-01-01 18:16","0","SE","3"
"2018-01-01 18:26","0","SSE","0"
"2018-01-01 18:36","0","SE","0"
"2018-01-01 18:46","0","SE","0"
"2018-01-01 18:57","0","E","0"
"2018-01-01 19:06","0","ENE","0"
"2018-01-01 19:16","0","ENE","0"
"2018-01-01 19:26","0","E","0"
"2018-01-01 19:36","0","E","0"
"2018-01-01 19:46","0","ENE","0"
"2018-01-01 19:57","0","ENE","0"
"2018-01-01 20:06","0","NE","0"
"2018-01-01 20:16","0","NE","0"
"2018-01-01 20:26","0","NE","1"
"2018-01-01 20:36","5","NE","7"
"2018-01-01 20:46","5","NE","7"
"2018-01-01 20:57","0","NE","5"
"2018-01-01 21:06","5","NE","6"
"2018-01-01 21:16","5","NNE","7"
"2018-01-01 21:26","5","NE","6"
"2018-01-01 21:36","1","NE","6"
"2018-01-01 21:46","0","NNE","5"
"2018-01-01 21:57","0","NE","0"
"2018-01-01 22:06","0","N","0"
"2018-01-01 22:16","0","N","0"
"2018-01-01 22:26","0","NNW","0"
"2018-01-01 22:36","0","NW","0"
"2018-01-01 22:46","0","NW","0"
"2018-01-01 22:57","0","NW","0"
"2018-01-01 23:06","0","NW","0"
"2018-01-01 23:16","0","NNW","0"
"2018-01-01 23:26","0","N","0"
"2018-01-01 23:36","0","NW","0"
"2018-01-01 23:46","0","W","0"
"2018-01-01 23:57","0","WNW","0"
