"Time EST","Dew Point (°C)","Relative Humidity (%)"
"2017-12-01 00:00","1.0","93"
"2017-12-01 00:10","0.9","93"
"2017-12-01 00:20","0.9","93"
"2017-12-01 00:30","0.9","93"
"2017-12-01 00:40","0.8","93"
"2017-12-01 00:50","0.8","93"
"2017-12-01 00:55","0.8","93"
"2017-12-01 01:00","0.8","93"
"2017-12-01 01:10","0.8","93"
"2017-12-01 01:20","0.8","93"
"2017-12-01 01:30","0.7","93"
"2017-12-01 01:40","0.7","93"
"2017-12-01 01:50","0.7","93"
"2017-12-01 01:55","0.7","93"
"2017-12-01 02:00","0.7","93"
"2017-12-01 02:10","0.6","93"
"2017-12-01 02:20","0.6","93"
"2017-12-01 02:30","0.5","92"
"2017-12-01 02:40","0.5","92"
"2017-12-01 02:50","0.4","92"
"2017-12-01 02:55","0.4","92"
"2017-12-01 03:00","0.4","92"
"2017-12-01 03:10","0.3","92"
"2017-12-01 03:30","0.1","91"
"2017-12-01 03:50","-0.1","90"
"2017-12-01 03:55","-0.1","90"
"2017-12-01 04:10","-0.2","90"
"2017-12-01 04:30","-0.3","90"
"2017-12-01 04:50","-0.4","90"
"2017-12-01 04:55","-0.4","90"
"2017-12-01 05:10","-0.5","90"
"2017-12-01 05:30","-0.6","89"
"2017-12-01 05:50","-0.7","89"
"2017-12-01 05:55","-0.8","88"
"2017-12-01 06:10","-0.8","88"
"2017-12-01 06:30","-0.9","87"
"2017-12-01 06:50","-1.0","87"
"2017-12-01 06:55","-1.2","86"
"2017-12-01 07:10","-2.4","79"
"2017-12-01 07:30","-2.6","79"
"2017-12-01 07:50","-2.5","80"
"2017-12-01 07:55","-2.3","81"
"2017-12-01 08:10","-1.9","83"
"2017-12-01 08:30","-1.8","83"
"2017-12-01 08:50","-1.8","82"
"2017-12-01 08:55","-1.7","82"
"2017-12-01 09:10","-1.8","80"
"2017-12-01 09:30","-2.4","76"
"2017-12-01 09:50","-3.2","71"
"2017-12-01 09:55","-3.4","70"
"2017-12-01 10:10","-3.1","68"
"2017-12-01 10:30","-3.9","63"
"2017-12-01 10:50","-3.5","64"
"2017-12-01 10:55","-3.6","63"
"2017-12-01 11:10","-3.2","65"
"2017-12-01 11:30","-3.8","62"
"2017-12-01 11:50","-4.0","58"
"2017-12-01 11:55","-4.8","55"
"2017-12-01 12:10","-4.6","55"
"2017-12-01 12:30","-4.0","57"
"2017-12-01 12:50","-4.2","56"
"2017-12-01 12:55","-4.1","57"
"2017-12-01 13:10","-3.8","58"
"2017-12-01 13:30","-3.7","58"
"2017-12-01 13:40","-3.8","58"
"2017-12-01 13:50","-3.7","59"
"2017-12-01 13:55","-3.8","58"
"2017-12-01 14:00","-3.8","58"
"2017-12-01 14:10","-4.2","57"
"2017-12-01 14:20","-4.1","57"
"2017-12-01 14:30","-3.7","59"
"2017-12-01 14:40","-4.0","58"
"2017-12-01 14:50","-3.7","60"
"2017-12-01 14:55","-3.7","60"
"2017-12-01 15:00","-3.7","60"
"2017-12-01 15:10","-3.6","61"
"2017-12-01 15:20","-3.4","62"
"2017-12-01 15:30","-3.2","64"
"2017-12-01 15:40","-3.3","64"
"2017-12-01 15:50","-3.2","64"
"2017-12-01 15:55","-3.2","64"
"2017-12-01 16:00","-3.2","64"
"2017-12-01 16:10","-3.1","66"
"2017-12-01 16:20","-3.1","66"
"2017-12-01 16:30","-3.2","66"
"2017-12-01 16:40","-3.1","66"
"2017-12-01 16:50","-3.1","67"
"2017-12-01 16:55","-3.0","68"
"2017-12-01 17:00","-3.0","68"
"2017-12-01 17:10","-2.9","69"
"2017-12-01 17:20","-2.9","70"
"2017-12-01 17:30","-2.7","71"
"2017-12-01 17:40","-2.7","71"
"2017-12-01 17:50","-2.5","73"
"2017-12-01 17:55","-2.4","73"
"2017-12-01 18:00","-2.4","73"
"2017-12-01 18:10","-2.3","73"
"2017-12-01 18:20","-2.3","73"
"2017-12-01 18:30","-2.2","74"
"2017-12-01 18:40","-2.1","74"
"2017-12-01 18:50","-2.0","75"
"2017-12-01 18:55","-2.0","76"
"2017-12-01 19:00","-2.0","76"
"2017-12-01 19:10","-1.9","76"
"2017-12-01 19:20","-2.0","77"
"2017-12-01 19:30","-1.9","78"
"2017-12-01 19:40","-2.0","78"
"2017-12-01 19:50","-2.0","79"
"2017-12-01 19:55","-1.9","80"
"2017-12-01 20:00","-1.9","80"
"2017-12-01 20:10","-1.9","80"
"2017-12-01 20:20","-1.9","80"
"2017-12-01 20:30","-1.8","81"
"2017-12-01 20:40","-1.8","81"
"2017-12-01 20:50","-1.7","81"
"2017-12-01 20:55","-1.7","80"
"2017-12-01 21:00","-1.7","80"
"2017-12-01 21:10","-1.8","80"
"2017-12-01 21:20","-1.8","80"
"2017-12-01 21:30","-1.8","81"
"2017-12-01 21:40","-1.8","81"
"2017-12-01 21:50","-1.7","82"
"2017-12-01 21:55","-1.7","82"
"2017-12-01 22:00","-1.7","82"
"2017-12-01 22:10","-1.7","82"
"2017-12-01 22:20","-1.6","82"
"2017-12-01 22:30","-1.5","83"
"2017-12-01 22:40","-1.5","82"
"2017-12-01 22:50","-1.5","83"
"2017-12-01 22:55","-1.5","83"
"2017-12-01 23:00","-1.5","83"
"2017-12-01 23:10","-1.5","83"
"2017-12-01 23:20","-1.4","83"
"2017-12-01 23:30","-1.5","83"
"2017-12-01 23:40","-1.6","83"
"2017-12-01 23:50","-1.5","84"
"2017-12-01 23:55","-1.5","84"
"2017-12-02 00:00","-1.5","84"
"2017-12-02 00:10","-1.5","84"
"2017-12-02 00:20","-1.6","84"
"2017-12-02 00:30","-1.5","84"
"2017-12-02 00:40","-1.6","84"
"2017-12-02 00:50","-1.8","85"
"2017-12-02 00:55","-1.8","85"
"2017-12-02 00:56","-1.7","85"
"2017-12-02 01:00","-1.7","85"
"2017-12-02 01:10","-1.6","87"
"2017-12-02 01:20","-1.5","87"
"2017-12-02 01:30","-1.4","88"
"2017-12-02 01:40","-1.4","88"
"2017-12-02 01:50","-1.4","88"
"2017-12-02 01:55","-1.3","88"
"2017-12-02 02:00","-1.3","88"
"2017-12-02 02:10","-1.3","89"
"2017-12-02 02:20","-1.3","89"
"2017-12-02 02:30","-1.1","89"
"2017-12-02 02:40","-1.1","89"
"2017-12-02 02:50","-0.9","89"
"2017-12-02 02:55","-0.9","89"
"2017-12-02 02:56","-0.9","89"
"2017-12-02 03:00","-0.9","89"
"2017-12-02 03:10","-0.9","89"
"2017-12-02 03:20","-0.8","89"
"2017-12-02 03:30","-0.9","89"
"2017-12-02 03:40","-0.7","89"
"2017-12-02 03:50","-0.7","89"
"2017-12-02 03:55","-0.7","89"
"2017-12-02 03:56","-0.7","88"
"2017-12-02 04:00","-0.7","88"
"2017-12-02 04:10","-0.7","88"
"2017-12-02 04:20","-0.7","88"
"2017-12-02 04:30","-0.7","88"
"2017-12-02 04:40","-0.7","87"
"2017-12-02 04:50","-0.7","88"
"2017-12-02 04:55","-0.7","88"
"2017-12-02 05:00","-0.7","88"
"2017-12-02 05:10","-0.7","87"
"2017-12-02 05:20","-0.7","87"
"2017-12-02 05:30","-0.8","87"
"2017-12-02 05:40","-0.7","87"
"2017-12-02 05:50","-0.7","87"
"2017-12-02 05:55","-0.7","87"
"2017-12-02 06:00","-0.7","87"
"2017-12-02 06:10","-0.7","87"
"2017-12-02 06:20","-0.7","87"
"2017-12-02 06:30","-0.7","86"
"2017-12-02 06:40","-0.6","86"
"2017-12-02 06:50","-0.7","86"
"2017-12-02 06:55","-0.7","86"
"2017-12-02 07:00","-0.7","86"
"2017-12-02 07:10","-0.9","85"
"2017-12-02 07:20","-0.9","86"
"2017-12-02 07:30","-1.0","86"
"2017-12-02 07:40","-1.1","86"
"2017-12-02 07:50","-1.2","86"
"2017-12-02 07:55","-1.3","86"
"2017-12-02 08:00","-1.3","86"
"2017-12-02 08:10","-0.9","86"
"2017-12-02 08:20","-0.9","85"
"2017-12-02 08:30","-0.9","82"
"2017-12-02 08:40","-1.1","81"
"2017-12-02 08:50","-1.2","81"
"2017-12-02 08:55","-1.3","81"
"2017-12-02 09:00","-1.3","81"
"2017-12-02 09:10","-1.3","81"
"2017-12-02 09:20","-1.2","81"
"2017-12-02 09:30","-1.1","81"
"2017-12-02 09:40","-1.0","80"
"2017-12-02 09:50","-1.0","79"
"2017-12-02 09:55","-1.0","79"
"2017-12-02 10:00","-1.0","79"
"2017-12-02 10:10","-0.9","79"
"2017-12-02 10:20","-0.8","79"
"2017-12-02 10:30","-0.7","78"
"2017-12-02 10:40","-0.7","79"
"2017-12-02 10:50","-0.4","80"
"2017-12-02 10:55","-0.4","80"
"2017-12-02 11:00","-0.4","80"
"2017-12-02 11:10","-0.1","81"
"2017-12-02 11:20","0.0","81"
"2017-12-02 11:30","0.1","81"
"2017-12-02 11:40","0.2","81"
"2017-12-02 11:50","0.2","79"
"2017-12-02 11:55","0.2","79"
"2017-12-02 11:56","0.2","78"
"2017-12-02 12:00","0.2","78"
"2017-12-02 12:10","0.3","78"
"2017-12-02 12:20","0.3","77"
"2017-12-02 12:30","0.5","79"
"2017-12-02 12:40","0.6","79"
"2017-12-02 12:50","0.5","78"
"2017-12-02 12:55","0.6","78"
"2017-12-02 13:00","0.6","78"
"2017-12-02 13:10","0.7","78"
"2017-12-02 13:20","0.7","77"
"2017-12-02 13:30","0.8","76"
"2017-12-02 13:40","0.7","75"
"2017-12-02 13:50","0.6","74"
"2017-12-02 13:55","0.6","74"
"2017-12-02 14:00","0.6","74"
