"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2017-12-01 00:00","7","S","10"
"2017-12-01 00:10","5","S","8"
"2017-12-01 00:20","4","S","7"
"2017-12-01 00:30","4","SSW","7"
"2017-12-01 00:40","6","S","14"
"2017-12-01 00:50","5","S","11"
"2017-12-01 00:55","6","S","9"
"2017-12-01 01:00","6","S","9"
"2017-12-01 01:10","4","SSW","9"
"2017-12-01 01:20","6","SSW","10"
"2017-12-01 01:30","5","SSW","8"
"2017-12-01 01:40","4","SSW","10"
"2017-12-01 01:50","6","SSW","9"
"2017-12-01 01:55","5","SSW","7"
"2017-12-01 02:00","5","SSW","7"
"2017-12-01 02:10","6","SW","10"
"2017-12-01 02:20","4","SW","6"
"2017-12-01 02:30","4","SSW","8"
"2017-12-01 02:40","5","SSW","9"
"2017-12-01 02:50","5","SSW","7"
"2017-12-01 02:55","6","SSW","10"
"2017-12-01 03:00","6","SSW","10"
"2017-12-01 03:10","5","SW","10"
"2017-12-01 03:30","6","SSW","10"
"2017-12-01 03:50","3","S","5"
"2017-12-01 03:55","3","S","5"
"2017-12-01 04:10","3","SSW","5"
"2017-12-01 04:30","4","S","6"
"2017-12-01 04:50","3","S","5"
"2017-12-01 04:55","4","S","5"
"2017-12-01 05:10","4","S","5"
"2017-12-01 05:30","5","S","8"
"2017-12-01 05:50","3","SSW","5"
"2017-12-01 05:55","1","SSW","3"
"2017-12-01 06:10","4","SW","8"
"2017-12-01 06:30","2","SW","5"
"2017-12-01 06:50","3","W","5"
"2017-12-01 06:55","6","W","10"
"2017-12-01 07:10","5","W","9"
"2017-12-01 07:30","0","WNW","0"
"2017-12-01 07:50","1","W","3"
"2017-12-01 07:55","1","SW","2"
"2017-12-01 08:10","0","NNW","2"
"2017-12-01 08:30","0","NNW","0"
"2017-12-01 08:50","1","S","4"
"2017-12-01 08:55","2","S","3"
"2017-12-01 09:10","2","SSE","4"
"2017-12-01 09:30","5","S","8"
"2017-12-01 09:50","2","SE","6"
"2017-12-01 09:55","4","SE","8"
"2017-12-01 10:10","1","SE","3"
"2017-12-01 10:30","3","SSE","7"
"2017-12-01 10:50","6","S","9"
"2017-12-01 10:55","6","SSE","11"
"2017-12-01 11:10","3","SSE","5"
"2017-12-01 11:30","6","S","13"
"2017-12-01 11:50","6","SSE","9"
"2017-12-01 11:55","6","SSE","11"
"2017-12-01 12:10","9","SSE","15"
"2017-12-01 12:30","7","SSE","12"
"2017-12-01 12:50","8","S","12"
"2017-12-01 12:55","6","S","8"
"2017-12-01 13:10","6","S","12"
"2017-12-01 13:30","5","S","8"
"2017-12-01 13:40","6","SSE","12"
"2017-12-01 13:50","5","SSE","8"
"2017-12-01 13:55","5","S","8"
"2017-12-01 14:00","5","S","8"
"2017-12-01 14:10","7","SSE","10"
"2017-12-01 14:20","7","SE","10"
"2017-12-01 14:30","4","S","8"
"2017-12-01 14:40","7","SSE","10"
"2017-12-01 14:50","6","SE","10"
"2017-12-01 14:55","6","SSE","9"
"2017-12-01 15:00","6","SSE","9"
"2017-12-01 15:10","4","SSE","9"
"2017-12-01 15:20","6","SSE","10"
"2017-12-01 15:30","4","SSE","8"
"2017-12-01 15:40","5","SSE","7"
"2017-12-01 15:50","5","SE","8"
"2017-12-01 15:55","4","SE","6"
"2017-12-01 16:00","4","SE","6"
"2017-12-01 16:10","3","SSE","6"
"2017-12-01 16:20","3","SE","6"
"2017-12-01 16:30","3","SE","6"
"2017-12-01 16:40","3","ESE","5"
"2017-12-01 16:50","2","SE","6"
"2017-12-01 16:55","1","SSE","4"
"2017-12-01 17:00","1","SSE","4"
"2017-12-01 17:10","2","SSE","5"
"2017-12-01 17:20","3","SSE","5"
"2017-12-01 17:30","2","SSE","5"
"2017-12-01 17:40","3","S","6"
"2017-12-01 17:50","4","S","5"
"2017-12-01 17:55","4","SSE","7"
"2017-12-01 18:00","4","SSE","7"
"2017-12-01 18:10","6","SSE","9"
"2017-12-01 18:20","6","SSE","10"
"2017-12-01 18:30","6","SSE","11"
"2017-12-01 18:40","6","SSE","12"
"2017-12-01 18:50","6","SSE","12"
"2017-12-01 18:55","5","S","7"
"2017-12-01 19:00","5","S","7"
"2017-12-01 19:10","5","SSE","9"
"2017-12-01 19:20","4","SSE","8"
"2017-12-01 19:30","4","SSE","6"
"2017-12-01 19:40","3","S","6"
"2017-12-01 19:50","4","SSE","6"
"2017-12-01 19:55","4","SSE","7"
"2017-12-01 20:00","4","SSE","7"
"2017-12-01 20:10","4","SSE","7"
"2017-12-01 20:20","4","S","6"
"2017-12-01 20:30","5","SSE","7"
"2017-12-01 20:40","5","S","8"
"2017-12-01 20:50","5","SSE","8"
"2017-12-01 20:55","5","SSE","8"
"2017-12-01 21:00","5","SSE","8"
"2017-12-01 21:10","4","SSE","6"
"2017-12-01 21:20","4","S","6"
"2017-12-01 21:30","6","SSE","8"
"2017-12-01 21:40","5","SSE","7"
"2017-12-01 21:50","6","SSE","8"
"2017-12-01 21:55","5","SSE","8"
"2017-12-01 22:00","5","SSE","8"
"2017-12-01 22:10","4","S","6"
"2017-12-01 22:20","4","SSE","6"
"2017-12-01 22:30","7","SSE","10"
