"Time EST","Dew Point (°C)","Relative Humidity (%)"
"2018-02-01 00:00","-2.6","99"
"2018-02-01 00:10","-2.6","99"
"2018-02-01 00:20","-2.4","99"
"2018-02-01 00:30","-2.4","99"
"2018-02-01 00:40","-2.4","99"
"2018-02-01 00:50","-2.3","98"
"2018-02-01 00:55","-2.4","97"
"2018-02-01 01:00","-2.5","96"
"2018-02-01 01:10","-2.8","95"
"2018-02-01 01:20","-3.0","94"
"2018-02-01 01:30","-3.2","94"
"2018-02-01 01:40","-3.3","94"
"2018-02-01 01:50","-3.3","93"
"2018-02-01 01:55","-3.3","92"
"2018-02-01 02:00","-3.3","92"
"2018-02-01 02:10","-3.4","92"
"2018-02-01 02:20","-3.4","92"
"2018-02-01 02:30","-3.3","92"
"2018-02-01 02:40","-3.2","93"
"2018-02-01 02:55","-3.1","94"
"2018-02-01 03:00","-3.1","94"
"2018-02-01 03:10","-3.0","94"
"2018-02-01 03:20","-3.2","94"
"2018-02-01 03:30","-3.3","95"
"2018-02-01 03:40","-3.5","95"
"2018-02-01 03:50","-3.7","95"
"2018-02-01 03:55","-3.9","95"
"2018-02-01 04:00","-4.1","96"
"2018-02-01 04:10","-3.9","97"
"2018-02-01 04:20","-3.5","97"
"2018-02-01 04:30","-3.4","98"
"2018-02-01 04:40","-3.2","98"
"2018-02-01 04:50","-3.1","98"
"2018-02-01 04:55","-3.1","98"
"2018-02-01 05:00","-3.1","98"
"2018-02-01 05:10","-3.1","98"
"2018-02-01 05:20","-3.1","98"
"2018-02-01 05:30","-3.1","98"
"2018-02-01 05:40","-3.1","98"
"2018-02-01 05:50","-3.0","98"
"2018-02-01 05:55","-3.0","98"
"2018-02-01 06:00","-3.0","98"
"2018-02-01 06:10","-2.8","98"
"2018-02-01 06:20","-2.6","98"
"2018-02-01 06:30","-2.4","98"
"2018-02-01 06:40","-2.3","98"
"2018-02-01 06:50","-2.2","98"
"2018-02-01 06:55","-2.2","98"
"2018-02-01 07:00","-2.1","99"
"2018-02-01 07:10","-2.1","99"
"2018-02-01 07:20","-2.0","100"
"2018-02-01 07:30","-2.0","100"
"2018-02-01 07:40","-2.0","100"
"2018-02-01 07:50","-2.0","100"
"2018-02-01 07:55","-2.0","100"
"2018-02-01 08:00","-2.0","100"
"2018-02-01 08:10","-2.0","100"
"2018-02-01 08:20","-1.9","100"
"2018-02-01 08:30","-1.9","100"
"2018-02-01 08:40","-1.8","100"
"2018-02-01 08:50","-1.8","100"
"2018-02-01 08:55","-1.8","100"
"2018-02-01 09:00","-1.8","100"
"2018-02-01 09:10","-1.7","100"
"2018-02-01 09:20","-1.7","100"
