"Time EST","Dew Point (°C)","Relative Humidity (%)"
"2018-01-01 00:00","-31.4","69"
"2018-01-01 00:10","-31.4","69"
"2018-01-01 00:20","-31.8","68"
"2018-01-01 00:30","-32.4","68"
"2018-01-01 00:40","-32.0","68"
"2018-01-01 00:50","-32.2","68"
"2018-01-01 00:55","-32.5","67"
"2018-01-01 01:00","-32.3","68"
"2018-01-01 01:10","-32.4","68"
"2018-01-01 01:20","-32.2","68"
"2018-01-01 01:30","-32.7","67"
"2018-01-01 01:40","-32.1","69"
"2018-01-01 01:50","-32.4","68"
"2018-01-01 01:55","-32.5","67"
"2018-01-01 02:00","-32.7","67"
"2018-01-01 02:10","-32.8","68"
"2018-01-01 02:20","-32.4","68"
"2018-01-01 02:30","-32.7","67"
"2018-01-01 02:40","-32.5","68"
"2018-01-01 02:50","-32.9","67"
"2018-01-01 02:55","-33.2","67"
"2018-01-01 03:00","-32.8","68"
"2018-01-01 03:10","-32.2","68"
"2018-01-01 03:20","-31.9","68"
"2018-01-01 03:30","-31.5","69"
"2018-01-01 03:40","-31.6","69"
"2018-01-01 03:50","-31.0","69"
"2018-01-01 03:55","-30.8","69"
"2018-01-01 04:00","-30.6","69"
"2018-01-01 04:10","-30.6","69"
"2018-01-01 04:20","-30.6","69"
"2018-01-01 04:30","-30.7","69"
"2018-01-01 04:40","-30.9","69"
"2018-01-01 04:50","-31.3","68"
"2018-01-01 04:55","-31.3","69"
"2018-01-01 05:00","-30.7","69"
"2018-01-01 05:10","-30.9","69"
"2018-01-01 05:20","-31.1","69"
"2018-01-01 05:30","-31.1","69"
"2018-01-01 05:40","-30.9","69"
"2018-01-01 05:50","-30.5","69"
"2018-01-01 05:55","-30.2","70"
"2018-01-01 06:00","-29.6","71"
"2018-01-01 06:10","-29.2","71"
"2018-01-01 06:20","-28.9","71"
"2018-01-01 06:30","-28.1","72"
"2018-01-01 06:40","-26.9","73"
"2018-01-01 06:50","-25.6","74"
"2018-01-01 06:55","-25.4","74"
"2018-01-01 07:00","-25.2","74"
"2018-01-01 07:11","-24.7","74"
"2018-01-01 07:20","-24.5","74"
"2018-01-01 07:30","-24.3","74"
"2018-01-01 07:40","-24.1","74"
"2018-01-01 07:50","-24.0","74"
"2018-01-01 07:55","-23.9","75"
"2018-01-01 08:00","-23.9","75"
"2018-01-01 08:10","-23.6","75"
"2018-01-01 08:20","-23.4","75"
"2018-01-01 08:30","-23.2","75"
"2018-01-01 08:40","-22.7","76"
"2018-01-01 08:50","-22.5","75"
"2018-01-01 08:55","-22.3","76"
"2018-01-01 09:00","-22.2","76"
"2018-01-01 09:10","-22.0","76"
"2018-01-01 09:20","-21.6","76"
"2018-01-01 09:30","-21.0","76"
"2018-01-01 09:40","-20.7","77"
"2018-01-01 09:50","-20.3","77"
"2018-01-01 09:55","-20.2","77"
"2018-01-01 10:00","-20.2","77"
"2018-01-01 10:10","-20.1","76"
"2018-01-01 10:20","-19.7","77"
"2018-01-01 10:30","-19.0","77"
"2018-01-01 10:40","-18.1","78"
"2018-01-01 10:50","-17.9","76"
"2018-01-01 10:55","-17.6","77"
"2018-01-01 11:00","-18.0","76"
"2018-01-01 11:10","-18.3","76"
"2018-01-01 11:20","-18.6","76"
"2018-01-01 11:30","-19.1","76"
"2018-01-01 11:40","-18.9","76"
"2018-01-01 11:51","-18.5","76"
"2018-01-01 11:55","-18.6","76"
"2018-01-01 11:56","-18.8","74"
"2018-01-01 12:00","-18.8","75"
"2018-01-01 12:10","-19.1","74"
"2018-01-01 12:20","-19.1","74"
"2018-01-01 12:30","-19.2","73"
"2018-01-01 12:40","-19.3","72"
"2018-01-01 12:50","-19.5","71"
"2018-01-01 12:55","-20.1","71"
"2018-01-01 13:00","-19.4","72"
"2018-01-01 13:10","-19.7","70"
"2018-01-01 13:20","-19.8","70"
"2018-01-01 13:30","-20.0","71"
"2018-01-01 13:40","-20.2","72"
"2018-01-01 13:50","-20.3","72"
"2018-01-01 13:55","-20.1","72"
"2018-01-01 14:00","-20.1","71"
"2018-01-01 14:11","-20.7","70"
"2018-01-01 14:20","-21.0","71"
"2018-01-01 14:30","-21.0","70"
"2018-01-01 14:40","-20.8","71"
"2018-01-01 14:51","-20.9","71"
"2018-01-01 14:55","-20.9","71"
"2018-01-01 15:00","-20.9","71"
"2018-01-01 15:11","-20.9","72"
"2018-01-01 15:20","-21.0","71"
"2018-01-01 15:30","-21.2","71"
"2018-01-01 15:40","-21.4","71"
"2018-01-01 15:50","-21.5","71"
"2018-01-01 15:55","-21.5","71"
"2018-01-01 16:00","-21.4","72"
"2018-01-01 16:10","-21.8","72"
"2018-01-01 16:20","-21.7","72"
"2018-01-01 16:30","-22.0","73"
"2018-01-01 16:40","-22.1","72"
"2018-01-01 16:50","-22.3","73"
"2018-01-01 16:55","-22.2","73"
"2018-01-01 17:00","-22.3","73"
"2018-01-01 17:10","-22.4","73"
"2018-01-01 17:20","-22.7","72"
"2018-01-01 17:30","-22.7","73"
"2018-01-01 17:40","-23.1","72"
"2018-01-01 17:50","-23.0","73"
"2018-01-01 17:55","-23.4","72"
"2018-01-01 18:00","-23.8","73"
"2018-01-01 18:11","-23.9","74"
"2018-01-01 18:20","-24.0","73"
"2018-01-01 18:30","-24.5","74"
"2018-01-01 18:40","-24.8","74"
"2018-01-01 18:50","-25.3","73"
"2018-01-01 18:55","-25.5","74"
"2018-01-01 19:00","-25.2","75"
"2018-01-01 19:10","-24.9","75"
"2018-01-01 19:20","-25.3","75"
"2018-01-01 19:30","-25.8","74"
"2018-01-01 19:40","-26.2","74"
"2018-01-01 19:50","-26.5","74"
"2018-01-01 19:55","-26.4","74"
"2018-01-01 19:56","-26.4","74"
"2018-01-01 20:00","-26.6","74"
"2018-01-01 20:10","-27.2","74"
"2018-01-01 20:20","-27.0","74"
"2018-01-01 20:30","-27.1","74"
"2018-01-01 20:40","-27.2","73"
"2018-01-01 20:50","-27.8","73"
"2018-01-01 20:55","-27.7","74"
"2018-01-01 21:00","-27.9","73"
"2018-01-01 21:10","-28.0","73"
"2018-01-01 21:20","-28.2","73"
"2018-01-01 21:30","-28.8","72"
"2018-01-01 21:40","-28.7","73"
"2018-01-01 21:50","-28.5","73"
"2018-01-01 21:55","-28.4","73"
"2018-01-01 22:00","-28.4","73"
"2018-01-01 22:10","-29.2","71"
"2018-01-01 22:20","-29.1","72"
"2018-01-01 22:31","-29.5","71"
"2018-01-01 22:40","-29.4","72"
"2018-01-01 22:51","-29.6","71"
"2018-01-01 22:55","-29.4","71"
"2018-01-01 22:56","-29.4","71"
"2018-01-01 23:00","-29.5","71"
"2018-01-01 23:10","-29.4","71"
