"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2018-01-01 00:00","1","SSW","3"
"2018-01-01 00:10","1","SSW","3"
"2018-01-01 00:20","0","SSW","1"
"2018-01-01 00:30","3","S","4"
"2018-01-01 00:40","0","S","1"
"2018-01-01 00:50","1","S","2"
"2018-01-01 00:55","1","S","3"
"2018-01-01 01:00","1","SSE","3"
"2018-01-01 01:10","1","S","1"
"2018-01-01 01:20","0","S","0"
"2018-01-01 01:30","2","SSW","3"
"2018-01-01 01:40","4","SE","5"
"2018-01-01 01:50","0","SSE","0"
"2018-01-01 01:55","0","SE","1"
"2018-01-01 02:00","0","SSE","0"
"2018-01-01 02:10","0","SSW","1"
"2018-01-01 02:20","0","S","0"
"2018-01-01 02:30","3","SSE","4"
"2018-01-01 02:40","4","SSE","5"
"2018-01-01 02:50","2","SSW","3"
"2018-01-01 02:55","1","SSW","2"
"2018-01-01 03:00","3","SSW","3"
"2018-01-01 03:10","2","S","4"
"2018-01-01 03:20","0","SSE","0"
"2018-01-01 03:30","1","SSE","3"
"2018-01-01 03:40","0","SSE","1"
"2018-01-01 03:50","1","SSE","3"
"2018-01-01 03:55","3","SSW","5"
"2018-01-01 04:00","2","SSE","3"
"2018-01-01 04:10","2","SSW","3"
"2018-01-01 04:20","2","SSE","3"
"2018-01-01 04:30","2","S","3"
"2018-01-01 04:40","1","SSW","3"
"2018-01-01 04:50","0","S","0"
"2018-01-01 04:55","0","SE","0"
"2018-01-01 05:00","2","SSW","3"
"2018-01-01 05:10","2","SSE","3"
"2018-01-01 05:20","0","SSW","2"
"2018-01-01 05:30","0","S","1"
"2018-01-01 05:40","0","SE","2"
"2018-01-01 05:50","2","SSE","4"
"2018-01-01 05:55","4","S","8"
"2018-01-01 06:00","0","SSE","3"
"2018-01-01 06:10","3","SSE","5"
"2018-01-01 06:20","0","SSE","3"
"2018-01-01 06:30","5","SSE","8"
"2018-01-01 06:40","5","S","7"
"2018-01-01 06:50","6","SSE","9"
"2018-01-01 06:55","6","SSE","9"
"2018-01-01 07:00","6","S","10"
"2018-01-01 07:11","7","S","11"
"2018-01-01 07:20","5","SSE","9"
"2018-01-01 07:30","7","S","11"
"2018-01-01 07:40","6","S","10"
"2018-01-01 07:50","6","SSE","8"
"2018-01-01 07:55","6","S","9"
"2018-01-01 08:00","5","S","8"
"2018-01-01 08:10","6","S","10"
"2018-01-01 08:20","5","S","8"
"2018-01-01 08:30","5","SSE","8"
"2018-01-01 08:40","8","SSE","11"
"2018-01-01 08:50","7","SSE","11"
"2018-01-01 08:55","7","SSE","12"
