"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2017-11-01 00:00","1","SW","2"
"2017-11-01 00:10","2","SSW","3"
"2017-11-01 00:20","3","SSW","4"
"2017-11-01 00:30","0","SW","1"
"2017-11-01 00:40","2","S","3"
"2017-11-01 00:50","0","S","0"
"2017-11-01 00:55","0","S","1"
"2017-11-01 01:00","0","S","1"
"2017-11-01 01:10","2","SSW","3"
"2017-11-01 01:20","3","SSW","4"
"2017-11-01 01:30","1","SSW","2"
"2017-11-01 01:40","0","SSW","1"
"2017-11-01 01:50","1","SW","2"
"2017-11-01 01:55","1","SW","2"
"2017-11-01 02:00","1","SW","1"
"2017-11-01 02:10","1","SW","2"
"2017-11-01 02:20","3","S","4"
"2017-11-01 02:30","3","SSW","4"
"2017-11-01 02:40","3","SW","4"
"2017-11-01 02:50","1","SSW","3"
"2017-11-01 02:55","1","SW","2"
"2017-11-01 03:00","2","SW","4"
"2017-11-01 03:10","0","WSW","1"
"2017-11-01 03:20","2","NW","4"
"2017-11-01 03:30","2","NNW","3"
"2017-11-01 03:40","1","NW","3"
"2017-11-01 03:50","1","N","3"
"2017-11-01 03:55","1","NNE","2"
"2017-11-01 04:00","0","NNE","1"
"2017-11-01 04:10","1","N","2"
"2017-11-01 04:20","2","N","4"
"2017-11-01 04:30","3","N","4"
"2017-11-01 04:40","2","NNE","3"
"2017-11-01 04:50","2","NNW","3"
"2017-11-01 04:55","1","NNW","3"
"2017-11-01 05:00","1","NNW","4"
"2017-11-01 05:10","1","W","3"
"2017-11-01 05:20","0","W","1"
"2017-11-01 05:30","1","SSE","2"
"2017-11-01 05:40","1","S","3"
"2017-11-01 05:50","2","ESE","4"
"2017-11-01 05:55","0","SSE","1"
"2017-11-01 06:00","0","SSE","1"
"2017-11-01 06:10","1","SSW","3"
"2017-11-01 06:20","1","SSW","3"
"2017-11-01 06:30","1","ESE","2"
"2017-11-01 06:40","1","E","2"
"2017-11-01 06:50","1","E","4"
"2017-11-01 06:55","3","E","4"
"2017-11-01 07:00","3","SE","4"
"2017-11-01 07:10","2","NE","4"
"2017-11-01 07:20","0","E","1"
"2017-11-01 07:30","1","SSE","3"
"2017-11-01 07:40","1","SSW","2"
"2017-11-01 07:50","0","ESE","2"
"2017-11-01 07:55","1","SSE","2"
"2017-11-01 08:00","1","SSE","2"
"2017-11-01 08:10","1","SSE","2"
"2017-11-01 08:20","1","ESE","3"
"2017-11-01 08:30","0","SSE","2"
"2017-11-01 08:40","3","SE","5"
"2017-11-01 08:50","2","ESE","4"
"2017-11-01 08:55","3","SE","6"
"2017-11-01 09:00","2","SE","4"
"2017-11-01 09:10","4","SE","8"
"2017-11-01 09:20","6","SE","8"
"2017-11-01 09:30","5","SSE","9"
"2017-11-01 09:40","4","SE","6"
"2017-11-01 09:50","4","SSE","6"
"2017-11-01 09:55","4","SE","6"
"2017-11-01 10:00","4","SE","6"
"2017-11-01 10:10","5","SE","9"
"2017-11-01 10:20","6","ESE","9"
"2017-11-01 10:30","4","SE","7"
"2017-11-01 10:40","8","SSE","13"
"2017-11-01 10:50","13","SE","17"
