"Time EST","Pressure (kPa)"
"2017-12-01 00:00","97.78"
"2017-12-01 00:10","97.82"
"2017-12-01 00:20","97.83"
"2017-12-01 00:30","97.85"
"2017-12-01 00:40","97.86"
"2017-12-01 00:50","97.89"
"2017-12-01 01:00","97.90"
"2017-12-01 01:10","97.93"
"2017-12-01 01:20","97.95"
"2017-12-01 01:30","97.98"
"2017-12-01 01:40","97.99"
"2017-12-01 01:50","98.02"
"2017-12-01 02:00","98.04"
"2017-12-01 02:10","98.09"
"2017-12-01 02:20","98.10"
"2017-12-01 02:30","98.13"
"2017-12-01 02:40","98.14"
"2017-12-01 02:50","98.16"
"2017-12-01 03:00","98.15"
"2017-12-01 03:10","98.17"
"2017-12-01 03:30","98.20"
"2017-12-01 03:50","98.23"
"2017-12-01 04:10","98.26"
"2017-12-01 04:30","98.28"
"2017-12-01 04:50","98.32"
"2017-12-01 05:10","98.35"
"2017-12-01 05:30","98.38"
"2017-12-01 05:50","98.41"
"2017-12-01 06:10","98.46"
"2017-12-01 06:30","98.43"
"2017-12-01 06:50","98.46"
"2017-12-01 07:10","98.46"
"2017-12-01 07:30","98.48"
"2017-12-01 07:50","98.49"
"2017-12-01 08:10","98.51"
"2017-12-01 08:30","98.54"
"2017-12-01 08:50","98.57"
"2017-12-01 09:10","98.59"
"2017-12-01 09:30","98.59"
"2017-12-01 09:50","98.58"
"2017-12-01 10:10","98.61"
"2017-12-01 10:30","98.64"
"2017-12-01 10:50","98.67"
"2017-12-01 11:10","98.67"
"2017-12-01 11:30","98.65"
"2017-12-01 11:50","98.62"
"2017-12-01 12:10","98.61"
"2017-12-01 12:30","98.64"
"2017-12-01 12:50","98.62"
"2017-12-01 13:10","98.59"
"2017-12-01 13:30","98.57"
"2017-12-01 13:40","98.58"
"2017-12-01 13:50","98.55"
"2017-12-01 14:00","98.55"
"2017-12-01 14:10","98.56"
"2017-12-01 14:20","98.56"
"2017-12-01 14:30","98.57"
"2017-12-01 14:40","98.57"
"2017-12-01 14:50","98.58"
"2017-12-01 15:00","98.59"
"2017-12-01 15:10","98.59"
"2017-12-01 15:20","98.58"
"2017-12-01 15:30","98.57"
