"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2017-12-01 00:00","0","W","6"
"2017-12-01 00:10","0","W","5"
"2017-12-01 00:20","0","W","7"
"2017-12-01 00:30","3","W","9"
"2017-12-01 00:40","3","WNW","10"
"2017-12-01 00:50","1","W","7"
"2017-12-01 01:00","1","W","10"
"2017-12-01 01:10","2","WNW","9"
"2017-12-01 01:20","1","WNW","9"
"2017-12-01 01:30","1","WNW","6"
"2017-12-01 01:40","1","NW","6"
"2017-12-01 01:50","3","WNW","8"
"2017-12-01 02:00","3","NW","8"
"2017-12-01 02:10","3","NW","10"
"2017-12-01 02:20","2","WNW","10"
"2017-12-01 02:30","0","WNW","4"
"2017-12-01 02:40","2","W","11"
"2017-12-01 02:50","4","WNW","9"
"2017-12-01 03:00","4","WNW","10"
"2017-12-01 03:10","4","WNW","14"
"2017-12-01 03:30","6","NW","19"
"2017-12-01 03:50","6","WNW","18"
"2017-12-01 04:10","4","WNW","15"
"2017-12-01 04:30","1","NW","7"
"2017-12-01 04:50","2","WNW","7"
"2017-12-01 05:10","0","NW","3"
"2017-12-01 05:30","0","W","1"
"2017-12-01 05:50","0","SSE","2"
"2017-12-01 06:10","0","SE","1"
"2017-12-01 06:30","0","ESE","1"
"2017-12-01 06:50","0","SSE","1"
"2017-12-01 07:10","0","SSE","2"
"2017-12-01 07:30","0","SE","1"
"2017-12-01 07:50","1","SE","4"
"2017-12-01 08:10","0","SSE","4"
"2017-12-01 08:30","0","SSE","5"
"2017-12-01 08:50","0","S","6"
"2017-12-01 09:10","0","S","4"
"2017-12-01 09:30","1","SSE","6"
"2017-12-01 09:50","2","S","9"
"2017-12-01 10:10","4","S","12"
"2017-12-01 10:30","5","SSW","12"
"2017-12-01 10:50","5","SW","17"
"2017-12-01 11:10","7","SW","17"
"2017-12-01 11:30","5","SSW","14"
"2017-12-01 11:50","6","SSW","14"
"2017-12-01 12:10","6","SSW","14"
"2017-12-01 12:30","6","S","13"
"2017-12-01 12:50","5","SSW","11"
"2017-12-01 13:10","4","S","9"
"2017-12-01 13:30","4","S","14"
"2017-12-01 13:40","8","SSW","15"
"2017-12-01 13:50","6","S","13"
"2017-12-01 14:00","8","S","14"
"2017-12-01 14:10","6","S","13"
"2017-12-01 14:20","7","SSW","15"
"2017-12-01 14:30","6","SSW","13"
"2017-12-01 14:40","6","SSW","11"
"2017-12-01 14:50","6","S","13"
"2017-12-01 15:00","3","S","8"
"2017-12-01 15:10","5","S","12"
"2017-12-01 15:20","5","SSE","12"
"2017-12-01 15:30","4","SSE","8"
"2017-12-01 15:40","4","SSE","9"
"2017-12-01 15:50","3","SSE","9"
"2017-12-01 16:00","4","SSE","11"
"2017-12-01 16:10","4","SSE","11"
"2017-12-01 16:20","4","SSE","13"
"2017-12-01 16:30","5","SSE","11"
"2017-12-01 16:40","4","SSE","9"
"2017-12-01 16:50","2","SSE","8"
"2017-12-01 17:00","1","SSE","6"
"2017-12-01 17:10","3","SSE","8"
"2017-12-01 17:20","3","SSE","9"
"2017-12-01 17:30","2","SSE","8"
"2017-12-01 17:40","1","SSE","7"
"2017-12-01 17:50","2","SSE","7"
"2017-12-01 18:00","1","SSE","6"
"2017-12-01 18:10","2","SE","5"
"2017-12-01 18:20","2","SE","5"
"2017-12-01 18:30","2","SSE","6"
"2017-12-01 18:40","3","SSE","7"
"2017-12-01 18:50","2","SE","7"
"2017-12-01 19:00","2","SE","6"
"2017-12-01 19:10","2","SE","8"
"2017-12-01 19:20","1","SE","6"
"2017-12-01 19:30","3","SE","6"
"2017-12-01 19:40","1","SE","5"
"2017-12-01 19:50","1","SE","5"
"2017-12-01 20:00","1","SSE","5"
"2017-12-01 20:10","3","SSE","9"
"2017-12-01 20:20","3","SSE","10"
"2017-12-01 20:30","2","S","8"
"2017-12-01 20:40","3","SSE","9"
"2017-12-01 20:50","1","SSE","6"
"2017-12-01 21:00","0","SSE","5"
"2017-12-01 21:10","0","SSE","6"
"2017-12-01 21:20","0","SSE","4"
"2017-12-01 21:30","1","SSE","7"
"2017-12-01 21:40","2","SSE","7"
"2017-12-01 21:50","1","SE","5"
"2017-12-01 22:00","1","SSE","5"
"2017-12-01 22:10","0","SSE","5"
"2017-12-01 22:20","0","SE","2"
"2017-12-01 22:30","0","SSE","1"
"2017-12-01 22:40","0","S","1"
"2017-12-01 22:50","0","SE","3"
"2017-12-01 23:00","0","SE","0"
"2017-12-01 23:10","0","SSE","4"
"2017-12-01 23:20","0","SE","5"
"2017-12-01 23:30","0","SE","1"
"2017-12-01 23:40","0","SE","4"
"2017-12-01 23:50","1","SE","4"
"2017-12-02 00:00","2","SE","7"
"2017-12-02 00:10","2","SE","6"
"2017-12-02 00:20","1","SE","4"
"2017-12-02 00:30","0","ESE","4"
"2017-12-02 00:40","0","SE","4"
"2017-12-02 00:50","0","SSE","4"
"2017-12-02 01:00","0","SE","4"
"2017-12-02 01:10","1","SE","6"
"2017-12-02 01:20","1","SE","4"
"2017-12-02 01:30","0","SSE","1"
"2017-12-02 01:40","0","SSE","1"
"2017-12-02 01:50","0","SE","0"
"2017-12-02 02:00","0","SE","1"
"2017-12-02 02:10","0","SE","0"
"2017-12-02 02:20","0","SE","0"
"2017-12-02 02:30","0","SE","1"
"2017-12-02 02:40","0","SSE","1"
"2017-12-02 02:50","0","SE","0"
"2017-12-02 03:00","0","SSE","0"
"2017-12-02 03:10","0","SE","2"
"2017-12-02 03:20","0","SSE","2"
"2017-12-02 03:30","0","SE","3"
"2017-12-02 03:40","0","SE","0"
"2017-12-02 03:50","0","SSE","0"
"2017-12-02 04:00","0","SSE","0"
"2017-12-02 04:10","0","SE","3"
"2017-12-02 04:20","0","SE","3"
"2017-12-02 04:30","0","SSE","4"
"2017-12-02 04:40","0","SE","4"
"2017-12-02 04:50","0","SE","6"
"2017-12-02 05:00","0","SE","3"
"2017-12-02 05:10","1","SE","6"
"2017-12-02 05:20","1","SE","6"
"2017-12-02 05:30","1","SE","5"
"2017-12-02 05:40","0","SE","5"
"2017-12-02 05:50","0","SSE","2"
"2017-12-02 06:00","0","SSE","1"
"2017-12-02 06:10","0","SSE","2"
"2017-12-02 06:20","0","SSE","2"
"2017-12-02 06:30","0","ESE","1"
"2017-12-02 06:40","0","SE","1"
"2017-12-02 06:50","0","SE","0"
"2017-12-02 07:00","0","SE","0"
"2017-12-02 07:10","0","SE","0"
"2017-12-02 07:20","0","SE","1"
"2017-12-02 07:30","0","SE","4"
"2017-12-02 07:40","1","SE","7"
"2017-12-02 07:50","1","SE","8"
"2017-12-02 08:00","1","SE","7"
"2017-12-02 08:10","2","SE","13"
"2017-12-02 08:20","1","SSE","13"
"2017-12-02 08:30","1","SSE","9"
"2017-12-02 08:40","1","SSE","7"
"2017-12-02 08:50","4","SSE","13"
"2017-12-02 09:00","5","SSE","14"
"2017-12-02 09:10","0","S","7"
"2017-12-02 09:20","1","SSE","9"
"2017-12-02 09:30","2","SSE","8"
"2017-12-02 09:40","1","SSE","5"
"2017-12-02 09:50","1","SSE","6"
"2017-12-02 10:00","1","SSE","7"
"2017-12-02 10:10","1","SSE","6"
"2017-12-02 10:20","0","SSE","5"
"2017-12-02 10:30","4","S","10"
"2017-12-02 10:40","3","S","12"
"2017-12-02 10:50","4","S","10"
"2017-12-02 11:00","5","S","13"
"2017-12-02 11:10","4","S","10"
"2017-12-02 11:20","4","SSE","10"
"2017-12-02 11:30","3","S","10"
"2017-12-02 11:40","3","SSE","12"
"2017-12-02 11:50","3","SSE","9"
"2017-12-02 12:00","3","S","9"
"2017-12-02 12:10","2","SSE","8"
"2017-12-02 12:20","3","S","8"
"2017-12-02 12:30","3","SE","11"
"2017-12-02 12:40","3","SSE","11"
"2017-12-02 12:50","1","SSE","9"
"2017-12-02 13:00","1","SSE","9"
"2017-12-02 13:10","1","SSE","5"
"2017-12-02 13:20","1","SSE","6"
"2017-12-02 13:30","0","S","2"
"2017-12-02 13:40","0","SSE","4"
"2017-12-02 13:50","0","SSE","1"
"2017-12-02 14:00","0","SSE","0"
"2017-12-02 14:10","0","SE","3"
"2017-12-02 14:20","0","SE","3"
"2017-12-02 14:30","0","SSE","4"
"2017-12-02 14:40","0","S","4"
"2017-12-02 14:50","0","SSE","1"
"2017-12-02 15:00","0","SSE","1"
"2017-12-02 15:10","0","S","0"
"2017-12-02 15:20","0","SE","0"
"2017-12-02 15:30","0","SE","1"
"2017-12-02 15:40","0","SE","1"
"2017-12-02 15:50","0","SE","4"
"2017-12-02 16:00","0","SE","1"
"2017-12-02 16:10","0","SE","0"
"2017-12-02 16:20","0","SE","0"
"2017-12-02 16:30","0","SE","0"
"2017-12-02 16:40","0","SE","0"
"2017-12-02 16:50","0","ESE","0"
"2017-12-02 17:00","0","ESE","1"
"2017-12-02 17:10","0","SE","1"
"2017-12-02 17:20","0","SE","1"
"2017-12-02 17:30","0","SE","4"
"2017-12-02 17:40","0","SE","2"
"2017-12-02 17:50","0","SE","1"
"2017-12-02 18:00","0","SE","2"
"2017-12-02 18:10","0","SSE","1"
"2017-12-02 18:20","0","SSE","1"
"2017-12-02 18:30","0","SE","2"
"2017-12-02 18:40","0","SE","3"
"2017-12-02 18:50","0","SE","2"
"2017-12-02 19:00","0","SSE","1"
"2017-12-02 19:10","0","SE","2"
"2017-12-02 19:20","0","SE","2"
"2017-12-02 19:30","0","SE","0"
"2017-12-02 19:40","0","SE","2"
"2017-12-02 19:50","0","SE","3"
"2017-12-02 20:00","0","SE","3"
"2017-12-02 20:10","0","SE","1"
"2017-12-02 20:20","0","SSE","2"
"2017-12-02 20:30","0","SSE","1"
"2017-12-02 20:40","0","SE","0"
"2017-12-02 20:50","0","SSE","0"
"2017-12-02 21:00","0","SE","0"
"2017-12-02 21:10","0","ESE","0"
"2017-12-02 21:20","0","SE","0"
"2017-12-02 21:30","0","SSE","0"
"2017-12-02 21:40","0","SE","0"
"2017-12-02 21:50","0","ESE","3"
"2017-12-02 22:00","0","ESE","3"
"2017-12-02 22:10","0","SE","3"
"2017-12-02 22:20","0","SE","2"
"2017-12-02 22:30","0","SE","2"
"2017-12-02 22:40","0","SE","2"
"2017-12-02 22:50","0","SE","4"
"2017-12-02 23:00","0","ESE","3"
"2017-12-02 23:10","0","ESE","3"
"2017-12-02 23:20","0","SE","3"
"2017-12-02 23:30","0","SE","3"
"2017-12-02 23:40","0","ESE","3"
"2017-12-02 23:50","0","SE","3"
"2017-12-03 00:00","0","ESE","3"
"2017-12-03 00:10","0","ESE","6"
"2017-12-03 00:20","0","ESE","3"
"2017-12-03 00:30","0","SE","1"
"2017-12-03 00:40","0","SE","2"
"2017-12-03 00:50","0","ESE","0"
"2017-12-03 01:00","0","ESE","0"
"2017-12-03 01:10","0","ESE","1"
"2017-12-03 01:20","0","ESE","2"
"2017-12-03 01:30","0","SE","1"
"2017-12-03 01:40","0","SE","1"
"2017-12-03 01:50","0","SE","0"
"2017-12-03 02:00","0","SE","0"
"2017-12-03 02:10","0","SSE","0"
"2017-12-03 02:20","0","SE","0"
"2017-12-03 02:30","0","SE","1"
"2017-12-03 02:40","0","SE","1"
"2017-12-03 02:50","0","SE","0"
"2017-12-03 03:00","0","SE","1"
"2017-12-03 03:10","0","SE","0"
"2017-12-03 03:20","0","SE","0"
"2017-12-03 03:30","0","SE","0"
"2017-12-03 03:40","0","SE","0"
"2017-12-03 03:50","0","ESE","0"
"2017-12-03 04:00","0","SE","0"
"2017-12-03 04:10","0","SSE","0"
"2017-12-03 04:20","0","SE","0"
"2017-12-03 04:30","0","SE","0"
"2017-12-03 04:40","0","SE","0"
"2017-12-03 04:50","0","E","0"
"2017-12-03 05:00","0","ESE","1"
"2017-12-03 05:10","0","E","0"
"2017-12-03 05:20","0","E","0"
"2017-12-03 05:30","0","ESE","0"
"2017-12-03 05:40","0","ESE","0"
"2017-12-03 05:50","0","SE","0"
"2017-12-03 06:00","0","ESE","0"
"2017-12-03 06:10","0","ESE","1"
"2017-12-03 06:20","0","ESE","2"
"2017-12-03 06:30","0","SE","1"
"2017-12-03 06:40","0","SE","1"
"2017-12-03 06:50","0","SW","0"
"2017-12-03 07:00","0","SW","0"
"2017-12-03 07:10","0","NE","0"
"2017-12-03 07:20","0","ENE","0"
"2017-12-03 07:30","0","SE","0"
"2017-12-03 07:40","0","ESE","0"
"2017-12-03 07:50","0","SSE","0"
"2017-12-03 08:00","0","SSE","0"
"2017-12-03 08:10","0","SE","0"
"2017-12-03 08:20","0","ESE","0"
"2017-12-03 08:30","0","SE","0"
"2017-12-03 08:40","0","SE","0"
"2017-12-03 08:50","0","SSE","0"
"2017-12-03 09:00","0","ESE","0"
"2017-12-03 09:10","0","SE","0"
"2017-12-03 09:20","0","ESE","0"
"2017-12-03 09:30","0","SE","0"
"2017-12-03 09:40","0","SE","0"
"2017-12-03 09:50","0","SE","1"
"2017-12-03 10:00","0","SE","0"
"2017-12-03 10:10","0","ESE","0"
"2017-12-03 10:20","0","ESE","0"
"2017-12-03 10:30","0","SE","0"
"2017-12-03 10:40","0","ESE","0"
"2017-12-03 10:50","0","E","0"
"2017-12-03 11:00","0","ESE","0"
"2017-12-03 11:10","0","ESE","0"
"2017-12-03 11:20","0","SE","1"
"2017-12-03 11:30","0","ESE","0"
"2017-12-03 11:40","0","ESE","1"
"2017-12-03 11:50","0","SE","1"
"2017-12-03 12:00","0","SE","1"
"2017-12-03 12:10","0","SE","0"
