"Time EST","Pressure (kPa)"
"2018-01-01 00:00","99.11"
"2018-01-01 00:10","99.11"
"2018-01-01 00:20","99.11"
"2018-01-01 00:30","99.10"
"2018-01-01 00:40","99.09"
"2018-01-01 00:50","99.07"
"2018-01-01 01:00","99.07"
"2018-01-01 01:10","99.07"
"2018-01-01 01:20","99.06"
"2018-01-01 01:30","99.06"
"2018-01-01 01:40","99.06"
"2018-01-01 01:50","99.05"
"2018-01-01 02:00","99.06"
"2018-01-01 02:10","99.06"
"2018-01-01 02:20","99.05"
"2018-01-01 02:30","99.06"
"2018-01-01 02:40","99.07"
"2018-01-01 02:50","99.05"
"2018-01-01 03:00","99.03"
"2018-01-01 03:10","99.02"
"2018-01-01 03:20","99.00"
"2018-01-01 03:30","99.00"
"2018-01-01 03:40","98.98"
"2018-01-01 03:50","98.98"
"2018-01-01 04:00","98.98"
"2018-01-01 04:10","98.97"
"2018-01-01 04:20","98.96"
"2018-01-01 04:30","98.95"
"2018-01-01 04:40","98.97"
"2018-01-01 04:50","98.97"
"2018-01-01 05:00","98.95"
"2018-01-01 05:10","98.93"
"2018-01-01 05:20","98.93"
"2018-01-01 05:30","98.93"
"2018-01-01 05:40","98.93"
"2018-01-01 05:50","98.93"
"2018-01-01 06:00","98.94"
"2018-01-01 06:10","98.95"
"2018-01-01 06:20","98.94"
"2018-01-01 06:30","98.95"
"2018-01-01 06:40","98.94"
"2018-01-01 06:50","98.93"
"2018-01-01 07:00","98.94"
"2018-01-01 07:11","98.93"
"2018-01-01 07:20","98.93"
"2018-01-01 07:30","98.93"
"2018-01-01 07:40","98.95"
"2018-01-01 07:50","98.95"
"2018-01-01 08:00","98.94"
"2018-01-01 08:10","98.94"
"2018-01-01 08:20","98.94"
"2018-01-01 08:30","98.96"
"2018-01-01 08:40","98.96"
"2018-01-01 08:50","98.95"
"2018-01-01 09:00","98.95"
"2018-01-01 09:10","98.96"
"2018-01-01 09:20","98.96"
"2018-01-01 09:30","98.97"
"2018-01-01 09:40","98.97"
"2018-01-01 09:50","98.97"
"2018-01-01 10:00","98.97"
"2018-01-01 10:10","98.98"
"2018-01-01 10:20","98.98"
"2018-01-01 10:30","98.98"
"2018-01-01 10:40","98.99"
"2018-01-01 10:50","98.98"
"2018-01-01 11:00","98.99"
"2018-01-01 11:10","98.98"
"2018-01-01 11:20","98.97"
"2018-01-01 11:30","98.97"
"2018-01-01 11:40","98.95"
"2018-01-01 11:51","98.96"
"2018-01-01 12:00","98.96"
"2018-01-01 12:10","98.95"
"2018-01-01 12:20","98.95"
"2018-01-01 12:30","98.94"
"2018-01-01 12:40","98.94"
"2018-01-01 12:50","98.94"
"2018-01-01 13:00","98.93"
"2018-01-01 13:10","98.92"
"2018-01-01 13:20","98.92"
"2018-01-01 13:30","98.92"
"2018-01-01 13:40","98.93"
"2018-01-01 13:50","98.92"
"2018-01-01 14:00","98.93"
"2018-01-01 14:10","98.93"
"2018-01-01 14:20","98.93"
"2018-01-01 14:30","98.94"
"2018-01-01 14:40","98.95"
"2018-01-01 14:51","98.95"
"2018-01-01 15:00","98.96"
"2018-01-01 15:11","98.98"
"2018-01-01 15:20","98.98"
"2018-01-01 15:30","98.98"
"2018-01-01 15:40","99.00"
"2018-01-01 15:50","99.01"
"2018-01-01 16:00","99.02"
"2018-01-01 16:10","99.03"
"2018-01-01 16:20","99.04"
"2018-01-01 16:30","99.05"
"2018-01-01 16:40","99.06"
"2018-01-01 16:50","99.06"
"2018-01-01 17:00","99.07"
"2018-01-01 17:10","99.07"
"2018-01-01 17:20","99.06"
"2018-01-01 17:30","99.06"
"2018-01-01 17:40","99.06"
"2018-01-01 17:50","99.06"
"2018-01-01 18:00","99.06"
"2018-01-01 18:11","99.08"
"2018-01-01 18:20","99.08"
"2018-01-01 18:30","99.09"
"2018-01-01 18:40","99.09"
"2018-01-01 18:50","99.09"
"2018-01-01 19:00","99.09"
"2018-01-01 19:10","99.09"
"2018-01-01 19:20","99.07"
"2018-01-01 19:30","99.07"
"2018-01-01 19:40","99.07"
"2018-01-01 19:50","99.06"
"2018-01-01 20:00","99.05"
"2018-01-01 20:10","99.04"
"2018-01-01 20:20","99.03"
"2018-01-01 20:30","99.02"
"2018-01-01 20:40","99.01"
"2018-01-01 20:50","98.99"
"2018-01-01 21:00","98.98"
"2018-01-01 21:10","98.97"
"2018-01-01 21:20","98.95"
"2018-01-01 21:30","98.96"
"2018-01-01 21:40","98.96"
"2018-01-01 21:50","98.95"
"2018-01-01 22:00","98.93"
"2018-01-01 22:10","98.92"
"2018-01-01 22:20","98.92"
"2018-01-01 22:31","98.91"
"2018-01-01 22:40","98.88"
"2018-01-01 22:51","98.89"
"2018-01-01 23:00","98.89"
"2018-01-01 23:10","98.87"
"2018-01-01 23:20","98.86"
"2018-01-01 23:30","98.85"
"2018-01-01 23:40","98.84"
"2018-01-01 23:50","98.83"
"2018-01-02 00:00","98.80"
"2018-01-02 00:10","98.78"
"2018-01-02 00:20","98.79"
"2018-01-02 00:30","98.77"
"2018-01-02 00:40","98.74"
"2018-01-02 00:50","98.73"
"2018-01-02 01:00","98.72"
"2018-01-02 01:11","98.71"
"2018-01-02 01:20","98.70"
"2018-01-02 01:30","98.69"
"2018-01-02 01:40","98.68"
"2018-01-02 01:50","98.65"
"2018-01-02 02:00","98.63"
"2018-01-02 02:10","98.62"
"2018-01-02 02:20","98.63"
"2018-01-02 02:30","98.57"
"2018-01-02 02:40","98.57"
"2018-01-02 02:50","98.57"
"2018-01-02 03:00","98.58"
"2018-01-02 03:10","98.54"
"2018-01-02 03:20","98.53"
"2018-01-02 03:31","98.52"
"2018-01-02 03:40","98.50"
"2018-01-02 03:50","98.48"
"2018-01-02 04:00","98.42"
"2018-01-02 04:10","98.44"
"2018-01-02 04:20","98.38"
"2018-01-02 04:30","98.36"
"2018-01-02 04:40","98.36"
"2018-01-02 04:50","98.33"
"2018-01-02 05:00","98.32"
"2018-01-02 05:10","98.31"
"2018-01-02 05:20","98.28"
"2018-01-02 05:30","98.28"
"2018-01-02 05:40","98.27"
"2018-01-02 05:50","98.26"
"2018-01-02 06:00","98.25"
"2018-01-02 06:10","98.22"
"2018-01-02 06:20","98.19"
"2018-01-02 06:30","98.17"
"2018-01-02 06:40","98.15"
"2018-01-02 06:50","98.13"
"2018-01-02 07:00","98.13"
"2018-01-02 07:10","98.10"
"2018-01-02 07:20","98.09"
"2018-01-02 07:30","98.08"
"2018-01-02 07:40","98.07"
"2018-01-02 07:50","98.05"
"2018-01-02 08:00","98.03"
"2018-01-02 08:10","98.00"
