"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2017-12-01 00:00","5","WSW","7"
"2017-12-01 00:10","5","W","9"
"2017-12-01 00:20","2","W","4"
"2017-12-01 00:30","5","W","7"
"2017-12-01 00:40","4","W","6"
"2017-12-01 00:50","4","W","8"
"2017-12-01 01:00","5","W","8"
"2017-12-01 01:10","4","W","5"
"2017-12-01 01:20","5","WSW","8"
"2017-12-01 01:30","5","WSW","7"
"2017-12-01 01:40","4","WSW","6"
"2017-12-01 01:50","5","WSW","8"
"2017-12-01 02:00","4","WSW","7"
"2017-12-01 02:10","6","W","10"
"2017-12-01 02:20","4","W","7"
"2017-12-01 02:30","5","WSW","6"
"2017-12-01 02:40","5","WSW","7"
"2017-12-01 02:50","3","WSW","4"
"2017-12-01 03:00","6","WSW","10"
"2017-12-01 03:10","9","W","12"
"2017-12-01 03:30","7","WSW","9"
"2017-12-01 03:50","6","W","11"
"2017-12-01 04:10","4","WNW","9"
"2017-12-01 04:30","1","NW","3"
"2017-12-01 04:50","4","SW","6"
"2017-12-01 05:10","3","SW","7"
"2017-12-01 05:30","2","SW","4"
"2017-12-01 05:50","0","N","0"
"2017-12-01 06:10","2","WSW","4"
"2017-12-01 06:30","4","SW","6"
"2017-12-01 06:50","5","WSW","9"
"2017-12-01 07:10","5","WNW","7"
"2017-12-01 07:30","5","W","8"
"2017-12-01 07:50","1","WNW","3"
"2017-12-01 08:10","2","W","4"
"2017-12-01 08:30","1","SW","3"
"2017-12-01 08:50","1","W","3"
"2017-12-01 09:10","1","WSW","3"
"2017-12-01 09:30","6","WNW","8"
"2017-12-01 09:50","8","WNW","11"
"2017-12-01 10:10","3","WNW","5"
"2017-12-01 10:30","5","WNW","8"
"2017-12-01 10:50","4","W","6"
"2017-12-01 11:10","5","WSW","12"
"2017-12-01 11:30","6","WSW","8"
"2017-12-01 11:50","8","SW","11"
"2017-12-01 12:10","9","SW","15"
"2017-12-01 12:30","11","W","15"
"2017-12-01 12:50","8","W","15"
"2017-12-01 13:10","9","W","12"
"2017-12-01 13:30","9","W","12"
"2017-12-01 13:40","8","WSW","13"
"2017-12-01 13:50","6","SW","9"
"2017-12-01 14:00","8","SW","12"
"2017-12-01 14:10","4","SW","6"
"2017-12-01 14:20","5","SSW","8"
"2017-12-01 14:30","4","WSW","6"
"2017-12-01 14:40","3","WSW","5"
"2017-12-01 14:50","2","SSW","5"
"2017-12-01 15:00","4","WSW","6"
"2017-12-01 15:10","1","W","4"
"2017-12-01 15:20","2","SW","3"
"2017-12-01 15:30","0","SE","1"
"2017-12-01 15:40","0","S","3"
"2017-12-01 15:50","0","S","0"
"2017-12-01 16:00","2","E","3"
"2017-12-01 16:10","1","E","3"
"2017-12-01 16:20","3","E","5"
"2017-12-01 16:30","5","E","6"
"2017-12-01 16:40","2","E","3"
"2017-12-01 16:50","4","E","6"
"2017-12-01 17:00","4","E","5"
"2017-12-01 17:10","5","E","5"
"2017-12-01 17:20","3","E","4"
"2017-12-01 17:30","4","E","6"
"2017-12-01 17:40","4","E","6"
"2017-12-01 17:50","5","E","8"
"2017-12-01 18:00","1","ENE","3"
"2017-12-01 18:10","3","ENE","6"
"2017-12-01 18:20","1","E","3"
"2017-12-01 18:30","3","E","5"
"2017-12-01 18:40","5","E","7"
"2017-12-01 18:50","2","E","3"
"2017-12-01 19:00","3","E","5"
"2017-12-01 19:10","3","ENE","5"
"2017-12-01 19:20","2","E","4"
"2017-12-01 19:30","4","E","6"
"2017-12-01 19:40","4","E","7"
"2017-12-01 19:50","3","ENE","5"
"2017-12-01 20:00","3","E","5"
"2017-12-01 20:10","0","ENE","2"
"2017-12-01 20:20","3","E","4"
"2017-12-01 20:30","5","E","6"
"2017-12-01 20:40","3","ENE","4"
"2017-12-01 20:50","2","E","4"
"2017-12-01 21:00","2","ENE","4"
"2017-12-01 21:10","1","NE","3"
"2017-12-01 21:20","3","ENE","5"
"2017-12-01 21:30","0","NE","0"
"2017-12-01 21:40","3","ENE","5"
"2017-12-01 21:50","5","E","8"
"2017-12-01 22:00","6","E","10"
"2017-12-01 22:10","3","ENE","4"
"2017-12-01 22:20","3","ENE","4"
"2017-12-01 22:30","1","ENE","3"
"2017-12-01 22:40","3","ENE","6"
"2017-12-01 22:50","2","ENE","3"
"2017-12-01 23:00","1","E","3"
"2017-12-01 23:10","5","E","7"
"2017-12-01 23:20","5","E","7"
"2017-12-01 23:30","3","E","6"
"2017-12-01 23:40","4","ESE","6"
"2017-12-01 23:50","3","E","4"
"2017-12-02 00:00","4","E","5"
"2017-12-02 00:10","3","E","4"
"2017-12-02 00:20","3","E","4"
"2017-12-02 00:30","3","E","4"
"2017-12-02 00:40","4","E","5"
"2017-12-02 00:50","3","E","5"
"2017-12-02 01:00","3","E","5"
"2017-12-02 01:10","3","E","5"
"2017-12-02 01:20","1","E","2"
"2017-12-02 01:30","3","ESE","4"
"2017-12-02 01:40","1","E","2"
"2017-12-02 01:50","4","E","5"
"2017-12-02 02:00","3","ENE","5"
"2017-12-02 02:10","5","E","7"
"2017-12-02 02:20","5","E","6"
"2017-12-02 02:30","6","E","8"
"2017-12-02 02:40","7","E","9"
"2017-12-02 02:50","3","E","6"
"2017-12-02 03:00","3","E","6"
"2017-12-02 03:10","4","E","6"
"2017-12-02 03:20","4","E","5"
"2017-12-02 03:30","4","E","7"
"2017-12-02 03:40","5","E","8"
"2017-12-02 03:50","5","E","8"
"2017-12-02 04:00","6","E","9"
"2017-12-02 04:10","8","E","12"
"2017-12-02 04:20","7","E","10"
"2017-12-02 04:30","9","E","12"
"2017-12-02 04:40","9","E","11"
"2017-12-02 04:50","7","E","10"
"2017-12-02 05:00","8","E","14"
"2017-12-02 05:10","7","E","10"
"2017-12-02 05:20","8","E","12"
"2017-12-02 05:30","6","E","10"
"2017-12-02 05:40","8","E","10"
"2017-12-02 05:50","7","E","10"
"2017-12-02 06:00","5","E","9"
"2017-12-02 06:10","6","E","11"
"2017-12-02 06:20","6","E","13"
"2017-12-02 06:30","5","ENE","10"
"2017-12-02 06:40","5","E","9"
"2017-12-02 06:50","6","E","10"
"2017-12-02 07:00","5","E","10"
"2017-12-02 07:10","5","ENE","12"
"2017-12-02 07:20","5","E","8"
"2017-12-02 07:30","5","E","8"
"2017-12-02 07:40","5","E","8"
"2017-12-02 07:50","5","ENE","9"
"2017-12-02 08:00","5","E","7"
"2017-12-02 08:10","6","E","9"
"2017-12-02 08:20","5","ENE","8"
"2017-12-02 08:30","5","E","8"
"2017-12-02 08:40","4","ENE","6"
"2017-12-02 08:50","6","E","9"
"2017-12-02 09:00","4","ENE","7"
"2017-12-02 09:10","4","E","5"
"2017-12-02 09:20","5","E","7"
"2017-12-02 09:30","4","ENE","6"
"2017-12-02 09:40","2","ENE","5"
"2017-12-02 09:50","5","E","7"
"2017-12-02 10:00","5","E","7"
"2017-12-02 10:10","6","E","7"
"2017-12-02 10:20","3","ENE","5"
"2017-12-02 10:30","4","E","6"
"2017-12-02 10:40","3","ENE","6"
"2017-12-02 10:50","6","E","7"
"2017-12-02 11:00","4","ENE","5"
"2017-12-02 11:10","6","ESE","8"
"2017-12-02 11:20","4","ENE","6"
"2017-12-02 11:30","3","ENE","5"
"2017-12-02 11:40","3","E","6"
"2017-12-02 11:50","6","E","8"
"2017-12-02 12:00","3","ENE","5"
"2017-12-02 12:10","3","E","5"
"2017-12-02 12:20","5","ESE","7"
"2017-12-02 12:30","4","ESE","6"
"2017-12-02 12:40","1","NNE","3"
"2017-12-02 12:50","1","NE","3"
"2017-12-02 13:00","2","ENE","4"
"2017-12-02 13:10","2","NW","4"
"2017-12-02 13:20","1","WSW","5"
"2017-12-02 13:30","2","WSW","3"
"2017-12-02 13:40","1","WSW","3"
"2017-12-02 13:50","0","NE","0"
"2017-12-02 14:00","0","N","1"
"2017-12-02 14:10","0","N","1"
"2017-12-02 14:20","1","WSW","4"
"2017-12-02 14:30","0","S","3"
"2017-12-02 14:40","1","ESE","3"
"2017-12-02 14:50","0","SE","2"
"2017-12-02 15:00","2","ESE","3"
"2017-12-02 15:10","1","ENE","2"
"2017-12-02 15:20","0","E","1"
"2017-12-02 15:30","3","E","5"
"2017-12-02 15:40","4","ENE","6"
"2017-12-02 15:50","5","E","6"
"2017-12-02 16:00","6","E","7"
"2017-12-02 16:10","2","E","3"
"2017-12-02 16:20","4","E","5"
"2017-12-02 16:30","5","E","6"
"2017-12-02 16:40","4","E","6"
"2017-12-02 16:50","4","E","5"
"2017-12-02 17:00","4","E","6"
"2017-12-02 17:10","4","E","6"
"2017-12-02 17:20","4","E","6"
"2017-12-02 17:30","5","E","6"
"2017-12-02 17:40","6","E","7"
"2017-12-02 17:50","3","E","5"
"2017-12-02 18:00","4","E","6"
"2017-12-02 18:10","4","E","6"
"2017-12-02 18:20","6","E","8"
"2017-12-02 18:30","6","E","9"
"2017-12-02 18:40","8","E","10"
"2017-12-02 18:50","4","ENE","8"
"2017-12-02 19:00","5","E","8"
"2017-12-02 19:10","5","E","8"
