"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2018-02-01 00:00","4","NE","13"
"2018-02-01 00:10","3","NE","9"
"2018-02-01 00:20","3","NE","6"
"2018-02-01 00:30","5","E","11"
"2018-02-01 00:40","4","NNE","11"
"2018-02-01 00:50","5","E","9"
"2018-02-01 01:00","4","ENE","10"
"2018-02-01 01:10","6","E","12"
"2018-02-01 01:20","6","E","10"
"2018-02-01 01:30","2","SE","6"
"2018-02-01 01:40","5","ENE","10"
"2018-02-01 01:50","5","ESE","14"
"2018-02-01 02:00","1","SE","4"
"2018-02-01 02:10","1","NE","3"
"2018-02-01 02:20","4","E","9"
"2018-02-01 02:30","3","E","9"
"2018-02-01 02:40","8","E","13"
"2018-02-01 02:51","7","E","12"
"2018-02-01 03:00","7","ENE","13"
"2018-02-01 03:10","9","E","16"
"2018-02-01 03:20","5","ENE","10"
"2018-02-01 03:30","3","ENE","9"
"2018-02-01 03:40","6","E","12"
"2018-02-01 03:50","4","SE","12"
"2018-02-01 04:00","7","ENE","13"
"2018-02-01 04:10","4","NE","9"
"2018-02-01 04:20","4","ENE","9"
"2018-02-01 04:30","1","N","7"
"2018-02-01 04:40","4","E","13"
"2018-02-01 04:50","6","ENE","13"
"2018-02-01 05:00","6","NE","17"
"2018-02-01 05:10","6","ENE","17"
"2018-02-01 05:20","7","E","15"
"2018-02-01 05:30","8","E","14"
"2018-02-01 05:40","6","ENE","14"
"2018-02-01 05:50","8","E","15"
"2018-02-01 06:00","9","E","15"
"2018-02-01 06:10","3","ESE","13"
"2018-02-01 06:20","11","E","23"
"2018-02-01 06:30","13","E","21"
"2018-02-01 06:40","9","E","19"
"2018-02-01 06:50","12","E","21"
"2018-02-01 07:00","3","NNE","15"
"2018-02-01 07:10","10","E","18"
"2018-02-01 07:20","10","E","17"
"2018-02-01 07:30","5","ENE","11"
"2018-02-01 07:40","9","E","14"
"2018-02-01 07:50","11","E","17"
"2018-02-01 08:00","12","E","18"
"2018-02-01 08:10","5","ENE","14"
"2018-02-01 08:20","5","ENE","12"
"2018-02-01 08:30","5","E","10"
"2018-02-01 08:40","3","E","8"
"2018-02-01 08:50","6","E","12"
"2018-02-01 09:00","7","E","13"
"2018-02-01 09:10","4","ESE","10"
"2018-02-01 09:20","6","E","11"
"2018-02-01 09:30","3","NE","8"
"2018-02-01 09:40","4","E","7"
"2018-02-01 09:50","3","ENE","9"
"2018-02-01 10:00","1","NNE","5"
"2018-02-01 10:10","3","W","8"
"2018-02-01 10:20","2","SW","8"
"2018-02-01 10:30","5","W","8"
"2018-02-01 10:40","6","W","15"
"2018-02-01 10:50","6","WNW","11"
"2018-02-01 11:00","6","W","14"
"2018-02-01 11:10","9","WNW","24"
"2018-02-01 11:20","18","W","30"
"2018-02-01 11:30","17","W","29"
"2018-02-01 11:40","14","W","27"
"2018-02-01 11:50","10","WNW","26"
"2018-02-01 12:00","7","WNW","20"
"2018-02-01 12:10","8","WNW","21"
"2018-02-01 12:20","12","W","21"
"2018-02-01 12:30","10","WNW","19"
"2018-02-01 12:40","10","WNW","20"
"2018-02-01 12:50","7","WNW","15"
"2018-02-01 13:00","9","WNW","22"
"2018-02-01 13:10","9","WNW","19"
"2018-02-01 13:20","6","NW","15"
"2018-02-01 13:30","5","NW","15"
"2018-02-01 13:40","6","NW","15"
"2018-02-01 13:50","6","NW","15"
"2018-02-01 14:00","5","NW","12"
"2018-02-01 14:10","4","NW","9"
"2018-02-01 14:20","4","NW","8"
"2018-02-01 14:30","5","WNW","12"
"2018-02-01 14:40","5","WNW","9"
"2018-02-01 14:50","5","WNW","12"
"2018-02-01 15:00","6","WNW","12"
"2018-02-01 15:10","5","WNW","11"
"2018-02-01 15:20","4","NW","10"
"2018-02-01 15:30","4","NNW","11"
"2018-02-01 15:40","4","NW","11"
"2018-02-01 15:50","4","NW","12"
"2018-02-01 16:00","4","N","12"
"2018-02-01 16:10","6","NW","13"
"2018-02-01 16:20","7","WNW","17"
"2018-02-01 16:30","5","NW","17"
"2018-02-01 16:40","5","NW","17"
"2018-02-01 16:50","5","NW","13"
"2018-02-01 17:00","5","NW","13"
"2018-02-01 17:10","4","WNW","13"
"2018-02-01 17:20","6","WNW","13"
"2018-02-01 17:30","9","WNW","22"
"2018-02-01 17:40","8","WNW","17"
"2018-02-01 17:50","10","WNW","17"
"2018-02-01 18:00","10","WNW","20"
"2018-02-01 18:10","13","W","24"
"2018-02-01 18:20","11","WNW","23"
"2018-02-01 18:30","12","WNW","25"
"2018-02-01 18:40","10","WNW","21"
"2018-02-01 18:50","7","WNW","13"
"2018-02-01 19:00","8","WNW","16"
"2018-02-01 19:10","5","NW","17"
"2018-02-01 19:20","6","NW","13"
"2018-02-01 19:30","5","WNW","11"
"2018-02-01 19:40","6","NW","18"
"2018-02-01 19:50","8","NNW","21"
"2018-02-01 20:00","8","NW","22"
"2018-02-01 20:10","6","NW","17"
"2018-02-01 20:20","5","WNW","17"
"2018-02-01 20:30","5","NW","15"
"2018-02-01 20:40","7","NW","18"
"2018-02-01 20:50","6","WNW","18"
"2018-02-01 21:00","5","WNW","15"
"2018-02-01 21:10","6","NW","16"
