"Time EST","Dew Point (°C)","Relative Humidity (%)"
"2018-01-01 00:00","-31.3","92"
"2018-01-01 00:10","-31.6","92"
"2018-01-01 00:20","-31.9","91"
"2018-01-01 00:30","-31.9","92"
"2018-01-01 00:40","-31.8","92"
"2018-01-01 00:50","-32.0","91"
"2018-01-01 01:00","-32.4","91"
"2018-01-01 01:10","-32.5","91"
"2018-01-01 01:20","-32.7","91"
"2018-01-01 01:30","-32.6","91"
"2018-01-01 01:40","-32.3","91"
"2018-01-01 01:50","-32.1","91"
"2018-01-01 02:00","-31.9","92"
"2018-01-01 02:10","-32.1","91"
"2018-01-01 02:20","-32.0","92"
"2018-01-01 02:30","-32.1","91"
"2018-01-01 02:40","-32.5","91"
"2018-01-01 02:50","-33.0","90"
"2018-01-01 03:00","-33.4","90"
"2018-01-01 03:10","-33.5","90"
"2018-01-01 03:20","-33.6","90"
"2018-01-01 03:30","-33.9","89"
"2018-01-01 03:40","-33.8","90"
"2018-01-01 03:50","-33.7","90"
"2018-01-01 04:00","-33.4","90"
"2018-01-01 04:10","-33.2","90"
"2018-01-01 04:20","-33.1","90"
"2018-01-01 04:30","-33.2","90"
"2018-01-01 04:40","-33.1","90"
"2018-01-01 04:50","-32.9","90"
"2018-01-01 05:00","-32.6","90"
"2018-01-01 05:10","-32.6","90"
"2018-01-01 05:20","-32.7","90"
"2018-01-01 05:30","-33.0","90"
"2018-01-01 05:40","-33.4","89"
"2018-01-01 05:50","-32.9","91"
"2018-01-01 06:00","-32.2","91"
"2018-01-01 06:10","-31.9","91"
"2018-01-01 06:20","-31.3","92"
"2018-01-01 06:30","-31.2","92"
"2018-01-01 06:40","-31.4","91"
"2018-01-01 06:50","-31.5","91"
"2018-01-01 07:00","-31.1","92"
"2018-01-01 07:11","-30.3","93"
"2018-01-01 07:20","-30.0","93"
"2018-01-01 07:30","-29.8","93"
"2018-01-01 07:40","-29.8","92"
"2018-01-01 07:50","-30.1","92"
"2018-01-01 08:00","-30.2","92"
"2018-01-01 08:10","-30.2","92"
"2018-01-01 08:20","-30.1","92"
"2018-01-01 08:30","-29.5","93"
"2018-01-01 08:40","-29.4","93"
"2018-01-01 08:50","-29.7","92"
"2018-01-01 09:00","-29.5","93"
"2018-01-01 09:10","-29.3","92"
"2018-01-01 09:20","-28.9","93"
"2018-01-01 09:30","-28.3","94"
"2018-01-01 09:40","-28.0","93"
"2018-01-01 09:50","-27.9","94"
"2018-01-01 10:00","-27.5","93"
"2018-01-01 10:10","-26.6","94"
"2018-01-01 10:20","-26.1","94"
"2018-01-01 10:30","-25.1","94"
"2018-01-01 10:40","-25.4","93"
"2018-01-01 10:50","-24.9","93"
"2018-01-01 11:00","-24.2","91"
"2018-01-01 11:10","-23.8","92"
"2018-01-01 11:20","-23.3","93"
"2018-01-01 11:30","-23.4","92"
"2018-01-01 11:40","-23.0","92"
"2018-01-01 11:51","-22.4","90"
"2018-01-01 12:00","-20.9","91"
"2018-01-01 12:10","-20.9","89"
"2018-01-01 12:20","-20.5","88"
"2018-01-01 12:30","-20.9","89"
"2018-01-01 12:40","-19.9","88"
"2018-01-01 12:50","-19.4","85"
"2018-01-01 13:00","-20.0","90"
"2018-01-01 13:10","-20.1","90"
"2018-01-01 13:20","-20.1","89"
"2018-01-01 13:30","-19.9","88"
"2018-01-01 13:40","-19.5","88"
"2018-01-01 13:50","-19.2","88"
"2018-01-01 14:00","-19.0","92"
"2018-01-01 14:10","-18.7","93"
"2018-01-01 14:20","-18.6","93"
"2018-01-01 14:30","-18.4","95"
"2018-01-01 14:40","-18.7","96"
"2018-01-01 14:51","-19.1","95"
"2018-01-01 15:00","-19.2","97"
"2018-01-01 15:11","-19.3","97"
"2018-01-01 15:20","-19.7","96"
"2018-01-01 15:30","-20.2","95"
"2018-01-01 15:40","-20.3","96"
"2018-01-01 15:50","-20.7","95"
"2018-01-01 16:00","-21.1","94"
"2018-01-01 16:10","-21.8","95"
"2018-01-01 16:20","-22.0","95"
"2018-01-01 16:30","-22.5","94"
"2018-01-01 16:40","-22.9","93"
"2018-01-01 16:50","-23.4","92"
"2018-01-01 17:00","-23.4","92"
"2018-01-01 17:10","-23.5","93"
"2018-01-01 17:20","-23.9","92"
"2018-01-01 17:30","-24.2","90"
"2018-01-01 17:40","-24.4","91"
"2018-01-01 17:50","-24.5","92"
"2018-01-01 18:00","-24.8","91"
"2018-01-01 18:11","-25.0","91"
"2018-01-01 18:20","-25.2","91"
"2018-01-01 18:30","-25.5","91"
"2018-01-01 18:40","-25.5","92"
"2018-01-01 18:50","-25.6","92"
"2018-01-01 19:00","-25.9","92"
"2018-01-01 19:10","-26.3","92"
"2018-01-01 19:20","-26.4","93"
"2018-01-01 19:30","-26.8","93"
"2018-01-01 19:40","-26.8","93"
"2018-01-01 19:50","-27.4","93"
"2018-01-01 20:00","-27.6","94"
"2018-01-01 20:10","-27.8","94"
"2018-01-01 20:20","-28.1","94"
