"Time EST","Pressure (kPa)"
"2018-01-01 00:00","100.15"
"2018-01-01 00:10","100.15"
"2018-01-01 00:20","100.15"
"2018-01-01 00:30","100.14"
"2018-01-01 00:40","100.12"
"2018-01-01 00:50","100.12"
"2018-01-01 01:00","100.10"
"2018-01-01 01:10","100.09"
"2018-01-01 01:20","100.09"
"2018-01-01 01:30","100.08"
"2018-01-01 01:40","100.08"
"2018-01-01 01:50","100.08"
"2018-01-01 02:00","100.06"
"2018-01-01 02:10","100.06"
"2018-01-01 02:20","100.06"
"2018-01-01 02:30","100.05"
"2018-01-01 02:40","100.07"
"2018-01-01 02:50","100.07"
"2018-01-01 03:00","100.05"
"2018-01-01 03:10","100.06"
"2018-01-01 03:20","100.04"
"2018-01-01 03:30","100.05"
"2018-01-01 03:40","100.05"
"2018-01-01 03:50","100.02"
"2018-01-01 04:00","100.03"
"2018-01-01 04:10","100.00"
"2018-01-01 04:20","100.00"
"2018-01-01 04:30","100.00"
"2018-01-01 04:40","99.99"
"2018-01-01 04:50","99.98"
"2018-01-01 05:00","99.96"
"2018-01-01 05:10","99.94"
"2018-01-01 05:20","99.92"
"2018-01-01 05:30","99.95"
"2018-01-01 05:40","99.98"
"2018-01-01 05:50","99.97"
"2018-01-01 06:00","99.96"
"2018-01-01 06:10","99.96"
"2018-01-01 06:20","99.95"
"2018-01-01 06:30","99.96"
"2018-01-01 06:40","99.98"
"2018-01-01 06:50","100.00"
"2018-01-01 07:00","99.97"
"2018-01-01 07:11","99.95"
"2018-01-01 07:20","99.94"
"2018-01-01 07:30","99.93"
"2018-01-01 07:40","99.92"
"2018-01-01 07:50","99.91"
"2018-01-01 08:00","99.92"
"2018-01-01 08:10","99.91"
"2018-01-01 08:20","99.93"
"2018-01-01 08:30","99.93"
"2018-01-01 08:40","99.92"
"2018-01-01 08:50","99.90"
"2018-01-01 09:00","99.90"
"2018-01-01 09:10","99.90"
"2018-01-01 09:20","99.91"
"2018-01-01 09:30","99.88"
"2018-01-01 09:40","99.89"
"2018-01-01 09:50","99.87"
"2018-01-01 10:00","99.88"
"2018-01-01 10:10","99.86"
"2018-01-01 10:20","99.88"
"2018-01-01 10:30","99.88"
"2018-01-01 10:40","99.87"
"2018-01-01 10:50","99.85"
"2018-01-01 11:00","99.85"
"2018-01-01 11:10","99.83"
"2018-01-01 11:20","99.81"
"2018-01-01 11:30","99.80"
"2018-01-01 11:40","99.79"
"2018-01-01 11:51","99.77"
"2018-01-01 12:00","99.76"
"2018-01-01 12:10","99.75"
"2018-01-01 12:20","99.75"
"2018-01-01 12:30","99.74"
"2018-01-01 12:40","99.72"
