"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2018-01-01 00:00","3","E","4"
"2018-01-01 00:10","3","E","4"
"2018-01-01 00:20","2","E","4"
"2018-01-01 00:30","3","E","3"
"2018-01-01 00:40","4","E","4"
"2018-01-01 00:50","5","E","6"
"2018-01-01 01:00","2","SE","4"
"2018-01-01 01:10","3","ESE","4"
"2018-01-01 01:20","1","ESE","2"
"2018-01-01 01:30","1","ESE","3"
"2018-01-01 01:40","2","ESE","3"
"2018-01-01 01:50","3","E","4"
"2018-01-01 02:00","3","E","4"
"2018-01-01 02:10","2","E","3"
"2018-01-01 02:20","3","E","4"
"2018-01-01 02:30","2","E","3"
"2018-01-01 02:40","1","ESE","1"
"2018-01-01 02:50","4","E","5"
"2018-01-01 03:00","2","E","3"
"2018-01-01 03:10","3","E","4"
"2018-01-01 03:20","3","ESE","4"
"2018-01-01 03:30","1","ESE","1"
"2018-01-01 03:40","3","ESE","3"
"2018-01-01 03:50","3","E","4"
"2018-01-01 04:00","1","ESE","3"
"2018-01-01 04:10","0","E","2"
"2018-01-01 04:20","0","E","0"
"2018-01-01 04:30","1","E","2"
"2018-01-01 04:40","1","ESE","2"
"2018-01-01 04:50","3","ESE","3"
"2018-01-01 05:00","2","E","3"
"2018-01-01 05:10","0","E","1"
"2018-01-01 05:20","2","E","5"
"2018-01-01 05:30","0","W","2"
"2018-01-01 05:40","2","S","3"
"2018-01-01 05:50","1","SE","2"
"2018-01-01 06:00","1","SE","3"
"2018-01-01 06:10","0","ESE","0"
"2018-01-01 06:20","4","E","6"
"2018-01-01 06:30","0","E","1"
"2018-01-01 06:40","1","WSW","3"
"2018-01-01 06:50","0","WSW","1"
"2018-01-01 07:00","0","WSW","1"
"2018-01-01 07:11","3","E","5"
"2018-01-01 07:20","8","E","10"
"2018-01-01 07:30","3","ENE","5"
"2018-01-01 07:40","4","E","6"
"2018-01-01 07:50","5","E","7"
"2018-01-01 08:00","4","E","6"
"2018-01-01 08:10","6","ESE","8"
"2018-01-01 08:20","5","E","7"
"2018-01-01 08:30","1","NE","3"
"2018-01-01 08:40","3","ENE","7"
"2018-01-01 08:50","8","E","11"
"2018-01-01 09:00","7","E","10"
"2018-01-01 09:10","9","E","13"
"2018-01-01 09:20","7","E","10"
"2018-01-01 09:30","5","E","8"
"2018-01-01 09:40","6","E","10"
"2018-01-01 09:50","5","E","9"
"2018-01-01 10:00","7","ESE","9"
"2018-01-01 10:10","4","ENE","7"
"2018-01-01 10:20","6","E","9"
"2018-01-01 10:30","4","E","6"
"2018-01-01 10:40","6","ESE","10"
"2018-01-01 10:50","6","ESE","8"
"2018-01-01 11:00","5","E","8"
"2018-01-01 11:10","5","E","8"
"2018-01-01 11:20","4","ESE","5"
"2018-01-01 11:30","8","ESE","10"
"2018-01-01 11:40","9","E","11"
"2018-01-01 11:51","6","ESE","8"
"2018-01-01 12:00","3","E","4"
"2018-01-01 12:10","5","ESE","5"
"2018-01-01 12:20","2","NNE","5"
"2018-01-01 12:30","4","ESE","5"
"2018-01-01 12:40","2","ESE","4"
"2018-01-01 12:50","3","ESE","5"
"2018-01-01 13:00","5","W","7"
"2018-01-01 13:10","6","W","8"
"2018-01-01 13:20","6","W","9"
"2018-01-01 13:30","5","W","9"
"2018-01-01 13:40","6","W","8"
"2018-01-01 13:50","7","W","10"
"2018-01-01 14:00","6","WSW","10"
"2018-01-01 14:10","5","W","8"
"2018-01-01 14:20","9","W","12"
"2018-01-01 14:30","10","W","14"
"2018-01-01 14:40","12","W","16"
"2018-01-01 14:51","9","W","14"
"2018-01-01 15:00","10","W","15"
"2018-01-01 15:11","9","W","12"
"2018-01-01 15:20","13","W","19"
"2018-01-01 15:30","12","W","17"
"2018-01-01 15:40","12","W","22"
"2018-01-01 15:50","10","WNW","17"
"2018-01-01 16:00","8","W","17"
"2018-01-01 16:10","9","W","14"
"2018-01-01 16:20","7","WNW","11"
"2018-01-01 16:30","5","W","9"
"2018-01-01 16:40","9","W","14"
"2018-01-01 16:50","8","WNW","13"
"2018-01-01 17:00","7","W","12"
"2018-01-01 17:10","5","W","8"
"2018-01-01 17:20","10","W","16"
"2018-01-01 17:30","9","WNW","17"
"2018-01-01 17:40","7","WNW","15"
"2018-01-01 17:50","5","NW","12"
"2018-01-01 18:00","6","WNW","14"
"2018-01-01 18:11","7","WNW","14"
"2018-01-01 18:20","4","WNW","7"
"2018-01-01 18:30","6","WNW","12"
"2018-01-01 18:40","5","WNW","9"
"2018-01-01 18:50","6","WNW","11"
"2018-01-01 19:00","5","WNW","10"
"2018-01-01 19:10","2","WNW","5"
"2018-01-01 19:20","3","W","5"
"2018-01-01 19:30","3","WNW","6"
"2018-01-01 19:40","3","SW","5"
"2018-01-01 19:50","1","S","4"
"2018-01-01 20:00","0","SW","2"
"2018-01-01 20:10","1","SSW","2"
"2018-01-01 20:20","2","SE","3"
"2018-01-01 20:30","2","SE","3"
"2018-01-01 20:40","3","ESE","4"
"2018-01-01 20:50","1","SE","3"
"2018-01-01 21:00","1","SE","3"
"2018-01-01 21:10","1","S","3"
"2018-01-01 21:20","2","SE","4"
"2018-01-01 21:30","2","ESE","4"
"2018-01-01 21:40","3","E","5"
"2018-01-01 21:50","4","E","5"
"2018-01-01 22:00","3","E","4"
"2018-01-01 22:10","3","E","4"
"2018-01-01 22:20","3","E","5"
"2018-01-01 22:31","4","E","4"
"2018-01-01 22:40","4","E","5"
"2018-01-01 22:51","4","E","5"
"2018-01-01 23:00","4","E","5"
"2018-01-01 23:10","4","E","5"
"2018-01-01 23:20","4","E","6"
"2018-01-01 23:30","4","E","5"
"2018-01-01 23:40","3","ESE","4"
"2018-01-01 23:50","3","E","4"
"2018-01-02 00:00","3","E","4"
"2018-01-02 00:10","4","ESE","4"
"2018-01-02 00:20","3","E","4"
"2018-01-02 00:30","3","ESE","4"
"2018-01-02 00:40","2","ESE","3"
"2018-01-02 00:50","3","E","4"
"2018-01-02 01:00","4","E","5"
"2018-01-02 01:11","2","E","4"
"2018-01-02 01:20","1","ESE","2"
"2018-01-02 01:30","3","ESE","4"
"2018-01-02 01:40","4","E","5"
"2018-01-02 01:50","3","E","4"
"2018-01-02 02:00","1","ESE","2"
"2018-01-02 02:10","1","ESE","3"
"2018-01-02 02:20","2","E","4"
"2018-01-02 02:30","2","E","5"
"2018-01-02 02:40","5","E","7"
"2018-01-02 02:50","4","E","5"
"2018-01-02 03:00","6","E","8"
"2018-01-02 03:10","2","E","4"
"2018-01-02 03:20","5","E","9"
"2018-01-02 03:31","5","E","7"
"2018-01-02 03:40","5","E","7"
"2018-01-02 03:50","6","E","9"
"2018-01-02 04:00","7","E","13"
"2018-01-02 04:10","8","E","12"
"2018-01-02 04:20","5","E","9"
"2018-01-02 04:30","6","E","12"
"2018-01-02 04:40","3","ENE","5"
"2018-01-02 04:50","3","ENE","8"
"2018-01-02 05:00","7","ENE","14"
"2018-01-02 05:10","4","ENE","9"
"2018-01-02 05:20","5","E","10"
"2018-01-02 05:30","4","E","7"
"2018-01-02 05:40","6","E","9"
"2018-01-02 05:50","4","E","8"
"2018-01-02 06:00","8","E","13"
"2018-01-02 06:10","4","ENE","9"
"2018-01-02 06:20","6","ENE","9"
"2018-01-02 06:30","1","NNE","4"
"2018-01-02 06:40","4","ENE","8"
"2018-01-02 06:50","5","E","8"
"2018-01-02 07:00","3","E","6"
"2018-01-02 07:10","6","E","9"
"2018-01-02 07:20","3","ENE","5"
"2018-01-02 07:30","5","E","9"
"2018-01-02 07:40","5","E","8"
"2018-01-02 07:50","1","ESE","4"
"2018-01-02 08:00","5","E","6"
"2018-01-02 08:10","1","E","3"
"2018-01-02 08:20","4","ESE","6"
"2018-01-02 08:30","6","E","9"
"2018-01-02 08:40","1","NNE","4"
"2018-01-02 08:50","6","E","10"
"2018-01-02 09:00","3","E","5"
"2018-01-02 09:10","6","E","8"
"2018-01-02 09:20","3","ENE","5"
"2018-01-02 09:30","6","E","8"
"2018-01-02 09:40","3","ESE","5"
"2018-01-02 09:50","4","E","6"
"2018-01-02 10:00","3","E","5"
"2018-01-02 10:10","5","E","8"
"2018-01-02 10:20","6","E","9"
"2018-01-02 10:30","3","E","5"
"2018-01-02 10:40","3","E","5"
"2018-01-02 10:50","1","ESE","3"
"2018-01-02 11:00","0","WSW","1"
"2018-01-02 11:10","3","E","4"
"2018-01-02 11:20","1","E","3"
"2018-01-02 11:30","0","SE","2"
"2018-01-02 11:40","0","NE","1"
"2018-01-02 11:50","4","E","5"
"2018-01-02 12:00","3","E","5"
"2018-01-02 12:10","4","ESE","6"
"2018-01-02 12:20","0","SSE","1"
"2018-01-02 12:30","0","W","1"
"2018-01-02 12:40","0","W","3"
"2018-01-02 12:50","0","NE","1"
"2018-01-02 13:00","2","E","3"
"2018-01-02 13:10","1","E","2"
"2018-01-02 13:20","0","N","0"
"2018-01-02 13:30","1","NW","5"
"2018-01-02 13:40","0","NNW","2"
"2018-01-02 13:50","1","WNW","2"
"2018-01-02 14:00","3","NW","4"
"2018-01-02 14:10","1","WNW","3"
"2018-01-02 14:20","0","N","2"
"2018-01-02 14:30","1","NNW","3"
"2018-01-02 14:40","1","W","4"
"2018-01-02 14:50","1","SW","3"
"2018-01-02 15:00","6","W","9"
"2018-01-02 15:10","9","W","15"
"2018-01-02 15:20","10","WSW","13"
"2018-01-02 15:30","14","W","19"
"2018-01-02 15:40","12","W","16"
"2018-01-02 15:50","13","WSW","17"
"2018-01-02 16:00","13","W","19"
"2018-01-02 16:10","15","WSW","22"
"2018-01-02 16:20","12","W","21"
"2018-01-02 16:30","12","W","18"
"2018-01-02 16:40","11","W","15"
"2018-01-02 16:50","10","WSW","14"
"2018-01-02 17:00","12","WSW","17"
"2018-01-02 17:10","12","W","16"
"2018-01-02 17:20","11","W","16"
"2018-01-02 17:30","8","WNW","13"
"2018-01-02 17:40","5","WNW","10"
"2018-01-02 17:50","7","NW","13"
"2018-01-02 18:00","5","W","8"
"2018-01-02 18:10","3","NW","5"
"2018-01-02 18:20","3","NW","6"
"2018-01-02 18:30","0","W","2"
"2018-01-02 18:40","1","N","4"
"2018-01-02 18:50","2","NNW","6"
"2018-01-02 19:00","2","W","4"
"2018-01-02 19:10","1","SW","2"
"2018-01-02 19:20","0","W","1"
"2018-01-02 19:30","1","SSE","2"
"2018-01-02 19:40","1","E","2"
"2018-01-02 19:50","1","ENE","2"
"2018-01-02 20:00","0","NNE","2"
"2018-01-02 20:10","4","E","5"
"2018-01-02 20:20","3","ENE","5"
"2018-01-02 20:30","2","E","4"
"2018-01-02 20:40","1","ENE","4"
"2018-01-02 20:50","1","ESE","3"
"2018-01-02 21:00","2","E","4"
"2018-01-02 21:10","1","NE","3"
"2018-01-02 21:20","1","ESE","4"
"2018-01-02 21:30","2","ENE","5"
"2018-01-02 21:40","1","ESE","6"
"2018-01-02 21:50","4","E","7"
"2018-01-02 22:00","7","E","9"
"2018-01-02 22:10","6","E","9"
"2018-01-02 22:20","7","E","10"
"2018-01-02 22:31","8","E","11"
"2018-01-02 22:40","5","E","9"
"2018-01-02 22:50","7","E","10"
"2018-01-02 23:00","4","E","7"
"2018-01-02 23:10","7","E","10"
"2018-01-02 23:20","6","ENE","10"
"2018-01-02 23:30","9","E","12"
"2018-01-02 23:40","6","E","10"
"2018-01-02 23:50","7","E","12"
"2018-01-03 00:00","8","E","14"
"2018-01-03 00:10","11","E","16"
"2018-01-03 00:20","8","E","14"
"2018-01-03 00:30","8","E","11"
"2018-01-03 00:40","10","E","15"
"2018-01-03 00:50","11","E","14"
"2018-01-03 01:00","12","E","18"
"2018-01-03 01:10","10","E","15"
"2018-01-03 01:20","7","E","11"
"2018-01-03 01:30","8","E","13"
"2018-01-03 01:40","10","E","15"
"2018-01-03 01:50","10","E","16"
"2018-01-03 02:00","9","E","12"
"2018-01-03 02:10","7","E","14"
"2018-01-03 02:20","6","E","11"
"2018-01-03 02:30","7","E","12"
"2018-01-03 02:40","8","E","13"
"2018-01-03 02:50","6","E","9"
"2018-01-03 03:00","6","E","9"
"2018-01-03 03:10","8","E","13"
"2018-01-03 03:20","9","E","13"
"2018-01-03 03:30","8","E","13"
"2018-01-03 03:40","9","E","12"
"2018-01-03 03:51","6","ENE","12"
"2018-01-03 04:00","9","E","13"
"2018-01-03 04:10","8","E","15"
"2018-01-03 04:20","8","E","13"
"2018-01-03 04:30","8","E","13"
"2018-01-03 04:40","12","E","15"
"2018-01-03 04:50","8","E","12"
"2018-01-03 05:00","5","E","8"
"2018-01-03 05:10","6","ENE","10"
"2018-01-03 05:20","6","E","10"
"2018-01-03 05:30","7","E","10"
"2018-01-03 05:40","5","ENE","11"
"2018-01-03 05:50","10","E","12"
"2018-01-03 06:00","7","E","11"
"2018-01-03 06:10","8","E","12"
"2018-01-03 06:20","8","E","9"
"2018-01-03 06:30","5","E","9"
"2018-01-03 06:40","8","E","10"
"2018-01-03 06:50","5","E","8"
"2018-01-03 07:00","7","E","10"
"2018-01-03 07:10","7","E","10"
"2018-01-03 07:20","7","E","10"
"2018-01-03 07:30","7","E","10"
"2018-01-03 07:40","8","E","11"
"2018-01-03 07:50","6","E","9"
