"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2018-02-01 00:00","9","WNW","18"
"2018-02-01 00:10","9","NW","24"
"2018-02-01 00:20","13","NW","27"
"2018-02-01 00:30","15","WNW","29"
"2018-02-01 00:40","12","WNW","28"
"2018-02-01 00:50","10","WNW","23"
"2018-02-01 01:00","10","WNW","23"
"2018-02-01 01:10","7","WNW","17"
"2018-02-01 01:20","7","NW","17"
"2018-02-01 01:30","6","WNW","15"
"2018-02-01 01:40","6","WNW","13"
"2018-02-01 01:50","7","WNW","23"
"2018-02-01 02:00","10","W","23"
"2018-02-01 02:10","12","W","26"
"2018-02-01 02:20","12","W","27"
"2018-02-01 02:30","13","NW","25"
"2018-02-01 02:40","17","NNW","25"
"2018-02-01 02:51","13","N","23"
"2018-02-01 03:00","12","N","20"
"2018-02-01 03:10","14","N","24"
"2018-02-01 03:20","13","NNW","20"
"2018-02-01 03:30","12","N","23"
"2018-02-01 03:40","7","N","12"
"2018-02-01 03:50","6","NNW","12"
"2018-02-01 04:00","4","NW","9"
"2018-02-01 04:10","3","NW","8"
"2018-02-01 04:20","5","NNW","9"
"2018-02-01 04:30","6","NW","11"
"2018-02-01 04:40","4","WNW","9"
"2018-02-01 04:50","3","W","8"
"2018-02-01 05:00","3","WNW","6"
"2018-02-01 05:10","5","NW","9"
"2018-02-01 05:20","5","NW","9"
"2018-02-01 05:30","6","NW","14"
"2018-02-01 05:40","6","NW","14"
"2018-02-01 05:50","7","NNW","15"
"2018-02-01 06:00","10","NW","16"
"2018-02-01 06:10","9","NW","17"
"2018-02-01 06:20","9","NW","18"
"2018-02-01 06:30","9","NW","19"
"2018-02-01 06:40","11","NW","24"
"2018-02-01 06:50","8","NW","18"
"2018-02-01 07:00","10","NW","20"
"2018-02-01 07:10","8","NW","15"
"2018-02-01 07:20","6","WNW","15"
"2018-02-01 07:30","6","NW","15"
"2018-02-01 07:40","6","WNW","16"
"2018-02-01 07:50","4","NW","11"
"2018-02-01 08:00","4","NW","9"
"2018-02-01 08:10","9","NW","19"
"2018-02-01 08:20","9","NW","19"
"2018-02-01 08:30","8","NW","14"
"2018-02-01 08:40","6","NW","13"
"2018-02-01 08:50","7","NW","16"
"2018-02-01 09:00","9","NW","21"
"2018-02-01 09:10","9","NW","20"
"2018-02-01 09:20","8","WNW","22"
"2018-02-01 09:30","9","NW","23"
"2018-02-01 09:40","8","NW","15"
"2018-02-01 09:50","9","NW","14"
"2018-02-01 10:00","11","NW","20"
"2018-02-01 10:10","12","NW","23"
"2018-02-01 10:20","12","NW","23"
"2018-02-01 10:30","9","NW","16"
"2018-02-01 10:40","9","NW","18"
"2018-02-01 10:50","11","NW","19"
"2018-02-01 11:00","9","NW","19"
"2018-02-01 11:10","9","NW","17"
"2018-02-01 11:20","14","NW","25"
"2018-02-01 11:30","15","NW","23"
"2018-02-01 11:40","13","NW","21"
"2018-02-01 11:50","13","NNW","22"
