"Time EST","Air Temp (°C)"
"2018-01-01 00:00","-12.9"
"2018-01-01 00:10","-13.4"
"2018-01-01 00:20","-13.4"
"2018-01-01 00:30","-13.5"
"2018-01-01 00:40","-13.7"
"2018-01-01 00:50","-13.7"
"2018-01-01 01:00","-13.5"
"2018-01-01 01:10","-13.5"
"2018-01-01 01:20","-13.7"
"2018-01-01 01:30","-14.0"
"2018-01-01 01:40","-13.9"
"2018-01-01 01:50","-13.7"
"2018-01-01 02:00","-13.5"
"2018-01-01 02:10","-13.3"
"2018-01-01 02:20","-13.3"
"2018-01-01 02:30","-13.8"
"2018-01-01 02:40","-14.1"
"2018-01-01 02:50","-13.4"
"2018-01-01 03:00","-12.8"
"2018-01-01 03:10","-12.4"
"2018-01-01 03:20","-12.3"
"2018-01-01 03:30","-13.3"
"2018-01-01 03:40","-13.1"
"2018-01-01 03:50","-13.1"
"2018-01-01 04:00","-13.0"
"2018-01-01 04:10","-12.6"
"2018-01-01 04:20","-12.2"
"2018-01-01 04:30","-12.3"
"2018-01-01 04:40","-12.0"
"2018-01-01 04:50","-12.4"
"2018-01-01 05:00","-12.6"
"2018-01-01 05:10","-12.4"
"2018-01-01 05:20","-12.6"
"2018-01-01 05:30","-11.7"
"2018-01-01 05:40","-11.6"
"2018-01-01 05:50","-11.7"
"2018-01-01 06:00","-11.7"
"2018-01-01 06:10","-11.7"
"2018-01-01 06:20","-11.8"
"2018-01-01 06:30","-11.8"
"2018-01-01 06:40","-11.8"
"2018-01-01 06:50","-11.7"
"2018-01-01 07:00","-11.7"
"2018-01-01 07:10","-11.8"
"2018-01-01 07:20","-11.8"
"2018-01-01 07:30","-11.8"
"2018-01-01 07:40","-11.9"
"2018-01-01 07:50","-11.9"
"2018-01-01 08:00","-12.0"
"2018-01-01 08:10","-12.0"
"2018-01-01 08:20","-12.1"
"2018-01-01 08:30","-12.2"
"2018-01-01 08:40","-12.2"
"2018-01-01 08:50","-12.2"
"2018-01-01 09:00","-12.0"
"2018-01-01 09:10","-11.8"
"2018-01-01 09:20","-11.6"
"2018-01-01 09:30","-11.4"
"2018-01-01 09:40","-11.4"
"2018-01-01 09:50","-11.3"
"2018-01-01 10:00","-11.1"
"2018-01-01 10:10","-11.1"
"2018-01-01 10:20","-10.9"
"2018-01-01 10:30","-10.7"
"2018-01-01 10:40","-10.6"
"2018-01-01 10:50","-10.5"
"2018-01-01 11:00","-10.5"
"2018-01-01 11:10","-10.3"
"2018-01-01 11:20","-10.4"
"2018-01-01 11:30","-10.3"
"2018-01-01 11:40","-10.2"
"2018-01-01 11:50","-10.1"
"2018-01-01 12:00","-10.1"
"2018-01-01 12:10","-10.1"
"2018-01-01 12:20","-10.1"
"2018-01-01 12:30","-10.0"
"2018-01-01 12:40","-9.9"
"2018-01-01 12:50","-9.8"
"2018-01-01 13:00","-9.8"
"2018-01-01 13:10","-9.7"
"2018-01-01 13:20","-9.7"
"2018-01-01 13:30","-9.7"
"2018-01-01 13:40","-9.6"
"2018-01-01 13:50","-9.6"
"2018-01-01 14:00","-9.7"
"2018-01-01 14:10","-9.8"
"2018-01-01 14:20","-9.8"
"2018-01-01 14:30","-9.6"
"2018-01-01 14:40","-9.6"
"2018-01-01 14:50","-9.6"
"2018-01-01 15:00","-9.7"
"2018-01-01 15:10","-9.7"
"2018-01-01 15:20","-9.7"
"2018-01-01 15:30","-9.7"
"2018-01-01 15:40","-9.6"
"2018-01-01 15:50","-9.6"
"2018-01-01 16:00","-9.7"
"2018-01-01 16:10","-9.8"
"2018-01-01 16:20","-9.9"
"2018-01-01 16:30","-10.1"
"2018-01-01 16:40","-10.3"
"2018-01-01 16:50","-10.4"
