"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2017-11-01 00:00","0","SW","0"
"2017-11-01 00:10","0","WSW","0"
"2017-11-01 00:20","0","SW","1"
"2017-11-01 00:30","0","WSW","1"
"2017-11-01 00:40","0","SW","1"
"2017-11-01 00:50","0","SSW","2"
"2017-11-01 01:00","0","SSW","2"
"2017-11-01 01:10","1","SSW","4"
"2017-11-01 01:20","0","SSW","3"
"2017-11-01 01:30","0","SSW","3"
"2017-11-01 01:40","0","SSW","3"
"2017-11-01 01:50","0","S","0"
"2017-11-01 02:00","0","S","0"
"2017-11-01 02:10","0","S","1"
"2017-11-01 02:20","0","S","0"
"2017-11-01 02:30","0","S","1"
"2017-11-01 02:40","4","S","7"
"2017-11-01 02:50","2","S","4"
"2017-11-01 03:00","3","S","4"
"2017-11-01 03:10","0","SE","2"
"2017-11-01 03:20","0","SE","1"
"2017-11-01 03:30","1","SSE","2"
"2017-11-01 03:40","2","SSE","3"
"2017-11-01 03:50","0","SSE","2"
"2017-11-01 04:00","0","SE","1"
"2017-11-01 04:10","0","SE","0"
"2017-11-01 04:20","0","E","0"
"2017-11-01 04:30","1","SSE","3"
"2017-11-01 04:40","3","SSE","4"
"2017-11-01 04:50","0","S","1"
"2017-11-01 05:00","3","SSE","4"
"2017-11-01 05:10","4","S","7"
"2017-11-01 05:20","4","S","6"
"2017-11-01 05:30","2","S","5"
"2017-11-01 05:40","0","S","2"
"2017-11-01 05:50","2","SSE","4"
"2017-11-01 06:00","1","SSE","1"
"2017-11-01 06:10","1","SSE","4"
"2017-11-01 06:20","3","SSE","5"
"2017-11-01 06:30","0","SE","3"
"2017-11-01 06:40","0","SSE","2"
"2017-11-01 06:50","2","SSE","5"
"2017-11-01 07:00","4","SSE","6"
"2017-11-01 07:10","6","SSE","9"
"2017-11-01 07:20","4","SSE","8"
"2017-11-01 07:30","7","SSE","11"
"2017-11-01 07:40","5","SSE","8"
"2017-11-01 07:50","4","SE","9"
"2017-11-01 08:00","4","SSE","7"
"2017-11-01 08:10","6","SSE","8"
"2017-11-01 08:20","7","SSE","10"
"2017-11-01 08:30","3","SSE","8"
"2017-11-01 08:40","6","SSE","10"
"2017-11-01 08:50","7","SSE","10"
"2017-11-01 09:00","6","SSE","7"
"2017-11-01 09:10","6","SSE","9"
"2017-11-01 09:20","6","SSE","8"
"2017-11-01 09:30","5","SSE","10"
"2017-11-01 09:40","5","SSE","7"
"2017-11-01 09:50","6","SSE","12"
"2017-11-01 10:00","6","SE","11"
"2017-11-01 10:10","3","SE","5"
"2017-11-01 10:20","5","SSE","10"
"2017-11-01 10:30","5","SE","9"
"2017-11-01 10:40","3","SE","5"
"2017-11-01 10:50","3","SSE","8"
"2017-11-01 11:00","3","SE","7"
"2017-11-01 11:10","5","SE","10"
"2017-11-01 11:20","4","SSE","7"
"2017-11-01 11:30","4","SE","8"
"2017-11-01 11:40","7","SSE","10"
"2017-11-01 11:50","1","SE","4"
"2017-11-01 12:00","10","SSE","13"
"2017-11-01 12:10","10","SSE","15"
"2017-11-01 12:20","8","SSE","14"
"2017-11-01 12:30","9","S","13"
"2017-11-01 12:40","12","SSE","17"
"2017-11-01 12:50","13","S","20"
"2017-11-01 13:00","13","SSE","19"
"2017-11-01 13:10","14","S","23"
"2017-11-01 13:20","14","S","19"
"2017-11-01 13:30","14","SSE","18"
"2017-11-01 13:40","10","S","13"
"2017-11-01 13:50","10","SSE","15"
"2017-11-01 14:00","7","S","11"
"2017-11-01 14:10","12","SSE","17"
"2017-11-01 14:20","10","SSE","13"
"2017-11-01 14:30","13","S","17"
"2017-11-01 14:40","10","S","15"
"2017-11-01 14:50","8","S","10"
"2017-11-01 15:00","12","SSE","14"
"2017-11-01 15:10","10","S","13"
"2017-11-01 15:20","8","S","11"
"2017-11-01 15:30","6","S","10"
"2017-11-01 15:40","12","SSE","15"
"2017-11-01 15:50","10","S","13"
"2017-11-01 16:00","10","SSE","15"
"2017-11-01 16:10","6","SSE","10"
"2017-11-01 16:20","6","SSE","14"
"2017-11-01 16:30","5","SSE","9"
"2017-11-01 16:40","5","SSE","9"
"2017-11-01 16:50","8","SSE","12"
"2017-11-01 17:00","14","SSE","20"
"2017-11-01 17:10","3","SSE","8"
"2017-11-01 17:20","3","SSE","7"
"2017-11-01 17:30","2","SE","7"
"2017-11-01 17:40","3","SE","6"
"2017-11-01 17:50","6","SSE","9"
"2017-11-01 18:00","5","SSE","8"
"2017-11-01 18:10","4","SSE","8"
"2017-11-01 18:20","4","SSE","10"
"2017-11-01 18:30","5","SE","9"
"2017-11-01 18:40","8","SSE","11"
"2017-11-01 18:50","5","SE","11"
"2017-11-01 19:00","5","SSE","11"
"2017-11-01 19:10","6","SSE","11"
"2017-11-01 19:20","6","SSE","11"
"2017-11-01 19:30","5","SSE","10"
"2017-11-01 19:40","3","SSE","7"
"2017-11-01 19:50","4","SSE","7"
"2017-11-01 20:00","5","SSE","8"
"2017-11-01 20:10","4","SE","11"
"2017-11-01 20:20","5","SSE","8"
"2017-11-01 20:30","5","SSE","10"
"2017-11-01 20:40","4","SSE","9"
"2017-11-01 20:50","8","SSE","14"
"2017-11-01 21:00","6","SSE","11"
"2017-11-01 21:10","5","SSE","10"
"2017-11-01 21:20","9","SSE","14"
"2017-11-01 21:30","8","SSE","12"
"2017-11-01 21:40","7","SSE","11"
"2017-11-01 21:50","7","SSE","10"
"2017-11-01 22:00","8","SSE","11"
"2017-11-01 22:10","5","SSE","8"
"2017-11-01 22:20","5","SSE","8"
"2017-11-01 22:30","5","SSE","9"
"2017-11-01 22:40","3","SE","7"
"2017-11-01 22:50","6","SSE","10"
