"Time EST","Dew Point (°C)","Relative Humidity (%)"
"2017-12-01 00:00","-6.2","67"
"2017-12-01 00:10","-6.2","67"
"2017-12-01 00:20","-6.1","68"
"2017-12-01 00:30","-6.1","68"
"2017-12-01 00:40","-6.0","69"
"2017-12-01 00:50","-6.0","69"
"2017-12-01 01:00","-5.8","70"
"2017-12-01 01:10","-5.8","70"
"2017-12-01 01:20","-5.8","70"
"2017-12-01 01:30","-5.7","71"
"2017-12-01 01:40","-5.7","71"
"2017-12-01 01:50","-5.5","72"
"2017-12-01 02:00","-5.2","74"
"2017-12-01 02:10","-5.1","76"
"2017-12-01 02:20","-5.0","77"
"2017-12-01 02:30","-4.9","76"
"2017-12-01 02:40","-5.0","77"
"2017-12-01 02:50","-4.8","78"
"2017-12-01 03:00","-4.8","78"
"2017-12-01 03:10","-5.0","75"
"2017-12-01 03:30","-5.3","73"
"2017-12-01 03:50","-5.8","71"
"2017-12-01 04:10","-6.0","71"
"2017-12-01 04:30","-6.1","71"
"2017-12-01 04:50","-6.0","72"
"2017-12-01 05:10","-5.8","74"
"2017-12-01 05:30","-5.4","77"
"2017-12-01 05:50","-5.5","77"
"2017-12-01 06:10","-5.5","77"
"2017-12-01 06:30","-5.3","79"
"2017-12-01 06:50","-5.3","81"
"2017-12-01 07:10","-5.4","83"
"2017-12-01 07:30","-5.4","86"
"2017-12-01 07:50","-5.2","87"
"2017-12-01 08:10","-5.9","78"
"2017-12-01 08:30","-6.5","72"
"2017-12-01 08:50","-6.5","71"
"2017-12-01 09:10","-6.4","70"
"2017-12-01 09:30","-6.4","69"
"2017-12-01 09:50","-6.5","66"
"2017-12-01 10:10","-6.2","65"
"2017-12-01 10:30","-5.8","65"
"2017-12-01 10:50","-5.9","63"
"2017-12-01 11:10","-5.6","64"
"2017-12-01 11:30","-5.4","63"
"2017-12-01 11:50","-5.0","64"
"2017-12-01 12:10","-5.2","61"
"2017-12-01 12:30","-5.1","61"
"2017-12-01 12:50","-5.1","61"
"2017-12-01 13:10","-4.4","62"
"2017-12-01 13:30","-4.4","62"
"2017-12-01 13:40","-4.5","63"
"2017-12-01 13:50","-4.3","64"
"2017-12-01 14:00","-4.1","64"
"2017-12-01 14:10","-3.9","63"
"2017-12-01 14:20","-3.9","64"
"2017-12-01 14:30","-4.2","63"
"2017-12-01 14:40","-4.0","64"
"2017-12-01 14:50","-4.2","63"
"2017-12-01 15:00","-4.1","64"
"2017-12-01 15:10","-4.0","65"
"2017-12-01 15:20","-3.8","67"
"2017-12-01 15:30","-3.5","69"
"2017-12-01 15:40","-3.9","67"
"2017-12-01 15:50","-3.5","70"
"2017-12-01 16:00","-3.5","71"
"2017-12-01 16:10","-3.4","72"
"2017-12-01 16:20","-3.5","72"
"2017-12-01 16:30","-3.5","73"
"2017-12-01 16:40","-3.5","73"
"2017-12-01 16:50","-3.6","75"
"2017-12-01 17:00","-3.6","76"
"2017-12-01 17:10","-3.5","77"
"2017-12-01 17:20","-3.6","77"
"2017-12-01 17:30","-3.8","77"
"2017-12-01 17:40","-3.8","79"
"2017-12-01 17:50","-3.5","82"
"2017-12-01 18:00","-3.3","84"
"2017-12-01 18:10","-3.5","84"
"2017-12-01 18:20","-3.5","85"
"2017-12-01 18:30","-3.3","85"
"2017-12-01 18:40","-3.4","85"
"2017-12-01 18:50","-3.5","85"
"2017-12-01 19:00","-3.3","86"
"2017-12-01 19:10","-3.4","86"
"2017-12-01 19:20","-3.5","87"
"2017-12-01 19:30","-3.5","88"
"2017-12-01 19:40","-3.4","89"
"2017-12-01 19:50","-3.5","90"
"2017-12-01 20:00","-3.4","90"
"2017-12-01 20:10","-3.2","91"
"2017-12-01 20:20","-3.3","90"
"2017-12-01 20:30","-3.4","90"
"2017-12-01 20:40","-3.6","90"
"2017-12-01 20:50","-3.6","91"
"2017-12-01 21:00","-3.6","92"
"2017-12-01 21:10","-3.6","92"
"2017-12-01 21:20","-3.7","93"
"2017-12-01 21:30","-4.1","93"
"2017-12-01 21:40","-4.5","93"
"2017-12-01 21:50","-4.2","94"
"2017-12-01 22:00","-4.3","94"
"2017-12-01 22:10","-4.9","94"
"2017-12-01 22:20","-4.8","95"
"2017-12-01 22:30","-4.8","95"
"2017-12-01 22:40","-4.9","95"
"2017-12-01 22:50","-4.9","96"
"2017-12-01 23:00","-5.3","95"
"2017-12-01 23:10","-5.5","96"
"2017-12-01 23:20","-5.4","96"
"2017-12-01 23:30","-5.6","96"
"2017-12-01 23:40","-5.3","96"
"2017-12-01 23:50","-5.7","96"
"2017-12-02 00:00","-5.6","96"
"2017-12-02 00:10","-5.6","96"
"2017-12-02 00:20","-5.7","96"
"2017-12-02 00:30","-6.1","95"
"2017-12-02 00:40","-5.8","96"
"2017-12-02 00:50","-5.9","96"
"2017-12-02 01:00","-6.1","96"
"2017-12-02 01:10","-6.2","96"
"2017-12-02 01:20","-6.1","96"
"2017-12-02 01:30","-6.5","96"
"2017-12-02 01:40","-6.4","96"
"2017-12-02 01:50","-6.3","97"
"2017-12-02 02:00","-6.2","97"
"2017-12-02 02:10","-6.3","97"
"2017-12-02 02:20","-6.3","97"
