"Time EST","Air Temp (°C)"
"2018-02-01 00:00","-6.1"
"2018-02-01 00:10","-6.2"
"2018-02-01 00:20","-6.4"
"2018-02-01 00:30","-6.5"
"2018-02-01 00:40","-6.6"
"2018-02-01 00:50","-6.7"
"2018-02-01 01:00","-6.7"
"2018-02-01 01:10","-6.9"
"2018-02-01 01:20","-6.9"
"2018-02-01 01:30","-7.1"
"2018-02-01 01:40","-7.3"
"2018-02-01 01:50","-7.5"
"2018-02-01 02:00","-7.6"
"2018-02-01 02:10","-7.8"
"2018-02-01 02:20","-7.9"
"2018-02-01 02:30","-8.0"
"2018-02-01 02:40","-8.1"
"2018-02-01 03:00","-8.5"
"2018-02-01 03:10","-8.8"
"2018-02-01 03:20","-9.0"
"2018-02-01 03:30","-9.1"
"2018-02-01 03:40","-9.3"
"2018-02-01 03:50","-9.3"
"2018-02-01 04:00","-9.5"
"2018-02-01 04:10","-9.6"
"2018-02-01 04:20","-9.8"
"2018-02-01 04:30","-9.9"
"2018-02-01 04:40","-10.0"
"2018-02-01 04:50","-10.3"
"2018-02-01 05:00","-10.7"
"2018-02-01 05:10","-11.1"
"2018-02-01 05:20","-11.3"
"2018-02-01 05:30","-11.5"
"2018-02-01 05:40","-11.6"
"2018-02-01 05:50","-11.9"
"2018-02-01 06:00","-12.3"
"2018-02-01 06:10","-12.8"
"2018-02-01 06:20","-13.1"
"2018-02-01 06:30","-13.5"
"2018-02-01 06:40","-13.7"
"2018-02-01 06:50","-14.0"
"2018-02-01 07:00","-14.8"
"2018-02-01 07:10","-15.0"
"2018-02-01 07:20","-15.2"
"2018-02-01 07:30","-15.5"
"2018-02-01 07:40","-16.1"
"2018-02-01 07:50","-16.5"
"2018-02-01 08:00","-16.6"
"2018-02-01 08:10","-16.8"
"2018-02-01 08:20","-16.8"
"2018-02-01 08:30","-16.8"
"2018-02-01 08:40","-16.8"
"2018-02-01 08:50","-16.9"
"2018-02-01 09:00","-16.8"
"2018-02-01 09:10","-16.8"
"2018-02-01 09:20","-16.9"
"2018-02-01 09:30","-17.0"
"2018-02-01 09:40","-16.9"
"2018-02-01 09:50","-16.8"
"2018-02-01 10:00","-16.6"
"2018-02-01 10:10","-17.0"
"2018-02-01 10:20","-17.0"
