"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2018-02-01 00:00","9","NE","33"
"2018-02-01 00:10","10","NNE","25"
"2018-02-01 00:20","12","NE","36"
"2018-02-01 00:30","9","NNE","22"
"2018-02-01 00:40","11","N/A","26"
"2018-02-01 00:50","9","N","24"
"2018-02-01 01:00","10","NE","17"
"2018-02-01 01:10","8","NNE","21"
"2018-02-01 01:20","15","NE","84"
"2018-02-01 01:30","11","ENE","22"
"2018-02-01 01:40","8","NE","18"
"2018-02-01 01:50","10","NE","18"
"2018-02-01 02:00","10","NE","38"
"2018-02-01 02:10","7","ENE","48"
"2018-02-01 02:20","9","NE","20"
"2018-02-01 02:30","8","NE","18"
"2018-02-01 02:40","10","NE","19"
"2018-02-01 03:00","10","NE","22"
"2018-02-01 03:10","10","NE","22"
"2018-02-01 03:20","10","NE","23"
"2018-02-01 03:30","8","NNE","20"
"2018-02-01 03:40","8","NNE","13"
"2018-02-01 03:50","10","NNE","16"
"2018-02-01 04:00","5","NNE","13"
"2018-02-01 04:10","6","NE","11"
"2018-02-01 04:20","8","NE","14"
"2018-02-01 04:30","11","NE","17"
"2018-02-01 04:40","8","NE","16"
"2018-02-01 04:50","8","NE","30"
"2018-02-01 05:00","6","ENE","15"
"2018-02-01 05:10","7","ENE","62"
"2018-02-01 05:20","4","E","11"
"2018-02-01 05:30","9","ENE","64"
"2018-02-01 05:40","7","ENE","13"
"2018-02-01 05:50","7","E","19"
"2018-02-01 06:00","10","NE","73"
"2018-02-01 06:10","5","E","43"
"2018-02-01 06:20","9","NE","15"
"2018-02-01 06:30","6","NE","15"
"2018-02-01 06:40","9","ENE","21"
"2018-02-01 06:50","5","NE","13"
"2018-02-01 07:00","11","NE","34"
"2018-02-01 07:10","7","NE","48"
"2018-02-01 07:20","8","ENE","17"
"2018-02-01 07:30","7","E","16"
"2018-02-01 07:40","8","ENE","16"
"2018-02-01 07:50","8","E","22"
"2018-02-01 08:00","7","NE","33"
"2018-02-01 08:10","13","NE","19"
"2018-02-01 08:20","12","NE","22"
"2018-02-01 08:30","9","NE","18"
"2018-02-01 08:40","8","NE","20"
"2018-02-01 08:50","8","NE","17"
"2018-02-01 09:00","8","NE","15"
"2018-02-01 09:10","6","NE","15"
"2018-02-01 09:20","13","NE","24"
"2018-02-01 09:30","14","NE","23"
"2018-02-01 09:40","14","NE","22"
"2018-02-01 09:50","12","NE","21"
"2018-02-01 10:00","7","SE","21"
"2018-02-01 10:10","11","NE","19"
"2018-02-01 10:20","13","NE","24"
"2018-02-01 10:30","7","NE","26"
"2018-02-01 10:40","14","NE","22"
"2018-02-01 10:50","14","NNE","22"
"2018-02-01 11:00","13","NE","22"
"2018-02-01 11:10","19","NE","27"
"2018-02-01 11:20","15","ENE","27"
"2018-02-01 11:30","13","NE","28"
"2018-02-01 11:40","14","NE","23"
"2018-02-01 11:50","11","NE","21"
"2018-02-01 12:00","10","E","25"
"2018-02-01 12:10","7","NE","22"
"2018-02-01 12:20","11","ENE","24"
"2018-02-01 12:30","8","E","21"
"2018-02-01 12:40","10","NE","22"
"2018-02-01 12:50","10","ENE","21"
"2018-02-01 13:00","10","NE","21"
"2018-02-01 13:10","9","NE","26"
"2018-02-01 13:20","10","ENE","20"
"2018-02-01 13:30","9","NE","23"
"2018-02-01 13:40","10","ENE","19"
"2018-02-01 13:50","9","E","20"
"2018-02-01 14:00","12","NE","21"
"2018-02-01 14:10","9","ESE","26"
"2018-02-01 14:20","10","E","19"
"2018-02-01 14:30","11","NE","23"
"2018-02-01 14:40","8","NE","27"
"2018-02-01 14:50","10","NE","24"
"2018-02-01 15:00","10","ENE","22"
"2018-02-01 15:10","6","E","21"
"2018-02-01 15:20","10","ENE","25"
"2018-02-01 15:30","7","NE","24"
"2018-02-01 15:40","12","NE","26"
"2018-02-01 15:50","8","NE","15"
"2018-02-01 16:00","6","ENE","19"
"2018-02-01 16:10","9","NE","21"
"2018-02-01 16:20","10","NE","18"
"2018-02-01 16:30","7","E","18"
"2018-02-01 16:40","9","NE","19"
"2018-02-01 16:50","12","ENE","21"
"2018-02-01 17:00","4","NE","21"
"2018-02-01 17:10","6","NE","17"
"2018-02-01 17:20","8","ENE","18"
"2018-02-01 17:30","8","E","20"
"2018-02-01 17:40","5","ENE","14"
"2018-02-01 17:50","7","ENE","13"
"2018-02-01 18:00","5","NE","21"
"2018-02-01 18:10","7","NE","16"
