"Time EST","Air Temp (°C)"
"2018-01-01 00:00","-32.0"
"2018-01-01 00:09","-31.6"
"2018-01-01 00:10","-31.8"
"2018-01-01 00:20","-31.7"
"2018-01-01 00:30","-31.9"
"2018-01-01 00:40","-32.0"
"2018-01-01 00:50","-32.1"
"2018-01-01 01:00","-32.1"
"2018-01-01 01:09","-31.8"
"2018-01-01 01:10","-32.0"
"2018-01-01 01:20","-32.0"
"2018-01-01 01:30","-31.9"
"2018-01-01 01:40","-31.3"
"2018-01-01 01:50","-31.4"
"2018-01-01 02:00","-31.6"
"2018-01-01 02:09","-31.3"
"2018-01-01 02:10","-31.6"
"2018-01-01 02:20","-31.5"
"2018-01-01 02:30","-31.3"
"2018-01-01 02:40","-31.0"
"2018-01-01 02:50","-30.9"
"2018-01-01 03:00","-30.7"
"2018-01-01 03:09","-30.2"
"2018-01-01 03:10","-30.5"
"2018-01-01 03:20","-30.4"
"2018-01-01 03:30","-30.3"
"2018-01-01 03:40","-30.1"
"2018-01-01 03:50","-30.0"
"2018-01-01 04:00","-29.8"
"2018-01-01 04:09","-29.4"
"2018-01-01 04:10","-29.6"
"2018-01-01 04:20","-28.2"
"2018-01-01 04:30","-27.8"
"2018-01-01 04:40","-27.6"
"2018-01-01 04:50","-27.3"
"2018-01-01 05:00","-26.8"
"2018-01-01 05:09","-26.7"
"2018-01-01 05:10","-26.8"
"2018-01-01 05:20","-26.6"
"2018-01-01 05:30","-26.6"
"2018-01-01 05:40","-26.7"
"2018-01-01 05:50","-26.7"
"2018-01-01 06:00","-26.6"
"2018-01-01 06:09","-26.4"
"2018-01-01 06:10","-26.6"
"2018-01-01 06:20","-26.6"
"2018-01-01 06:30","-26.7"
"2018-01-01 06:40","-26.7"
"2018-01-01 06:50","-26.8"
"2018-01-01 07:00","-26.8"
"2018-01-01 07:09","-26.7"
"2018-01-01 07:10","-26.9"
"2018-01-01 07:20","-27.0"
"2018-01-01 07:30","-27.2"
"2018-01-01 07:40","-27.4"
"2018-01-01 07:50","-27.6"
"2018-01-01 08:00","-27.9"
"2018-01-01 08:09","-28.3"
"2018-01-01 08:10","-28.4"
"2018-01-01 08:20","-29.0"
"2018-01-01 08:30","-29.5"
"2018-01-01 08:40","-30.1"
"2018-01-01 08:50","-30.2"
"2018-01-01 09:00","-29.9"
"2018-01-01 09:09","-29.4"
"2018-01-01 09:10","-29.4"
"2018-01-01 09:20","-28.9"
"2018-01-01 09:30","-28.2"
"2018-01-01 09:40","-27.7"
"2018-01-01 09:50","-27.4"
"2018-01-01 10:00","-27.2"
"2018-01-01 10:09","-26.4"
"2018-01-01 10:10","-27.1"
"2018-01-01 10:20","-26.9"
"2018-01-01 10:30","-26.8"
"2018-01-01 10:40","-26.5"
"2018-01-01 10:50","-26.4"
"2018-01-01 11:00","-26.2"
"2018-01-01 11:09","-23.5"
"2018-01-01 11:10","-26.1"
"2018-01-01 11:20","-25.8"
"2018-01-01 11:30","-25.8"
"2018-01-01 11:40","-25.6"
"2018-01-01 11:50","-25.4"
"2018-01-01 12:00","-25.1"
"2018-01-01 12:09","-23.0"
"2018-01-01 12:10","-25.1"
"2018-01-01 12:20","-25.1"
"2018-01-01 12:30","-24.8"
"2018-01-01 12:40","-24.9"
"2018-01-01 12:50","-24.6"
"2018-01-01 13:00","-24.5"
"2018-01-01 13:09","-22.9"
"2018-01-01 13:10","-24.4"
"2018-01-01 13:20","-24.4"
"2018-01-01 13:30","-24.2"
"2018-01-01 13:40","-24.2"
"2018-01-01 13:50","-23.8"
"2018-01-01 14:00","-24.0"
"2018-01-01 14:09","-22.8"
