"Time EST","Dew Point (°C)","Relative Humidity (%)"
"2018-01-01 00:00","-35.1","73"
"2018-01-01 00:09","-34.1","78"
"2018-01-01 00:10","-34.9","73"
"2018-01-01 00:20","-34.9","73"
"2018-01-01 00:30","-35.1","73"
"2018-01-01 00:40","-35.2","73"
"2018-01-01 00:50","-35.3","73"
"2018-01-01 01:00","-35.2","73"
"2018-01-01 01:09","-34.3","78"
"2018-01-01 01:10","-35.2","73"
"2018-01-01 01:20","-35.2","73"
"2018-01-01 01:30","-35.1","73"
"2018-01-01 01:40","-34.4","74"
"2018-01-01 01:50","-34.6","73"
"2018-01-01 02:00","-34.8","73"
"2018-01-01 02:09","-33.8","78"
"2018-01-01 02:10","-34.7","73"
"2018-01-01 02:20","-34.6","74"
"2018-01-01 02:30","-34.4","74"
"2018-01-01 02:40","-34.1","74"
"2018-01-01 02:50","-34.0","74"
"2018-01-01 03:00","-33.8","74"
"2018-01-01 03:09","-32.6","79"
"2018-01-01 03:10","-33.7","74"
"2018-01-01 03:20","-33.5","74"
"2018-01-01 03:30","-33.4","74"
"2018-01-01 03:40","-33.2","74"
"2018-01-01 03:50","-33.1","74"
"2018-01-01 04:00","-32.9","75"
"2018-01-01 04:09","-31.8","79"
"2018-01-01 04:10","-32.6","75"
"2018-01-01 04:20","-30.9","77"
"2018-01-01 04:30","-30.6","77"
"2018-01-01 04:40","-30.6","76"
"2018-01-01 04:50","-30.2","77"
"2018-01-01 05:00","-29.6","77"
"2018-01-01 05:09","-28.9","81"
"2018-01-01 05:10","-29.7","76"
"2018-01-01 05:20","-29.5","76"
"2018-01-01 05:30","-29.5","76"
"2018-01-01 05:40","-29.6","76"
"2018-01-01 05:50","-29.7","76"
"2018-01-01 06:00","-29.6","76"
"2018-01-01 06:09","-28.9","79"
"2018-01-01 06:10","-29.7","75"
"2018-01-01 06:20","-29.8","74"
"2018-01-01 06:30","-29.9","74"
"2018-01-01 06:40","-30.0","74"
"2018-01-01 06:50","-29.9","74"
"2018-01-01 07:00","-30.1","74"
"2018-01-01 07:09","-29.3","78"
"2018-01-01 07:10","-30.2","73"
"2018-01-01 07:20","-30.3","73"
"2018-01-01 07:30","-30.5","73"
"2018-01-01 07:40","-30.7","74"
"2018-01-01 07:50","-30.9","73"
"2018-01-01 08:00","-31.2","73"
"2018-01-01 08:09","-30.9","78"
"2018-01-01 08:10","-31.6","74"
"2018-01-01 08:20","-32.2","74"
"2018-01-01 08:30","-32.7","74"
"2018-01-01 08:40","-33.1","74"
"2018-01-01 08:50","-33.3","75"
"2018-01-01 09:00","-32.9","75"
"2018-01-01 09:09","-31.7","80"
"2018-01-01 09:10","-32.4","75"
"2018-01-01 09:20","-31.9","75"
