"Time EST","Precipitation Yes/No"
"2018-01-01 00:00","No"
"2018-01-01 00:10","No"
"2018-01-01 00:20","No"
"2018-01-01 00:30","No"
"2018-01-01 00:40","No"
"2018-01-01 00:50","Yes"
"2018-01-01 01:00","No"
"2018-01-01 01:10","Yes"
"2018-01-01 01:20","Yes"
"2018-01-01 01:30","Yes"
"2018-01-01 01:40","Yes"
"2018-01-01 01:50","Yes"
"2018-01-01 02:00","Yes"
"2018-01-01 02:10","Yes"
"2018-01-01 02:20","Yes"
"2018-01-01 02:30","No"
"2018-01-01 02:40","Yes"
"2018-01-01 02:50","Yes"
"2018-01-01 03:00","Yes"
"2018-01-01 03:10","Yes"
"2018-01-01 03:20","Yes"
"2018-01-01 03:30","Yes"
"2018-01-01 03:40","Yes"
"2018-01-01 03:50","Yes"
"2018-01-01 04:00","Yes"
"2018-01-01 04:10","Yes"
"2018-01-01 04:20","Yes"
"2018-01-01 04:30","Yes"
"2018-01-01 04:40","Yes"
"2018-01-01 04:50","Yes"
"2018-01-01 05:00","Yes"
"2018-01-01 05:10","Yes"
"2018-01-01 05:20","Yes"
"2018-01-01 05:30","Yes"
"2018-01-01 05:40","Yes"
"2018-01-01 05:50","Yes"
"2018-01-01 06:00","Yes"
"2018-01-01 06:10","Yes"
"2018-01-01 06:20","Yes"
"2018-01-01 06:30","Yes"
"2018-01-01 06:40","Yes"
"2018-01-01 06:50","Yes"
"2018-01-01 07:00","Yes"
"2018-01-01 07:10","Yes"
"2018-01-01 07:20","Yes"
"2018-01-01 07:30","Yes"
"2018-01-01 07:40","No"
"2018-01-01 07:50","No"
"2018-01-01 08:00","No"
"2018-01-01 08:10","No"
"2018-01-01 08:20","No"
"2018-01-01 08:30","No"
"2018-01-01 08:40","No"
"2018-01-01 08:50","No"
"2018-01-01 09:00","No"
"2018-01-01 09:10","No"
"2018-01-01 09:20","No"
"2018-01-01 09:30","No"
"2018-01-01 09:40","No"
"2018-01-01 09:50","No"
"2018-01-01 10:00","No"
"2018-01-01 10:10","No"
"2018-01-01 10:20","No"
"2018-01-01 10:30","No"
"2018-01-01 10:40","No"
"2018-01-01 10:50","No"
"2018-01-01 11:00","Yes"
"2018-01-01 11:10","No"
"2018-01-01 11:20","No"
"2018-01-01 11:30","No"
"2018-01-01 11:40","No"
"2018-01-01 11:50","No"
"2018-01-01 12:00","No"
"2018-01-01 12:10","No"
"2018-01-01 12:20","No"
"2018-01-01 12:30","No"
"2018-01-01 12:40","No"
"2018-01-01 12:50","No"
"2018-01-01 13:00","No"
"2018-01-01 13:10","No"
"2018-01-01 13:20","No"
"2018-01-01 13:30","No"
"2018-01-01 13:40","No"
"2018-01-01 13:50","No"
"2018-01-01 14:00","Yes"
"2018-01-01 14:10","No"
"2018-01-01 14:20","No"
"2018-01-01 14:30","No"
"2018-01-01 14:40","No"
"2018-01-01 14:50","No"
"2018-01-01 15:00","No"
"2018-01-01 15:10","No"
"2018-01-01 15:20","No"
"2018-01-01 15:30","No"
"2018-01-01 15:40","No"
"2018-01-01 15:50","No"
"2018-01-01 16:00","No"
"2018-01-01 16:10","No"
"2018-01-01 16:20","No"
"2018-01-01 16:30","No"
"2018-01-01 16:40","No"
"2018-01-01 16:50","No"
"2018-01-01 17:00","No"
"2018-01-01 17:10","No"
"2018-01-01 17:20","No"
"2018-01-01 17:30","No"
"2018-01-01 17:40","No"
"2018-01-01 17:50","No"
"2018-01-01 18:00","No"
"2018-01-01 18:10","No"
"2018-01-01 18:20","No"
"2018-01-01 18:30","No"
"2018-01-01 18:40","No"
"2018-01-01 18:50","No"
"2018-01-01 19:00","No"
"2018-01-01 19:10","No"
"2018-01-01 19:20","No"
"2018-01-01 19:30","No"
"2018-01-01 19:40","No"
"2018-01-01 19:50","No"
"2018-01-01 20:00","No"
"2018-01-01 20:10","No"
"2018-01-01 20:20","No"
"2018-01-01 20:30","No"
"2018-01-01 20:40","No"
"2018-01-01 20:50","No"
"2018-01-01 21:00","No"
"2018-01-01 21:10","No"
"2018-01-01 21:20","No"
"2018-01-01 21:30","No"
"2018-01-01 21:40","No"
"2018-01-01 21:50","No"
"2018-01-01 22:00","No"
"2018-01-01 22:10","No"
"2018-01-01 22:20","No"
"2018-01-01 22:30","No"
"2018-01-01 22:40","No"
"2018-01-01 22:50","No"
"2018-01-01 23:00","No"
"2018-01-01 23:10","No"
"2018-01-01 23:20","No"
"2018-01-01 23:30","No"
"2018-01-01 23:40","No"
"2018-01-01 23:50","No"
"2018-01-02 00:00","No"
"2018-01-02 00:10","No"
"2018-01-02 00:20","No"
"2018-01-02 00:30","No"
"2018-01-02 00:40","No"
"2018-01-02 00:50","No"
"2018-01-02 01:00","No"
"2018-01-02 01:10","No"
"2018-01-02 01:20","No"
"2018-01-02 01:30","No"
"2018-01-02 01:40","No"
"2018-01-02 01:50","No"
"2018-01-02 02:00","No"
"2018-01-02 02:10","No"
"2018-01-02 02:20","No"
"2018-01-02 02:30","Yes"
"2018-01-02 02:40","No"
"2018-01-02 02:50","No"
"2018-01-02 03:00","No"
"2018-01-02 03:10","No"
"2018-01-02 03:20","No"
"2018-01-02 03:30","Yes"
"2018-01-02 03:40","No"
"2018-01-02 03:50","No"
"2018-01-02 04:00","Yes"
"2018-01-02 04:10","Yes"
"2018-01-02 04:20","Yes"
"2018-01-02 04:30","Yes"
"2018-01-02 04:40","Yes"
"2018-01-02 04:50","No"
"2018-01-02 05:00","Yes"
"2018-01-02 05:10","Yes"
"2018-01-02 05:20","No"
"2018-01-02 05:30","No"
"2018-01-02 05:40","No"
"2018-01-02 05:50","No"
"2018-01-02 06:00","Yes"
"2018-01-02 06:10","Yes"
"2018-01-02 06:20","Yes"
"2018-01-02 06:30","Yes"
"2018-01-02 06:40","Yes"
"2018-01-02 06:50","Yes"
"2018-01-02 07:00","Yes"
"2018-01-02 07:10","Yes"
"2018-01-02 07:20","No"
"2018-01-02 07:30","No"
"2018-01-02 07:40","No"
"2018-01-02 07:50","No"
"2018-01-02 08:00","No"
"2018-01-02 08:10","No"
"2018-01-02 08:20","No"
"2018-01-02 08:30","No"
"2018-01-02 08:40","Yes"
"2018-01-02 08:50","No"
"2018-01-02 09:00","Yes"
"2018-01-02 09:10","Yes"
"2018-01-02 09:20","No"
"2018-01-02 09:30","Yes"
"2018-01-02 09:40","Yes"
"2018-01-02 09:50","No"
"2018-01-02 10:00","Yes"
"2018-01-02 10:10","Yes"
"2018-01-02 10:20","Yes"
"2018-01-02 10:30","Yes"
"2018-01-02 10:40","Yes"
"2018-01-02 10:50","No"
"2018-01-02 11:00","No"
"2018-01-02 11:10","Yes"
"2018-01-02 11:20","Yes"
"2018-01-02 11:30","Yes"
"2018-01-02 11:40","Yes"
"2018-01-02 11:50","No"
"2018-01-02 12:00","No"
"2018-01-02 12:10","No"
"2018-01-02 12:20","No"
"2018-01-02 12:30","No"
"2018-01-02 12:40","No"
"2018-01-02 12:50","No"
"2018-01-02 13:00","Yes"
"2018-01-02 13:10","Yes"
"2018-01-02 13:20","Yes"
"2018-01-02 13:30","Yes"
"2018-01-02 13:40","No"
"2018-01-02 13:50","No"
"2018-01-02 14:00","No"
"2018-01-02 14:10","No"
"2018-01-02 14:20","Yes"
"2018-01-02 14:30","Yes"
"2018-01-02 14:40","Yes"
"2018-01-02 14:50","Yes"
"2018-01-02 15:00","Yes"
"2018-01-02 15:10","Yes"
"2018-01-02 15:20","Yes"
"2018-01-02 15:30","No"
"2018-01-02 15:40","No"
"2018-01-02 15:50","No"
"2018-01-02 16:00","Yes"
"2018-01-02 16:10","Yes"
"2018-01-02 16:20","Yes"
"2018-01-02 16:30","Yes"
"2018-01-02 16:40","Yes"
"2018-01-02 16:50","Yes"
"2018-01-02 17:00","Yes"
"2018-01-02 17:10","Yes"
