"Time EST","Air Temp (°C)"
"2018-03-01 00:00","-2.5"
"2018-03-01 00:10","-2.5"
"2018-03-01 00:20","-2.5"
"2018-03-01 00:30","-2.5"
"2018-03-01 00:40","-2.6"
"2018-03-01 00:50","-2.6"
"2018-03-01 01:00","-2.6"
"2018-03-01 01:10","-2.6"
"2018-03-01 01:20","-2.6"
"2018-03-01 01:30","-2.6"
"2018-03-01 01:40","-2.6"
"2018-03-01 01:50","-2.7"
"2018-03-01 02:00","-2.7"
"2018-03-01 02:10","-2.8"
"2018-03-01 02:20","-2.9"
"2018-03-01 02:30","-3.0"
"2018-03-01 02:40","-3.0"
"2018-03-01 02:50","-3.0"
"2018-03-01 03:00","-3.1"
"2018-03-01 03:10","-3.1"
"2018-03-01 03:20","-3.1"
"2018-03-01 03:30","-3.2"
"2018-03-01 03:40","-3.2"
"2018-03-01 03:50","-3.4"
"2018-03-01 04:00","-3.5"
"2018-03-01 04:10","-3.5"
"2018-03-01 04:20","-3.6"
"2018-03-01 04:30","-3.6"
"2018-03-01 04:40","-3.7"
"2018-03-01 04:50","-3.7"
"2018-03-01 05:00","-3.7"
"2018-03-01 05:10","-3.7"
"2018-03-01 05:20","-3.8"
"2018-03-01 05:30","-3.8"
"2018-03-01 05:40","-3.8"
"2018-03-01 05:50","-3.9"
"2018-03-01 06:00","-3.9"
"2018-03-01 06:10","-4.0"
"2018-03-01 06:20","-4.1"
"2018-03-01 06:30","-4.2"
"2018-03-01 06:40","-4.3"
"2018-03-01 06:50","-4.4"
"2018-03-01 07:00","-4.5"
"2018-03-01 07:10","-4.6"
"2018-03-01 07:20","-4.7"
"2018-03-01 07:30","-4.8"
"2018-03-01 08:30","-4.9"
"2018-03-01 08:40","-4.9"
"2018-03-01 08:50","-4.9"
"2018-03-01 09:00","-4.9"
"2018-03-01 09:10","-4.9"
"2018-03-01 09:20","-4.8"
"2018-03-01 09:30","-4.7"
"2018-03-01 09:40","-4.6"
"2018-03-01 09:50","-4.7"
"2018-03-01 10:00","-4.7"
"2018-03-01 10:10","-4.7"
"2018-03-01 10:20","-4.6"
"2018-03-01 10:30","-4.4"
"2018-03-01 10:40","-4.6"
"2018-03-01 10:50","-4.4"
"2018-03-01 11:00","-4.6"
"2018-03-01 11:10","-4.4"
"2018-03-01 11:20","-4.2"
"2018-03-01 11:30","-4.3"
"2018-03-01 11:40","-3.9"
"2018-03-01 11:50","-3.6"
"2018-03-01 12:00","-3.4"
"2018-03-01 12:10","-3.5"
"2018-03-01 12:20","-3.5"
"2018-03-01 12:30","-3.4"
"2018-03-01 12:40","-3.3"
"2018-03-01 12:50","-2.8"
"2018-03-01 13:00","-2.3"
"2018-03-01 13:10","-2.4"
"2018-03-01 13:20","-1.8"
"2018-03-01 13:30","-1.4"
"2018-03-01 13:40","-1.5"
"2018-03-01 13:50","-1.4"
"2018-03-01 14:00","-1.5"
"2018-03-01 14:10","-1.7"
"2018-03-01 14:20","-1.1"
"2018-03-01 14:30","-1.4"
"2018-03-01 14:40","-1.1"
"2018-03-01 14:50","-0.6"
"2018-03-01 15:00","-1.1"
"2018-03-01 15:10","-1.0"
"2018-03-01 15:20","-1.1"
"2018-03-01 15:30","-1.4"
"2018-03-01 15:40","-1.4"
"2018-03-01 15:50","-1.3"
"2018-03-01 16:00","-1.6"
"2018-03-01 16:10","-1.3"
"2018-03-01 16:20","-1.5"
"2018-03-01 16:30","-1.7"
"2018-03-01 16:40","-1.7"
"2018-03-01 16:50","-1.8"
"2018-03-01 17:00","-1.8"
"2018-03-01 17:10","-1.9"
"2018-03-01 17:20","-2.0"
"2018-03-01 17:30","-2.1"
"2018-03-01 17:40","-2.2"
"2018-03-01 17:50","-2.4"
"2018-03-01 18:00","-2.7"
"2018-03-01 18:10","-2.8"
"2018-03-01 18:20","-3.0"
"2018-03-01 18:30","-3.4"
"2018-03-01 18:40","-3.7"
"2018-03-01 18:50","-3.8"
"2018-03-01 19:00","-3.9"
"2018-03-01 19:10","-3.9"
"2018-03-01 19:20","-4.0"
"2018-03-01 19:30","-4.0"
"2018-03-01 19:40","-3.9"
"2018-03-01 19:50","-4.0"
"2018-03-01 20:00","-4.0"
"2018-03-01 20:10","-4.1"
"2018-03-01 20:20","-4.2"
"2018-03-01 20:30","-4.4"
"2018-03-01 20:40","-4.6"
"2018-03-01 20:50","-4.6"
"2018-03-01 21:00","-4.8"
"2018-03-01 21:10","-4.9"
"2018-03-01 21:20","-5.0"
"2018-03-01 21:30","-5.1"
"2018-03-01 21:40","-5.2"
"2018-03-01 21:50","-5.4"
"2018-03-01 22:00","-5.5"
"2018-03-01 22:10","-5.8"
"2018-03-01 22:20","-6.1"
"2018-03-01 22:30","-6.3"
"2018-03-01 22:40","-6.8"
"2018-03-01 22:50","-7.4"
"2018-03-01 23:00","-7.6"
"2018-03-01 23:10","-8.1"
"2018-03-01 23:20","-8.6"
"2018-03-01 23:30","-8.8"
"2018-03-01 23:40","-8.7"
"2018-03-01 23:50","-8.6"
"2018-03-02 00:00","-8.0"
