"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2018-03-01 00:00","6","NNE","13"
"2018-03-01 00:10","6","NNE","11"
"2018-03-01 00:20","9","NNE","15"
"2018-03-01 00:30","5","NE","12"
"2018-03-01 00:40","5","NNE","12"
"2018-03-01 00:50","3","NNE","11"
"2018-03-01 01:00","4","NNE","8"
"2018-03-01 01:10","5","N","9"
"2018-03-01 01:20","3","NE","10"
"2018-03-01 01:30","4","NE","8"
"2018-03-01 01:40","2","NNE","7"
"2018-03-01 01:50","5","NNE","9"
"2018-03-01 02:00","7","N","12"
"2018-03-01 02:10","7","NNE","13"
"2018-03-01 02:20","6","N","11"
"2018-03-01 02:30","5","NNE","9"
"2018-03-01 02:40","5","NNE","10"
"2018-03-01 02:50","1","NE","9"
"2018-03-01 03:00","4","N","6"
"2018-03-01 03:10","5","NNE","10"
"2018-03-01 03:20","7","N","13"
"2018-03-01 03:30","8","N","13"
"2018-03-01 03:40","4","N","13"
"2018-03-01 03:50","8","NE","12"
"2018-03-01 04:00","9","NNE","15"
"2018-03-01 04:10","8","N","16"
"2018-03-01 04:20","8","N","14"
"2018-03-01 04:30","5","NNE","13"
"2018-03-01 04:40","7","N","14"
"2018-03-01 04:50","6","N","11"
"2018-03-01 05:00","6","NNE","13"
"2018-03-01 05:10","5","NNE","13"
"2018-03-01 05:20","7","NNE","11"
"2018-03-01 05:30","6","N","10"
"2018-03-01 05:40","6","N","10"
"2018-03-01 05:50","7","N","13"
"2018-03-01 06:00","6","NNE","13"
"2018-03-01 06:10","9","NNE","14"
"2018-03-01 06:20","6","N","11"
"2018-03-01 06:30","6","NE","11"
"2018-03-01 06:40","6","N","11"
"2018-03-01 06:50","6","N","13"
"2018-03-01 07:00","7","N","13"
"2018-03-01 07:10","6","NE","12"
"2018-03-01 07:20","9","NNE","13"
"2018-03-01 07:30","10","NE","17"
"2018-03-01 08:30","6","NNE","13"
"2018-03-01 08:40","8","N","14"
"2018-03-01 08:50","9","NNE","15"
"2018-03-01 09:00","8","NNE","13"
"2018-03-01 09:10","5","NE","14"
"2018-03-01 09:20","7","NE","16"
"2018-03-01 09:30","9","NE","13"
"2018-03-01 09:40","7","NNE","17"
"2018-03-01 09:50","9","NNE","15"
"2018-03-01 10:00","11","NE","16"
"2018-03-01 10:10","9","NE","15"
"2018-03-01 10:20","9","NE","14"
"2018-03-01 10:30","9","N","15"
"2018-03-01 10:40","8","NE","18"
"2018-03-01 10:50","8","NNE","18"
"2018-03-01 11:00","8","ENE","19"
"2018-03-01 11:10","9","NNE","15"
"2018-03-01 11:20","9","NNE","18"
"2018-03-01 11:30","10","NE","18"
"2018-03-01 11:40","13","NNE","18"
"2018-03-01 11:50","8","N","19"
"2018-03-01 12:00","6","NNE","13"
"2018-03-01 12:10","9","N","14"
"2018-03-01 12:20","7","N","15"
"2018-03-01 12:30","9","N","15"
"2018-03-01 12:40","4","NNE","13"
"2018-03-01 12:50","4","NNE","8"
"2018-03-01 13:00","8","NE","13"
"2018-03-01 13:10","10","N","16"
"2018-03-01 13:20","5","NE","15"
"2018-03-01 13:30","5","NNW","13"
"2018-03-01 13:40","9","NE","14"
"2018-03-01 13:50","10","N","18"
"2018-03-01 14:00","11","N","19"
"2018-03-01 14:10","8","N","16"
"2018-03-01 14:20","4","N","15"
"2018-03-01 14:30","10","N","16"
"2018-03-01 14:40","8","N","18"
"2018-03-01 14:50","9","N","15"
"2018-03-01 15:00","9","N","17"
"2018-03-01 15:10","9","NNE","18"
"2018-03-01 15:20","10","N","15"
"2018-03-01 15:30","10","NNE","17"
"2018-03-01 15:40","9","N","15"
"2018-03-01 15:50","6","NNW","16"
"2018-03-01 16:00","8","NNE","16"
"2018-03-01 16:10","11","N","17"
"2018-03-01 16:20","8","N","15"
"2018-03-01 16:30","7","N","18"
"2018-03-01 16:40","10","NNE","15"
"2018-03-01 16:50","7","NNE","13"
"2018-03-01 17:00","7","N","11"
"2018-03-01 17:10","8","NNE","12"
"2018-03-01 17:20","6","N","11"
"2018-03-01 17:30","5","NNE","9"
"2018-03-01 17:40","5","N","10"
"2018-03-01 17:50","2","NNE","7"
"2018-03-01 18:00","1","NNE","6"
"2018-03-01 18:10","2","N","4"
"2018-03-01 18:20","1","WNW","4"
"2018-03-01 18:30","0","N","3"
"2018-03-01 18:40","0","NNW","3"
"2018-03-01 18:50","1","SW","3"
"2018-03-01 19:00","1","NNE","3"
"2018-03-01 19:10","1","N","4"
"2018-03-01 19:20","1","NNE","3"
"2018-03-01 19:30","4","N","7"
"2018-03-01 19:40","5","N","8"
"2018-03-01 19:50","4","NW","8"
"2018-03-01 20:00","3","N","8"
"2018-03-01 20:10","3","N","8"
"2018-03-01 20:20","4","N","7"
"2018-03-01 20:30","3","N","8"
"2018-03-01 20:40","3","NNW","9"
"2018-03-01 20:50","3","N","10"
"2018-03-01 21:00","3","NNW","8"
"2018-03-01 21:10","3","N","8"
"2018-03-01 21:20","2","N","6"
"2018-03-01 21:30","1","NNW","8"
"2018-03-01 21:40","0","E","6"
"2018-03-01 21:50","1","N","4"
"2018-03-01 22:00","2","NW","6"
"2018-03-01 22:10","1","NNW","3"
"2018-03-01 22:20","2","N","3"
"2018-03-01 22:30","1","N","3"
"2018-03-01 22:40","0","SSE","3"
"2018-03-01 22:50","0","NE","1"
"2018-03-01 23:00","0","NE","2"
"2018-03-01 23:10","0","ESE","1"
"2018-03-01 23:20","0","ENE","1"
"2018-03-01 23:30","1","N","3"
"2018-03-01 23:40","1","N","3"
"2018-03-01 23:50","1","ENE","5"
"2018-03-02 00:00","3","NNW","8"
"2018-03-02 00:10","3","WNW","8"
"2018-03-02 00:20","2","NW","8"
"2018-03-02 00:30","2","NW","4"
"2018-03-02 00:40","3","N","7"
"2018-03-02 00:50","3","N","6"
"2018-03-02 01:00","3","N","8"
"2018-03-02 01:10","3","NW","8"
"2018-03-02 01:20","3","WSW","8"
"2018-03-02 01:30","3","NW","7"
"2018-03-02 01:40","2","NNW","13"
"2018-03-02 01:50","6","NW","13"
"2018-03-02 02:00","3","WNW","9"
"2018-03-02 02:10","5","WNW","11"
"2018-03-02 02:20","6","NNW","12"
"2018-03-02 02:30","4","N","10"
"2018-03-02 02:40","5","NW","13"
"2018-03-02 02:50","5","NNW","13"
"2018-03-02 03:00","6","N","13"
"2018-03-02 03:10","4","W","12"
"2018-03-02 03:20","6","NW","17"
"2018-03-02 03:30","3","W","9"
"2018-03-02 03:40","4","NNW","16"
"2018-03-02 03:50","5","NNW","12"
"2018-03-02 04:00","6","NW","13"
"2018-03-02 04:10","7","N","12"
"2018-03-02 04:20","3","NW","10"
"2018-03-02 04:30","3","NW","10"
"2018-03-02 04:40","3","NNW","8"
"2018-03-02 04:50","2","E","8"
"2018-03-02 05:00","4","WNW","11"
"2018-03-02 05:10","5","WNW","10"
"2018-03-02 05:20","4","NNW","10"
"2018-03-02 05:30","7","WNW","16"
"2018-03-02 05:40","6","NW","13"
"2018-03-02 05:50","4","WNW","13"
"2018-03-02 06:00","5","N","13"
"2018-03-02 06:10","4","NW","13"
"2018-03-02 06:20","3","SW","12"
"2018-03-02 06:30","4","W","13"
"2018-03-02 06:40","4","WNW","8"
"2018-03-02 06:50","3","NW","9"
"2018-03-02 07:00","5","NW","10"
"2018-03-02 07:10","4","NW","16"
"2018-03-02 07:20","5","NNW","14"
"2018-03-02 07:30","4","NW","9"
"2018-03-02 07:40","4","NNW","11"
"2018-03-02 07:50","5","N","13"
"2018-03-02 08:00","4","N","13"
"2018-03-02 08:10","5","NW","11"
"2018-03-02 08:20","8","NNW","13"
"2018-03-02 08:30","4","W","12"
"2018-03-02 08:40","8","WNW","14"
"2018-03-02 08:50","9","NW","15"
"2018-03-02 09:00","5","NNW","15"
"2018-03-02 09:10","6","WNW","17"
"2018-03-02 09:20","6","NW","13"
"2018-03-02 09:30","6","NW","18"
"2018-03-02 09:40","6","NNW","11"
"2018-03-02 09:50","7","NNW","13"
"2018-03-02 10:00","7","W","15"
"2018-03-02 10:10","7","NW","17"
"2018-03-02 10:20","7","NW","16"
"2018-03-02 10:30","6","WSW","13"
"2018-03-02 10:40","9","WNW","16"
"2018-03-02 10:50","6","NW","15"
"2018-03-02 11:00","9","NW","23"
"2018-03-02 11:10","8","N","18"
"2018-03-02 11:20","4","WNW","18"
"2018-03-02 11:30","11","NW","18"
"2018-03-02 11:40","6","NW","18"
"2018-03-02 11:50","14","NNW","24"
"2018-03-02 12:00","16","N","25"
"2018-03-02 12:10","12","N","24"
"2018-03-02 12:20","12","N","23"
"2018-03-02 12:30","9","N","25"
"2018-03-02 12:40","14","NNE","28"
"2018-03-02 12:50","9","N","18"
"2018-03-02 13:00","12","NW","23"
"2018-03-02 13:10","11","NNE","21"
"2018-03-02 13:20","9","N","18"
"2018-03-02 13:30","7","N","23"
"2018-03-02 13:40","10","NNW","24"
"2018-03-02 13:50","10","N","22"
"2018-03-02 14:00","9","WNW","23"
"2018-03-02 14:10","9","NNW","20"
"2018-03-02 14:20","12","NNW","23"
"2018-03-02 14:30","9","NNW","21"
"2018-03-02 14:40","13","N","23"
"2018-03-02 14:50","10","N","20"
"2018-03-02 15:00","8","NNW","19"
"2018-03-02 15:10","11","NW","26"
"2018-03-02 15:20","9","N","17"
"2018-03-02 15:30","5","NW","23"
"2018-03-02 15:40","9","NW","21"
"2018-03-02 15:50","14","NW","27"
