"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2017-11-01 00:00","0","W","4"
"2017-11-01 00:10","0","SSE","2"
"2017-11-01 00:20","0","SSE","0"
"2017-11-01 00:30","0","NW","1"
"2017-11-01 00:40","0","W","1"
"2017-11-01 00:50","0","S","6"
"2017-11-01 01:00","0","S","6"
"2017-11-01 01:10","1","SE","3"
"2017-11-01 01:20","0","S","2"
"2017-11-01 01:30","12","S","94"
"2017-11-01 01:40","0","S","94"
"2017-11-01 01:50","0","S","3"
"2017-11-01 02:00","17","S","145"
"2017-11-01 02:10","1","S","11"
"2017-11-01 02:20","0","SSW","2"
"2017-11-01 02:30","0","SSW","15"
"2017-11-01 02:40","0","SSW","15"
"2017-11-01 02:50","1","SSW","2"
"2017-11-01 03:00","1","SSW","3"
"2017-11-01 03:10","1","SSW","5"
"2017-11-01 03:20","3","S","5"
"2017-11-01 03:30","2","SW","3"
"2017-11-01 03:40","1","SW","3"
"2017-11-01 03:50","1","SSW","3"
"2017-11-01 04:00","0","ESE","2"
"2017-11-01 04:10","0","S","1"
"2017-11-01 04:20","1","SSW","3"
"2017-11-01 04:30","0","SSW","5"
"2017-11-01 04:40","0","SSW","2"
"2017-11-01 04:50","1","S","4"
"2017-11-01 05:00","2","SSW","3"
"2017-11-01 05:10","1","SSW","36"
"2017-11-01 05:20","1","S","3"
"2017-11-01 05:30","0","S","3"
"2017-11-01 05:40","1","S","2"
"2017-11-01 05:50","2","WSW","5"
"2017-11-01 06:00","21","SW","173"
"2017-11-01 06:10","1","W","4"
"2017-11-01 06:20","0","SW","3"
"2017-11-01 06:30","1","WSW","4"
"2017-11-01 06:40","1","WSW","6"
"2017-11-01 06:50","1","WSW","4"
"2017-11-01 07:00","1","WNW","6"
"2017-11-01 07:10","2","W","5"
"2017-11-01 07:20","6","W","38"
"2017-11-01 07:30","3","WSW","6"
"2017-11-01 07:40","2","W","9"
"2017-11-01 07:50","1","W","7"
"2017-11-01 08:00","1","W","6"
"2017-11-01 08:10","3","W","9"
"2017-11-01 08:20","4","WSW","9"
"2017-11-01 08:30","3","WSW","12"
"2017-11-01 08:40","3","W","9"
"2017-11-01 08:50","2","WSW","6"
"2017-11-01 09:00","2","WSW","8"
"2017-11-01 09:10","1","WSW","6"
"2017-11-01 09:20","5","WSW","10"
"2017-11-01 09:30","5","WSW","9"
"2017-11-01 09:40","5","WSW","11"
"2017-11-01 09:50","3","WSW","9"
"2017-11-01 10:00","1","WNW","8"
"2017-11-01 10:10","1","W","5"
"2017-11-01 10:20","2","WSW","5"
"2017-11-01 10:30","1","WNW","7"
"2017-11-01 10:40","3","W","5"
"2017-11-01 10:50","2","W","6"
"2017-11-01 11:00","2","SW","6"
"2017-11-01 11:10","1","WNW","7"
"2017-11-01 11:20","1","N","6"
"2017-11-01 11:30","3","W","10"
"2017-11-01 11:40","1","WSW","10"
"2017-11-01 11:50","2","WSW","11"
"2017-11-01 12:00","1","NW","11"
"2017-11-01 12:10","3","SW","9"
"2017-11-01 12:20","7","NW","30"
"2017-11-01 12:30","1","S","31"
"2017-11-01 12:40","4","W","30"
"2017-11-01 12:50","4","N","42"
"2017-11-01 13:00","17","WNW","61"
"2017-11-01 13:10","3","NNE","29"
"2017-11-01 13:20","2","WNW","10"
"2017-11-01 13:30","2","NNE","126"
"2017-11-01 13:40","3","SW","9"
"2017-11-01 13:50","3","WSW","9"
"2017-11-01 14:00","4","N","12"
"2017-11-01 14:10","31","WNW","86"
"2017-11-01 14:20","8","W","86"
"2017-11-01 14:30","3","W","71"
"2017-11-01 14:40","12","WNW","57"
"2017-11-01 14:50","7","NW","41"
"2017-11-01 15:00","1","WNW","183"
"2017-11-01 15:10","10","WNW","59"
"2017-11-01 15:20","4","WNW","63"
"2017-11-01 15:30","6","W","73"
"2017-11-01 15:40","1","W","66"
"2017-11-01 15:50","12","WNW","40"
"2017-11-01 16:00","3","W","103"
"2017-11-01 16:10","4","WNW","45"
"2017-11-01 16:20","6","W","52"
"2017-11-01 16:30","9","W","82"
"2017-11-01 16:40","5","W","114"
"2017-11-01 16:50","3","WNW","31"
"2017-11-01 17:00","2","W","26"
"2017-11-01 17:10","4","SW","118"
"2017-11-01 17:20","3","WSW","118"
"2017-11-01 17:30","3","SW","42"
"2017-11-01 17:40","4","W","42"
"2017-11-01 17:50","5","WSW","30"
"2017-11-01 18:00","3","W","30"
"2017-11-01 18:10","5","WSW","19"
"2017-11-01 18:20","1","NW","10"
"2017-11-01 18:30","3","WSW","9"
"2017-11-01 18:40","3","WSW","8"
"2017-11-01 18:50","1","WSW","8"
"2017-11-01 19:00","3","WSW","6"
"2017-11-01 19:10","4","WSW","10"
"2017-11-01 19:20","3","SW","10"
"2017-11-01 19:30","2","SW","9"
"2017-11-01 19:40","2","NNE","36"
"2017-11-01 19:50","3","WSW","8"
"2017-11-01 20:00","1","WNW","8"
"2017-11-01 20:10","2","WSW","9"
"2017-11-01 20:20","4","WSW","8"
"2017-11-01 20:30","6","WSW","16"
"2017-11-01 20:40","4","SW","11"
"2017-11-01 20:50","3","WSW","7"
"2017-11-01 21:00","1","WSW","7"
"2017-11-01 21:10","5","WSW","9"
"2017-11-01 21:20","4","WSW","9"
"2017-11-01 21:30","4","WSW","9"
"2017-11-01 21:40","4","WSW","12"
"2017-11-01 21:50","2","WSW","8"
"2017-11-01 22:00","3","WSW","9"
"2017-11-01 22:10","4","W","13"
"2017-11-01 22:20","4","WSW","13"
"2017-11-01 22:30","4","SW","10"
"2017-11-01 22:40","4","WSW","15"
"2017-11-01 22:50","4","WSW","10"
"2017-11-01 23:00","3","WNW","10"
"2017-11-01 23:10","4","W","7"
"2017-11-01 23:20","3","WSW","7"
"2017-11-01 23:30","4","WSW","9"
"2017-11-01 23:40","3","WSW","7"
"2017-11-01 23:50","4","WSW","9"
"2017-11-02 00:00","5","SW","9"
"2017-11-02 00:10","3","WSW","7"
"2017-11-02 00:20","1","WNW","6"
"2017-11-02 00:30","5","SW","8"
"2017-11-02 00:40","4","SW","8"
"2017-11-02 00:50","3","WSW","8"
"2017-11-02 01:00","4","SW","10"
"2017-11-02 01:10","2","WSW","10"
"2017-11-02 01:20","1","WSW","13"
"2017-11-02 01:30","2","W","19"
"2017-11-02 01:40","3","SW","15"
"2017-11-02 01:50","3","WSW","12"
"2017-11-02 02:00","5","SW","33"
"2017-11-02 02:10","4","W","8"
"2017-11-02 02:20","2","WSW","8"
"2017-11-02 02:30","8","WSW","36"
"2017-11-02 02:40","4","W","36"
"2017-11-02 02:50","5","SW","37"
"2017-11-02 03:00","5","SW","61"
"2017-11-02 03:10","3","SW","11"
"2017-11-02 03:20","3","SW","33"
"2017-11-02 03:30","4","SW","9"
"2017-11-02 03:40","3","WSW","12"
"2017-11-02 03:50","4","SSW","19"
"2017-11-02 04:00","3","SSW","25"
"2017-11-02 04:10","5","SSW","14"
"2017-11-02 04:20","3","SW","14"
"2017-11-02 04:30","4","SW","11"
"2017-11-02 04:40","5","SW","11"
"2017-11-02 04:50","5","WSW","20"
"2017-11-02 05:00","4","WSW","10"
"2017-11-02 05:10","5","SSW","8"
"2017-11-02 05:20","3","SSW","10"
"2017-11-02 05:30","6","SW","19"
"2017-11-02 05:40","4","SW","19"
"2017-11-02 05:50","5","SSW","14"
"2017-11-02 06:00","6","SSW","104"
"2017-11-02 06:10","4","SSW","13"
"2017-11-02 06:20","5","SW","16"
"2017-11-02 06:30","5","SSW","23"
"2017-11-02 06:40","12","SSW","83"
"2017-11-02 06:50","4","SW","8"
"2017-11-02 07:00","4","SW","9"
"2017-11-02 07:10","5","SW","17"
"2017-11-02 07:20","4","S","12"
"2017-11-02 07:30","5","SW","29"
"2017-11-02 07:40","4","SW","14"
"2017-11-02 07:50","3","WSW","66"
"2017-11-02 08:00","6","SW","15"
"2017-11-02 08:10","4","WSW","19"
"2017-11-02 08:20","8","WSW","59"
"2017-11-02 08:30","4","SSW","15"
"2017-11-02 08:40","4","SSW","31"
"2017-11-02 08:50","5","SSW","15"
"2017-11-02 09:00","4","SW","18"
"2017-11-02 09:10","10","SW","62"
"2017-11-02 09:20","8","S","154"
"2017-11-02 09:30","4","SSW","27"
"2017-11-02 09:40","6","SW","78"
"2017-11-02 09:50","4","S","28"
"2017-11-02 10:00","20","SSW","145"
"2017-11-02 10:10","1","SW","6"
"2017-11-02 10:20","4","SSW","17"
"2017-11-02 10:30","3","SSW","6"
"2017-11-02 10:40","3","SW","9"
"2017-11-02 10:50","4","S","6"
"2017-11-02 11:00","6","SSW","9"
"2017-11-02 11:10","3","SW","46"
"2017-11-02 11:20","3","SSW","9"
"2017-11-02 11:30","12","WSW","42"
"2017-11-02 11:40","6","SSW","146"
"2017-11-02 11:50","6","SW","14"
"2017-11-02 12:00","6","SSW","28"
"2017-11-02 12:10","3","SW","101"
"2017-11-02 12:20","6","SW","72"
"2017-11-02 12:30","3","W","26"
"2017-11-02 12:40","4","SW","26"
