"Time EST","Air Temp (°C)"
"2017-12-01 00:00","-1.9"
"2017-12-01 00:10","-1.8"
"2017-12-01 00:20","-1.8"
"2017-12-01 00:30","-1.8"
"2017-12-01 00:40","-1.9"
"2017-12-01 00:50","-1.9"
"2017-12-01 01:00","-2.0"
"2017-12-01 01:10","-2.0"
"2017-12-01 01:20","-2.1"
"2017-12-01 01:30","-2.2"
"2017-12-01 01:40","-2.2"
"2017-12-01 01:50","-2.2"
"2017-12-01 02:00","-2.2"
"2017-12-01 02:10","-2.2"
"2017-12-01 02:20","-2.3"
"2017-12-01 02:30","-2.6"
"2017-12-01 02:40","-2.7"
"2017-12-01 02:50","-2.8"
"2017-12-01 03:00","-2.9"
"2017-12-01 03:10","-2.9"
"2017-12-01 03:30","-3.2"
"2017-12-01 03:50","-3.7"
"2017-12-01 04:10","-4.1"
"2017-12-01 04:30","-4.3"
"2017-12-01 04:50","-4.5"
"2017-12-01 05:10","-4.6"
"2017-12-01 05:30","-5.5"
"2017-12-01 05:50","-6.4"
"2017-12-01 06:10","-7.4"
"2017-12-01 06:30","-8.9"
"2017-12-01 06:50","-10.2"
"2017-12-01 07:10","-10.9"
"2017-12-01 07:30","-11.8"
"2017-12-01 07:50","-12.2"
"2017-12-01 08:10","-12.9"
"2017-12-01 08:30","-13.3"
"2017-12-01 08:50","-13.2"
"2017-12-01 09:10","-12.7"
"2017-12-01 09:30","-11.4"
"2017-12-01 09:50","-10.0"
"2017-12-01 10:10","-7.7"
"2017-12-01 10:30","-6.0"
"2017-12-01 10:50","-4.4"
"2017-12-01 11:10","-3.0"
"2017-12-01 11:30","-2.1"
"2017-12-01 11:50","-1.6"
"2017-12-01 12:10","-0.6"
"2017-12-01 12:30","-0.3"
"2017-12-01 12:50","0.5"
"2017-12-01 13:10","0.5"
"2017-12-01 13:30","0.9"
"2017-12-01 13:40","0.9"
"2017-12-01 13:50","0.4"
"2017-12-01 14:00","0.6"
"2017-12-01 14:10","0.6"
"2017-12-01 14:20","0.4"
"2017-12-01 14:30","0.3"
"2017-12-01 14:40","0.4"
"2017-12-01 14:50","0.4"
"2017-12-01 15:00","0.3"
"2017-12-01 15:10","0.2"
"2017-12-01 15:20","0.2"
"2017-12-01 15:30","0.0"
"2017-12-01 15:40","0.0"
"2017-12-01 15:50","0.0"
"2017-12-01 16:00","-0.1"
"2017-12-01 16:10","-0.1"
"2017-12-01 16:20","0.0"
"2017-12-01 16:30","-0.1"
"2017-12-01 16:40","-0.2"
"2017-12-01 16:50","-0.2"
"2017-12-01 17:00","-0.3"
"2017-12-01 17:10","-0.4"
"2017-12-01 17:20","-0.3"
"2017-12-01 17:30","-0.4"
"2017-12-01 17:40","-0.3"
"2017-12-01 17:50","-0.5"
