"Time EST","Dew Point (°C)","Relative Humidity (%)"
"2017-12-01 00:00","-5.0","79"
"2017-12-01 00:10","-5.2","78"
"2017-12-01 00:20","-5.2","77"
"2017-12-01 00:30","-5.4","77"
"2017-12-01 00:40","-5.4","77"
"2017-12-01 00:50","-5.6","75"
"2017-12-01 01:00","-5.5","76"
"2017-12-01 01:10","-5.6","76"
"2017-12-01 01:20","-5.6","77"
"2017-12-01 01:30","-5.7","77"
"2017-12-01 01:40","-5.7","77"
"2017-12-01 01:50","-5.7","76"
"2017-12-01 02:00","-5.8","76"
"2017-12-01 02:10","-6.0","75"
"2017-12-01 02:20","-6.0","75"
"2017-12-01 02:30","-5.9","78"
"2017-12-01 02:40","-5.8","79"
"2017-12-01 02:50","-6.0","79"
"2017-12-01 03:00","-6.2","78"
"2017-12-01 03:10","-6.5","76"
"2017-12-01 03:30","-6.6","77"
"2017-12-01 03:50","-7.0","78"
"2017-12-01 04:10","-7.6","76"
"2017-12-01 04:30","-7.9","76"
"2017-12-01 04:50","-8.1","76"
"2017-12-01 05:10","-8.1","77"
"2017-12-01 05:30","-8.5","79"
"2017-12-01 05:50","-9.2","81"
"2017-12-01 06:10","-10.0","82"
"2017-12-01 06:30","-10.5","88"
"2017-12-01 06:50","-11.6","89"
"2017-12-01 07:10","-12.0","91"
"2017-12-01 07:30","-13.0","91"
"2017-12-01 07:50","-13.4","91"
"2017-12-01 08:10","-14.3","89"
"2017-12-01 08:30","-14.7","89"
"2017-12-01 08:50","-14.6","89"
"2017-12-01 09:10","-14.0","90"
"2017-12-01 09:30","-12.5","91"
"2017-12-01 09:50","-11.1","91"
"2017-12-01 10:10","-8.7","92"
"2017-12-01 10:30","-7.7","88"
"2017-12-01 10:50","-8.0","76"
"2017-12-01 11:10","-7.6","71"
"2017-12-01 11:30","-7.2","68"
"2017-12-01 11:50","-7.1","66"
"2017-12-01 12:10","-6.9","62"
"2017-12-01 12:30","-6.6","62"
"2017-12-01 12:50","-6.3","60"
"2017-12-01 13:10","-6.4","59"
"2017-12-01 13:30","-6.4","58"
"2017-12-01 13:40","-6.4","58"
"2017-12-01 13:50","-6.3","60"
"2017-12-01 14:00","-6.2","60"
"2017-12-01 14:10","-6.1","60"
"2017-12-01 14:20","-6.1","62"
"2017-12-01 14:30","-6.0","62"
"2017-12-01 14:40","-6.0","62"
"2017-12-01 14:50","-6.1","61"
"2017-12-01 15:00","-6.1","62"
"2017-12-01 15:10","-6.0","63"
"2017-12-01 15:20","-6.0","63"
"2017-12-01 15:30","-5.8","65"
"2017-12-01 15:40","-5.7","66"
"2017-12-01 15:50","-5.6","65"
"2017-12-01 16:00","-5.6","66"
"2017-12-01 16:10","-5.6","66"
"2017-12-01 16:20","-5.6","66"
"2017-12-01 16:30","-5.6","66"
"2017-12-01 16:40","-5.6","67"
"2017-12-01 16:50","-5.5","67"
"2017-12-01 17:00","-5.5","68"
"2017-12-01 17:10","-5.5","68"
"2017-12-01 17:20","-5.5","68"
"2017-12-01 17:30","-5.4","69"
"2017-12-01 17:40","-5.4","68"
"2017-12-01 17:50","-5.4","69"
"2017-12-01 18:00","-5.3","70"
"2017-12-01 18:10","-5.2","70"
"2017-12-01 18:20","-5.2","70"
"2017-12-01 18:30","-5.1","71"
"2017-12-01 18:40","-5.0","71"
"2017-12-01 18:50","-4.9","71"
"2017-12-01 19:00","-4.8","71"
"2017-12-01 19:10","-4.7","72"
"2017-12-01 19:20","-4.7","72"
"2017-12-01 19:30","-4.7","73"
"2017-12-01 19:40","-4.7","74"
"2017-12-01 19:50","-4.6","74"
"2017-12-01 20:00","-4.7","75"
"2017-12-01 20:10","-4.4","75"
"2017-12-01 20:20","-4.6","75"
"2017-12-01 20:30","-4.5","76"
"2017-12-01 20:40","-4.5","77"
