"Time EST","Pressure (kPa)"
"2017-12-01 00:00","103.12"
"2017-12-01 00:10","103.13"
"2017-12-01 00:20","103.14"
"2017-12-01 00:30","103.15"
"2017-12-01 00:40","103.15"
"2017-12-01 00:50","103.17"
"2017-12-01 01:00","103.18"
"2017-12-01 01:10","103.19"
"2017-12-01 01:20","103.20"
"2017-12-01 01:30","103.22"
"2017-12-01 01:40","103.22"
"2017-12-01 01:50","103.24"
"2017-12-01 02:00","103.24"
"2017-12-01 02:10","103.26"
"2017-12-01 02:20","103.27"
"2017-12-01 02:30","103.30"
"2017-12-01 02:40","103.30"
"2017-12-01 02:50","103.31"
"2017-12-01 03:00","103.31"
"2017-12-01 03:10","103.31"
"2017-12-01 03:30","103.34"
"2017-12-01 03:50","103.36"
"2017-12-01 04:10","103.37"
"2017-12-01 04:30","103.38"
"2017-12-01 04:50","103.40"
"2017-12-01 05:10","103.42"
"2017-12-01 05:30","103.43"
"2017-12-01 05:50","103.44"
"2017-12-01 06:10","103.45"
"2017-12-01 06:30","103.46"
"2017-12-01 06:50","103.47"
"2017-12-01 07:10","103.48"
"2017-12-01 07:30","103.50"
"2017-12-01 07:50","103.49"
"2017-12-01 08:10","103.52"
"2017-12-01 08:30","103.53"
"2017-12-01 08:50","103.51"
"2017-12-01 09:10","103.55"
"2017-12-01 09:30","103.57"
"2017-12-01 09:50","103.56"
"2017-12-01 10:10","103.53"
"2017-12-01 10:30","103.52"
"2017-12-01 10:50","103.53"
"2017-12-01 11:10","103.53"
"2017-12-01 11:30","103.53"
"2017-12-01 11:50","103.53"
"2017-12-01 12:10","103.51"
"2017-12-01 12:30","103.50"
"2017-12-01 12:50","103.49"
"2017-12-01 13:10","103.48"
"2017-12-01 13:30","103.48"
"2017-12-01 13:40","103.48"
"2017-12-01 13:50","103.48"
"2017-12-01 14:00","103.48"
"2017-12-01 14:10","103.47"
"2017-12-01 14:20","103.47"
"2017-12-01 14:30","103.46"
"2017-12-01 14:40","103.46"
"2017-12-01 14:50","103.46"
"2017-12-01 15:00","103.46"
"2017-12-01 15:10","103.46"
"2017-12-01 15:20","103.46"
"2017-12-01 15:30","103.46"
"2017-12-01 15:40","103.46"
"2017-12-01 15:50","103.46"
"2017-12-01 16:00","103.46"
"2017-12-01 16:10","103.46"
"2017-12-01 16:20","103.47"
"2017-12-01 16:30","103.47"
"2017-12-01 16:40","103.47"
"2017-12-01 16:50","103.47"
"2017-12-01 17:00","103.46"
"2017-12-01 17:10","103.46"
"2017-12-01 17:20","103.47"
"2017-12-01 17:30","103.48"
"2017-12-01 17:40","103.47"
"2017-12-01 17:50","103.47"
"2017-12-01 18:00","103.46"
"2017-12-01 18:10","103.47"
"2017-12-01 18:20","103.48"
"2017-12-01 18:30","103.48"
"2017-12-01 18:40","103.48"
"2017-12-01 18:50","103.48"
"2017-12-01 19:00","103.48"
"2017-12-01 19:10","103.49"
"2017-12-01 19:20","103.49"
"2017-12-01 19:30","103.49"
"2017-12-01 19:40","103.49"
"2017-12-01 19:50","103.49"
"2017-12-01 20:00","103.49"
"2017-12-01 20:10","103.48"
"2017-12-01 20:20","103.48"
"2017-12-01 20:30","103.49"
"2017-12-01 20:40","103.49"
"2017-12-01 20:50","103.49"
"2017-12-01 21:00","103.50"
"2017-12-01 21:10","103.50"
"2017-12-01 21:20","103.51"
"2017-12-01 21:30","103.51"
"2017-12-01 21:40","103.51"
"2017-12-01 21:50","103.51"
"2017-12-01 22:00","103.52"
"2017-12-01 22:10","103.52"
"2017-12-01 22:20","103.52"
"2017-12-01 22:30","103.51"
"2017-12-01 22:40","103.52"
"2017-12-01 22:50","103.51"
"2017-12-01 23:00","103.51"
"2017-12-01 23:10","103.51"
"2017-12-01 23:20","103.51"
"2017-12-01 23:30","103.52"
"2017-12-01 23:40","103.51"
"2017-12-01 23:50","103.51"
"2017-12-02 00:00","103.51"
"2017-12-02 00:10","103.51"
"2017-12-02 00:20","103.51"
"2017-12-02 00:30","103.51"
"2017-12-02 00:40","103.50"
"2017-12-02 00:50","103.50"
"2017-12-02 01:00","103.50"
"2017-12-02 01:10","103.50"
"2017-12-02 01:20","103.50"
"2017-12-02 01:30","103.50"
"2017-12-02 01:40","103.50"
"2017-12-02 01:50","103.50"
"2017-12-02 02:00","103.50"
"2017-12-02 02:10","103.50"
"2017-12-02 02:20","103.51"
"2017-12-02 02:30","103.50"
"2017-12-02 02:40","103.50"
"2017-12-02 02:50","103.51"
"2017-12-02 03:00","103.51"
"2017-12-02 03:10","103.51"
"2017-12-02 03:20","103.51"
"2017-12-02 03:30","103.50"
"2017-12-02 03:40","103.50"
"2017-12-02 03:50","103.50"
"2017-12-02 04:00","103.50"
"2017-12-02 04:10","103.50"
"2017-12-02 04:20","103.50"
"2017-12-02 04:30","103.50"
"2017-12-02 04:40","103.50"
"2017-12-02 04:50","103.50"
"2017-12-02 05:00","103.50"
"2017-12-02 05:10","103.50"
"2017-12-02 05:20","103.50"
"2017-12-02 05:30","103.50"
"2017-12-02 05:40","103.50"
"2017-12-02 05:50","103.50"
"2017-12-02 06:00","103.50"
"2017-12-02 06:10","103.49"
"2017-12-02 06:20","103.49"
"2017-12-02 06:30","103.49"
"2017-12-02 06:40","103.49"
"2017-12-02 06:50","103.48"
"2017-12-02 07:00","103.48"
"2017-12-02 07:10","103.47"
"2017-12-02 07:20","103.47"
"2017-12-02 07:30","103.48"
"2017-12-02 07:40","103.49"
"2017-12-02 07:50","103.49"
"2017-12-02 08:00","103.50"
"2017-12-02 08:10","103.50"
"2017-12-02 08:20","103.50"
"2017-12-02 08:30","103.50"
"2017-12-02 08:40","103.49"
"2017-12-02 08:50","103.49"
"2017-12-02 09:00","103.49"
"2017-12-02 09:10","103.49"
"2017-12-02 09:20","103.50"
"2017-12-02 09:30","103.50"
"2017-12-02 09:40","103.50"
"2017-12-02 09:50","103.50"
"2017-12-02 10:00","103.49"
"2017-12-02 10:10","103.49"
"2017-12-02 10:20","103.50"
"2017-12-02 10:30","103.49"
"2017-12-02 10:40","103.49"
"2017-12-02 10:50","103.49"
"2017-12-02 11:00","103.48"
"2017-12-02 11:10","103.48"
"2017-12-02 11:20","103.47"
"2017-12-02 11:30","103.47"
"2017-12-02 11:40","103.47"
"2017-12-02 11:50","103.46"
"2017-12-02 12:00","103.46"
"2017-12-02 12:10","103.46"
"2017-12-02 12:20","103.46"
"2017-12-02 12:30","103.45"
"2017-12-02 12:40","103.46"
"2017-12-02 12:50","103.45"
"2017-12-02 13:00","103.45"
"2017-12-02 13:10","103.45"
"2017-12-02 13:20","103.45"
"2017-12-02 13:30","103.45"
"2017-12-02 13:40","103.45"
"2017-12-02 13:50","103.45"
"2017-12-02 14:00","103.44"
"2017-12-02 14:10","103.44"
"2017-12-02 14:20","103.44"
"2017-12-02 14:30","103.43"
"2017-12-02 14:40","103.43"
"2017-12-02 14:50","103.42"
"2017-12-02 15:00","103.43"
"2017-12-02 15:10","103.43"
"2017-12-02 15:20","103.43"
"2017-12-02 15:30","103.43"
"2017-12-02 15:40","103.43"
"2017-12-02 15:50","103.43"
"2017-12-02 16:00","103.43"
"2017-12-02 16:10","103.44"
"2017-12-02 16:30","103.44"
"2017-12-02 16:40","103.44"
"2017-12-02 16:50","103.43"
"2017-12-02 17:00","103.44"
"2017-12-02 17:10","103.44"
"2017-12-02 17:20","103.44"
"2017-12-02 17:30","103.45"
"2017-12-02 17:40","103.45"
"2017-12-02 17:50","103.45"
"2017-12-02 18:00","103.45"
"2017-12-02 18:10","103.45"
"2017-12-02 18:20","103.45"
"2017-12-02 18:30","103.46"
"2017-12-02 18:40","103.47"
"2017-12-02 18:50","103.47"
"2017-12-02 19:00","103.46"
"2017-12-02 19:10","103.46"
"2017-12-02 19:20","103.47"
"2017-12-02 19:30","103.46"
"2017-12-02 19:40","103.47"
"2017-12-02 19:50","103.47"
"2017-12-02 20:00","103.47"
"2017-12-02 20:10","103.47"
"2017-12-02 20:20","103.47"
"2017-12-02 20:30","103.47"
"2017-12-02 20:40","103.47"
"2017-12-02 20:50","103.46"
"2017-12-02 21:00","103.46"
"2017-12-02 21:10","103.46"
"2017-12-02 21:20","103.46"
"2017-12-02 21:30","103.45"
"2017-12-02 21:40","103.45"
"2017-12-02 21:50","103.45"
"2017-12-02 22:00","103.44"
"2017-12-02 22:10","103.45"
"2017-12-02 22:20","103.45"
"2017-12-02 22:30","103.45"
"2017-12-02 22:40","103.46"
"2017-12-02 22:50","103.46"
"2017-12-02 23:00","103.46"
"2017-12-02 23:10","103.46"
"2017-12-02 23:20","103.46"
"2017-12-02 23:30","103.46"
"2017-12-02 23:40","103.45"
"2017-12-02 23:50","103.46"
"2017-12-03 00:00","103.45"
"2017-12-03 00:10","103.45"
"2017-12-03 00:20","103.45"
"2017-12-03 00:30","103.45"
"2017-12-03 00:40","103.44"
"2017-12-03 00:50","103.44"
"2017-12-03 01:00","103.43"
"2017-12-03 01:10","103.44"
"2017-12-03 01:20","103.44"
"2017-12-03 01:30","103.44"
"2017-12-03 01:40","103.45"
"2017-12-03 01:50","103.45"
"2017-12-03 02:00","103.45"
"2017-12-03 02:10","103.45"
"2017-12-03 02:20","103.46"
"2017-12-03 02:30","103.46"
"2017-12-03 02:40","103.46"
"2017-12-03 02:50","103.46"
"2017-12-03 03:00","103.46"
"2017-12-03 03:10","103.46"
"2017-12-03 03:20","103.46"
"2017-12-03 03:30","103.45"
"2017-12-03 03:40","103.45"
"2017-12-03 03:50","103.45"
"2017-12-03 04:00","103.45"
"2017-12-03 04:10","103.45"
"2017-12-03 04:20","103.45"
"2017-12-03 04:30","103.46"
"2017-12-03 04:40","103.46"
"2017-12-03 04:50","103.46"
"2017-12-03 05:00","103.47"
"2017-12-03 05:10","103.47"
"2017-12-03 05:20","103.47"
"2017-12-03 05:30","103.46"
"2017-12-03 05:40","103.47"
"2017-12-03 05:50","103.47"
"2017-12-03 06:00","103.47"
"2017-12-03 06:10","103.48"
"2017-12-03 06:20","103.48"
"2017-12-03 06:30","103.49"
"2017-12-03 06:40","103.49"
"2017-12-03 06:50","103.50"
"2017-12-03 07:00","103.49"
"2017-12-03 07:10","103.50"
"2017-12-03 07:20","103.49"
"2017-12-03 07:30","103.50"
"2017-12-03 07:40","103.50"
"2017-12-03 07:50","103.50"
"2017-12-03 08:00","103.50"
