"Time EST","Dew Point (°C)","Relative Humidity (%)"
"2018-02-01 00:00","-8.4","89"
"2018-02-01 00:10","-8.5","89"
"2018-02-01 00:20","-8.3","90"
"2018-02-01 00:30","-8.1","90"
"2018-02-01 00:40","-8.4","87"
"2018-02-01 08:20","-20.9","68"
"2018-02-01 08:30","-20.8","71"
"2018-02-01 08:40","-20.8","72"
"2018-02-01 08:50","-20.7","72"
"2018-02-01 09:00","-20.7","72"
"2018-02-01 09:10","-20.8","72"
"2018-02-01 09:20","-21.2","70"
"2018-02-01 09:30","-21.4","70"
"2018-02-01 09:40","-21.4","70"
"2018-02-01 09:50","-21.7","68"
"2018-02-01 10:00","-21.9","68"
"2018-02-01 10:10","-22.1","68"
"2018-02-01 10:20","-21.9","68"
"2018-02-01 10:30","-21.7","68"
"2018-02-01 10:40","-21.6","68"
"2018-02-01 10:50","-21.9","67"
"2018-02-01 11:00","-21.9","67"
"2018-02-01 11:10","-21.8","66"
"2018-02-01 11:20","-21.8","66"
"2018-02-01 11:30","-21.8","66"
"2018-02-01 11:40","-21.2","64"
"2018-02-01 11:50","-21.7","63"
"2018-02-01 12:00","-21.8","60"
"2018-02-01 12:10","-21.9","61"
"2018-02-01 12:20","-21.8","59"
"2018-02-01 12:30","-22.1","57"
"2018-02-01 12:40","-22.6","56"
"2018-02-01 12:50","-22.8","56"
"2018-02-01 13:00","-22.8","58"
"2018-02-01 13:10","-23.2","57"
"2018-02-01 13:20","-22.9","58"
"2018-02-01 13:30","-22.7","59"
"2018-02-01 13:40","-22.7","58"
"2018-02-01 13:50","-23.0","59"
"2018-02-01 14:00","-22.9","58"
"2018-02-01 14:10","-22.8","59"
"2018-02-01 14:20","-22.9","59"
"2018-02-01 14:30","-23.0","56"
"2018-02-01 14:40","-22.6","59"
"2018-02-01 14:50","-23.3","58"
"2018-02-01 15:00","-23.0","58"
"2018-02-01 15:10","-22.4","62"
"2018-02-01 15:20","-22.3","62"
"2018-02-01 15:30","-21.6","67"
"2018-02-01 15:40","-23.3","60"
"2018-02-01 15:50","-23.0","61"
"2018-02-01 16:00","-22.8","62"
"2018-02-01 16:10","-22.7","63"
"2018-02-01 16:20","-22.6","65"
"2018-02-01 16:30","-22.4","66"
"2018-02-01 16:40","-22.3","69"
"2018-02-01 16:50","-22.0","71"
"2018-02-01 17:00","-22.3","70"
"2018-02-01 17:10","-22.9","67"
"2018-02-01 17:20","-23.1","67"
"2018-02-01 17:30","-23.2","68"
"2018-02-01 17:40","-23.8","65"
"2018-02-01 17:50","-24.1","64"
"2018-02-01 18:00","-24.1","65"
"2018-02-01 18:10","-24.2","66"
"2018-02-01 18:20","-24.2","66"
"2018-02-01 18:30","-24.2","67"
"2018-02-01 18:40","-24.2","68"
"2018-02-01 18:50","-23.9","69"
"2018-02-01 19:00","-23.7","70"
"2018-02-01 19:10","-23.9","71"
"2018-02-01 19:20","-24.3","69"
"2018-02-01 19:30","-24.9","67"
"2018-02-01 19:40","-25.1","67"
"2018-02-01 19:50","-25.2","68"
"2018-02-01 20:00","-25.2","69"
"2018-02-01 20:10","-25.3","69"
"2018-02-01 20:20","-25.2","71"
"2018-02-01 20:30","-25.2","71"
"2018-02-01 20:40","-25.2","72"
"2018-02-01 20:50","-25.2","72"
"2018-02-01 21:00","-25.3","73"
"2018-02-01 21:10","-25.4","74"
"2018-02-01 21:20","-26.0","75"
"2018-02-01 21:30","-26.2","75"
"2018-02-01 21:40","-26.8","75"
"2018-02-01 21:50","-27.0","77"
"2018-02-01 22:00","-28.4","76"
"2018-02-01 22:10","-28.5","78"
"2018-02-01 22:20","-29.2","77"
"2018-02-01 22:30","-29.0","78"
"2018-02-01 22:40","-29.3","78"
"2018-02-01 22:50","-29.6","78"
"2018-02-01 23:00","-29.9","77"
"2018-02-01 23:10","-29.6","77"
"2018-02-01 23:20","-29.7","77"
"2018-02-01 23:30","-29.3","78"
"2018-02-01 23:40","-28.5","79"
"2018-02-02 00:00","-29.4","77"
"2018-02-02 00:10","-29.3","78"
"2018-02-02 00:20","-29.4","77"
"2018-02-02 00:30","-28.7","78"
"2018-02-02 00:40","-29.6","77"
"2018-02-02 00:50","-30.1","77"
"2018-02-02 01:00","-30.3","77"
"2018-02-02 01:10","-30.2","77"
"2018-02-02 01:20","-30.6","77"
"2018-02-02 01:30","-30.7","77"
"2018-02-02 01:40","-28.9","79"
"2018-02-02 01:50","-29.9","77"
"2018-02-02 02:00","-30.7","76"
"2018-02-02 02:10","-30.9","76"
"2018-02-02 02:20","-31.0","77"
"2018-02-02 02:30","-31.7","76"
"2018-02-02 02:40","-31.7","76"
"2018-02-02 02:50","-32.1","76"
"2018-02-02 03:00","-32.6","75"
"2018-02-02 03:10","-32.5","76"
"2018-02-02 03:20","-30.9","78"
"2018-02-02 05:20","-27.4","77"
"2018-02-02 05:30","-27.5","77"
"2018-02-02 07:40","-30.0","75"
"2018-02-02 07:50","-30.1","75"
"2018-02-02 08:00","-30.2","75"
"2018-02-02 08:10","-30.4","75"
"2018-02-02 08:20","-30.5","75"
"2018-02-02 08:30","-30.2","75"
"2018-02-02 08:40","-30.2","75"
"2018-02-02 08:50","-30.1","75"
"2018-02-02 09:00","-30.0","75"
"2018-02-02 09:10","-29.9","74"
"2018-02-02 09:20","-29.8","74"
"2018-02-02 09:30","-29.6","73"
"2018-02-02 09:40","-29.5","73"
"2018-02-02 09:50","-29.5","72"
"2018-02-02 10:00","-29.2","72"
"2018-02-02 10:10","-29.1","72"
"2018-02-02 10:20","-28.9","71"
"2018-02-02 10:30","-29.1","70"
"2018-02-02 10:40","-28.9","69"
"2018-02-02 10:50","-28.2","68"
"2018-02-02 11:00","-28.5","66"
"2018-02-02 11:10","-28.2","66"
"2018-02-02 11:20","-28.4","65"
"2018-02-02 11:30","-28.7","63"
"2018-02-02 11:40","-28.3","64"
"2018-02-02 11:50","-28.4","62"
"2018-02-02 12:00","-28.2","62"
"2018-02-02 12:10","-28.2","61"
"2018-02-02 12:20","-28.3","61"
"2018-02-02 12:30","-28.0","60"
"2018-02-02 12:40","-27.8","59"
"2018-02-02 12:50","-27.8","59"
"2018-02-02 13:00","-27.9","58"
"2018-02-02 13:10","-27.7","59"
"2018-02-02 13:20","-27.8","59"
"2018-02-02 13:30","-27.6","59"
"2018-02-02 13:40","-27.2","58"
"2018-02-02 13:50","-27.5","58"
"2018-02-02 14:00","-27.7","57"
"2018-02-02 14:10","-27.6","58"
"2018-02-02 14:20","-27.4","58"
"2018-02-02 14:30","-27.4","59"
"2018-02-02 14:40","-27.2","58"
"2018-02-02 14:50","-27.6","58"
"2018-02-02 15:10","-27.2","57"
"2018-02-02 15:30","-27.4","58"
"2018-02-02 15:50","-27.1","58"
"2018-02-02 16:10","-27.2","57"
"2018-02-02 16:30","-27.1","60"
"2018-02-02 16:50","-26.8","63"
"2018-02-02 17:10","-26.8","65"
"2018-02-02 17:30","-27.5","68"
"2018-02-02 17:50","-28.2","72"
"2018-02-02 18:10","-28.0","74"
"2018-02-02 18:30","-28.6","76"
"2018-02-02 18:40","-29.0","76"
"2018-02-02 18:50","-29.3","76"
"2018-02-02 19:00","-29.5","76"
"2018-02-02 19:10","-29.6","77"
"2018-02-02 19:20","-29.4","77"
"2018-02-02 19:30","-29.5","77"
"2018-02-02 19:40","-29.6","77"
"2018-02-02 19:50","-30.0","76"
"2018-02-02 20:00","-30.4","76"
"2018-02-02 20:10","-30.6","76"
"2018-02-02 20:20","-30.3","77"
"2018-02-02 20:30","-30.4","76"
"2018-02-02 20:40","-30.5","76"
"2018-02-02 20:50","-30.7","76"
"2018-02-02 21:00","-31.3","76"
"2018-02-02 21:10","-32.3","74"
"2018-02-02 21:20","-32.6","75"
"2018-02-02 21:30","-32.9","75"
"2018-02-02 21:40","-32.9","75"
"2018-02-02 21:50","-32.9","75"
"2018-02-02 22:00","-34.0","74"
"2018-02-02 22:10","-34.1","74"
"2018-02-02 22:20","-34.6","74"
"2018-02-02 22:30","-34.9","74"
"2018-02-02 22:40","-35.0","74"
"2018-02-02 22:50","-34.7","74"
"2018-02-02 23:00","-34.9","74"
"2018-02-02 23:10","-34.7","74"
"2018-02-02 23:20","-34.7","74"
"2018-02-02 23:30","-34.7","74"
"2018-02-02 23:40","-34.6","74"
"2018-02-02 23:50","-34.3","74"
"2018-02-03 00:00","-34.2","74"
"2018-02-03 00:10","-34.3","74"
"2018-02-03 00:20","-34.7","73"
"2018-02-03 00:30","-35.0","73"
"2018-02-03 00:40","-35.3","73"
"2018-02-03 00:50","-35.7","73"
"2018-02-03 01:00","-36.0","73"
"2018-02-03 01:10","-36.3","73"
"2018-02-03 01:20","-36.9","72"
"2018-02-03 01:30","-37.0","72"
"2018-02-03 01:40","-37.2","72"
"2018-02-03 01:50","-37.2","72"
"2018-02-03 02:00","-37.7","72"
"2018-02-03 02:10","-37.9","72"
"2018-02-03 02:20","-38.4","71"
"2018-02-03 02:30","-38.5","72"
"2018-02-03 02:40","-39.0","71"
"2018-02-03 02:50","-39.0","72"
"2018-02-03 03:00","-39.3","71"
"2018-02-03 03:10","-39.6","71"
"2018-02-03 03:20","-39.9","71"
"2018-02-03 03:30","-40.2","71"
"2018-02-03 03:40","-40.4","71"
"2018-02-03 03:50","-40.6","71"
"2018-02-03 04:00","-40.8","71"
"2018-02-03 04:10","-40.9","71"
"2018-02-03 04:20","-41.1","70"
"2018-02-03 04:30","-41.4","70"
"2018-02-03 04:40","-41.6","70"
"2018-02-03 04:50","-41.8","70"
"2018-02-03 05:00","-41.7","70"
"2018-02-03 05:10","-42.0","70"
"2018-02-03 05:20","-42.1","70"
"2018-02-03 05:30","-42.3","70"
"2018-02-03 05:40","-42.5","69"
"2018-02-03 05:50","-42.5","69"
"2018-02-03 06:00","-42.7","69"
"2018-02-03 06:10","-42.8","69"
"2018-02-03 06:20","-43.1","69"
"2018-02-03 06:30","-43.1","69"
"2018-02-03 06:40","-43.3","69"
"2018-02-03 06:50","-43.3","69"
"2018-02-03 07:00","-43.4","69"
"2018-02-03 07:10","-43.7","69"
"2018-02-03 07:20","-43.8","68"
"2018-02-03 07:30","-43.9","69"
"2018-02-03 07:40","-43.9","69"
"2018-02-03 07:50","-44.0","68"
"2018-02-03 08:00","-44.0","68"
"2018-02-03 08:10","-44.0","68"
"2018-02-03 08:20","-44.0","68"
"2018-02-03 08:30","-43.7","69"
"2018-02-03 08:40","-43.5","69"
"2018-02-03 08:50","-43.2","69"
"2018-02-03 09:00","-42.6","69"
"2018-02-03 09:10","-40.9","70"
"2018-02-03 09:20","-40.1","71"
"2018-02-03 09:30","-38.3","72"
"2018-02-03 09:40","-36.9","73"
"2018-02-03 09:50","-35.2","74"
"2018-02-03 10:00","-33.6","75"
"2018-02-03 10:10","-32.2","75"
"2018-02-03 10:20","-30.0","77"
"2018-02-03 10:30","-28.4","77"
"2018-02-03 10:40","-27.3","77"
"2018-02-03 10:50","-26.7","74"
"2018-02-03 11:00","-26.8","72"
"2018-02-03 11:10","-27.0","69"
"2018-02-03 11:20","-26.8","66"
"2018-02-03 11:30","-26.8","64"
"2018-02-03 11:40","-26.8","63"
"2018-02-03 11:50","-26.6","61"
"2018-02-03 12:00","-26.7","60"
"2018-02-03 12:10","-26.7","60"
"2018-02-03 12:20","-26.6","57"
"2018-02-03 12:30","-26.6","58"
"2018-02-03 12:40","-26.5","57"
"2018-02-03 12:50","-26.2","57"
"2018-02-03 13:00","-26.7","56"
"2018-02-03 13:10","-26.3","55"
"2018-02-03 13:20","-26.1","53"
"2018-02-03 13:30","-26.2","53"
"2018-02-03 13:40","-25.5","54"
"2018-02-03 13:50","-25.3","53"
"2018-02-03 14:00","-25.3","52"
"2018-02-03 14:10","-25.4","51"
"2018-02-03 14:20","-25.4","52"
"2018-02-03 14:30","-25.8","52"
"2018-02-03 14:40","-25.3","52"
"2018-02-03 14:50","-25.3","51"
"2018-02-03 15:00","-25.0","52"
"2018-02-03 15:10","-25.5","49"
"2018-02-03 15:20","-25.0","52"
"2018-02-03 15:30","-25.0","52"
"2018-02-03 15:40","-24.9","53"
"2018-02-03 15:50","-25.1","53"
"2018-02-03 16:00","-24.9","54"
"2018-02-03 16:10","-24.9","54"
"2018-02-03 16:20","-24.8","55"
"2018-02-03 16:30","-24.7","56"
"2018-02-03 16:40","-24.6","57"
"2018-02-03 16:50","-24.4","58"
"2018-02-03 17:00","-24.2","60"
"2018-02-03 17:10","-24.6","61"
"2018-02-03 17:20","-25.5","64"
"2018-02-03 17:30","-25.6","67"
"2018-02-03 17:40","-25.8","68"
"2018-02-03 17:50","-26.0","69"
"2018-02-03 18:00","-25.8","71"
"2018-02-03 18:10","-26.1","71"
"2018-02-03 18:20","-26.3","72"
"2018-02-03 18:30","-26.2","74"
"2018-02-03 18:40","-26.2","74"
"2018-02-03 18:50","-26.4","75"
"2018-02-03 19:00","-26.6","75"
"2018-02-03 19:10","-26.6","76"
"2018-02-03 19:20","-26.8","76"
"2018-02-03 19:30","-26.7","76"
"2018-02-03 19:40","-26.7","76"
"2018-02-03 19:50","-26.8","76"
"2018-02-03 20:00","-26.8","76"
"2018-02-03 20:10","-26.7","76"
"2018-02-03 20:20","-26.6","76"
"2018-02-03 20:30","-26.5","76"
"2018-02-03 20:40","-26.2","77"
"2018-02-03 20:50","-26.1","76"
"2018-02-03 21:00","-25.9","77"
"2018-02-03 21:10","-25.7","77"
"2018-02-03 21:20","-25.5","77"
"2018-02-03 21:30","-25.5","77"
"2018-02-03 21:40","-25.5","77"
"2018-02-03 21:50","-25.3","77"
"2018-02-03 22:00","-25.3","77"
"2018-02-03 22:10","-25.3","77"
"2018-02-03 22:20","-25.2","77"
"2018-02-03 22:30","-25.1","77"
"2018-02-03 22:40","-25.1","77"
