"Time EST","Dew Point (°C)","Relative Humidity (%)"
"2018-01-04 13:00","-28.5","66"
"2018-01-04 13:10","-28.5","66"
"2018-01-04 13:20","-28.6","66"
"2018-01-04 13:30","-28.6","65"
"2018-01-06 13:00","-29.7","58"
"2018-01-06 13:10","-29.6","58"
"2018-01-06 13:20","-29.8","57"
"2018-01-06 13:30","-29.2","59"
"2018-01-06 13:40","-29.4","58"
"2018-01-06 13:50","-29.0","58"
"2018-01-09 13:10","-13.1","75"
"2018-01-09 14:30","-13.4","71"
"2018-01-11 09:20","4.0",""
"2018-01-11 09:30","4.1",""
"2018-01-11 09:40","4.0","99"
"2018-01-11 09:50","4.2",""
"2018-01-11 10:00","4.5",""
"2018-01-11 10:10","4.5","99"
"2018-01-11 10:20","4.6",""
"2018-01-11 10:30","4.6",""
"2018-01-11 10:40","4.7","99"
"2018-01-11 10:50","5.0",""
"2018-01-11 11:00","5.1","99"
"2018-01-11 11:10","5.2","99"
"2018-01-11 11:20","5.3","99"
"2018-01-11 11:30","5.4","99"
"2018-01-11 11:40","5.6","99"
"2018-01-11 11:50","5.7","98"
"2018-01-11 12:00","5.6","98"
"2018-01-11 12:10","5.8","98"
"2018-01-11 12:20","5.8","97"
"2018-01-11 12:30","6.0","98"
"2018-01-11 12:41","6.1","98"
"2018-01-11 12:50","6.0","98"
"2018-01-11 13:00","6.0","98"
"2018-01-11 13:10","6.1","98"
"2018-01-11 13:20","6.2","98"
"2018-01-11 13:30","6.1","98"
"2018-01-11 13:40","6.3","98"
"2018-01-11 13:50","6.3","98"
"2018-01-11 14:00","6.3","98"
"2018-01-11 14:10","6.4","98"
"2018-01-11 14:20","6.5","98"
"2018-01-11 14:30","6.4","98"
"2018-01-11 14:40","6.5","98"
"2018-01-11 14:50","6.5","97"
"2018-01-11 15:00","6.5","97"
"2018-01-11 15:10","6.7","97"
"2018-01-11 15:20","6.6","96"
"2018-01-11 15:30","6.6","96"
"2018-01-11 15:40","6.4","96"
"2018-01-12 10:50","-24.1","75"
"2018-01-12 11:00","-24.2","75"
"2018-01-12 11:10","-24.3","75"
"2018-01-12 11:20","-24.6","75"
"2018-01-12 11:30","-24.4","76"
"2018-01-12 11:40","-24.3","76"
"2018-01-12 11:50","-24.4","75"
"2018-01-12 12:00","-24.2","75"
"2018-01-12 12:10","-24.5","75"
"2018-01-12 12:20","-24.3","75"
"2018-01-12 12:30","-24.3","75"
"2018-01-12 12:40","-24.3","74"
"2018-01-12 12:50","-24.2","74"
"2018-01-12 13:00","-24.4","73"
"2018-01-12 13:10","-24.5","73"
"2018-01-12 13:20","-24.2","73"
"2018-01-12 13:30","-24.6","71"
"2018-01-12 13:40","-24.4","72"
"2018-01-12 13:50","-24.6","73"
"2018-01-12 14:00","-24.9","72"
"2018-01-12 14:10","-24.7","73"
"2018-01-12 14:20","-25.1","72"
"2018-01-12 14:30","-24.9","72"
"2018-01-12 14:40","-25.0","72"
"2018-01-12 14:50","-24.9","72"
"2018-01-12 15:00","-25.2","71"
"2018-01-12 15:10","-25.1","71"
"2018-01-12 15:20","-25.2","71"
"2018-01-12 15:30","-25.3","71"
"2018-01-12 15:40","-24.9","73"
"2018-01-12 15:50","-25.1","73"
"2018-01-12 16:00","-24.9","73"
"2018-01-12 16:10","-25.2","73"
"2018-01-12 16:20","-25.4","73"
"2018-01-12 16:30","-25.7","73"
"2018-01-13 10:10","-32.2","76"
"2018-01-13 10:20","-32.2","76"
"2018-01-13 10:30","-31.1","76"
"2018-01-13 10:40","-30.8","76"
"2018-01-13 10:50","-30.2","76"
"2018-01-13 11:00","-29.8","76"
"2018-01-13 11:10","-29.3","77"
"2018-01-13 11:20","-29.0","76"
"2018-01-13 11:30","-28.6","77"
"2018-01-13 11:40","-28.2","77"
"2018-01-13 11:50","-28.0","76"
"2018-01-13 12:00","-28.1","76"
"2018-01-13 12:10","-27.5","76"
"2018-01-13 12:20","-27.0","76"
"2018-01-13 12:30","-27.4","74"
"2018-01-13 12:40","-26.8","73"
"2018-01-13 12:50","-26.9","71"
"2018-01-13 13:00","-26.5","70"
"2018-01-13 13:10","-26.6","69"
"2018-01-13 13:20","-26.4","69"
"2018-01-13 13:30","-26.3","68"
"2018-01-13 13:40","-26.0","68"
"2018-01-13 13:50","-26.5","67"
"2018-01-13 14:00","-25.8","67"
"2018-01-13 14:10","-26.1","66"
"2018-01-13 14:20","-26.1","66"
"2018-01-13 14:30","-26.0","67"
"2018-01-13 14:40","-25.5","68"
"2018-01-13 14:50","-25.8","68"
"2018-01-13 15:00","-26.5","68"
"2018-01-13 15:10","-26.2","69"
"2018-01-13 15:20","-26.6","69"
