"Time EST","Precipitation Yes/No"
"2018-01-04 13:00","Yes"
"2018-01-04 13:10","Yes"
"2018-01-04 13:20","Yes"
"2018-01-04 13:30","Yes"
"2018-01-06 13:00","Yes"
"2018-01-06 13:10","No"
"2018-01-06 13:20","No"
"2018-01-06 13:30","No"
"2018-01-06 13:40","No"
"2018-01-06 13:50","Error"
"2018-01-09 13:10","Yes"
"2018-01-09 14:00","Yes"
"2018-01-09 14:30","Yes"
"2018-01-11 09:10","Error"
"2018-01-11 09:20","Yes"
"2018-01-11 09:30","Yes"
"2018-01-11 09:40","Yes"
"2018-01-11 09:50","Yes"
"2018-01-11 10:00","Yes"
"2018-01-11 10:10","Yes"
"2018-01-11 10:20","Yes"
"2018-01-11 10:30","No"
"2018-01-11 10:40","Yes"
"2018-01-11 10:50","Yes"
"2018-01-11 11:00","Yes"
"2018-01-11 11:10","Yes"
"2018-01-11 11:20","Yes"
"2018-01-11 11:30","No"
"2018-01-11 11:40","Yes"
"2018-01-11 11:50","Yes"
"2018-01-11 12:00","Yes"
"2018-01-11 12:10","Yes"
"2018-01-11 12:20","Yes"
"2018-01-11 12:30","Yes"
"2018-01-11 12:41","Yes"
"2018-01-11 12:50","Yes"
"2018-01-11 13:00","Yes"
"2018-01-11 13:10","Yes"
"2018-01-11 13:20","Yes"
"2018-01-11 13:30","Yes"
"2018-01-11 13:40","Yes"
"2018-01-11 13:50","Yes"
"2018-01-11 14:00","Yes"
"2018-01-11 14:10","Yes"
"2018-01-11 14:20","No"
"2018-01-11 14:30","Yes"
"2018-01-11 14:40","Yes"
"2018-01-11 14:50","Yes"
"2018-01-11 15:00","Yes"
"2018-01-11 15:10","No"
"2018-01-11 15:20","No"
"2018-01-11 15:30","No"
"2018-01-11 15:40","No"
"2018-01-12 10:50","No"
"2018-01-12 11:00","No"
"2018-01-12 11:10","No"
"2018-01-12 11:20","No"
"2018-01-12 11:30","No"
"2018-01-12 11:40","No"
"2018-01-12 11:50","No"
"2018-01-12 12:00","No"
"2018-01-12 12:10","No"
"2018-01-12 12:20","No"
"2018-01-12 12:30","No"
"2018-01-12 12:40","No"
"2018-01-12 12:50","No"
"2018-01-12 13:00","No"
"2018-01-12 13:10","No"
"2018-01-12 13:20","No"
"2018-01-12 13:30","No"
"2018-01-12 13:40","No"
"2018-01-12 13:50","No"
"2018-01-12 14:00","No"
"2018-01-12 14:10","No"
"2018-01-12 14:20","No"
"2018-01-12 14:30","No"
"2018-01-12 14:40","No"
"2018-01-12 14:50","No"
"2018-01-12 15:00","No"
"2018-01-12 15:10","No"
"2018-01-12 15:20","No"
"2018-01-12 15:30","No"
"2018-01-12 15:40","No"
"2018-01-12 15:50","No"
"2018-01-12 16:00","No"
"2018-01-12 16:10","No"
"2018-01-12 16:20","No"
"2018-01-12 16:30","No"
"2018-01-13 10:10","No"
"2018-01-13 10:20","No"
"2018-01-13 10:30","No"
"2018-01-13 10:40","No"
"2018-01-13 10:50","No"
"2018-01-13 11:00","No"
"2018-01-13 11:10","No"
"2018-01-13 11:20","No"
"2018-01-13 11:30","No"
"2018-01-13 11:40","No"
"2018-01-13 11:50","No"
"2018-01-13 12:00","No"
"2018-01-13 12:10","No"
"2018-01-13 12:20","No"
"2018-01-13 12:30","No"
"2018-01-13 12:40","No"
"2018-01-13 12:50","No"
"2018-01-13 13:00","No"
"2018-01-13 13:10","No"
"2018-01-13 13:20","No"
"2018-01-13 13:30","No"
"2018-01-13 13:40","No"
"2018-01-13 13:50","No"
"2018-01-13 14:00","No"
"2018-01-13 14:10","No"
"2018-01-13 14:20","No"
"2018-01-13 14:30","No"
"2018-01-13 14:40","No"
"2018-01-13 14:50","No"
"2018-01-13 15:00","No"
"2018-01-13 15:10","No"
"2018-01-13 15:20","No"
"2018-01-13 15:30","No"
"2018-01-13 15:40","No"
"2018-01-13 15:50","No"
"2018-01-13 16:00","No"
"2018-01-13 16:10","No"
"2018-01-13 16:20","No"
"2018-01-13 16:30","No"
"2018-01-13 16:40","No"
"2018-01-13 16:50","No"
"2018-01-13 17:00","No"
"2018-01-13 17:10","No"
"2018-01-13 17:20","No"
"2018-01-13 17:30","No"
"2018-01-13 17:40","No"
"2018-01-13 17:50","No"
"2018-01-13 18:00","No"
"2018-01-13 18:10","No"
"2018-01-13 18:20","No"
"2018-01-13 18:30","No"
"2018-01-13 18:40","No"
"2018-01-13 18:50","No"
"2018-01-13 19:00","No"
"2018-01-13 19:10","No"
"2018-01-13 19:20","No"
"2018-01-13 19:30","No"
"2018-01-13 19:40","No"
"2018-01-13 19:50","No"
"2018-01-13 20:00","No"
"2018-01-13 20:10","No"
"2018-01-13 20:20","No"
"2018-01-13 20:30","No"
"2018-01-13 20:40","No"
"2018-01-13 20:50","No"
"2018-01-13 21:00","No"
"2018-01-13 21:10","No"
"2018-01-13 21:20","No"
"2018-01-14 09:40","No"
"2018-01-14 09:50","No"
"2018-01-14 10:00","No"
"2018-01-14 10:11","No"
"2018-01-14 10:20","No"
"2018-01-14 10:30","No"
"2018-01-14 10:40","No"
"2018-01-14 10:50","Yes"
"2018-01-14 11:00","Yes"
"2018-01-14 11:10","No"
"2018-01-14 11:20","Yes"
"2018-01-14 11:30","Yes"
"2018-01-14 11:40","Yes"
"2018-01-14 11:50","No"
"2018-01-14 12:00","No"
"2018-01-14 12:10","No"
"2018-01-14 12:20","No"
"2018-01-14 12:30","No"
"2018-01-14 12:40","No"
"2018-01-14 12:50","No"
"2018-01-14 13:00","No"
"2018-01-14 13:10","No"
"2018-01-14 13:20","No"
"2018-01-14 13:30","No"
"2018-01-14 13:40","No"
"2018-01-14 13:50","No"
"2018-01-14 14:00","No"
"2018-01-14 14:10","No"
"2018-01-14 14:20","No"
"2018-01-14 14:30","No"
"2018-01-14 14:40","No"
"2018-01-14 14:50","No"
"2018-01-14 15:00","No"
"2018-01-14 15:11","No"
"2018-01-14 15:20","No"
"2018-01-14 15:30","No"
"2018-01-14 15:40","No"
"2018-01-14 15:50","No"
"2018-01-14 16:00","No"
"2018-01-14 16:10","No"
"2018-01-14 16:20","No"
"2018-01-14 16:30","No"
"2018-01-14 16:40","Yes"
"2018-01-14 16:50","Yes"
"2018-01-14 17:00","No"
"2018-01-14 17:10","No"
"2018-01-14 17:20","Yes"
"2018-01-14 17:30","No"
"2018-01-14 17:40","Yes"
"2018-01-14 17:50","No"
"2018-01-14 18:00","Yes"
"2018-01-14 18:11","No"
"2018-01-14 18:20","Yes"
"2018-01-14 18:30","No"
"2018-01-14 18:40","No"
"2018-01-14 18:50","Yes"
"2018-01-14 19:00","No"
"2018-01-14 19:10","No"
"2018-01-14 19:20","No"
"2018-01-14 19:30","No"
"2018-01-14 19:40","No"
"2018-01-14 19:50","No"
"2018-01-14 20:00","No"
"2018-01-14 20:11","No"
"2018-01-14 20:20","No"
"2018-01-14 20:30","No"
"2018-01-14 20:40","No"
"2018-01-14 20:50","No"
"2018-01-14 21:00","No"
"2018-01-14 21:10","No"
"2018-01-14 21:20","No"
"2018-01-14 21:30","No"
"2018-01-14 21:40","No"
"2018-01-14 21:50","No"
"2018-01-14 22:00","No"
"2018-01-14 22:10","No"
"2018-01-14 22:20","No"
"2018-01-14 22:30","No"
"2018-01-14 22:40","No"
"2018-01-14 22:50","No"
"2018-01-14 23:00","No"
"2018-01-14 23:12","No"
"2018-01-14 23:20","No"
"2018-01-14 23:30","No"
"2018-01-14 23:40","No"
"2018-01-14 23:50","No"
"2018-01-15 00:00","No"
"2018-01-15 00:12","No"
"2018-01-15 00:20","No"
"2018-01-15 00:30","No"
"2018-01-15 00:40","No"
"2018-01-15 00:50","No"
"2018-01-15 01:00","No"
"2018-01-15 01:12","No"
"2018-01-15 09:12","No"
"2018-01-15 09:20","No"
"2018-01-15 09:30","No"
"2018-01-15 09:40","No"
"2018-01-15 09:50","No"
"2018-01-15 10:00","No"
"2018-01-15 10:13","No"
"2018-01-15 10:20","No"
"2018-01-15 10:32","No"
"2018-01-15 10:40","No"
"2018-01-15 10:51","No"
"2018-01-15 11:00","No"
"2018-01-15 11:16","No"
"2018-01-15 11:20","No"
"2018-01-15 11:30","No"
"2018-01-15 11:40","No"
"2018-01-15 12:00","No"
"2018-01-15 12:13","Yes"
"2018-01-15 12:20","Yes"
"2018-01-15 12:31","No"
"2018-01-15 12:40","Yes"
"2018-01-15 12:50","No"
"2018-01-15 13:00","No"
"2018-01-15 13:13","No"
"2018-01-15 13:20","Yes"
"2018-01-15 13:32","No"
"2018-01-15 13:40","No"
"2018-01-15 13:51","No"
"2018-01-15 14:00","No"
"2018-01-15 14:11","No"
"2018-01-15 14:20","No"
"2018-01-15 14:32","No"
"2018-01-15 14:40","No"
"2018-01-15 14:52","No"
"2018-01-15 15:00","No"
"2018-01-15 15:15","No"
"2018-01-15 15:20","No"
"2018-01-15 15:33","No"
"2018-01-15 15:40","No"
"2018-01-15 15:53","No"
"2018-01-15 16:00","No"
"2018-01-15 16:14","No"
"2018-01-15 16:20","No"
"2018-01-15 16:35","No"
"2018-01-15 16:40","No"
"2018-01-15 16:53","No"
"2018-01-15 17:00","No"
"2018-01-15 17:15","No"
"2018-01-15 17:20","No"
"2018-01-15 17:35","No"
"2018-01-15 17:40","No"
"2018-01-15 18:00","No"
"2018-01-15 18:12","No"
"2018-01-15 18:20","No"
"2018-01-15 18:30","No"
"2018-01-15 18:40","No"
"2018-01-15 18:50","No"
"2018-01-15 19:00","No"
"2018-01-15 19:11","No"
"2018-01-15 19:20","No"
"2018-01-15 19:32","No"
"2018-01-15 19:40","No"
"2018-01-15 19:53","No"
"2018-01-15 20:00","No"
"2018-01-15 20:18","No"
"2018-01-15 20:20","No"
"2018-01-15 20:36","No"
"2018-01-15 20:40","No"
"2018-01-15 20:54","Error"
"2018-01-16 09:20","No"
"2018-01-16 09:40","No"
"2018-01-16 09:59","No"
"2018-01-16 10:00","No"
"2018-01-16 10:11","No"
"2018-01-16 10:20","No"
"2018-01-16 10:30","No"
"2018-01-16 10:40","No"
"2018-01-16 10:50","No"
"2018-01-16 11:00","No"
"2018-01-16 11:11","No"
"2018-01-16 11:20","No"
"2018-01-16 11:31","No"
"2018-01-16 11:40","No"
"2018-01-16 11:51","Yes"
"2018-01-16 12:00","No"
"2018-01-16 12:12","No"
"2018-01-16 12:20","No"
"2018-01-16 12:35","No"
"2018-01-16 12:40","No"
"2018-01-16 12:53","No"
"2018-01-16 13:00","No"
"2018-01-16 13:20","No"
"2018-01-16 13:35","No"
"2018-01-16 13:40","Yes"
"2018-01-16 13:54","Yes"
"2018-01-16 14:00","Yes"
"2018-01-16 14:17","Yes"
"2018-01-16 14:20","Yes"
"2018-01-16 14:34","Yes"
"2018-01-16 14:40","Yes"
"2018-01-16 14:51","Yes"
"2018-01-16 15:00","No"
"2018-01-16 15:15","No"
"2018-01-16 15:20","No"
"2018-01-16 15:39","No"
"2018-01-16 15:40","No"
"2018-01-16 15:53","No"
