"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2018-01-04 13:20","2","N",""
"2018-01-06 13:10","6","WSW",""
"2018-01-06 13:20","7","NW","19"
"2018-01-06 13:30","7","NW","21"
"2018-01-06 13:40","6","NW","17"
"2018-01-11 09:30","8","S",""
"2018-01-11 09:40","4","SSW",""
"2018-01-11 09:50","6","S","18"
"2018-01-11 10:00","10","SW","21"
"2018-01-11 10:10","6","SW","15"
"2018-01-11 10:20","6","SSW","17"
"2018-01-11 10:30","6","SSW","14"
"2018-01-11 10:40","5","SSE","22"
"2018-01-11 10:50","7","SSW","17"
"2018-01-11 11:00","12","SW","23"
"2018-01-11 11:10","12","SSW","18"
"2018-01-11 11:20","8","SW","21"
"2018-01-11 11:30","7","SSW","19"
"2018-01-11 11:40","12","S","22"
"2018-01-11 11:50","6","SSW","27"
"2018-01-11 12:00","8","S","19"
"2018-01-11 12:10","7","SW","20"
"2018-01-11 12:20","6","S","23"
"2018-01-11 12:30","12","SSW","26"
"2018-01-11 12:41","15","SW","22"
"2018-01-11 12:50","9","S","26"
"2018-01-11 13:00","10","S","27"
"2018-01-11 13:10","11","SW","25"
"2018-01-11 13:20","13","SSW","24"
"2018-01-11 13:30","11","SSW","22"
"2018-01-11 13:40","9","S","26"
"2018-01-11 13:50","10","SW","23"
"2018-01-11 14:00","11","SW","21"
"2018-01-11 14:10","9","SW","21"
"2018-01-11 14:20","12","S","22"
"2018-01-11 14:30","12","SW","22"
"2018-01-11 14:40","14","SW","27"
"2018-01-11 14:50","7","SSW","26"
"2018-01-11 15:00","9","S","27"
"2018-01-11 15:10","11","S","28"
"2018-01-11 15:20","10","SSW","23"
"2018-01-11 15:30","9","SW","23"
"2018-01-11 15:40","9","S","23"
"2018-01-12 11:00","9","NW",""
"2018-01-12 11:10","9","NW","17"
"2018-01-12 11:20","9","WNW",""
"2018-01-12 11:40","5","NW",""
"2018-01-12 11:50","6","W","19"
"2018-01-12 12:00","8","WNW","17"
"2018-01-12 12:10","4","N","19"
"2018-01-12 12:20","6","WSW","19"
"2018-01-12 12:30","11","WNW","18"
"2018-01-12 12:40","8","WNW","16"
"2018-01-12 12:50","8","WNW","19"
"2018-01-12 13:00","10","N","23"
"2018-01-12 13:10","8","NNW","23"
"2018-01-12 13:20","6","N","16"
"2018-01-12 13:30","14","NW","24"
"2018-01-12 13:40","8","WSW","21"
"2018-01-12 13:50","8","NNW","24"
"2018-01-12 14:00","9","N","21"
"2018-01-12 14:10","9","NW","19"
"2018-01-12 14:20","9","N","23"
"2018-01-12 14:30","6","NW","21"
"2018-01-12 14:40","5","N","18"
"2018-01-12 14:50","8","NW","19"
"2018-01-12 15:00","5","WSW","19"
"2018-01-12 15:10","8","WNW","18"
"2018-01-12 15:20","6","NW","16"
"2018-01-12 15:30","9","WNW","14"
"2018-01-12 15:40","6","WSW","16"
"2018-01-12 15:50","8","NW","18"
"2018-01-12 16:00","9","NW","19"
"2018-01-12 16:10","3","WNW","15"
"2018-01-12 16:20","5","WNW","15"
"2018-01-12 16:30","5","WNW","12"
"2018-01-13 10:20","1","SE",""
"2018-01-13 10:30","3","W","7"
"2018-01-13 10:40","2","SW","8"
"2018-01-13 10:50","5","NW","8"
"2018-01-13 11:00","3","NNW","7"
"2018-01-13 11:10","0","N","5"
"2018-01-13 11:20","7","WSW","11"
"2018-01-13 11:30","6","WSW","10"
"2018-01-13 11:40","8","WNW","13"
"2018-01-13 11:50","6","WSW","13"
"2018-01-13 12:00","9","W","19"
"2018-01-13 12:10","6","SW","16"
"2018-01-13 12:20","3","NW","12"
"2018-01-13 12:30","8","WNW","14"
"2018-01-13 12:40","5","SW","13"
"2018-01-13 12:50","5","WSW","14"
"2018-01-13 13:00","2","W","14"
"2018-01-13 13:10","8","SW","14"
"2018-01-13 13:20","7","NNW","13"
"2018-01-13 13:30","9","SW","18"
"2018-01-13 13:40","0","SE","10"
"2018-01-13 13:50","6","W","16"
"2018-01-13 14:00","3","NNW","10"
"2018-01-13 14:10","4","NNW","11"
"2018-01-13 14:20","8","WSW","14"
"2018-01-13 14:30","6","W","12"
"2018-01-13 14:40","4","N","8"
"2018-01-13 14:50","4","NW","8"
"2018-01-13 15:00","5","WSW","9"
"2018-01-13 15:10","9","W","13"
"2018-01-13 15:20","4","WSW","11"
"2018-01-13 15:30","3","WNW","8"
"2018-01-13 15:40","1","N","3"
"2018-01-13 15:50","5","NW","7"
"2018-01-13 16:00","2","NNW","6"
"2018-01-13 16:10","1","NNW","4"
"2018-01-13 16:20","1","NNE","4"
"2018-01-13 16:30","1","SW","3"
"2018-01-13 16:40","0","SSW","3"
"2018-01-13 16:50","0","SSW","0"
"2018-01-13 17:00","0","SSW","0"
"2018-01-13 17:10","0","SSW","0"
"2018-01-13 17:20","0","SW","2"
"2018-01-13 17:30","0","SW","1"
"2018-01-13 17:40","0","SW","0"
"2018-01-13 17:50","0","SW","0"
"2018-01-13 18:00","0","SW","2"
"2018-01-13 18:10","0","SW","0"
"2018-01-13 18:20","0","SW","1"
"2018-01-13 18:30","0","SW","2"
"2018-01-13 18:40","0","SW","0"
"2018-01-13 18:50","1","SW","2"
"2018-01-13 19:00","0","SW","0"
"2018-01-13 19:10","0","SW","0"
"2018-01-13 19:20","0","SW","0"
"2018-01-13 19:30","0","SW","0"
"2018-01-13 19:40","0","SW","2"
"2018-01-13 19:50","0","SW","0"
"2018-01-13 20:00","0","SW","0"
"2018-01-13 20:10","0","SW","2"
"2018-01-13 20:20","0","SW","0"
"2018-01-13 20:30","2","WSW","3"
"2018-01-13 20:40","0","SW","3"
"2018-01-13 20:50","0","S","1"
"2018-01-13 21:00","0","S","0"
"2018-01-13 21:10","0","S","0"
"2018-01-13 21:20","0","S","0"
"2018-01-14 09:50","2","W","5"
"2018-01-14 10:00","4","W","7"
"2018-01-14 10:11","5","W","9"
"2018-01-14 10:20","4","W","10"
"2018-01-14 10:30","6","WSW","9"
"2018-01-14 10:40","5","WNW","9"
"2018-01-14 10:50","6","W","9"
"2018-01-14 11:00","6","SW","9"
"2018-01-14 11:10","5","WSW","11"
"2018-01-14 11:20","5","WSW","12"
"2018-01-14 11:30","8","SW","15"
"2018-01-14 11:40","6","SW","13"
"2018-01-14 11:50","6","SSW","10"
