"Time EST","Pressure (kPa)"
"2018-03-01 00:00","103.36"
"2018-03-01 00:10","103.36"
"2018-03-01 00:20","103.37"
"2018-03-01 00:30","103.37"
"2018-03-01 00:40","103.38"
"2018-03-01 00:50","103.37"
"2018-03-01 01:00","103.38"
"2018-03-01 01:10","103.38"
"2018-03-01 01:20","103.39"
"2018-03-01 01:30","103.40"
"2018-03-01 01:40","103.40"
"2018-03-01 01:50","103.40"
"2018-03-01 02:00","103.41"
"2018-03-01 02:10","103.41"
"2018-03-01 02:20","103.41"
"2018-03-01 02:30","103.42"
"2018-03-01 02:40","103.41"
"2018-03-01 02:50","103.41"
"2018-03-01 03:00","103.41"
"2018-03-01 03:10","103.42"
"2018-03-01 03:20","103.42"
"2018-03-01 03:30","103.42"
"2018-03-01 03:40","103.42"
"2018-03-01 03:50","103.43"
"2018-03-01 04:00","103.43"
"2018-03-01 04:10","103.43"
"2018-03-01 04:20","103.44"
"2018-03-01 04:30","103.44"
"2018-03-01 04:40","103.44"
"2018-03-01 04:50","103.45"
"2018-03-01 05:00","103.45"
"2018-03-01 05:10","103.45"
"2018-03-01 05:20","103.45"
"2018-03-01 05:30","103.45"
"2018-03-01 05:40","103.46"
"2018-03-01 05:50","103.46"
"2018-03-01 06:00","103.46"
"2018-03-01 06:10","103.47"
"2018-03-01 06:20","103.47"
"2018-03-01 06:30","103.48"
"2018-03-01 06:40","103.48"
"2018-03-01 06:50","103.47"
"2018-03-01 07:00","103.47"
"2018-03-01 07:10","103.47"
"2018-03-01 07:20","103.48"
"2018-03-01 07:30","103.48"
"2018-03-01 08:30","103.51"
"2018-03-01 08:40","103.51"
"2018-03-01 08:50","103.51"
"2018-03-01 09:00","103.51"
"2018-03-01 09:10","103.52"
"2018-03-01 09:20","103.53"
"2018-03-01 09:30","103.53"
"2018-03-01 09:40","103.55"
"2018-03-01 09:50","103.56"
"2018-03-01 10:00","103.56"
"2018-03-01 10:10","103.56"
"2018-03-01 10:20","103.57"
"2018-03-01 10:30","103.58"
"2018-03-01 10:40","103.57"
"2018-03-01 10:50","103.57"
"2018-03-01 11:00","103.57"
"2018-03-01 11:10","103.57"
"2018-03-01 11:20","103.56"
"2018-03-01 11:30","103.55"
"2018-03-01 11:40","103.54"
"2018-03-01 11:50","103.55"
"2018-03-01 12:00","103.53"
"2018-03-01 12:10","103.52"
"2018-03-01 12:20","103.51"
"2018-03-01 12:30","103.52"
"2018-03-01 12:40","103.51"
"2018-03-01 12:50","103.50"
"2018-03-01 13:00","103.49"
"2018-03-01 13:10","103.49"
"2018-03-01 13:20","103.48"
"2018-03-01 13:30","103.47"
"2018-03-01 13:40","103.47"
"2018-03-01 13:50","103.47"
"2018-03-01 14:00","103.47"
"2018-03-01 14:10","103.48"
"2018-03-01 14:20","103.48"
"2018-03-01 14:30","103.48"
"2018-03-01 14:40","103.47"
"2018-03-01 14:50","103.48"
"2018-03-01 15:00","103.49"
"2018-03-01 15:10","103.49"
"2018-03-01 15:20","103.47"
"2018-03-01 15:30","103.46"
"2018-03-01 15:40","103.45"
"2018-03-01 15:50","103.45"
"2018-03-01 16:00","103.45"
"2018-03-01 16:10","103.45"
"2018-03-01 16:20","103.44"
"2018-03-01 16:30","103.45"
"2018-03-01 16:40","103.46"
"2018-03-01 16:50","103.45"
"2018-03-01 17:00","103.46"
"2018-03-01 17:10","103.46"
"2018-03-01 17:20","103.47"
"2018-03-01 17:30","103.47"
"2018-03-01 17:40","103.47"
"2018-03-01 17:50","103.46"
"2018-03-01 18:00","103.46"
"2018-03-01 18:10","103.46"
"2018-03-01 18:20","103.47"
"2018-03-01 18:30","103.48"
"2018-03-01 18:40","103.48"
"2018-03-01 18:50","103.46"
"2018-03-01 19:00","103.46"
"2018-03-01 19:10","103.46"
"2018-03-01 19:20","103.47"
"2018-03-01 19:30","103.48"
"2018-03-01 19:40","103.47"
"2018-03-01 19:50","103.48"
"2018-03-01 20:00","103.48"
"2018-03-01 20:10","103.47"
"2018-03-01 20:20","103.47"
"2018-03-01 20:30","103.48"
"2018-03-01 20:40","103.47"
"2018-03-01 20:50","103.49"
"2018-03-01 21:00","103.49"
"2018-03-01 21:10","103.50"
"2018-03-01 21:20","103.50"
"2018-03-01 21:30","103.50"
"2018-03-01 21:40","103.50"
"2018-03-01 21:50","103.52"
"2018-03-01 22:00","103.52"
"2018-03-01 22:10","103.53"
"2018-03-01 22:20","103.53"
"2018-03-01 22:30","103.54"
"2018-03-01 22:40","103.54"
"2018-03-01 22:50","103.54"
"2018-03-01 23:00","103.54"
"2018-03-01 23:10","103.55"
"2018-03-01 23:20","103.55"
"2018-03-01 23:30","103.55"
"2018-03-01 23:40","103.56"
"2018-03-01 23:50","103.56"
"2018-03-02 00:00","103.57"
"2018-03-02 00:10","103.57"
"2018-03-02 00:20","103.57"
"2018-03-02 00:30","103.57"
"2018-03-02 00:40","103.57"
"2018-03-02 00:50","103.57"
"2018-03-02 01:00","103.57"
"2018-03-02 01:10","103.57"
"2018-03-02 01:20","103.58"
"2018-03-02 01:30","103.58"
"2018-03-02 01:40","103.58"
"2018-03-02 01:50","103.59"
"2018-03-02 02:00","103.59"
"2018-03-02 02:10","103.59"
"2018-03-02 02:20","103.60"
"2018-03-02 02:30","103.59"
"2018-03-02 02:40","103.59"
"2018-03-02 02:50","103.59"
"2018-03-02 03:00","103.59"
"2018-03-02 03:10","103.60"
"2018-03-02 03:20","103.61"
"2018-03-02 03:30","103.60"
"2018-03-02 03:40","103.61"
"2018-03-02 03:50","103.61"
"2018-03-02 04:00","103.61"
"2018-03-02 04:10","103.62"
"2018-03-02 04:20","103.62"
"2018-03-02 04:30","103.62"
"2018-03-02 04:40","103.63"
"2018-03-02 04:50","103.62"
"2018-03-02 05:00","103.63"
"2018-03-02 05:10","103.63"
"2018-03-02 05:20","103.64"
"2018-03-02 05:30","103.65"
"2018-03-02 05:40","103.67"
"2018-03-02 05:50","103.67"
"2018-03-02 06:00","103.68"
"2018-03-02 06:10","103.69"
"2018-03-02 06:20","103.71"
"2018-03-02 06:30","103.71"
"2018-03-02 06:40","103.72"
"2018-03-02 06:50","103.73"
"2018-03-02 07:00","103.74"
"2018-03-02 07:10","103.74"
"2018-03-02 07:20","103.75"
"2018-03-02 07:30","103.75"
"2018-03-02 07:40","103.75"
"2018-03-02 07:50","103.76"
"2018-03-02 08:00","103.76"
"2018-03-02 08:10","103.77"
"2018-03-02 08:20","103.77"
"2018-03-02 08:30","103.77"
"2018-03-02 08:40","103.78"
"2018-03-02 08:50","103.77"
"2018-03-02 09:00","103.77"
"2018-03-02 09:10","103.77"
"2018-03-02 09:20","103.77"
"2018-03-02 09:30","103.76"
"2018-03-02 09:40","103.77"
"2018-03-02 09:50","103.76"
"2018-03-02 10:00","103.77"
"2018-03-02 10:10","103.77"
"2018-03-02 10:20","103.77"
"2018-03-02 10:30","103.77"
"2018-03-02 10:40","103.76"
"2018-03-02 10:50","103.77"
"2018-03-02 11:00","103.77"
"2018-03-02 11:10","103.78"
"2018-03-02 11:20","103.77"
"2018-03-02 11:30","103.78"
"2018-03-02 11:40","103.79"
"2018-03-02 11:50","103.78"
"2018-03-02 12:00","103.78"
"2018-03-02 12:10","103.78"
"2018-03-02 12:20","103.78"
"2018-03-02 12:30","103.78"
"2018-03-02 12:40","103.78"
"2018-03-02 12:50","103.78"
"2018-03-02 13:00","103.79"
"2018-03-02 13:10","103.79"
"2018-03-02 13:20","103.79"
"2018-03-02 13:30","103.80"
"2018-03-02 13:40","103.80"
"2018-03-02 13:50","103.80"
"2018-03-02 14:00","103.80"
"2018-03-02 14:10","103.80"
"2018-03-02 14:20","103.80"
"2018-03-02 14:30","103.80"
"2018-03-02 14:40","103.81"
"2018-03-02 14:50","103.81"
"2018-03-02 15:00","103.82"
"2018-03-02 15:10","103.82"
"2018-03-02 15:20","103.83"
"2018-03-02 15:30","103.83"
