"Time EST","Air Temp (°C)"
"2017-11-01 00:00","-7.6"
"2017-11-01 00:10","-7.7"
"2017-11-01 00:20","-7.8"
"2017-11-01 00:30","-8.1"
"2017-11-01 00:40","-7.9"
"2017-11-01 00:50","-8.3"
"2017-11-01 01:00","-8.4"
"2017-11-01 01:10","-8.5"
"2017-11-01 01:20","-8.5"
"2017-11-01 01:30","-8.4"
"2017-11-01 01:40","-8.6"
"2017-11-01 01:50","-8.5"
"2017-11-01 02:00","-8.5"
"2017-11-01 02:10","-9.0"
"2017-11-01 02:20","-8.8"
"2017-11-01 02:30","-8.9"
"2017-11-01 02:40","-8.7"
"2017-11-01 02:50","-8.9"
"2017-11-01 03:00","-8.7"
"2017-11-01 03:10","-8.7"
"2017-11-01 03:20","-8.7"
"2017-11-01 03:30","-8.6"
"2017-11-01 03:40","-8.6"
"2017-11-01 03:50","-8.5"
"2017-11-01 04:00","-8.6"
"2017-11-01 04:10","-8.6"
"2017-11-01 04:20","-8.6"
"2017-11-01 04:30","-8.4"
"2017-11-01 04:40","-8.5"
"2017-11-01 04:50","-8.5"
"2017-11-01 05:00","-8.6"
"2017-11-01 05:10","-8.5"
"2017-11-01 05:20","-8.5"
"2017-11-01 05:30","-8.6"
"2017-11-01 05:40","-8.6"
"2017-11-01 05:50","-8.7"
"2017-11-01 06:00","-8.7"
"2017-11-01 06:10","-8.7"
"2017-11-01 06:20","-8.6"
"2017-11-01 06:30","-8.7"
"2017-11-01 06:40","-8.7"
"2017-11-01 06:50","-8.7"
"2017-11-01 07:00","-8.8"
"2017-11-01 07:10","-8.3"
"2017-11-01 07:20","-8.0"
"2017-11-01 07:30","-7.4"
"2017-11-01 07:40","-7.1"
"2017-11-01 07:50","-6.5"
"2017-11-01 08:00","-6.3"
"2017-11-01 08:10","-5.7"
"2017-11-01 08:20","-5.5"
"2017-11-01 08:30","-5.1"
"2017-11-01 08:40","-4.9"
"2017-11-01 08:50","-4.7"
"2017-11-01 09:00","-4.5"
"2017-11-01 09:10","-3.9"
"2017-11-01 09:20","-3.7"
"2017-11-01 09:30","-3.3"
"2017-11-01 09:40","-3.3"
"2017-11-01 09:50","-3.0"
"2017-11-01 10:00","-3.0"
"2017-11-01 10:10","-2.7"
"2017-11-01 10:20","-2.4"
"2017-11-01 10:30","-2.0"
"2017-11-01 10:40","-1.9"
"2017-11-01 10:50","-1.7"
"2017-11-01 11:00","-1.6"
"2017-11-01 11:10","-1.4"
"2017-11-01 11:20","-1.3"
"2017-11-01 11:30","-0.9"
"2017-11-01 11:40","-0.7"
"2017-11-01 11:50","-0.4"
"2017-11-01 12:00","-0.4"
"2017-11-01 12:10","0.2"
"2017-11-01 12:20","0.8"
"2017-11-01 12:30","1.2"
"2017-11-01 12:40","1.3"
"2017-11-01 12:50","1.5"
"2017-11-01 13:00","1.6"
"2017-11-01 13:10","1.7"
"2017-11-01 13:20","1.8"
"2017-11-01 13:30","2.2"
"2017-11-01 13:40","3.0"
"2017-11-01 13:50","2.5"
"2017-11-01 14:00","2.4"
"2017-11-01 14:10","2.3"
"2017-11-01 14:20","2.5"
"2017-11-01 14:30","2.8"
"2017-11-01 14:40","2.5"
"2017-11-01 14:50","2.5"
"2017-11-01 15:00","2.5"
"2017-11-01 15:10","2.5"
"2017-11-01 15:20","2.6"
"2017-11-01 15:30","2.8"
"2017-11-01 15:40","2.8"
"2017-11-01 15:50","2.5"
"2017-11-01 16:00","2.5"
"2017-11-01 16:10","2.2"
"2017-11-01 16:20","2.1"
"2017-11-01 16:30","2.7"
"2017-11-01 16:40","2.7"
"2017-11-01 16:50","2.3"
"2017-11-01 17:00","2.3"
"2017-11-01 17:10","2.1"
"2017-11-01 17:20","2.0"
"2017-11-01 17:30","1.8"
"2017-11-01 17:40","1.8"
"2017-11-01 17:50","1.7"
"2017-11-01 18:00","1.8"
"2017-11-01 18:10","0.6"
"2017-11-01 18:20","0.5"
"2017-11-01 18:30","0.2"
"2017-11-01 18:40","0.4"
"2017-11-01 18:50","0.4"
"2017-11-01 19:00","0.6"
"2017-11-01 19:10","0.4"
"2017-11-01 19:20","0.4"
"2017-11-01 19:30","0.5"
"2017-11-01 19:40","0.5"
"2017-11-01 19:50","0.5"
"2017-11-01 20:00","0.4"
"2017-11-01 20:10","0.5"
"2017-11-01 20:20","0.5"
"2017-11-01 20:30","0.4"
"2017-11-01 20:40","0.3"
"2017-11-01 20:50","0.5"
"2017-11-01 21:00","0.6"
"2017-11-01 21:10","0.5"
"2017-11-01 21:20","0.5"
"2017-11-01 21:30","0.5"
"2017-11-01 21:40","0.5"
"2017-11-01 21:50","0.5"
"2017-11-01 22:00","0.4"
"2017-11-01 22:10","0.5"
"2017-11-01 22:20","0.5"
"2017-11-01 22:30","0.7"
"2017-11-01 22:40","0.8"
"2017-11-01 22:50","0.8"
"2017-11-01 23:00","0.8"
"2017-11-01 23:10","0.9"
"2017-11-01 23:20","0.8"
"2017-11-01 23:30","0.8"
"2017-11-01 23:40","0.8"
"2017-11-01 23:50","0.9"
"2017-11-02 00:00","1.0"
"2017-11-02 00:10","0.8"
"2017-11-02 00:20","0.9"
"2017-11-02 00:30","0.8"
"2017-11-02 00:40","0.8"
"2017-11-02 00:50","0.7"
"2017-11-02 01:00","0.7"
"2017-11-02 01:10","0.7"
"2017-11-02 01:20","0.9"
"2017-11-02 01:30","0.9"
"2017-11-02 01:40","0.9"
"2017-11-02 01:50","0.9"
"2017-11-02 02:00","0.8"
"2017-11-02 02:10","0.9"
"2017-11-02 02:20","0.8"
"2017-11-02 02:30","0.8"
"2017-11-02 02:40","0.8"
"2017-11-02 02:50","0.9"
"2017-11-02 03:00","0.9"
"2017-11-02 03:10","0.8"
"2017-11-02 03:20","0.8"
"2017-11-02 03:30","0.8"
"2017-11-02 03:40","0.9"
"2017-11-02 03:50","1.0"
"2017-11-02 04:00","0.9"
"2017-11-02 04:10","0.9"
"2017-11-02 04:20","0.8"
"2017-11-02 04:30","0.8"
"2017-11-02 04:40","0.9"
"2017-11-02 04:50","0.7"
"2017-11-02 05:00","0.5"
"2017-11-02 05:10","0.3"
"2017-11-02 05:20","0.4"
"2017-11-02 05:30","0.6"
"2017-11-02 05:40","0.7"
"2017-11-02 05:50","0.7"
"2017-11-02 06:00","0.8"
"2017-11-02 06:10","0.8"
"2017-11-02 06:20","0.8"
"2017-11-02 06:30","0.8"
"2017-11-02 06:40","0.9"
"2017-11-02 06:50","0.9"
"2017-11-02 07:00","0.9"
"2017-11-02 07:10","1.0"
"2017-11-02 07:20","1.1"
"2017-11-02 07:30","1.2"
"2017-11-02 07:40","1.1"
"2017-11-02 07:50","1.2"
"2017-11-02 08:00","1.2"
"2017-11-02 08:10","1.2"
"2017-11-02 08:20","1.2"
"2017-11-02 08:30","1.3"
"2017-11-02 08:40","1.4"
"2017-11-02 08:50","1.4"
"2017-11-02 09:00","1.4"
"2017-11-02 09:10","1.5"
"2017-11-02 09:20","1.6"
"2017-11-02 09:30","1.7"
"2017-11-02 09:40","1.7"
"2017-11-02 09:50","1.8"
"2017-11-02 10:00","1.8"
"2017-11-02 10:10","1.9"
"2017-11-02 10:20","2.0"
"2017-11-02 10:30","2.2"
"2017-11-02 10:40","2.4"
"2017-11-02 10:50","2.4"
"2017-11-02 11:00","2.6"
"2017-11-02 11:10","2.6"
"2017-11-02 11:20","2.7"
"2017-11-02 11:30","2.7"
"2017-11-02 11:40","2.6"
"2017-11-02 11:50","2.7"
"2017-11-02 12:00","2.6"
"2017-11-02 12:10","2.7"
"2017-11-02 12:20","2.8"
"2017-11-02 12:30","2.8"
"2017-11-02 12:40","2.8"
"2017-11-02 12:50","2.8"
"2017-11-02 13:00","2.8"
"2017-11-02 13:10","2.8"
"2017-11-02 13:20","2.9"
"2017-11-02 13:30","2.8"
"2017-11-02 13:40","2.8"
"2017-11-02 13:50","2.9"
"2017-11-02 14:00","3.0"
"2017-11-02 14:10","3.0"
"2017-11-02 14:20","3.0"
"2017-11-02 14:30","3.0"
"2017-11-02 14:40","3.0"
"2017-11-02 14:50","3.0"
"2017-11-02 15:00","3.0"
"2017-11-02 15:10","3.0"
"2017-11-02 15:20","2.9"
"2017-11-02 15:30","2.9"
"2017-11-02 15:40","2.9"
"2017-11-02 15:50","2.9"
"2017-11-02 16:00","2.9"
"2017-11-02 16:10","2.9"
"2017-11-02 16:20","2.9"
"2017-11-02 16:30","2.9"
"2017-11-02 16:40","2.9"
"2017-11-02 16:50","2.8"
"2017-11-02 17:00","2.8"
"2017-11-02 17:10","2.9"
"2017-11-02 17:20","2.9"
"2017-11-02 17:30","2.7"
"2017-11-02 17:40","2.7"
"2017-11-02 17:50","2.7"
"2017-11-02 18:00","2.6"
"2017-11-02 18:10","2.6"
"2017-11-02 18:20","2.5"
"2017-11-02 18:30","2.5"
"2017-11-02 18:40","2.5"
"2017-11-02 18:50","2.3"
"2017-11-02 19:00","2.3"
"2017-11-02 19:10","2.2"
"2017-11-02 19:20","2.2"
"2017-11-02 19:30","2.0"
"2017-11-02 19:40","2.0"
"2017-11-02 19:50","1.9"
"2017-11-02 20:00","1.9"
"2017-11-02 20:10","1.7"
"2017-11-02 20:20","1.7"
"2017-11-02 20:30","1.8"
"2017-11-02 20:40","1.7"
"2017-11-02 20:50","1.7"
"2017-11-02 21:00","1.6"
"2017-11-02 21:10","1.6"
"2017-11-02 21:20","1.5"
"2017-11-02 21:30","1.5"
