"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2017-11-01 00:00","0","SSW","0"
"2017-11-01 00:10","0","S","0"
"2017-11-01 00:20","0","S","0"
"2017-11-01 00:30","1","SW","1"
"2017-11-01 00:40","2","SW","3"
"2017-11-01 00:50","2","SSW","3"
"2017-11-01 01:00","2","SW","3"
"2017-11-01 01:10","0","S","3"
"2017-11-01 01:20","0","S","1"
"2017-11-01 01:30","1","S","2"
"2017-11-01 01:40","0","S","2"
"2017-11-01 01:50","0","S","1"
"2017-11-01 02:00","0","SSE","1"
"2017-11-01 02:10","0","S","0"
"2017-11-01 02:20","0","SSW","1"
"2017-11-01 02:30","0","SSW","0"
"2017-11-01 02:40","0","SW","2"
"2017-11-01 02:50","0","S","1"
"2017-11-01 03:00","0","SSW","1"
"2017-11-01 03:10","0","S","0"
"2017-11-01 03:20","0","SSE","0"
"2017-11-01 03:30","0","SE","0"
"2017-11-01 03:40","0","SE","0"
"2017-11-01 03:50","0","SE","0"
"2017-11-01 04:00","0","SE","0"
"2017-11-01 04:10","0","SE","0"
"2017-11-01 04:20","0","SE","0"
"2017-11-01 04:30","1","ESE","1"
"2017-11-01 04:40","0","E","1"
"2017-11-01 04:50","0","E","0"
"2017-11-01 05:00","0","ESE","0"
"2017-11-01 05:10","0","SE","0"
"2017-11-01 05:20","0","E","3"
"2017-11-01 05:30","0","S","1"
"2017-11-01 05:40","0","S","1"
"2017-11-01 05:50","0","SSE","1"
"2017-11-01 06:00","0","SE","1"
"2017-11-01 06:10","0","SE","1"
"2017-11-01 06:20","0","SE","1"
"2017-11-01 06:30","0","ESE","2"
"2017-11-01 06:40","0","SE","2"
"2017-11-01 06:50","1","E","3"
"2017-11-01 07:00","1","NNE","3"
"2017-11-01 07:10","1","N","4"
"2017-11-01 07:20","1","NE","3"
"2017-11-01 07:30","2","N","4"
"2017-11-01 07:40","3","NNE","4"
"2017-11-01 07:50","1","E","4"
"2017-11-01 08:00","2","ENE","4"
"2017-11-01 08:10","1","NE","4"
"2017-11-01 08:20","1","N","5"
"2017-11-01 08:30","1","N","3"
"2017-11-01 08:40","1","ENE","4"
"2017-11-01 08:50","3","E","5"
"2017-11-01 09:00","4","E","6"
"2017-11-01 09:10","2","NNE","10"
"2017-11-01 09:20","4","E","6"
"2017-11-01 09:30","2","NE","10"
"2017-11-01 09:40","4","E","6"
"2017-11-01 09:50","2","NNE","6"
"2017-11-01 10:00","2","NNE","8"
"2017-11-01 10:10","2","NE","6"
"2017-11-01 10:20","2","ESE","6"
"2017-11-01 10:30","6","E","10"
"2017-11-01 10:40","5","E","9"
"2017-11-01 10:50","3","ENE","9"
"2017-11-01 11:00","3","E","6"
"2017-11-01 11:10","4","ENE","9"
"2017-11-01 11:20","3","NNE","9"
"2017-11-01 11:30","3","NE","7"
"2017-11-01 11:40","3","NNE","10"
"2017-11-01 11:50","3","NE","10"
"2017-11-01 12:00","6","ESE","10"
"2017-11-01 12:10","4","E","13"
"2017-11-01 12:20","3","E","12"
"2017-11-01 12:30","6","E","12"
"2017-11-01 12:40","6","ESE","12"
"2017-11-01 12:50","3","ESE","10"
"2017-11-01 13:00","3","ENE","9"
"2017-11-01 13:10","3","S","15"
"2017-11-01 13:20","6","SSE","14"
"2017-11-01 13:30","2","SSE","9"
"2017-11-01 13:40","6","SSE","11"
"2017-11-01 13:50","7","SW","19"
"2017-11-01 14:00","4","SSE","19"
"2017-11-01 14:10","9","SSW","13"
"2017-11-01 14:20","4","S","13"
"2017-11-01 14:30","2","E","6"
"2017-11-01 14:40","7","S","16"
"2017-11-01 14:50","1","NNE","7"
"2017-11-01 15:00","2","SSE","9"
"2017-11-01 15:10","4","E","9"
"2017-11-01 15:20","1","ESE","8"
"2017-11-01 15:30","1","ENE","6"
"2017-11-01 15:40","1","E","5"
"2017-11-01 15:50","1","ESE","4"
"2017-11-01 16:00","1","ENE","4"
"2017-11-01 16:10","0","E","8"
"2017-11-01 16:20","1","WSW","6"
"2017-11-01 16:30","2","WSW","7"
"2017-11-01 16:40","6","S","9"
"2017-11-01 16:50","5","ESE","8"
"2017-11-01 17:00","5","SSE","8"
"2017-11-01 17:10","2","SE","7"
"2017-11-01 17:20","1","SE","8"
"2017-11-01 17:30","1","SE","7"
"2017-11-01 17:40","4","S","8"
"2017-11-01 17:50","6","SSE","11"
"2017-11-01 18:00","1","SW","11"
"2017-11-01 18:10","2","NE","3"
"2017-11-01 18:20","3","ENE","7"
"2017-11-01 18:30","3","NNE","10"
"2017-11-01 18:40","4","NE","10"
"2017-11-01 18:50","5","ENE","8"
"2017-11-01 19:00","2","NE","9"
"2017-11-01 19:10","4","NNE","7"
"2017-11-01 19:20","3","NE","7"
"2017-11-01 19:30","3","NE","8"
"2017-11-01 19:40","3","NE","8"
"2017-11-01 19:50","2","NE","5"
"2017-11-01 20:00","3","N","6"
"2017-11-01 20:10","3","N","7"
"2017-11-01 20:20","3","NNE","5"
"2017-11-01 20:30","3","NNE","6"
"2017-11-01 20:40","2","N","5"
"2017-11-01 20:50","3","NNE","9"
"2017-11-01 21:00","3","NE","6"
"2017-11-01 21:10","2","NE","5"
"2017-11-01 21:20","3","NE","6"
"2017-11-01 21:30","1","S","6"
"2017-11-01 21:40","4","NNE","8"
"2017-11-01 21:50","2","NE","6"
"2017-11-01 22:00","3","NE","7"
"2017-11-01 22:10","1","N","6"
"2017-11-01 22:20","3","ENE","6"
"2017-11-01 22:30","6","E","10"
"2017-11-01 22:40","6","ENE","11"
"2017-11-01 22:50","6","E","10"
"2017-11-01 23:00","6","E","10"
"2017-11-01 23:10","3","ENE","8"
"2017-11-01 23:20","4","E","7"
"2017-11-01 23:30","5","E","8"
"2017-11-01 23:40","4","E","8"
"2017-11-01 23:50","3","E","7"
"2017-11-02 00:00","5","E","10"
"2017-11-02 00:10","3","NNE","8"
"2017-11-02 00:20","4","E","7"
"2017-11-02 00:30","4","NE","6"
"2017-11-02 00:40","4","E","7"
"2017-11-02 00:50","3","E","9"
"2017-11-02 01:00","3","ENE","5"
"2017-11-02 01:10","5","ENE","6"
"2017-11-02 01:20","5","E","8"
"2017-11-02 01:30","5","E","11"
"2017-11-02 01:40","5","E","9"
"2017-11-02 01:50","4","ENE","9"
"2017-11-02 02:00","6","ENE","9"
"2017-11-02 02:10","6","E","11"
"2017-11-02 02:20","6","E","9"
"2017-11-02 02:30","5","E","8"
"2017-11-02 02:40","6","E","9"
"2017-11-02 02:50","7","E","11"
"2017-11-02 03:00","6","E","11"
"2017-11-02 03:10","4","E","9"
"2017-11-02 03:20","5","E","9"
"2017-11-02 03:30","2","ENE","5"
"2017-11-02 03:40","0","SE","5"
"2017-11-02 03:50","4","NE","8"
"2017-11-02 04:00","3","NE","8"
"2017-11-02 04:10","4","N","9"
"2017-11-02 04:20","2","N","9"
"2017-11-02 04:30","2","NNE","7"
"2017-11-02 04:40","3","NE","8"
"2017-11-02 04:50","0","WNW","4"
"2017-11-02 05:00","2","N","4"
"2017-11-02 05:10","0","N","3"
"2017-11-02 05:20","1","E","5"
"2017-11-02 05:30","1","E","5"
"2017-11-02 05:40","1","E","5"
"2017-11-02 05:50","1","NNE","6"
"2017-11-02 06:00","1","NNE","4"
"2017-11-02 06:10","2","ESE","5"
"2017-11-02 06:20","1","NNE","6"
"2017-11-02 06:30","2","E","7"
"2017-11-02 06:40","1","S","4"
"2017-11-02 06:50","2","NE","8"
"2017-11-02 07:00","2","N","7"
"2017-11-02 07:10","2","E","5"
"2017-11-02 07:20","0","NNE","5"
"2017-11-02 07:30","1","NNE","5"
"2017-11-02 07:40","2","N","5"
"2017-11-02 07:50","0","NW","5"
"2017-11-02 08:00","2","E","8"
"2017-11-02 08:10","4","E","8"
"2017-11-02 08:20","4","NE","8"
"2017-11-02 08:30","1","N","7"
"2017-11-02 08:40","4","E","6"
"2017-11-02 08:50","2","ENE","9"
"2017-11-02 09:00","1","N","4"
"2017-11-02 09:10","2","NNE","5"
"2017-11-02 09:20","1","NE","4"
"2017-11-02 09:30","3","N","5"
"2017-11-02 09:40","2","NNE","3"
"2017-11-02 09:50","1","E","3"
"2017-11-02 10:00","1","NNE","3"
"2017-11-02 10:10","3","N","6"
"2017-11-02 10:20","2","N","6"
"2017-11-02 10:30","2","NNE","9"
"2017-11-02 10:40","2","N","5"
"2017-11-02 10:50","1","N","6"
"2017-11-02 11:00","1","NE","8"
"2017-11-02 11:10","2","E","8"
"2017-11-02 11:20","4","ESE","10"
"2017-11-02 11:30","3","NE","12"
"2017-11-02 11:40","1","N","8"
"2017-11-02 11:50","3","NNE","7"
"2017-11-02 12:00","3","NNE","7"
"2017-11-02 12:10","2","N","7"
"2017-11-02 12:20","0","E","7"
"2017-11-02 12:30","1","SE","4"
"2017-11-02 12:40","1","NNE","4"
"2017-11-02 12:50","1","NE","5"
"2017-11-02 13:00","4","ENE","9"
"2017-11-02 13:10","0","NW","6"
"2017-11-02 13:20","3","NE","5"
"2017-11-02 13:30","4","ENE","9"
"2017-11-02 13:40","2","ENE","9"
"2017-11-02 13:50","1","NE","6"
"2017-11-02 14:00","3","ENE","5"
"2017-11-02 14:10","0","E","5"
"2017-11-02 14:20","1","E","5"
"2017-11-02 14:30","2","E","5"
"2017-11-02 14:40","1","SE","7"
"2017-11-02 14:50","1","SE","6"
"2017-11-02 15:00","2","E","6"
"2017-11-02 15:10","2","NE","5"
"2017-11-02 15:20","3","ESE","6"
"2017-11-02 15:30","0","SE","6"
"2017-11-02 15:40","2","NNE","6"
"2017-11-02 15:50","1","E","6"
"2017-11-02 16:00","1","NW","6"
"2017-11-02 16:10","2","SE","5"
"2017-11-02 16:20","0","WSW","5"
"2017-11-02 16:30","0","ENE","8"
"2017-11-02 16:40","1","NNW","4"
"2017-11-02 16:50","2","N","6"
"2017-11-02 17:00","1","NE","5"
"2017-11-02 17:10","2","NE","3"
"2017-11-02 17:20","1","ENE","3"
"2017-11-02 17:30","2","NNE","4"
"2017-11-02 17:40","3","N","4"
"2017-11-02 17:50","3","NNE","5"
"2017-11-02 18:00","3","NNE","6"
"2017-11-02 18:10","3","N","6"
"2017-11-02 18:20","1","N","6"
"2017-11-02 18:30","2","N","3"
"2017-11-02 18:40","2","NW","5"
"2017-11-02 18:50","0","E","3"
"2017-11-02 19:00","0","E","3"
"2017-11-02 19:10","0","N","1"
"2017-11-02 19:20","2","N","3"
"2017-11-02 19:30","0","N","3"
"2017-11-02 19:40","0","SE","0"
"2017-11-02 19:50","0","ESE","2"
"2017-11-02 20:00","0","NNE","2"
"2017-11-02 20:10","0","ESE","2"
"2017-11-02 20:20","0","S","2"
"2017-11-02 20:30","0","ENE","2"
"2017-11-02 20:40","0","ESE","0"
"2017-11-02 20:50","0","N","0"
"2017-11-02 21:00","0","E","0"
"2017-11-02 21:10","0","ESE","2"
"2017-11-02 21:20","0","NE","0"
"2017-11-02 21:30","1","NE","2"
"2017-11-02 21:40","1","SE","2"
"2017-11-02 21:50","0","ESE","1"
"2017-11-02 22:00","1","NNE","2"
"2017-11-02 22:10","0","N","3"
"2017-11-02 22:20","0","ESE","3"
"2017-11-02 22:30","1","NW","3"
"2017-11-02 22:40","0","WNW","4"
"2017-11-02 22:50","4","WSW","9"
"2017-11-02 23:00","4","WSW","9"
"2017-11-02 23:10","4","WSW","6"
"2017-11-02 23:20","3","WSW","6"
"2017-11-02 23:30","3","W","7"
"2017-11-02 23:40","4","WSW","7"
"2017-11-02 23:50","2","W","5"
"2017-11-03 00:00","5","SW","9"
"2017-11-03 00:10","5","SW","7"
"2017-11-03 00:20","6","W","9"
"2017-11-03 00:30","4","SW","7"
"2017-11-03 00:40","5","SW","8"
"2017-11-03 00:50","7","WSW","11"
"2017-11-03 01:00","6","SW","11"
"2017-11-03 01:10","5","SW","11"
"2017-11-03 01:20","5","SW","10"
"2017-11-03 01:30","6","WSW","9"
"2017-11-03 01:40","6","SW","10"
"2017-11-03 01:50","6","SW","12"
"2017-11-03 02:00","9","SSW","14"
"2017-11-03 02:10","10","SW","17"
"2017-11-03 02:20","9","WSW","19"
"2017-11-03 02:30","7","SW","14"
"2017-11-03 02:40","6","SSW","15"
"2017-11-03 02:50","8","WSW","24"
"2017-11-03 03:00","8","WSW","18"
"2017-11-03 03:10","9","WSW","20"
"2017-11-03 03:20","10","WSW","18"
"2017-11-03 03:30","9","WSW","18"
"2017-11-03 03:40","7","WSW","18"
"2017-11-03 03:50","7","SW","14"
"2017-11-03 04:00","6","WSW","12"
"2017-11-03 04:10","6","SW","10"
"2017-11-03 04:20","7","SW","11"
"2017-11-03 04:30","6","WSW","12"
"2017-11-03 04:40","4","SSW","8"
"2017-11-03 04:50","5","WSW","15"
"2017-11-03 05:00","5","WSW","10"
"2017-11-03 05:10","6","SW","13"
"2017-11-03 05:20","6","SW","14"
"2017-11-03 05:30","6","WSW","9"
"2017-11-03 05:40","6","WSW","10"
"2017-11-03 05:50","6","WSW","13"
"2017-11-03 06:00","5","WSW","11"
"2017-11-03 06:10","5","SW","13"
"2017-11-03 06:20","7","W","13"
"2017-11-03 06:30","7","SSW","14"
"2017-11-03 06:40","10","SW","15"
"2017-11-03 06:50","4","SW","14"
"2017-11-03 07:00","7","SW","13"
"2017-11-03 07:10","5","WSW","13"
"2017-11-03 07:20","5","WSW","13"
"2017-11-03 07:30","5","WSW","11"
"2017-11-03 07:40","6","SW","11"
"2017-11-03 07:50","6","WSW","14"
"2017-11-03 08:00","5","SW","11"
"2017-11-03 08:10","5","SW","13"
"2017-11-03 08:20","6","SW","17"
"2017-11-03 08:30","8","WSW","17"
"2017-11-03 08:40","9","WSW","14"
"2017-11-03 08:50","10","SW","19"
"2017-11-03 09:00","10","W","20"
"2017-11-03 09:10","8","WSW","19"
"2017-11-03 09:20","11","SW","18"
"2017-11-03 09:30","10","WSW","17"
"2017-11-03 09:40","4","WSW","18"
"2017-11-03 09:50","9","WSW","16"
"2017-11-03 10:00","5","NW","16"
"2017-11-03 10:10","12","W","22"
"2017-11-03 10:20","12","W","28"
"2017-11-03 10:30","13","W","26"
"2017-11-03 10:40","11","WSW","26"
