"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2018-02-01 00:00","8","SSW","13"
"2018-02-01 00:10","12","SW","15"
"2018-02-01 00:20","9","SW","16"
"2018-02-01 00:30","13","SW","17"
"2018-02-01 00:40","12","SSW","19"
"2018-02-01 00:50","12","SW","22"
"2018-02-01 01:00","14","SW","17"
"2018-02-01 01:10","10","SW","17"
"2018-02-01 01:20","14","SW","19"
"2018-02-01 01:30","8","SW","15"
"2018-02-01 01:40","10","SSW","16"
"2018-02-01 01:50","11","SW","15"
"2018-02-01 02:00","8","SW","16"
"2018-02-01 02:10","6","SSW","11"
"2018-02-01 02:20","8","SSW","10"
"2018-02-01 02:30","5","SSW","9"
"2018-02-01 02:40","5","SSW","9"
"2018-02-01 02:51","6","SSW","14"
"2018-02-01 03:00","8","SSW","12"
"2018-02-01 03:10","8","SSW","12"
"2018-02-01 03:20","7","SSW","9"
"2018-02-01 03:30","6","SSW","9"
"2018-02-01 03:40","9","SW","12"
"2018-02-01 03:50","7","SW","12"
"2018-02-01 04:00","7","SSW","10"
"2018-02-01 04:10","7","SSW","11"
"2018-02-01 04:20","7","S","10"
"2018-02-01 04:30","7","S","12"
"2018-02-01 04:40","5","S","9"
"2018-02-01 04:50","5","SSE","9"
"2018-02-01 05:00","8","S","10"
"2018-02-01 05:10","8","S","12"
"2018-02-01 05:20","10","S","13"
"2018-02-01 05:30","12","S","15"
"2018-02-01 05:40","10","S","16"
"2018-02-01 05:50","12","S","18"
"2018-02-01 06:00","10","SSW","19"
"2018-02-01 06:10","9","SW","15"
"2018-02-01 06:20","8","SW","12"
"2018-02-01 06:30","5","SSW","8"
"2018-02-01 06:40","9","S","12"
"2018-02-01 06:50","12","S","16"
"2018-02-01 07:00","10","S","16"
"2018-02-01 07:10","12","S","16"
"2018-02-01 07:20","10","S","15"
"2018-02-01 07:30","13","S","16"
"2018-02-01 07:40","10","S","18"
"2018-02-01 07:50","8","SSW","16"
"2018-02-01 08:00","9","S","12"
"2018-02-01 08:10","10","S","17"
"2018-02-01 08:20","13","S","19"
"2018-02-01 08:30","13","SSW","17"
"2018-02-01 08:40","13","SW","16"
"2018-02-01 08:50","10","SSW","16"
"2018-02-01 09:00","14","SSW","19"
"2018-02-01 09:10","15","SSW","21"
"2018-02-01 09:20","13","SSW","23"
"2018-02-01 09:30","16","S","24"
"2018-02-01 09:40","16","SSW","22"
"2018-02-01 09:50","15","SSW","23"
"2018-02-01 10:00","16","SSW","25"
"2018-02-01 10:10","15","SSW","28"
"2018-02-01 10:20","17","SSW","23"
"2018-02-01 10:30","16","SW","27"
"2018-02-01 10:40","18","SW","25"
"2018-02-01 10:50","9","WSW","23"
"2018-02-01 11:00","12","W","25"
"2018-02-01 11:10","18","W","27"
"2018-02-01 11:20","13","SW","24"
"2018-02-01 11:30","12","WSW","31"
"2018-02-01 11:40","11","WSW","25"
"2018-02-01 11:50","12","SW","21"
"2018-02-01 12:00","12","SW","27"
"2018-02-01 12:10","12","W","27"
"2018-02-01 12:20","12","W","21"
"2018-02-01 12:30","15","W","25"
"2018-02-01 12:40","19","WNW","35"
"2018-02-01 12:50","27","NW","39"
"2018-02-01 13:00","30","NNW","44"
"2018-02-01 13:10","24","NNW","38"
"2018-02-01 13:20","20","NNW","32"
"2018-02-01 13:30","22","NW","31"
"2018-02-01 13:40","23","N","41"
"2018-02-01 13:50","25","NNW","29"
"2018-02-01 14:00","22","NNW","31"
"2018-02-01 14:10","26","NW","38"
"2018-02-01 14:20","24","NW","39"
"2018-02-01 14:30","20","NNW","32"
"2018-02-01 14:40","22","NW","33"
"2018-02-01 14:50","23","NW","29"
"2018-02-01 15:00","20","NW","37"
"2018-02-01 15:10","19","NNW","31"
"2018-02-01 15:20","24","NW","38"
"2018-02-01 15:30","18","NW","26"
"2018-02-01 15:40","26","NW","33"
"2018-02-01 15:50","20","NW","38"
"2018-02-01 16:00","23","NW","39"
"2018-02-01 16:10","27","NW","43"
"2018-02-01 16:20","30","NW","43"
"2018-02-01 16:30","25","NNW","38"
"2018-02-01 16:40","30","NNW","43"
"2018-02-01 16:50","18","NW","31"
"2018-02-01 17:00","15","NW","27"
"2018-02-01 17:10","12","NNW","29"
"2018-02-01 17:20","20","NNW","35"
"2018-02-01 17:30","15","NNW","27"
"2018-02-01 17:40","12","NW","22"
"2018-02-01 17:50","14","NW","20"
"2018-02-01 18:00","15","NW","24"
"2018-02-01 18:10","12","NW","19"
"2018-02-01 18:20","21","NNW","34"
"2018-02-01 18:30","24","NNW","31"
"2018-02-01 18:40","17","NNW","32"
"2018-02-01 18:50","23","NNW","29"
"2018-02-01 19:00","16","NW","32"
"2018-02-01 19:10","20","NNW","24"
"2018-02-01 19:20","18","NNW","27"
"2018-02-01 19:30","18","NNW","23"
"2018-02-01 19:40","19","NNW","33"
"2018-02-01 19:50","19","NNW","27"
"2018-02-01 20:00","19","NNW","30"
"2018-02-01 20:10","17","NNW","22"
"2018-02-01 20:20","19","NNW","30"
"2018-02-01 20:30","17","NNW","24"
"2018-02-01 20:40","18","NNW","26"
"2018-02-01 20:50","20","NNW","23"
"2018-02-01 21:00","13","NNW","23"
"2018-02-01 21:10","12","NNW","20"
"2018-02-01 21:20","8","NNW","15"
"2018-02-01 21:30","6","WNW","12"
"2018-02-01 21:40","9","NNW","11"
"2018-02-01 21:50","7","NNW","13"
"2018-02-01 22:00","7","N","8"
"2018-02-01 22:10","6","N","10"
"2018-02-01 22:20","1","NNE","7"
"2018-02-01 22:30","2","N","6"
"2018-02-01 22:40","2","E","5"
"2018-02-01 22:50","3","NNE","4"
"2018-02-01 23:00","4","N","7"
"2018-02-01 23:10","2","NE","6"
"2018-02-01 23:20","5","N","8"
"2018-02-01 23:30","2","NE","7"
"2018-02-01 23:40","1","N","5"
"2018-02-02 00:00","0","NNE","3"
"2018-02-02 00:10","3","N","4"
"2018-02-02 00:20","3","N","5"
"2018-02-02 00:30","2","NNE","7"
"2018-02-02 00:40","2","NNW","8"
"2018-02-02 00:50","4","NNW","6"
"2018-02-02 01:00","5","N","7"
"2018-02-02 01:10","5","N","7"
"2018-02-02 01:20","10","N","14"
"2018-02-02 01:30","13","N","15"
"2018-02-02 01:40","14","N","15"
"2018-02-02 01:50","14","N","19"
"2018-02-02 02:00","6","NE","19"
"2018-02-02 02:10","6","N","14"
"2018-02-02 02:20","6","N","15"
"2018-02-02 02:30","13","N","21"
"2018-02-02 02:40","10","NNE","18"
"2018-02-02 02:50","10","NNE","15"
"2018-02-02 03:00","14","N","22"
"2018-02-02 03:10","10","NNE","19"
"2018-02-02 03:20","11","N","18"
"2018-02-02 03:30","15","N","19"
"2018-02-02 03:40","10","N","18"
"2018-02-02 03:50","9","NNE","14"
"2018-02-02 04:00","13","N","20"
