"Time EST","Air Temp (°C)"
"2018-01-08 07:50","-4.0"
"2018-01-08 08:00","-4.0"
"2018-01-10 06:40","-11.9"
"2018-01-10 06:50","-11.9"
"2018-01-10 11:20","-2.3"
"2018-01-10 16:00","-0.3"
"2018-01-10 16:20","-0.2"
"2018-01-11 14:00","7.9"
"2018-01-11 14:20","7.4"
"2018-01-11 15:10","7.3"
"2018-01-11 16:00","7.3"
"2018-01-11 20:00","7.9"
"2018-01-12 00:00","8.4"
"2018-01-12 00:10","8.5"
"2018-01-12 02:10","8.5"
"2018-01-12 02:30","8.3"
"2018-01-12 03:30","8.3"
"2018-01-12 03:40","8.3"
"2018-01-12 04:00","8.6"
"2018-01-12 06:30","8.0"
"2018-01-12 07:00","8.0"
"2018-01-12 11:10","0.7"
"2018-01-12 11:30","0.2"
"2018-01-12 11:40","0.1"
"2018-01-12 13:10","-4.0"
"2018-01-12 13:20","-4.6"
"2018-01-12 15:20","-10.1"
"2018-01-12 15:30","-10.3"
"2018-01-12 15:40","-10.3"
"2018-01-12 15:50","-10.7"
"2018-01-12 18:50","-11.7"
"2018-01-12 19:00","-11.5"
"2018-01-12 19:10","-11.9"
"2018-01-12 19:30","-12.3"
"2018-01-12 22:40","-13.7"
"2018-01-13 04:00","-16.1"
"2018-01-13 04:10","-16.3"
"2018-01-13 14:40","-14.8"
"2018-01-13 17:10","-15.5"
"2018-01-14 10:20","-16.7"
"2018-01-14 12:30","-12.8"
"2018-01-14 13:20","-11.3"
"2018-01-14 16:10","-10.4"
"2018-01-16 13:20","-9.6"
"2018-01-16 13:35","-8.7"
"2018-01-16 13:40","-8.7"
"2018-01-16 14:00","-7.3"
"2018-01-16 14:17","-8.2"
"2018-01-16 14:20","-8.3"
"2018-01-16 14:34","-7.8"
"2018-01-16 14:51","-7.9"
"2018-01-17 10:19","-16.7"
"2018-01-17 12:17","-7.6"
"2018-01-17 12:20","-7.6"
"2018-01-17 12:40","-7.1"
"2018-01-17 13:00","-6.8"
"2018-01-17 13:20","-6.7"
"2018-01-17 13:30","-6.7"
"2018-01-18 14:58","-6.3"
"2018-01-22 12:00","1.6"
